[0] 1:59	Oh.
[1456] 1:09:20	half. That's all it is.
[1457] 1:09:22	So,
[1458] 1:09:26	so when you think about it, 384,
[1459] 1:09:28	this is why um
[1460] 1:09:30	um
[1461] 1:09:32	say
[1462] 1:09:34	doing it in units of 384 is so
[1463] 1:09:37	effective, cuz now you're counting not
[1464] 1:09:39	just words, but days.
[1465] 1:09:43	So, you if you've done two 2.6, that's
[1466] 1:09:47	2.6 days of work.
[1467] 1:09:50	Yeah, and that brings you 2.6 days
[1468] 1:09:52	closer to whatever manuscript you're
[1469] 1:09:54	doing.
[1470] 1:09:56	So,
[1471] 1:09:59	so it's 384 is a really, really
[1472] 1:10:02	reasonable number.
[1473] 1:10:04	Um like if you have an 80,000-word
[1474] 1:10:07	manuscript,
[1475] 1:10:10	that's 208, folks.
[1476] 1:10:13	208.
[1477] 1:10:16	You can easily if you if you have if you
[1478] 1:10:19	if you say do two or three a day,
[1479] 1:10:23	you've cut down the time to make that
[1480] 1:10:26	book
[1481] 1:10:27	into like 3 months.
[1482] 1:10:29	It really You really just go
[1483] 1:10:33	it just really helps you to
[1484] 1:10:35	set mile markers that help.
[1485] 1:10:54	Uh Smelly Bonbon says, "I pulled an
[1486] 1:10:56	all-nighter once and wrote a 2000 word
[1487] 1:10:58	essay in a few hours on a book I've
[1488] 1:11:00	never read. We had one month to write an
[1489] 1:11:03	essay. I procrastinated until the last
[1490] 1:11:05	day, end up getting a 90 on it.
[1491] 1:11:08	You know, I'll say this.
[1492] 1:11:10	Um people who
[1493] 1:11:13	do an all nighter
[1494] 1:11:15	usually do a better essay than the ones
[1495] 1:11:18	that ask for a 2-week extension.
[1496] 1:11:22	I have never had a student come ask me
[1497] 1:11:24	for an extension
[1498] 1:11:26	and it turn out to be a better paper.
[1499] 1:11:29	The the guys who do the all nighters
[1500] 1:11:30	always produce better papers than the
[1501] 1:11:33	ones that do the oh, can I have 2 more
[1502] 1:11:36	weeks?
[1503] 1:11:37	>> [snorts]
[1504] 1:11:39	>> They never do it better.
[1505] 1:11:41	Never.
[1506] 1:11:45	So, we'll we won't go there.
[1507] 1:11:54	Um Mama says, writing numerously is
[1508] 1:11:56	easy, writing pithily is next level.
[1509] 1:11:59	Yes, it is.
[1510] 1:12:00	Um this is one of the reasons why I will
[1511] 1:12:02	read a lot of Hemingway.
[1512] 1:12:04	Love Hemingway.
[1513] 1:12:05	Um
[1514] 1:12:06	Hemingway knows how to write succinctly.
[1515] 1:12:11	Expressively and succinctly.
[1516] 1:12:17	Um so
[1517] 1:12:20	um writing pithily is better.
[1518] 1:12:24	But if you're writing a novel, it's also
[1519] 1:12:26	a marathon. It's an endurance race.
[1520] 1:12:30	So
[1521] 1:12:33	So yeah, I love I think people should be
[1522] 1:12:35	more concise in their writing.
[1523] 1:12:38	And
[1524] 1:12:39	purple prose is is
[1525] 1:12:41	People hate purple prose. I hate purple
[1526] 1:12:43	prose.
[1527] 1:12:45	You know, you read like um there was a
[1528] 1:12:47	time when
[1529] 1:12:51	publishers used to get more money for
[1530] 1:12:53	larger volumes.
[1531] 1:12:55	This is why if you crack open a history
[1532] 1:12:57	book from 1900,
[1533] 1:12:59	it is full of purple prose
[1534] 1:13:03	because authors were being paid by the
[1535] 1:13:05	page.
[1536] 1:13:07	Uh
[1537] 1:13:08	publishers were selling their book by
[1538] 1:13:11	the inch.
[1539] 1:13:12	>> [laughter]
[1540] 1:13:15	>> And there was a lot more money
[1541] 1:13:16	circulating for larger volumes. So a lot
[1542] 1:13:21	of people wrote a lot of
[1543] 1:13:23	purple prose
[1544] 1:13:25	to earn more money. Well,
[1545] 1:13:29	then publishing got expensive.
[1546] 1:13:33	Now,
[1547] 1:13:36	if you publish a book that's say 200 250
[1548] 1:13:40	pages,
[1549] 1:13:41	the publisher is just going
[1550] 1:13:44	They're they're sighing in relief
[1551] 1:13:45	[laughter]
[1552] 1:13:47	because a 300-page book is a lot more
[1553] 1:13:49	expensive.
[1554] 1:13:54	Yeah, I know my chapter Moses is 50
[1555] 1:13:56	pages.
[1556] 1:13:58	That's going to be a bigger book.
[1557] 1:14:00	But uh
[1558] 1:14:04	But I'm sure they'll find a way to
[1559] 1:14:06	to press down those those pages cuz they
[1560] 1:14:09	always do.
[1561] 1:14:15	Channel Mercy goes one book per year
[1562] 1:14:17	perhaps.
[1563] 1:14:18	Um
[1564] 1:14:19	Well, I managed to put out about two or
[1565] 1:14:22	three a year.
[1566] 1:14:25	So
[1567] 1:14:27	um I'm at I'm at the point where I am I
[1568] 1:14:29	am actually putting out about two and a
[1569] 1:14:31	half books a year.
[1570] 1:14:33	So
[1571] 1:14:35	um
[1572] 1:14:38	So I I I think you can you can actually
[1573] 1:14:41	do a lot more than that. If I didn't
[1574] 1:14:43	have the channel, I'd be putting out a a
[1575] 1:14:45	more books, okay?
[1576] 1:14:47	But the channel takes up a lot of my
[1577] 1:14:49	time. It takes up 50-60 hours a week.
[1578] 1:14:52	So, I'm writing in between that. So, you
[1579] 1:14:55	kind of have to view Okay, most of us
[1580] 1:14:57	are going to have a job.
[1581] 1:14:59	Cuz most of us can't live off of our
[1582] 1:15:00	writing.
[1583] 1:15:02	So, you have a job, you work at it,
[1584] 1:15:05	and then you write on the side.
[1585] 1:15:08	So,
[1586] 1:15:15	Um Mama says, "It I was the same when I
[1587] 1:15:17	was a journalist. Prep, percolate, beat
[1588] 1:15:20	the deadline."
[1589] 1:15:21	And absolutely, in journalism, the
[1590] 1:15:24	deadline is everything.
[1591] 1:15:28	Um
[1592] 1:15:30	I remember I remember talking to this um
[1593] 1:15:33	professor of journalism.
[1594] 1:15:35	It was pretty cool. It was pretty fun.
[1595] 1:15:38	Um
[1596] 1:15:41	Cuz he he said,
[1597] 1:15:43	"For late assignments,
[1598] 1:15:45	zero.
[1599] 1:15:46	Every time.
[1600] 1:15:48	If any If any of my students was late
[1601] 1:15:50	with an assignment, there's no
[1602] 1:15:52	extension, it's zero."
[1603] 1:15:55	And his his reason was just so cool, cuz
[1604] 1:15:57	he says,
[1605] 1:15:58	"News that's past the deadline is
[1606] 1:16:00	worthless.
[1607] 1:16:02	It's not news anymore."
[1608] 1:16:07	I thought that was absolutely
[1609] 1:16:10	Uh that was absolutely fun. It was just
[1610] 1:16:13	like,
[1611] 1:16:14	"Ooh.
[1612] 1:16:15	Ooh. No 10% demerit, no 20% demerit,
[1613] 1:16:18	absolute zero for a late paper."
[1614] 1:16:25	>> [laughter]
[1615] 1:16:26	>> And you could There was a I mean, he had
[1616] 1:16:28	a really good justification for it.
[1617] 1:16:36	Um Mama says, "My 12-year-old just
[1618] 1:16:38	realized I was a journalist."
[1619] 1:16:42	Raging smurfling. Mama accidental mom
[1620] 1:16:46	lore revealed.
[1621] 1:16:47	>> [laughter]
[1622] 1:16:59	>> Uh bubble trouble asked the question
[1623] 1:17:01	here. On the topic of my sibs knowing
[1624] 1:17:03	Christ and being baptized, how did you
[1625] 1:17:06	come to know Christ? Totally not asking
[1626] 1:17:08	for story time.
[1627] 1:17:10	Um
[1628] 1:17:12	It was pretty uneventful, actually.
[1629] 1:17:15	Um
[1630] 1:17:17	My parents went to uh I was seven.
[1631] 1:17:22	Uh my parents went to a um
[1632] 1:17:26	You've probably never heard of this
[1633] 1:17:28	group, uh an a cappella group called the
[1634] 1:17:30	Royal Heirs.
[1635] 1:17:32	Um
[1636] 1:17:33	And
[1637] 1:17:35	they were popular once upon a time. They
[1638] 1:17:37	didn't have really any chart topping
[1639] 1:17:39	hits, but they they made the church
[1640] 1:17:41	circuit. They're
[1641] 1:17:42	They're sort of their claim to fame was
[1642] 1:17:44	the song Them Bones, Them Bones, Them
[1643] 1:17:46	Dry Bones.
[1644] 1:17:48	Uh which was a um
[1645] 1:17:50	a take on a
[1646] 1:17:53	um
[1647] 1:17:54	um
[1648] 1:17:58	slavery era song, okay?
[1649] 1:18:02	And
[1650] 1:18:04	um
[1651] 1:18:05	they presented the gospel one night
[1652] 1:18:08	uh when we were there.
[1653] 1:18:10	And I I accepted the Lord and on the as
[1654] 1:18:14	my parents were driving home
[1655] 1:18:17	and um
[1656] 1:18:18	I accepted in the back of of of the of
[1657] 1:18:21	the car on the way home.
[1658] 1:18:22	And then I didn't tell anyone.
[1659] 1:18:25	>> [laughter]
[1660] 1:18:27	>> Your mom's
[1661] 1:18:29	My mom my mother has never forgiven me
[1662] 1:18:31	for that.
[1663] 1:18:34	>> [laughter]
[1664] 1:18:36	>> I didn't
[1665] 1:18:38	When my when when my parents led my
[1666] 1:18:40	sister to Christ,
[1667] 1:18:42	um which was years later, years later.
[1668] 1:18:47	>> [laughter]
[1669] 1:18:49	>> And uh
[1670] 1:18:51	uh she um she says uh she turned to me
[1671] 1:18:54	and she said um
[1672] 1:18:57	uh so David, when are when are you going
[1673] 1:18:59	to to come to to accept the Lord? I
[1674] 1:19:02	said, I have.
[1675] 1:19:03	She goes, when?
[1676] 1:19:05	Years ago.
[1677] 1:19:06	She goes, you didn't tell us. Well, you
[1678] 1:19:09	weren't involved.
[1679] 1:19:10	>> [laughter]
[1680] 1:19:17	>> And strictly speaking, it worked.
[1681] 1:19:21	>> [laughter]
[1682] 1:19:27	[laughter]
[1683] 1:19:29	>> After folk, the silent convert.
[1684] 1:19:33	Bond bond broad moment.
[1685] 1:19:36	>> [laughter]
[1686] 1:19:44	>> Raging Smurf, if it works, it works.
[1687] 1:19:51	I mean, there's nothing there was
[1688] 1:19:52	nothing in the
[1689] 1:19:53	in
[1690] 1:19:55	in the uh
[1691] 1:19:57	uh
[1692] 1:19:57	>> [laughter]
[1693] 1:19:59	>> as far as I could tell, my relationship
[1694] 1:20:01	with Christ that
[1695] 1:20:02	in this is that
[1696] 1:20:04	that my parents had to be there
[1697] 1:20:05	watching.
[1698] 1:20:09	>> [laughter]
[1699] 1:20:14	>> Uh good times, good times.
[1700] 1:20:18	>> [laughter]
[1701] 1:20:19	>> Instagram, the only silent convert I
[1702] 1:20:22	know about.
[1703] 1:20:24	Yeah, yeah.
[1704] 1:20:26	Um
[1705] 1:20:27	I wasn't really I'm
[1706] 1:20:29	I mean, I'm a I'm an introvert anyway.
[1707] 1:20:35	>> [laughter]
[1708] 1:20:38	>> Any manual.
[1709] 1:20:39	Future archeologics
[1710] 1:20:42	archaeologist accepts Jesus over bones.
[1711] 1:20:47	>> [laughter]
[1712] 1:20:52	[laughter]
[1713] 1:20:57	>> Uh
[1714] 1:21:03	All right, let's move on here.
[1715] 1:21:06	>> [clears throat]
[1716] 1:21:06	>> That's fun.
[1717] 1:21:42	All right, next one here is from
[1718] 1:21:45	OS4300 for $10. Thank you very much for
[1719] 1:21:47	the super chat.
[1720] 1:21:50	Dr. Falk, do you have a recommendation
[1721] 1:21:52	for reputable English translation
[1722] 1:21:54	of the Ethiopian canon of the Bible?
[1723] 1:21:59	Uh I search on Amazon and I get
[1724] 1:22:01	crazy-sounding things that they say have
[1725] 1:22:04	a thousand books.
[1726] 1:22:06	Yeah, that's probably way too big. Um
[1727] 1:22:12	I don't have one.
[1728] 1:22:15	Um
[1729] 1:22:16	I'm also don't speak Ethiopic.
[1730] 1:22:19	Um I have actually a um
[1731] 1:22:22	a book here on how to read it, but I
[1732] 1:22:24	haven't cracked it open yet.
[1733] 1:22:26	Um still working my way through Latin.
[1734] 1:22:29	Uh, it's not going well. Um,
[1735] 1:22:31	>> [clears throat]
[1736] 1:22:32	>> Uh, but, um,
[1737] 1:22:37	what I would recommend is actually
[1738] 1:22:40	contacting Ethiopian Coptic Church.
[1739] 1:22:44	And see what they think. See if they
[1740] 1:22:47	have a recommendation.
[1741] 1:22:48	They would probably know better than
[1742] 1:22:50	anyone.
[1743] 1:22:52	Um,
[1744] 1:22:53	because you are dealing here with a uh
[1745] 1:22:55	it with a
[1746] 1:22:57	um,
[1747] 1:22:59	edition that's an ethnic trans uh um
[1748] 1:23:02	edition.
[1749] 1:23:04	It makes sense to go to someone who has,
[1750] 1:23:07	say, more ethnic ties to that
[1751] 1:23:11	translation who can then,
[1752] 1:23:13	um,
[1753] 1:23:14	and you should be able to find
[1754] 1:23:17	um, an Ethiopian church even if you
[1755] 1:23:20	don't have to even if it's like too far
[1756] 1:23:22	to call, send them an email. See what
[1757] 1:23:25	they recommend.
[1758] 1:23:27	That would be probably the best that
[1759] 1:23:28	that that they could you could do there.
[1760] 1:23:31	So,
[1761] 1:23:33	yeah, find an Ethiopian uh
[1762] 1:23:36	uh church
[1763] 1:23:38	and
[1764] 1:23:39	yeah,
[1765] 1:23:40	send them an email. Ask them what
[1766] 1:23:42	English translation they would recommend
[1767] 1:23:44	for their particular Bible.
[1768] 1:23:45	So,
[1769] 1:23:54	yeah, next one here.
[1770] 1:23:57	Uh, from OS uh 4300 for $2. Thank you.
[1771] 1:24:00	Uh,
[1772] 1:24:01	we you're most welcome. We really really
[1773] 1:24:03	appreciate it. We thank you for your
[1774] 1:24:05	super chat. Those super chats go to
[1775] 1:24:07	support this ministry directly. So,
[1776] 1:24:10	thank you so very much and we really
[1777] 1:24:12	appreciate it.
[1778] 1:24:20	Uh, Lou Sandoval asks,
[1779] 1:24:22	"Are there any economic use of how I can
[1780] 1:24:25	apply writing
[1781] 1:24:27	in cursive script without writing a
[1782] 1:24:30	book?
[1783] 1:24:32	Let's say anything that involves writing
[1784] 1:24:34	a paragraph or essay is a nightmare for
[1785] 1:24:36	me."
[1786] 1:24:38	It's a muscle.
[1787] 1:24:41	Um,
[1788] 1:24:43	if you want to if you want to start
[1789] 1:24:45	writing
[1790] 1:24:46	and
[1791] 1:24:48	you want to use cursive script to do it,
[1792] 1:24:51	um,
[1793] 1:24:52	you know, I used to get those uh, what's
[1794] 1:24:54	those those what they used to call
[1795] 1:24:56	duo-tangs?
[1796] 1:24:58	I don't even know if they make them
[1797] 1:24:59	anymore. They're just a kind of
[1798] 1:25:00	notebook. They're just a kind of
[1799] 1:25:02	notebook.
[1800] 1:25:03	But, get yourself a notebook.
[1801] 1:25:05	And
[1802] 1:25:08	just start writing in that.
[1803] 1:25:10	Okay?
[1804] 1:25:12	And you'll find that once you start
[1805] 1:25:13	writing
[1806] 1:25:14	every day, you can write more.
[1807] 1:25:19	Um,
[1808] 1:25:20	you know, when I
[1809] 1:25:23	All right, it's story time again.
[1810] 1:25:25	>> [laughter]
[1811] 1:25:26	>> This time,
[1812] 1:25:27	Dr. Fox's dissertation.
[1813] 1:25:32	Okay?
[1814] 1:25:34	Um,
[1815] 1:25:36	I got into a habit because I was a
[1816] 1:25:39	fiction writer in my teens, I got into a
[1817] 1:25:42	habit of of writing a little bit every
[1818] 1:25:45	day. I developed that that habit.
[1819] 1:25:49	So, when I wrote actually wrote my
[1820] 1:25:50	dissertation and I came up with my 384
[1821] 1:25:54	words uh, quota plan,
[1822] 1:25:59	um, I told I told my my my dissertation
[1823] 1:26:03	supervisor,
[1824] 1:26:04	my Dr. Vater,
[1825] 1:26:06	that I was going to be done
[1826] 1:26:09	writing my dissertation in 1 year.
[1827] 1:26:11	I'd already been at the school for a
[1828] 1:26:13	year.
[1829] 1:26:14	So, I said I told him, you know, I'm
[1830] 1:26:15	going to be
[1831] 1:26:17	I'm going to be done in a year.
[1832] 1:26:19	He goes, "Yeah, sure you are." I said,
[1833] 1:26:21	"I'll be I'll be up finished all the
[1834] 1:26:23	major work in 2 years, no problem."
[1835] 1:26:27	And my my uh
[1836] 1:26:29	my stip in my my um
[1837] 1:26:32	studentship was for 3 years, so I had to
[1838] 1:26:34	do it anyway.
[1839] 1:26:35	But just because of how money is going.
[1840] 1:26:39	So,
[1841] 1:26:42	um
[1842] 1:26:44	I actually did it. I actually completed
[1843] 1:26:47	my
[1844] 1:26:48	my dissertation in 10 months, submitted
[1845] 1:26:51	it,
[1846] 1:26:52	and
[1847] 1:26:55	uh my doctor advisor says to me,
[1848] 1:26:57	"You you
[1849] 1:26:59	I I I told him, "Hey, have you arranged
[1850] 1:27:01	a a um
[1851] 1:27:03	inter
[1852] 1:27:05	uh an external examiner yet for this?"
[1853] 1:27:07	He goes, "No, I haven't."
[1854] 1:27:09	"Why not? I told you I'd do it get it
[1855] 1:27:11	done."
[1856] 1:27:12	He says,
[1857] 1:27:13	"Yeah, but no one ever does it."
[1858] 1:27:16	>> [laughter]
[1859] 1:27:16	>> "Everyone says it. No one ever does it."
[1860] 1:27:22	Uh and then he said to me,
[1861] 1:27:24	he says to me, "I wish I had the
[1862] 1:27:26	discipline to write like that."
[1863] 1:27:29	So,
[1864] 1:27:33	so it's like, "Okay,
[1865] 1:27:35	um
[1866] 1:27:38	So, yeah, it's uh
[1867] 1:27:40	you can do this.
[1868] 1:27:43	Just as I said, by by building up
[1869] 1:27:45	slowly. Build it up slowly.
[1870] 1:27:50	Alussa Navales uh clarifies here. He
[1871] 1:27:53	says, "What I mean is that I know how to
[1872] 1:27:57	write in cursive, but I want to know if
[1873] 1:27:59	there are any other use apart from
[1874] 1:28:02	writing books or essays."
[1875] 1:28:05	For cursive?
[1876] 1:28:07	Is that what you mean? Any other use for
[1877] 1:28:09	cursive?
[1878] 1:28:11	Is that what it means?
[1879] 1:28:13	I
[1880] 1:28:15	Okay. But
[1881] 1:28:18	you keep up your cursive
[1882] 1:28:20	skills so you can
[1883] 1:28:22	keep up with people who wrote in
[1884] 1:28:24	cursive.
[1885] 1:28:25	Well, otherwise we lose
[1886] 1:28:27	all historical data.
[1887] 1:28:30	Um
[1888] 1:28:33	Well, there there's a huge amount of
[1889] 1:28:34	material that is written in cursive.
[1890] 1:28:37	Um cursive is a good skill to keep up
[1891] 1:28:40	even if you don't use it.
[1892] 1:28:44	And once you learn it, it's hard I mean,
[1893] 1:28:46	it's not not a skill that you really
[1894] 1:28:48	lose.
[1895] 1:28:50	Um
[1896] 1:28:51	and there is a lot uh if you ever go if
[1897] 1:28:53	you ever become a historian,
[1898] 1:28:55	you will be vexed by cursive. There are
[1899] 1:28:59	so many things that are actually
[1900] 1:29:01	published in cursive
[1901] 1:29:04	that it for for a historian
[1902] 1:29:06	knowing cursive is a mandatory skill.
[1903] 1:29:10	Um if you do any any sort of history of
[1904] 1:29:14	of North America from the 19th century
[1905] 1:29:17	or
[1906] 1:29:19	or earlier or even later,
[1907] 1:29:21	you will be encountering cursive
[1908] 1:29:23	documents. If you ever go to an archive,
[1909] 1:29:27	you will be pulling out people's
[1910] 1:29:29	personal papers
[1911] 1:29:31	written in cursive.
[1912] 1:29:35	Um
[1913] 1:29:36	I remember there we did this um panel
[1914] 1:29:38	once
[1915] 1:29:41	um at a convention
[1916] 1:29:44	where we talked about secret archives,
[1917] 1:29:46	secret knowledge.
[1918] 1:29:49	And I was the only one on the panel to
[1919] 1:29:51	have actually been inside a real
[1920] 1:29:53	archive.
[1921] 1:29:54	>> [laughter]
[1922] 1:30:01	>> A lot of a lot of his people
[1923] 1:30:05	donate their personal papers to the
[1924] 1:30:07	archives at libraries.
[1925] 1:30:10	I think uh C.S. Lewis's
[1926] 1:30:12	uh archive is at uh Wheaton College.
[1927] 1:30:16	If you happen to be at at Wheaton, you
[1928] 1:30:19	can actually go into the library,
[1929] 1:30:22	go down, I think it's in the basement,
[1930] 1:30:25	go down and uh cuz most library archives
[1931] 1:30:28	are in the basement.
[1932] 1:30:30	And you can go see C.S. Lewis's personal
[1933] 1:30:34	papers that he wrote by hand.
[1934] 1:30:38	So,
[1935] 1:30:45	so it's an important skill. It's not a
[1936] 1:30:47	skill that you you'd use broadly,
[1937] 1:30:49	though.
[1938] 1:30:51	Blue Sentinel says, "Yes, I can read
[1939] 1:30:54	cursive, which is a plus. I love
[1940] 1:30:55	history, but it seems that history
[1941] 1:30:57	careers aren't making money. It's more
[1942] 1:30:59	of a personal hobby."
[1943] 1:31:01	Academia doesn't make money.
[1944] 1:31:03	>> [laughter]
[1945] 1:31:06	>> Not unless you're a professor of finance
[1946] 1:31:09	or commerce.
[1947] 1:31:11	Those gigs make money.
[1948] 1:31:13	The rest of the academy doesn't.
[1949] 1:31:19	Uh but there isn't um
[1950] 1:31:21	the use of of cursive is is is limited.
[1951] 1:31:24	It's a second script is what it is.
[1952] 1:31:26	So,
[1953] 1:31:32	so that's um
[1954] 1:31:34	that's something that you've got to
[1955] 1:31:35	consider.
[1956] 1:31:37	Okay, um huh.
[1957] 1:31:40	Uh
[1958] 1:31:41	t h e The Links The Links says, "In
[1959] 1:31:45	Agassiz, BC, their archive is upstairs."
[1960] 1:31:49	At the University of British Columbia,
[1961] 1:31:51	their archive was upstairs, too.
[1962] 1:31:54	Um
[1963] 1:31:55	that was a weird weird library when the
[1964] 1:31:58	main library was still a library.
[1965] 1:32:01	Um I don't know if they're they archives
[1966] 1:32:02	upstairs anymore, but um
[1967] 1:32:05	their library was very strange.
[1968] 1:32:08	It was it was more of a labyrinth than
[1969] 1:32:10	it was a library.
[1970] 1:32:17	Uh, Michael Gee says
[1971] 1:32:19	most of my academic and historical
[1972] 1:32:21	research has been done from archives.
[1973] 1:32:22	Yeah, they're important. They're really
[1974] 1:32:24	important.
[1975] 1:32:28	Okay.
[1976] 1:32:38	Uh, Dr. Emmy Martinez asks
[1977] 1:32:42	uh, I've been wondering what are the
[1978] 1:32:44	main objections people have to the
[1979] 1:32:45	biblical Exodus and why do people hold
[1980] 1:32:47	them?
[1981] 1:32:49	Uh, the main objection is there no
[1982] 1:32:50	evidence. That's the main objection.
[1983] 1:32:54	And
[1984] 1:32:57	um
[1985] 1:32:58	I have not found that to be the case.
[1986] 1:33:00	Okay?
[1987] 1:33:02	But that said
[1988] 1:33:04	why people hold to certain objections is
[1989] 1:33:07	a whole different matter.
[1990] 1:33:10	Uh, in the case of say the Exodus
[1991] 1:33:14	what makes people hold on to that
[1992] 1:33:16	objection
[1993] 1:33:18	is
[1994] 1:33:21	tends to be more along the lines of do
[1995] 1:33:24	we trust our sources?
[1996] 1:33:26	Okay?
[1997] 1:33:27	A lot of the people who
[1998] 1:33:30	who hold to that that that there's no
[1999] 1:33:31	evidence of the Exodus, they just don't
[2000] 1:33:34	trust the biblical sources.
[2001] 1:33:36	And they are like not trusting the
[2002] 1:33:39	biblical sources.
[2003] 1:33:42	So, if you try to tell them, "Hey, you
[2004] 1:33:44	know, there is evidence for this thing."
[2005] 1:33:47	They get really upset
[2006] 1:33:49	because it then
[2007] 1:33:51	places a
[2008] 1:33:53	basically a kind of burden on them that
[2009] 1:33:55	hey, you might have to pay attention to
[2010] 1:33:57	this
[2011] 1:33:58	this set of books. So,
[2012] 1:34:02	the why
[2013] 1:34:03	comes down to more or less what is your
[2014] 1:34:06	pre
[2015] 1:34:08	what is what is your presuppositions
[2016] 1:34:09	when approaching the Bible.
[2017] 1:34:11	So,
[2018] 1:34:13	hope that helps. Thank you for the
[2019] 1:34:14	question.
[2020] 1:34:38	Uh Lucen will ask,
[2021] 1:34:41	how many who many times does a person
[2022] 1:34:44	who has was been in many churches needs
[2023] 1:34:48	to be rebaptized?
[2024] 1:34:52	Oh, oh.
[2025] 1:34:54	Okay.
[2026] 1:34:56	Uh do you if I Okay, so I think the
[2027] 1:34:58	question he's asking here is
[2028] 1:35:00	if you change churches, do you need to
[2029] 1:35:04	be rebaptized?
[2030] 1:35:05	The answer is no.
[2031] 1:35:07	Okay?
[2032] 1:35:09	Um
[2033] 1:35:13	Well, if if if the um
[2034] 1:35:17	some um some churches insist that only
[2035] 1:35:22	their baptism is valid,
[2036] 1:35:24	in that case, you might have to be
[2037] 1:35:26	rebaptized if you want to be part of
[2038] 1:35:28	that church.
[2039] 1:35:30	Um
[2040] 1:35:31	if you were come out of a cult
[2041] 1:35:35	and not a true branch of Christianity,
[2042] 1:35:38	then you might need to be rebaptized.
[2043] 1:35:42	Other than that,
[2044] 1:35:43	uh any baptism from any valid Christian
[2045] 1:35:46	church
[2046] 1:35:48	uh is usually recognized by most other
[2047] 1:35:51	denominations.
[2048] 1:35:56	Yeah, there's um
[2049] 1:35:58	um
[2050] 1:36:00	there is also the question of
[2051] 1:36:02	chrismation.
[2052] 1:36:03	Okay?
[2053] 1:36:05	Um if um chrismation is included in your
[2054] 1:36:09	baptism,
[2055] 1:36:11	uh you will get wider acceptance of the
[2056] 1:36:13	baptism than you will if chrismation is
[2057] 1:36:17	not done.
[2058] 1:36:18	Now, what is chrismation?
[2059] 1:36:20	Uh chrismation is when you put basically
[2060] 1:36:25	you take a dab of of of olive oil and
[2061] 1:36:27	you put the sign of the cross on the
[2062] 1:36:29	person's forehead. Okay? And that
[2063] 1:36:32	usually takes place
[2064] 1:36:33	after baptism.
[2065] 1:36:35	Okay?
[2066] 1:36:37	So,
[2067] 1:36:38	um
[2068] 1:36:42	um
[2069] 1:36:46	Cyril Bulgo said,
[2070] 1:36:49	"Augustine wrote that even heretical
[2071] 1:36:51	baptisms are valid." Now, when Augustine
[2072] 1:36:54	wrote that, he was talking about the
[2073] 1:36:56	Donatists.
[2074] 1:36:58	I wouldn't call the Donatists damnable
[2075] 1:37:01	heretics.
[2076] 1:37:02	Okay?
[2077] 1:37:04	Aberrant? Maybe.
[2078] 1:37:06	Heretics? No.
[2079] 1:37:08	I think I think Augustine was playing
[2080] 1:37:11	pretty loose with the idea of heresy.
[2081] 1:37:14	Okay?
[2082] 1:37:16	So, when you start playing loose with
[2083] 1:37:19	that, um things get pretty
[2084] 1:37:23	um
[2085] 1:37:24	pretty
[2086] 1:37:26	ooh
[2087] 1:37:28	um iffy.
[2088] 1:37:30	Iffy.
[2089] 1:37:31	Uh
[2090] 1:37:32	I would say, look, if if if you're
[2091] 1:37:36	um if you are actually from a sect that
[2092] 1:37:39	is actually heretical
[2093] 1:37:42	in the real sense of the term,
[2094] 1:37:45	the baptism cannot be valid.
[2095] 1:37:48	Because it's not done in the name of the
[2096] 1:37:52	proper triune
[2097] 1:37:53	deity.
[2098] 1:37:55	Okay?
[2099] 1:37:57	That basically there is a baptismal
[2100] 1:38:00	formula.
[2101] 1:38:01	And that baptism
[2102] 1:38:03	is intended to you're making a promise
[2103] 1:38:07	to obey and follow Jesus as Lord.
[2104] 1:38:13	So if your church is basically teaching
[2105] 1:38:17	Jesus is just a man.
[2106] 1:38:20	That cannot be a valid baptism.
[2107] 1:38:24	So
[2108] 1:38:28	um
[2109] 1:38:34	So anyway, that's what I would say to
[2110] 1:38:36	that. I don't think all baptisms are
[2111] 1:38:39	equally valid.
[2112] 1:38:42	I think you really do need
[2113] 1:38:46	um
[2114] 1:38:48	But that's only pertains to churches
[2115] 1:38:51	that are not
[2116] 1:38:53	um
[2117] 1:38:56	are not
[2118] 1:38:57	say within the scope of the Orthodox
[2119] 1:38:59	Christian faith. Other than that, you
[2120] 1:39:01	don't need to be rebaptized unless you
[2121] 1:39:03	want to join a church that insists on
[2122] 1:39:05	okay?
[2123] 1:39:06	But at the same time too, there are some
[2124] 1:39:08	churches that say
[2125] 1:39:10	rebaptism is a sin. I also don't think
[2126] 1:39:13	that's true.
[2127] 1:39:15	Like
[2128] 1:39:16	I remember the Lutheran Church Missouri
[2129] 1:39:18	Synod I think it was
[2130] 1:39:20	that used to say that rebaptism was a
[2131] 1:39:23	sin.
[2132] 1:39:24	I don't know.
[2133] 1:39:26	But uh
[2134] 1:39:28	I don't think it is. Honestly it isn't.
[2135] 1:39:31	It's It's It's not a sin any more than
[2136] 1:39:35	an old married couple renewing their
[2137] 1:39:37	vows.
[2138] 1:39:41	But that's the
[2139] 1:39:45	phenomenological.
[2140] 1:39:47	Yeah.
[2141] 1:39:48	So they think if
[2142] 1:39:50	you get this
[2143] 1:39:51	magic.
[2144] 1:39:53	So if you get re-baptized, you get the
[2145] 1:39:55	magic. Yeah. You're unsealing You're
[2146] 1:39:58	you're unsealing yourself. Yeah, that
[2147] 1:40:00	that idiotic position.
[2148] 1:40:03	You're taking the magic away, you know.
