[0] 0:00	[Music] foreign [Music]
[461] 51:55	I was afraid of this this is one thing I really really hate about all these scrolling softwares is they time out
[462] 52:06	yep foreign
[463] 52:14	will time out very fast unfortunately
[464] 52:23	Okay so
[465] 52:30	uh no I don't think so but
[466] 52:49	well we did say there was going to be technical problems tonight unfortunately I don't think there's going to be any
[467] 52:54	way to fix that uh most uh
[468] 53:00	most live streams do not get the number of Super chats we get or questions
[469] 53:05	though for us
[470] 53:18	you know we have sort of special needs here as far as that goes foreign
[471] 53:48	caught this before we lost any
[472] 54:22	so do please be patient we want to make sure we get everybody's question
[473] 54:42	okay
[474] 54:57	foreign
[475] 55:16	yeah we were it had truncated a lot of them
[476] 55:21	I'm gonna have to keep an eye on the others too because of this
[477] 55:33	yeah well I don't think we've we haven't lost any but I I know they'll eventually time out on YouTube also
[478] 55:41	that's the dangers if they time on YouTube
[479] 55:46	so I do have to take the moment to do the cut and paste here
[480] 55:58	you have very few uh live streams actually store up
[481] 56:06	um questions and that sort of thing okay okay I think we're caught up here but I'm gonna have to keep a close eye on
[482] 56:12	this um I've I've cut and paste up to Amir
[483] 56:18	eshafra's question on Isaiah 6 1. all right let's get back to the uh super
[484] 56:23	chats here uh Mr hbob for five dollars thank you very much for the Super Chat
[485] 56:29	any explanation from Mana heard some plants secrete sugar uh Crystals at dawn
[486] 56:35	thoughts on William prop's two-part commentary on Exodus uh
[487] 56:40	you know prop is a secular scholar I think he's a good secular scholar I think I agree
[488] 56:46	with some of his ideas I disagree with some of his ideas you know there's um you know I think some of his
[489] 56:52	ideas are kind of bad I think some of his ideas are fantastic you know like many scholars you know uh there's good
[490] 57:00	and bad in us all yeah you know there are people who think of my ideas are bad some of them are good
[491] 57:06	and I think that's that's sort of I think that's that's sort of the approach we all take when it comes to Serious
[492] 57:12	scholarship is that nobody has all the answers but you know would I recommend it no not
[493] 57:18	necessarily uh but then again if you're a serious scholar you're going
[494] 57:23	to read the read widely so I have used props commentary I don't
[495] 57:30	use it a lot but I have used it so that's that's sort of my thoughts on
[496] 57:35	Prop uh as far as Mana goes uh the whole Amana thing is is very debated
[497] 57:42	now uh there's all sorts of different theories for mana and nobody has the
[498] 57:47	answer part of it is that the ecosystem itself
[499] 57:53	has changed a lot since the Exodus since the late Bronze Age so the ecosystem as it is today is very
[500] 58:00	very different than the ecosystem of the late Bronze Age which was the Savannah Road today the Sinai is a desert
[501] 58:07	back in late Bronze Age it was a savannah still a lot of different life forms that
[502] 58:13	could have survived out in the Sinai during the time of late Bronze Age may
[503] 58:19	not may not exist today could there be some plant that secretes
[504] 58:24	sugars uh crystals are done yeah maybe but
[505] 58:32	I haven't heard of that per se I've heard of plants producing resin that sort of falls on the Falls but
[506] 58:40	but again the the thing with Mata is it appears on the
[507] 58:46	ground and it appears at dawn and then it's it's gone by noon it's
[508] 58:53	gone by noon if this was just something that produced sugar crystals
[509] 58:59	it wouldn't be gone by noon it would have hardened into crystals the crystals are already hard it wouldn't have gone
[510] 59:05	away so I wouldn't take that explanation now I think I know one sort of thing that
[511] 59:13	does basically pop up in the morning and can
[512] 59:18	burn off by noon which is fungi's basically mushrooms
[513] 59:24	you know there are species of mushrooms that you know in sort of the humidity of
[514] 59:30	the morning will pop up you know they'll produce their fruit and
[515] 59:36	then by say end day midday they've died off
[516] 59:41	completely completely possible in the mushroom world it's also true that mushrooms have a
[517] 59:49	huge variety of flavor as well you know they might you know you get
[518] 59:55	mushrooms that taste like meat like bread like sugar you know there's one
[519] 1:00:01	that tastes like honey so mushrooms do have the capacity to have a whole lot of different flavors
[520] 1:00:10	so I can see that there's a possibility that what you had say in the savannah of
[521] 1:00:16	the Sinai was a kind of mushroom that sort of sprung up in the morning had to be collected before it sort of
[522] 1:00:25	Faded by in the heat uh of noon so anyway that's sort of my view on this
[523] 1:00:30	is my theory on this but no one knows for sure so anyway thank you very much for the Super Chat
[524] 1:00:36	very very much appreciate it okay the next one here
[525] 1:00:43	is from Lion green for five dollars thank you very much for the Super Chat
[526] 1:00:48	where did Hannah get the idea of an anointed king before Israel had an established monarchy first Samuel 2 10.
[527] 1:00:56	all right Samuel 210.
[528] 1:01:04	2 verse 10. all right those who contend with the
[529] 1:01:09	Lord will be shattered against him he will Thunder in the heavens the Lord will judge the ends of the Earth and he
[530] 1:01:15	will give strength to his King and will exalt the Horn of his anointed
[531] 1:01:21	okay now Kings were always anointed that was
[532] 1:01:26	part of the uh say the process of investiture
[533] 1:01:32	being a king in the ancient near East and frankly this was not just restricted to Israeli Kings
[534] 1:01:40	but other kings too were also anointed is just one of those things that you did find and typically they were Anointed
[535] 1:01:46	with perfume so perfume incense that sort of thing
[536] 1:01:53	you do find say Egyptian kings also being anointed so it was a practice that wasn't
[537] 1:02:00	restricted to Israel so being that they were surrounded by say
[538] 1:02:09	Philistine and Canaanite Nations they would have easily have known that this was the practice for basically the 19
[539] 1:02:16	Kings is you basically anoint them with oil or perfume or you know therify them
[540] 1:02:22	basically um cover them with the smoke of incense
[541] 1:02:28	and that would serve to purify the king for the reception of the crown
[542] 1:02:34	so again common practice in the ancient near East and that's where she would have got it from is that everyone knew
[543] 1:02:42	that this is what you did to annoyed Kings and Priests priests were done I mean the investiture of priests
[544] 1:02:49	were often done in very similar ways than as the investor of Kings so sort of so the two practices of uh
[545] 1:02:58	basically consecrating a king or a priest for office involved
[546] 1:03:03	very very similar rituals so she would have been aware of this she would have easily been aware of this
[547] 1:03:09	so anyway thank you very much for the Super Chat I hope that helped uh very very much appreciate it
[548] 1:03:18	okay our next Super Chat here is oops
[549] 1:03:24	twice
[550] 1:03:29	one duplication here let me see if I can find the issue
[551] 1:03:36	okay uh from uh 499 Super Chat from Rorick who
[552] 1:03:45	asks what prompted modern egyptologists to change the spelling uh toughness to
[553] 1:03:52	the modern utmost okay a couple things uh one toughness
[554] 1:03:59	is basically based upon the Greek
[555] 1:04:05	um Greek transliteration is not very accurate it's not very accurate at all
[556] 1:04:11	and that Greek uh we get taught mess from a manitho
[557] 1:04:17	who basically takes the king's list and transliterates it into Greek
[558] 1:04:23	so there is a a whole lot of of issues here
[559] 1:04:30	with um the whole transliteration in fact
[560] 1:04:36	it's often times very very difficult to understand which king is being referred
[561] 1:04:41	to in the Greek because the Greek alphabet is not very good at
[562] 1:04:46	transliterating a lot of languages in the case of for example in Egyptian
[563] 1:04:53	you got 2DS two T's um two s's four h's
[564] 1:05:01	and three silent letters
[565] 1:05:06	Greek isn't totally incapable of capturing the phonemes of that language
[566] 1:05:15	and in fact it's it's the alphabet is so bad at it that when Greek letters are
[567] 1:05:22	finally used for the Egyptian language the cops have to introduce six
[568] 1:05:28	additional letters to sort of cover the inadequacies
[569] 1:05:34	so modern egyptologists would like to make the spelling more consistent with
[570] 1:05:41	its original Egyptian counterparts so in the case of tutmosis
[571] 1:05:48	there is um the original in in the Egyptian is
[572] 1:05:54	jehuri Mosa now most people are not going to recognize jehutimosa as tutmosis that most this is two top mass
[573] 1:06:02	is too in in culturated um in our society and in in the field
[574] 1:06:08	so this sort of did this compromise to be honest which was you
[575] 1:06:15	take the you change the U or the O that hard o with a u
[576] 1:06:22	because it's it's jahooty and replace that second Theta
[577] 1:06:30	with a a a t a dental t
[578] 1:06:36	so it's an attempt to try to make it more Egyptian
[579] 1:06:43	and you know actually to be honest I kind of prefer the modern version because as I don't think the Greek
[580] 1:06:48	version just really did it justice so anyway that's what prompted egyptologists to make that change is to
[581] 1:06:54	try to make it more consistent with ancient Egyptian even though they didn't couldn't do it
[582] 1:07:00	completely so Eddie thank you very much for the Super Chat very very much appreciate and I hope that explains the history of this
[583] 1:07:10	okay the next one here is from like oops we've already did that
[584] 1:07:15	one
[585] 1:07:22	see I didn't change that one either so let's go change that
[586] 1:07:32	[Music] um
[587] 1:07:39	oh looks like I copied the same one like three times
[588] 1:07:44	okay
[589] 1:07:50	next one here is from Andrew Goulet for twenty dollars thank
[590] 1:07:57	you very much the Super Chat when it comes to archaeologists who disagree with you on the Exodus dating
[591] 1:08:03	which are many like Scott's drippling and Titus caddy how good is their research on later
[592] 1:08:10	periods like the United monarchy I'll say this it gets better the closer
[593] 1:08:15	you get to the Christian era
[594] 1:08:21	I think say for example Candy's work on Christ's uh evidence for
[595] 1:08:28	Christ isn't horrible it's not horrible his work on on The
[596] 1:08:33	Exodus is atrocious it's atrocious and Scott Stripling is not much better
[597] 1:08:40	uh the United monarchy I think they're both a bit better
[598] 1:08:46	okay but Stripling ABR
[599] 1:08:54	still tend to want to massage the data to get the results they want and that's always going to be a problem with them
[600] 1:09:01	now in by the time they get to say the Christian era almost everyone agrees as
[601] 1:09:06	far as say within say conserve the Christian circles as to say the specifics of
[602] 1:09:14	of the Life of Christ so there's no incentive there for them to really you know distort much of anything
[603] 1:09:21	so I think at that point it's not bad it's not bad but the earlier you get the more
[604] 1:09:28	incentive it there is to sort of tweak the facts um ignore the evidence you know do
[605] 1:09:34	things that would just not be considered say sound you know archaeological
[606] 1:09:40	practice so you know it's going to depend it's really going to depend
[607] 1:09:46	um I think for example say the archaeological work that's strippling did at Shiloh I think you know he's he's
[608] 1:09:53	an excellent excellent field archaeologist he's a really really great field
[609] 1:09:58	archaeologist I mean I'll tip my hat off to Stripling for that his field archeology is excellent
[610] 1:10:05	his reports not so good um the way he interprets things not so
[611] 1:10:13	good then and they are materially different skills
[612] 1:10:18	the skill of gleaning data from the archeology is a completely different skill
[613] 1:10:24	then the process of digging up recovering and conserving
[614] 1:10:30	archaeological finds I think as far as that latter category goes stripling's
[615] 1:10:35	excellent he's an excellent field archaeologist he can organize a dig he very I mean
[616] 1:10:42	he's very good at organizing a dig he's very very good at organizing volunteers and getting them to do the work
[617] 1:10:49	he's very very good at getting his volunteers to pay the money it's a big thing in archeology
[618] 1:10:59	and it's like herding cats so you know he's got his strengths but
[619] 1:11:05	he's also got his weaknesses and those weaknesses are they are problematic
[620] 1:11:12	so but it is true that that The Closer you get to the present the better they're at
[621] 1:11:18	they are because they've got less vested in say you know their their
[622] 1:11:24	presuppositions here so anyway thank you very much for that really generous Super Chat very very
[623] 1:11:30	much appreciate it okay our next uh Super Chat here comes
[624] 1:11:38	from oh got some more drop off okay
[625] 1:11:44	so I'm gonna go back and I gotta go grab some more
[626] 1:11:51	all right damn there it is just a second here as I grab more
[627] 1:11:58	super chance here this is going to be kind of obnoxious
[628] 1:12:07	but at least there's less of them so
[629] 1:12:23	okay
[630] 1:13:19	foreign
[631] 1:13:38	copy pretty please
[632] 1:13:52	okay we're getting there
[633] 1:14:18	just a few more minutes here and then we'll be caught up on so we don't lose any of these precious super chats
[634] 1:14:27	yes I am I am catching up
[635] 1:14:38	okay yeah my cue right now only has three in
[636] 1:14:43	it so I know that this is It's timing out so essentially
[637] 1:15:02	I'm rushing here to catch everything
[638] 1:15:47	okay I'm caught up to one of Addison Weirs I'm just gonna I think what I'm gonna do
[639] 1:15:54	is I think I'm gonna just cut them all because I'm gonna otherwise I'm gonna
[640] 1:15:59	have to do this exercise again take them as they come in
[641] 1:16:15	uh Photoshop
[642] 1:16:23	well the problem is how would I access it
[643] 1:16:28	yeah I could do that we'll have to think of a way to do this um next Friday
[644] 1:16:35	so yeah because apparent this is not going to be a permanent solution obviously
[645] 1:16:41	um
[646] 1:16:57	um
[647] 1:17:09	okay I've got two more to do here and I'll be all cut up
[648] 1:17:31	yes yes that's the last one I'm doing right now then I'll be all caught up
[649] 1:17:37	all right okay
[650] 1:17:53	there we go all right caught up sorry about that again I did say we were having we could
[651] 1:18:00	have technical issues tonight and we did so uh
[652] 1:18:05	if we do get the opportunity to use that uh that new um social chat widget it will probably
[653] 1:18:13	be just for say maybe the last several non-super chats so keep that in mind that if you have it
[654] 1:18:19	on Super Chat you might want to save it to the end because otherwise it'll fall off
[655] 1:18:28	so Andrew ghouler for twenty dollars thank you very much to Super Chat do you think judges 520 indicates that
[656] 1:18:35	Deborah believe in the astrological power of stars to determine fate or outcomes well let's take a look
[657] 1:18:43	our Bible here judges 5 20.
[658] 1:18:51	judges five verse 20.
[659] 1:19:02	I will start verse 19. the kings came and fought they fought the kings of Canaan at tanak near the Waters of
[660] 1:19:09	megiddo they took no plunder in silver the Stars fought from heaven from the
[661] 1:19:16	courses they fought against Cicero the Torrance of the kishan swept them away
[662] 1:19:22	the ancient torrents the torrent kishan O my soul march on with strength okay
[663] 1:19:29	now the problem with this particular
[664] 1:19:35	reading and when you start dealing with things such
[665] 1:19:42	as stars in the Bible at least references to Stars is
[666] 1:19:49	they also can refer they're also no it's not just
[667] 1:19:54	they're not just saying that these are astrological powers in fact they're not saying that at all
[668] 1:20:01	normally now there are some references to astrology in the Bible like for example in the Book of Job it talks
[669] 1:20:06	about Orion okay but
[670] 1:20:12	the power the power of stars is more Angelic beings like for example
[671] 1:20:18	when it talks like for example when in Genesis 1 it talks where God created the
[672] 1:20:25	Sun and the Moon and all the stars and all the Heavenly hosts
[673] 1:20:31	they'll have any host here is the Heavenly Army okay so there's there's this always solution
[674] 1:20:37	when I talked when the Bible talks about stars to Angels spirits
[675] 1:20:44	basically uh a kind of spiritual warfare
[676] 1:20:50	and we see this again here in verse 20 where it says the Stars fought from
[677] 1:20:56	heaven so this is not a reference to astrology this is a
[678] 1:21:03	um a reference to the spirit world
[679] 1:21:10	that's what's being referred to here and you know as I say it can it can it
[680] 1:21:16	may be talking about Watchers or spiritual powers or darkness
[681] 1:21:22	in high places or angels or other kinds of Spiritual Beings but
[682] 1:21:29	it is a reference to that using the analogy of stars
[683] 1:21:35	so anyway thank you very much for the Super Chat very very much appreciate it
[684] 1:21:42	okay the next Super Chat here is also from Andrew guler for twenty dollars
[685] 1:21:48	thank you much this is Super Chat in second Samuel 12 20 uh 12 31 it says that David quote
[686] 1:21:57	brought out the people rabba and set them under saws sharp instruments and
[687] 1:22:03	axes does this refer to method of execution or forced labor okay
[688] 1:22:13	let's take a look at the text and find out
[689] 1:22:19	uh second Samuel 12 31.
[690] 1:22:37	okay and we'll go back a little bit
[691] 1:22:57	uh we'll go back to verse 29 and read the passage so David gathered all the people and
[692] 1:23:04	went to rabba fought against it and captured it then he took the crown of their King
[693] 1:23:10	from its head its weight was a talent of gold and it was a and it was a precious stone
[694] 1:23:18	and it was placed on David's head and he brought out the spoil of the city in great amounts
[695] 1:23:25	he also brought out the people who were in it and set them under Saw's sharp
[696] 1:23:31	iron instruments and or iron axes and made him pass through the Brick Kiln
[697] 1:23:39	um essentially uh brick making works
[698] 1:23:44	and thus he did to all the cities of the sons of Amen then David and all the people returned
[699] 1:23:52	to Jerusalem okay
[700] 1:23:57	so what's going on here uh
[701] 1:24:03	essentially what he did was he basically captured ammonite cities
[702] 1:24:12	and essentially you know kill the king and basically took the people
[703] 1:24:20	and put them forced labor this is essentially forced labor
[704] 1:24:25	so made them you saws sharp iron instruments iron axes
[705] 1:24:32	and made them build bricks so essentially
[706] 1:24:40	that is that sort of sort of the the context here is that that it's really
[707] 1:24:45	what we're really talking about here is that David is increasing his wealth
[708] 1:24:52	through the conquest of the cities of Ammon and part of that increase of wealth is
[709] 1:25:00	that those cities are being made to work and work for the purposes of the
[710] 1:25:07	Israelites particularly David's own uh pet projects
[711] 1:25:17	so I don't think this is referring to execution
[712] 1:25:22	um because if it was execution they would
[713] 1:25:27	they'd probably be a little more blunt about this
[714] 1:25:33	a bit more like being set under a bridle so that whole set under euphemism
[715] 1:25:41	is more along the lines of being oppressed
[716] 1:25:47	so he oppressed them under tools and equipment
[717] 1:25:53	and make them work through the Brick Kiln
[718] 1:25:59	so that's that's I think what's going on here is this is this is this is forced
[719] 1:26:04	labor and it's forced labor basically in exchange for him not killing them
[720] 1:26:11	so I think that's I think this is and this is not uncommon to be honest uh
[721] 1:26:16	suzerens did this all the time did this all the time you know a king would come capture you
[722] 1:26:24	know defeated a city that people would be brought out okay the people would be brought out
[723] 1:26:30	and we see for example in uh middle bronze Susan vassal treaties where you
[724] 1:26:37	have uh the king would win and then make the city sign a treaty
[725] 1:26:44	and then the people would be brought out of the city and passed between say
[726] 1:26:50	animals that have been sacrificed and cut in half and they pass through the
[727] 1:26:55	pieces as sort of a covenant sign that if they broke the treaty they'd end up like these animals
[728] 1:27:03	so but instead of of this is this is a kind of Susan treaty
[729] 1:27:09	but instead of of making him pass through the animals these consigning them to hard work and
[730] 1:27:16	making them pass through the Brick Kiln a symbol of Labor
[731] 1:27:23	so it's it's it's Soother and like it's very suser and like
[732] 1:27:28	but it's it's a little different he's not promising death he's promising
[733] 1:27:34	forced labor so you know
[734] 1:27:40	better than death okay but you know it is it it's a way of them paying the
[735] 1:27:48	Israelites so anyway thank you very much for the Super Chat I hope that helped and a very
[736] 1:27:56	interesting question okay the next uh Super Chat here is from
[737] 1:28:03	Andrew guler for twenty dollars thank you very much for that generous Super Chat
[738] 1:28:08	who do you think is the best candidate for Darius the Mead who becomes king of
[739] 1:28:13	Babylon in Daniel ooh the identity of various uh there is the
[740] 1:28:22	meat is is hotly contested we don't know exactly who he is and
[741] 1:28:29	we're going to be straight up with that we don't know who he is now there are there have been people
[742] 1:28:36	who've suggested that it's Darius the second there has been
[743] 1:28:43	um even like Donald Wiseman suggested that that Darius the mede was actually
[744] 1:28:48	uh Cyrus II the The Liberator of of the Israelites
[745] 1:28:55	in in Babylon so I don't have a firm opinion on this I I
[746] 1:29:02	don't think there's enough evidence here to really basically say one way or the other so unless I looked at this a lot closer
[747] 1:29:09	and find more evidence I'm gonna have to take a pass on this one because I'm just
[748] 1:29:15	not sure I'm just not sure I haven't done enough study on this to really come to a firm opinion on it
[749] 1:29:23	I know there's I know there's speculations out there and I know there's there's more than one competing view on this
[750] 1:29:29	so I'm just gonna have to leave it at that so when I thank you very much the Super Chat very very much appreciated
[751] 1:29:39	hey the next Super Chat here is again from Andrew gular for 20 thank
[752] 1:29:44	you very much for the Super Chat there are some ancient Jewish Legends which say that Solomon summoned demons
[753] 1:29:51	and use them to build his various building projects well
[754] 1:29:59	does this mean that the Jews didn't regard demons as absolute evil
[755] 1:30:04	uh no it doesn't mean that uh
[756] 1:30:10	it's more along the lines that they thought Solomon was so wise
[757] 1:30:17	and so proficient at the dark arts that he could
[758] 1:30:23	take an evil being and make him serve Solomon for Solomon's own
[759] 1:30:30	narcissistic tendencies okay
[760] 1:30:35	so it's it's definitely not they're they're definitely not thinking demons were evil
[761] 1:30:42	but what they thought was almost so wise and clever that he could
[762] 1:30:48	even make a demon obey his will so it's more along those lines
[763] 1:30:55	now of course uh Solomon did not have that ability and as far as we know we
[764] 1:31:00	have no good evidence that Solomon ever summoned a demon of any kind
[765] 1:31:07	but that's the thinking here the thinking here is that Solomon was so wise so
[766] 1:31:15	powerful so knowledgeable that he could even do this to the demons
[767] 1:31:21	so anyway thank you very much the Super Chat very very much appreciate it
[768] 1:31:26	excuse me
[769] 1:31:43	okay our next one here
[770] 1:31:50	is from uh okay I have to start freeze
[771] 1:32:04	okay our next uh Super Chat I need to change that size a little here
[772] 1:32:13	to get it all on the screen whoa
[773] 1:32:19	we're gonna move this down here so that it's easier to see
[774] 1:32:25	all right
[775] 1:32:37	uh the magic of uh magic software okay our next Super Chat here is from
[776] 1:32:43	trunks for five dollars Australia thank you very much for the Super Chat and he
[777] 1:32:48	writes I have some anxiety regarding believing the wrong doctrines of Christianity for example the wrong
[778] 1:32:55	Church the wrong view of atonement Etc what do I need to do all right
[779] 1:33:02	you need to essentially believe on you know that
[780] 1:33:08	Yahweh is Lord Yahweh is Lord and Jesus Christ is his only begotten
[781] 1:33:15	son who rose from the dead and this is boils down to this the
[782] 1:33:21	essentials of the Christian faith now many churches have the essentials of
[783] 1:33:27	the Christian faith now it would help if I knew what your
[784] 1:33:33	religious background was I could this is a very very vague question and
[785] 1:33:39	you know not all churches I mean there's there's sort of little peccadillos that every church has that's maybe wrong
[786] 1:33:47	but you know most churches will get things at least
[787] 1:33:52	most of the most of the Christian faith right now you have you I do have organizations that aren't Christian
[788] 1:33:59	okay they're their own thing okay they may look Christian but they're not Christian
[789] 1:34:06	if they affirm the six essential tenets of the Christian faith then they're
[790] 1:34:11	probably okay and those those tenants are say the trinity
[791] 1:34:18	uh the Virgin birth the
[792] 1:34:24	um sinless life uh vicarious atonement crucifixion resurrection of Jesus Christ
[793] 1:34:32	the second coming and salvation by grace through faith
[794] 1:34:37	if a church affirms those six doctrines it's
[795] 1:34:43	probably at least um has enough right in it that you can
[796] 1:34:50	come to to a saving faith in Jesus Christ okay
[797] 1:34:55	so I wouldn't worry too much about the
[798] 1:35:00	wrong church or the wrong view of atonement it's a atonement is by grace
[799] 1:35:07	it's by Grace atonement was done by Jesus Christ it's a finished work it's done it's
[800] 1:35:13	complete the gift of Salvation is given to you by grace
[801] 1:35:18	and all one needs to do is accept it accept Jesus Christ
[802] 1:35:24	as your lord and savior and believe he rose from the dead you should be saved
[803] 1:35:29	it's really really that simple okay
[804] 1:35:36	so unless I have more information from you here that's very very little more I
[805] 1:35:41	can say on this but that's probably the best we can do uh in a sort of a super
[806] 1:35:47	chat live stream
[807] 1:35:54	and as yeah my as my producer points out too we need to know a bit of your background
[808] 1:36:00	here to to know a little more about how to advise you anyway because we need to
[809] 1:36:06	know what your background is are you attending a congregation right now uh
[810] 1:36:11	where are you at with the Lord in general so that's a those are difficult questions to sort of do a back and forth
[811] 1:36:19	from and a live stream but as I said there's we on this channel
[812] 1:36:24	try to be denomination you know neutral yeah we have our various strong opinions
[813] 1:36:31	about every denomination we think there's good points strong points and weak points with every denomination
[814] 1:36:36	so we don't recommend a denomination we never do that we never have done that
[815] 1:36:42	and we never will do that okay because we welcome all Faith
[816] 1:36:47	communities to watch these these live streams but if you're interested in Christianity
[817] 1:36:55	you know any sort of normal mainstream Christian Church you you know has his
[818] 1:37:02	pluses and minuses but you know you can find a saving Faith through it so anyway that's the best we can answer
[819] 1:37:08	this question given the constraints we have here so anyway thank you very much for the Super Chat very much appreciate
[820] 1:37:14	and I hope that helped
[821] 1:37:19	the next one here
[822] 1:37:32	the next one here is from Billy ningan for twenty dollars thank you very much for the Super Chat
[823] 1:37:37	hello Dr folk well hello Billy in Benjamin Nunes Book quote non-semitic
[824] 1:37:42	loanwords in the Hebrew Bible page six he mentions that there are Scholars who argue that loanwords cannot be used to
[825] 1:37:49	date texts can this argument hold water not really
[826] 1:37:56	the fact is that you can date texts by
[827] 1:38:01	the vocabulary you can date text by gramatic grammatical structure we do it all the
[828] 1:38:09	time and the reason we do it all the time is because most of the copies that we have
[829] 1:38:15	of the text that we recover in archaeological context are later copies
[830] 1:38:20	and sometimes Millennia centuries or Millennia later than the originals
[831] 1:38:25	like we will find in the late period Egyptian texts that are clearly written in Middle Egyptian
[832] 1:38:32	well how do we know it's middle Egyptian we dated according to its grammar and vocabulary
[833] 1:38:39	so if we can date those texts by grammar and vocabulary
[834] 1:38:46	its stands to reason two that you can also um
[835] 1:38:51	you can also date parts of the Hebrew Bible by its lone words too or the exact same reasons
[836] 1:39:00	so I don't think the what the the argument holds a lot of water but with that said however
[837] 1:39:08	the utility of that dating is probably less than you would find in other texts
[838] 1:39:15	because the the pool of loanwords is smaller than the pool of General
[839] 1:39:21	vocabulary but what it does do is it provides a
[840] 1:39:30	um the loanwords provide a vocabulary
[841] 1:39:36	basically vocabulary artifacts they remain in the text as vocabulary
[842] 1:39:43	artifacts so if you do find words that can be dated
[843] 1:39:49	because it may be change in uh suffix going from one phase of a language to
[844] 1:39:54	another that can provide strong evidence for dating a text in general
[845] 1:40:02	so I would disagree with the with the argument but there's also limitations to
[846] 1:40:08	um to the extent that one can date in a loanword situation so anyway thank you very much for the
[847] 1:40:14	Super Chat very interesting question I hope that helped
[848] 1:40:36	okay uh Nick felstead for ten dollars Australian thank you very much for the Super Chat
[849] 1:40:41	hi Dr folk was there any Credence for the Jebel Allah site as the true Mount
[850] 1:40:46	Sinai or has this site been overhyped by Ron Wyatt and others if so what were
[851] 1:40:52	your main objections oh boy I have many here
[852] 1:40:57	hmm okay um
[853] 1:41:04	yes it was overhyped by Ron Wyatt and others uh very very over hyped
[854] 1:41:12	and I don't think there's any Credence at all for jibble a laws as the true Mount Sinai
[855] 1:41:18	first of all there's the biblical problem uh Exodus 3 1.
[856] 1:41:24	says that Moses went to Mount Horeb and that's basically where we do find they
[857] 1:41:34	um the
[858] 1:41:41	um the first reference to Mount Sinai now it's called Mount hore but Mount Hobart and Sinai all Scholars agree
[859] 1:41:46	that's the same same Mountain now
[860] 1:41:53	um Exodus 3 1 basically says that Moses traveled west of the Wilderness of
[861] 1:42:01	Midian to Mount Horeb well if he's traveling west to
[862] 1:42:08	Mount Horeb that we're west of that that that Wilderness of Midian he's in the
[863] 1:42:15	Sinai Peninsula there's there's no escaping that
[864] 1:42:20	there's also the geographical problems of say The Exodus route which is that the when the Israelites
[865] 1:42:30	leave uh believe Egypt they go from paramsis
[866] 1:42:35	through sukhoth and pith Thome through peep how he wrote and then they cross
[867] 1:42:42	the um the Sea of reeds okay
[868] 1:42:48	now Egyptian records tell us where all those locations are they're all in the
[869] 1:42:54	north uh West portion of the Sinai Peninsula they're a long long ways away from say
[870] 1:43:02	the nuiba crossing a long ways uh for example migdol you know when the
[871] 1:43:10	Israelites are against you know have their backs to the Sea of reeds you know they're trapped
[872] 1:43:16	between pihai wrote balsafon migdol and the sea
[873] 1:43:22	we know where mcdole is we've got we got reliefs of migdal the Egyptians have
[874] 1:43:27	have left us conveniently multiple reliefs of what migdo looked like and
[875] 1:43:33	it's a fortress and we know it's on the road of Horus in
[876] 1:43:38	the Northwest Sinai so we we even know where it is roughly I mean we haven't discovered the site but
[877] 1:43:44	we know where it is roughly because we have found other fortresses that are nearby to it
[878] 1:43:49	it had to be nearby the Lion's Den and it had to be nearby Charo so
[879] 1:43:55	and and even even Egyptian records you know Peg the
[880] 1:44:02	um geographical location of the Sea of rays between um p romsis and charu
[881] 1:44:08	so again all of that is in is in the is in the uh the the Northwest Sinai
[882] 1:44:16	there's also the fact too that the Nueva Crossing is very very deep
[883] 1:44:22	it's 800 meters at it's at its it's uh deepest
[884] 1:44:28	you know that's really deep and the problem is to
[885] 1:44:36	the text says that God sent a wind to drive the Waters apart
[886] 1:44:44	now there there are people who will try to make a supernatural case here basically
[887] 1:44:50	oh it's a miracle it's a miracle well okay setting of the wind is a miracle
[888] 1:44:56	but to produce a win that would drive apart Waters that are 800
[889] 1:45:02	um or 800 meters deep requires a wind that has a force of 3 000 kilometers an
[890] 1:45:11	hour there is no wind in this solar system maybe except on the Sun that is 3 000
[891] 1:45:18	kilometers an hour you don't even find wins that powerful in Jupiter
[892] 1:45:24	now this is crazy I mean this is this is this would this would require Miracle upon Miracle upon
[893] 1:45:31	Miracle upon Miracle to make that work furthermore I think the
[894] 1:45:38	the evidence that they have shown from say the Jebel um Outlaw site is in my
[895] 1:45:44	opinion not compelling this so-called altar site doesn't look like any Bronze Age altar I've ever seen
[896] 1:45:52	the split Rock's weird but you find a lot of rocks in the Sinai so I mean a lot of weird rocks in the cyanide so you
[897] 1:45:58	know that's the petroglyphs um
[898] 1:46:03	are problematic deeply deeply problematic
[899] 1:46:09	because the earliest records we have of that area have never no mention of
[900] 1:46:14	petroglyphs we only start seeing petroglyphs there after it becomes a uh say a Christian
[901] 1:46:23	tourist site in the 1970s that's our earliest recorded evidence of those
[902] 1:46:28	petroglyphs so there's there's some issues there
[903] 1:46:35	the there's really no evidence there of say
[904] 1:46:41	late bronze inhabitation it's it's it's problematic it's a really
[905] 1:46:46	problematic site in in a lot of ways and moreover to the sort of the
[906] 1:46:53	contention that it's a volcano is complete bunk it's not a volcano it's not a volcano at all
[907] 1:46:59	there hasn't been volcanic activity in that area since the
[908] 1:47:04	um the um uh before basically before the Neolithic
