[0] 1:48	Heat.
[1069] 56:13	[laughter]
[1070] 56:17	you know, it just you disagreements on
[1071] 56:21	on doctrines or beliefs don't negate
[1072] 56:25	the overall structure. It just doesn't
[1073] 56:27	do that's not the way it works.
[1074] 56:34	Oh boy. [laughter]
[1075] 56:38	Crazy. Just crazy.
[1076] 56:41	But you do get people trying to make
[1077] 56:42	these weird arguments. I mean, look,
[1078] 56:45	take a dude, go back to school, take a
[1079] 56:49	logic course, and come back with better
[1080] 56:51	arguments.
[1081] 56:57	Oh boy.
[1082] 56:59	All right. I hope that helped Baron and
[1083] 57:01	uh Vaughn. Uh
[1084] 57:03	but yeah, I just it's just this is just
[1085] 57:06	this isn't a serious argument.
[1086] 57:12	I think skeptics are wrong, thus no
[1087] 57:14	skeptics.
[1088] 57:16	>> There you go.
[1089] 57:17	>> I like that.
[1090] 57:18	>> There's a disagreement between skeptics
[1091] 57:20	being right and skeptics be wrong.
[1092] 57:22	Therefore, there's no skeptics.
[1093] 57:27	>> [laughter]
[1094] 57:35	>> Ah, good times. Good times.
[1095] 57:50	AJ Higgins. T as in ETSs.
[1096] 57:55	It's the T in in ETSs. Yeah, it's the
[1097] 57:58	Evangelical Tea Society.
[1098] 58:02	[laughter]
[1099] 58:03	>> Yeah, that could be
[1100] 58:05	>> that could be a heck of a lot of fun.
[1101] 58:25	Uh, Harry Stark asks, "How does David
[1102] 58:27	deal with the issue of global warming?"
[1103] 58:30	Um,
[1104] 58:32	I wear less sunscreen now.
[1105] 58:36	I wear less heavy coats. Less heavy
[1106] 58:39	coats.
[1107] 58:46	Look, I mean I I have my my view on
[1108] 58:50	global warming is there is global
[1109] 58:52	warming. Is it necessarily harmful?
[1110] 58:57	Um
[1111] 59:00	yeah, what happened to global cooling?
[1112] 59:01	Yeah, that was a thing too in the 70s.
[1113] 59:03	Yeah, people don't remember that.
[1114] 59:07	Um,
[1115] 59:09	yeah. Uh, Andrew Graham says, "What
[1116] 59:11	happened to global cooling?" Global
[1117] 59:13	cooling was a huge concern in the 1970s.
[1118] 59:16	There were people who were really
[1119] 59:18	concerned about global cooling in the
[1120] 59:19	1970s.
[1121] 59:21	Um, now we're concerned about global
[1122] 59:23	warming. There's always been
[1123] 59:27	there has been, at least for the last
[1124] 59:28	50, 60 years, uh, hysteria over
[1125] 59:33	um, global temperature flux. But we do
[1126] 59:36	know that the even in the last 2,000
[1127] 59:38	years, we can go back to even the
[1128] 59:40	Neolithic period. Let's go back to the
[1129] 59:42	Neolithic period where there was a lot
[1130] 59:43	of a lot of flux in in climate,
[1131] 59:49	you know, during during the uh uh old
[1132] 59:52	kingdom of Egypt. There was still still
[1133] 59:55	savannah in the Sahara Desert.
[1134] 59:58	You know, Sahara desert today is all all
[1135] 1:00:00	desert. Well, you know what? Now it's
[1136] 1:00:03	starting to to rain over again. Sahara
[1137] 1:00:06	is going green.
[1138] 1:00:08	Sahara is going green.
[1139] 1:00:11	So if that starts going green, then
[1140] 1:00:14	Sinai is going to go green again, too.
[1141] 1:00:18	So um
[1142] 1:00:20	we are starting to see the pendulum
[1143] 1:00:22	again swing the other way.
[1144] 1:00:26	So while we were panicking about global
[1145] 1:00:28	warming, uh global wet trends are
[1146] 1:00:31	starting to move more towards um say the
[1147] 1:00:34	cooling aspect.
[1148] 1:00:36	So yeah, I guess Langu says the green
[1149] 1:00:40	Sahara is coming back. It is. Yeah,
[1150] 1:00:43	people don't realize um the Sahara used
[1151] 1:00:47	to have lakes. There used to be big
[1152] 1:00:50	lakes in the Sahara and those are
[1153] 1:00:52	starting to come back.
[1154] 1:00:54	So,
[1155] 1:00:59	um, you know, the Elizabethan period was
[1156] 1:01:03	a warm period. Why do you think they had
[1157] 1:01:05	all those those those those fancy
[1158] 1:01:08	clothes with detachable layers and and
[1159] 1:01:10	sleeves? The sleeves on Elizabeth and
[1160] 1:01:13	garments were detachable. Why? Got too
[1161] 1:01:15	hot.
[1162] 1:01:18	>> Portrait.
[1163] 1:01:20	>> Yeah. All those portraits that where
[1164] 1:01:22	where they were where these they're in
[1165] 1:01:23	these these elaborate gowns, those are
[1166] 1:01:25	all in winter.
[1167] 1:01:27	Those were winter portraits
[1168] 1:01:31	cuz summer was dang hot.
[1169] 1:01:36	So, um
[1170] 1:01:40	so yeah, absolutely. Um you know, you
[1171] 1:01:44	know, the uh what they call the dark
[1172] 1:01:46	ages was was pretty cold and wet. It's
[1173] 1:01:50	pretty cold and wet, but then you get to
[1174] 1:01:52	the Elizabethan period. Really warm and
[1175] 1:01:54	balmy.
[1176] 1:01:56	Yeah. During the summer,
[1177] 1:01:59	>> well, winter was not still was was
[1178] 1:02:01	warmer than on average.
[1179] 1:02:04	A lot warmer.
[1180] 1:02:08	And we did have a warming trend for a
[1181] 1:02:10	while.
[1182] 1:02:12	And to be honest, I've kind of enjoyed
[1183] 1:02:14	it in Vancouver here because I'd rather
[1184] 1:02:16	see palm trees outside than than five
[1185] 1:02:19	feet of snow.
[1186] 1:02:21	Okay? You know, when I was a kid in
[1187] 1:02:22	Vancouver, it rained 20 days a month. We
[1188] 1:02:26	got three foot uh three foot piles of
[1189] 1:02:29	snow, 3 foot drops of snow. Now, I
[1190] 1:02:33	haven't seen a drop of snow that's three
[1191] 1:02:35	feet tall
[1192] 1:02:38	in the last decade.
[1193] 1:02:42	Yeah, the lawn barely turns white.
[1194] 1:02:46	Um, we have palm trees now growing
[1195] 1:02:48	outside. Palm trees never used to grow
[1196] 1:02:51	in Vancouver.
[1197] 1:02:56	So, it's like, okay,
[1198] 1:02:58	uh, global warming is just one of those
[1199] 1:03:00	things where there's winners and losers.
[1200] 1:03:02	You know, Canada has now an extended
[1201] 1:03:05	growing season. Canada's a winner when
[1202] 1:03:07	it comes to global warming warming.
[1203] 1:03:10	other countries I can understand not so
[1204] 1:03:12	much but at the same time too it also
[1205] 1:03:17	balances out another way and we're now
[1206] 1:03:18	getting the green Sahara back so
[1207] 1:03:24	so um
[1208] 1:03:31	>> well maybe but
[1209] 1:03:38	yeah weather shifts I mean it's
[1210] 1:03:40	one of those things.
[1211] 1:03:44	>> Yeah.
[1212] 1:03:47	And frankly, a good volcanic eruption
[1213] 1:03:50	will do more to change the weather
[1214] 1:03:54	than
[1215] 1:03:55	most of the pollution that man does.
[1216] 1:04:00	That's what we have to understand that
[1217] 1:04:03	one good
[1218] 1:04:06	major volcanic eruption
[1219] 1:04:09	will will
[1220] 1:04:12	blacken out the sky for years.
[1221] 1:04:16	Um what was it? Uh when Crakatoa blew,
[1222] 1:04:21	you had these colorful sunsets
[1223] 1:04:25	for 7 years after.
[1224] 1:04:29	Okay. So,
[1225] 1:04:32	you know, there was just a recently just
[1226] 1:04:33	I think a major eruption in Japan. You
[1227] 1:04:36	know, you know,
[1228] 1:04:39	volcanoes just spew the equivalent of
[1229] 1:04:43	say say something like 50 times the
[1230] 1:04:46	pollution of of all of mankind.
[1231] 1:04:51	So,
[1232] 1:04:54	Mama says volcanic winter is real. It's
[1233] 1:04:57	a no bueno. Yeah, it's a no bueno. I
[1234] 1:04:59	will get you. Absolutely agree with
[1235] 1:05:01	that.
[1236] 1:05:03	But yeah, that will do more that will do
[1237] 1:05:05	more to to mess up a a a your climate
[1238] 1:05:11	than say
[1239] 1:05:14	say um exhaust from uh from carbon
[1240] 1:05:16	emissions.
[1241] 1:05:21	So, and you can't predict that, you
[1242] 1:05:24	can't prevent it. you know, Earth's
[1243] 1:05:28	tectonic plates will do what they do.
[1244] 1:05:31	So,
[1245] 1:05:35	okay. So, let's move on. The next one
[1246] 1:05:36	here.
[1247] 1:05:38	Hey, Jack. Good to see you.
[1248] 1:05:50	Okay.
[1249] 1:05:52	Next one here.
[1250] 1:06:06	Dark plate asks, "Has anyone requested
[1251] 1:06:08	you to popcorn me?" Nope.
[1252] 1:06:11	Only you have.
[1253] 1:06:13	We don't take self requests on popcorn
[1254] 1:06:15	reviews.
[1255] 1:06:22	We do get a lot of self- requests for
[1256] 1:06:24	popcorn reviews. We get people asking us
[1257] 1:06:27	to popcorn review them.
[1258] 1:06:31	>> Yeah, I don't get it either. Well, I
[1259] 1:06:33	mean, I I I get what it is. It's
[1260] 1:06:37	>> publicity.
[1261] 1:06:38	>> Yeah. Any publicity is good publicity.
[1262] 1:06:49	>> [laughter]
[1263] 1:07:07	>> Okay,
[1264] 1:07:12	[clears throat]
[1265] 1:07:13	show Kramer vids. Uh yeah, that guy
[1266] 1:07:16	can't just can't stay off my radar.
[1267] 1:07:19	Um
[1268] 1:07:21	he can just, you know, that guy keeps
[1269] 1:07:24	saying such loony stuff. It's just like,
[1270] 1:07:26	oh my gosh, how do I how do I keep up
[1271] 1:07:28	with him?
[1272] 1:07:34	I was any video by Kramer is going to be
[1273] 1:07:36	a doozy. Well, one on on the Marles was
[1274] 1:07:39	certainly awful.
[1275] 1:07:43	So much cherry-picking. So little time.
[1276] 1:07:53	Okay, next one.
[1277] 1:08:04	Okay, here we go. Uh, Logan the Legend
[1278] 1:08:07	from 999. Thanks for the super chat. I'm
[1279] 1:08:10	having trouble with Exodus 4:21.
[1280] 1:08:13	Is Pharaoh personally responsible for
[1281] 1:08:15	actions if he had no choice but to
[1282] 1:08:18	rebel? Because it was Yahweh himself who
[1283] 1:08:20	hardened Harrow's heart. Why would God
[1284] 1:08:22	do this? Okay, let's be
[1285] 1:08:27	it doesn't begin at Exodus 4.
[1286] 1:08:31	Okay, so I'll pull up the word hardened
[1287] 1:08:34	here.
[1288] 1:08:39	say it thinks it does.
[1289] 1:08:51	Okay.
[1290] 1:08:54	So, um you know, God has say basically
[1291] 1:08:58	establishes his plan in Exodus 4:21, but
[1292] 1:09:01	that's really not where the hardening
[1293] 1:09:03	begins. Okay.
[1294] 1:09:05	Now in Exodus 4, God is explaining his
[1295] 1:09:08	plan to Moses and he says, 'When you go
[1296] 1:09:11	back to Egypt and you see that you
[1297] 1:09:13	perform before Pharaoh all the wonders
[1298] 1:09:15	which I have put in your power, but I
[1299] 1:09:18	will harden his heart so that he will
[1300] 1:09:20	not let the people go. Okay, but
[1301] 1:09:24	there's a there's a prov a caveat here.
[1302] 1:09:28	Okay, now where is all of my heart?
[1303] 1:09:31	Listen to this group again. Again,
[1304] 1:09:48	seven here is where the Lord says to
[1305] 1:09:50	Moses, "See, I will make you as a god to
[1306] 1:09:51	Pharaoh."
[1307] 1:09:54	Make you god to Pharaoh. That as is not
[1308] 1:09:56	in the text. Make you God to Pharaoh,
[1309] 1:09:59	and your brother Aaron shall be your
[1310] 1:10:00	prophet. You shall speak all that I
[1311] 1:10:02	command, and your brother Aaron shall
[1312] 1:10:04	speak to Pharaoh, and he lets his sons
[1313] 1:10:06	of Israel go out of the land. But I will
[1314] 1:10:09	harden Pharaoh's heart that I may
[1315] 1:10:12	multiply the signs of my wonders in the
[1316] 1:10:14	land, but Pharaoh will not listen to you
[1317] 1:10:18	and so on. Okay, so we got that.
[1318] 1:10:25	Okay, now this is the first part where
[1319] 1:10:28	there's a hardening believe.
[1320] 1:10:34	Okay, actually sorry 722 is the first
[1321] 1:10:37	one here. Okay, so the the the Niles
[1322] 1:10:41	turn to blood, all the fish die, etc.
[1323] 1:10:47	But when the verse 22, when the
[1324] 1:10:49	magicians of Pharaoh did the same with
[1325] 1:10:51	their secret arts and Pharaoh's heart
[1326] 1:10:53	was hardened and he did not listen to
[1327] 1:10:56	them as the Lord had said. Now, this is
[1328] 1:11:00	not at this point God hardening
[1329] 1:11:02	Pharaoh's heart. This is Pharaoh
[1330] 1:11:05	hardening his heart.
[1331] 1:11:07	So, this is not being attributed to God
[1332] 1:11:09	hardening his heart. This is Pharaoh
[1333] 1:11:12	choosing to harden his heart. and he did
[1334] 1:11:15	not listen to them. Okay,
[1335] 1:11:18	so that's the first real incident here
[1336] 1:11:21	of the hardening of of Pharaoh's heart.
[1337] 1:11:24	Okay,
[1338] 1:11:27	then we get verse 18.
[1339] 1:11:30	But when Pharaoh saw that there was
[1340] 1:11:32	relief, okay, so now we have we have uh
[1341] 1:11:35	the plague of the frogs. That's the next
[1342] 1:11:37	plague. Verse 81 15. But when Pharaoh
[1343] 1:11:40	saw that there was relief, he, who's the
[1344] 1:11:44	he? Pharaoh,
[1345] 1:11:47	hardened his heart and did not listen to
[1346] 1:11:49	them as the Lord had said.
[1347] 1:11:54	>> Yeah. Once once it starts being a stops
[1348] 1:11:57	being a problem, Pharaoh flips back to
[1349] 1:12:00	hardening his heart and not listening.
[1350] 1:12:04	So,
[1351] 1:12:05	we have the first case in in 7:22 where
[1352] 1:12:09	his heart was hardened in the passive.
[1353] 1:12:11	We're not sure if if it's God or Pharaoh
[1354] 1:12:14	hardening his heart. That's sort of left
[1355] 1:12:15	up in the air. But 8:15, it's very clear
[1356] 1:12:19	that Pharaoh is hardening his own heart.
[1357] 1:12:24	Camel leopard. Ah, classic Pharaoh.
[1358] 1:12:29	Yeah, I guess.
[1359] 1:12:33	Then 8:19 Then the magician said to
[1360] 1:12:35	Pharaoh, "This is the finger of God."
[1361] 1:12:38	But Pharaoh's heart was hardened, and he
[1362] 1:12:40	did not listen to them.
[1363] 1:12:47	So, uh, then we get to 8:32
[1364] 1:12:52	again, uh, we get down to the the the
[1365] 1:12:55	swarms of insects.
[1366] 1:12:58	8:32. But Pharaoh hardened his heart
[1367] 1:13:01	this time also.
[1368] 1:13:09	Okay. So, Pharaoh hardens his heart. He
[1369] 1:13:13	hardens his heart again. He hardens his
[1370] 1:13:15	heart again.
[1371] 1:13:17	Seeing a pattern here.
[1372] 1:13:21	And then finally get to verse 912.
[1373] 1:13:26	And this time after three times, Pharaoh
[1374] 1:13:30	hardens his heart.
[1375] 1:13:33	Lord hardened Pharaoh's heart and he did
[1376] 1:13:36	not listen to them just as the Lord had
[1377] 1:13:38	spoken to Moses. Okay?
[1378] 1:13:42	So
[1379] 1:13:44	he had a choice.
[1380] 1:13:48	So just because the Lord hardened his
[1381] 1:13:50	heart did not mean Pharaoh didn't have a
[1382] 1:13:52	choice. He had several choices.
[1383] 1:13:56	He had several times he could have have
[1384] 1:13:59	changed the direction of this. Okay.
[1385] 1:14:03	So,
[1386] 1:14:06	he had a choice. He had three choices at
[1387] 1:14:10	least to to say, "Okay, I I I'll soften
[1388] 1:14:15	my heart here." But he didn't.
[1389] 1:14:19	So, his personal autonomy was respected.
[1390] 1:14:23	And basically, okay, after this repeated
[1391] 1:14:26	hardening of his own heart, God said,
[1392] 1:14:29	okay, this is the direction you're going
[1393] 1:14:32	to push it further. You've already made
[1394] 1:14:34	the choice. You've made the election to
[1395] 1:14:38	do this three times.
[1396] 1:14:40	Now, you're going to live it. You've
[1397] 1:14:43	you've you've slipped into that bed.
[1398] 1:14:44	Now, you're going to stay there.
[1399] 1:14:48	So,
[1400] 1:14:50	it wasn't that that Pharaoh
[1401] 1:14:54	made uh had no choice in this. He had
[1402] 1:14:57	exercised choice three times.
[1403] 1:15:03	Just God just said, "Okay, this is what
[1404] 1:15:05	you're going to do. Going to keep
[1405] 1:15:08	pushing you along this path and now
[1406] 1:15:11	you're going to have to live by your
[1407] 1:15:12	choices."
[1408] 1:15:14	So,
[1409] 1:15:20	so um why would God do this? So that his
[1410] 1:15:23	glory would be manifest. That's the
[1411] 1:15:25	reason why he did it. To basically show
[1412] 1:15:29	the Israelites that he is the Lord.
[1413] 1:15:32	So
[1414] 1:15:34	that's why he did that. So now that
[1415] 1:15:36	Pharaoh became incalcitrant, things
[1416] 1:15:39	would get so bad that he would have
[1417] 1:15:43	essentially no choice but to let them go
[1418] 1:15:48	because it could only get increasingly
[1419] 1:15:50	worse. And the powerless of Pharaoh in
[1420] 1:15:53	this situation was made manifest. And
[1421] 1:15:56	the harder his heart became,
[1422] 1:15:59	the more entrenched he was in that that
[1423] 1:16:01	way of thinking,
[1424] 1:16:03	the more catastrophe was was was piled
[1425] 1:16:06	on. And eventually it created a crucible
[1426] 1:16:09	where he would have to let them go. So
[1427] 1:16:15	yeah,
[1428] 1:16:17	MVmonson says, "For this cause I have
[1429] 1:16:19	raised you up." Exactly. Yeah. thumb.
[1430] 1:16:23	The potter makes both the the pot for
[1431] 1:16:26	common use and the uh pot for special
[1432] 1:16:28	use. They're both created by the
[1433] 1:16:31	creator.
[1434] 1:16:32	Some are created for mundane things.
[1435] 1:16:34	Some are created for for glory.
[1436] 1:16:38	And you can't blame the potter for that.
[1437] 1:16:41	So
[1438] 1:16:43	that's the sovereignty of God at work
[1439] 1:16:45	here.
[1440] 1:16:51	So, I hope that helps. Thank you very
[1441] 1:16:53	much for the super chat. Very much
[1442] 1:16:55	appreciated.
[1443] 1:17:01	And next one here,
[1444] 1:17:04	I'm a linguist for $5. Thank you very
[1445] 1:17:06	much for the super chat. I just wanted
[1446] 1:17:09	to support the channel. Well, thank you
[1447] 1:17:10	very much. We appreciate that. I'm going
[1448] 1:17:13	to Denver next year for ETSs SPL. Well,
[1449] 1:17:16	I will see you at ETSs. I will not be
[1450] 1:17:18	seeing you at SPL since I'm not allowed
[1451] 1:17:20	there. [laughter]
[1452] 1:17:28	So,
[1453] 1:17:35	uh, okay. So, Logan asks, um, so I'm
[1454] 1:17:38	just just so I'm understanding, the Lord
[1455] 1:17:40	did harden the heart. Yes, after he had
[1456] 1:17:42	already hardened his own. It's kind of
[1457] 1:17:45	like this, you know.
[1458] 1:17:47	Um,
[1459] 1:17:49	it's like you start stealing cars. You
[1460] 1:17:52	have a choice whether or not to steal a
[1461] 1:17:53	car. You keep stealing cars and they get
[1462] 1:17:57	into the habit of stealing cars. Now you
[1463] 1:18:00	keep stealing cars and then you
[1464] 1:18:01	eventually get caught.
[1465] 1:18:04	Did you have to keep stealing cars? No.
[1466] 1:18:07	But it became a habit.
[1467] 1:18:11	And
[1468] 1:18:13	Pharaoh had the choice to harden his
[1469] 1:18:14	heart and then it became a habit.
[1470] 1:18:17	So yeah,
[1471] 1:18:20	what about redemption? Redemption is
[1472] 1:18:22	always possible, but there also has to
[1473] 1:18:25	be repentance.
[1474] 1:18:28	So without repentance, there's not much
[1475] 1:18:29	redemption available.
[1476] 1:18:33	Uh Camelart says, "Sounds like God
[1477] 1:18:34	hadn't over to his inclinations." Yeah,
[1478] 1:18:36	that's exactly what he did. That's
[1479] 1:18:39	exactly what he did.
[1480] 1:18:49	Oh,
[1481] 1:18:52	>> yeah.
[1482] 1:18:52	>> God.
[1483] 1:18:56	>> Yeah. It's uh Mr. Producer said it's
[1484] 1:18:59	like the game people sometimes play with
[1485] 1:19:01	with God of say, you know, I'm going to
[1486] 1:19:03	keep sinning because God keeps
[1487] 1:19:05	forgiving.
[1488] 1:19:07	Sometimes God's patience comes to an end
[1489] 1:19:10	and says, "Okay, you'll now have to live
[1490] 1:19:12	with the consequences of those sins."
[1491] 1:19:16	You know, God will not protect you from
[1492] 1:19:17	the consequences of your sins. You know,
[1493] 1:19:20	he might he might give you grace in the
[1494] 1:19:23	midst of your sins, but if you willfully
[1495] 1:19:27	enter into a pattern of sin, yeah,
[1496] 1:19:30	that's going to have consequences.
[1497] 1:19:33	And you know that's really it's you know
[1498] 1:19:37	sin has consequences
[1499] 1:19:40	and this was true pharaoh and it's true
[1500] 1:19:42	for us too.
[1501] 1:19:47	Okay.
[1502] 1:19:53	So yeah uh I am going to be at Denver
[1503] 1:19:55	next year. I will be at ETS. I will not
[1504] 1:19:57	be at SPL since I'm banned there for
[1505] 1:19:59	life.
[1506] 1:20:00	[laughter]
[1507] 1:20:02	So, good times. I had a a buddy a buddy
[1508] 1:20:06	at uh um
[1509] 1:20:10	uh Azor says I should put start putting
[1510] 1:20:12	that on my business cards. Banned from
[1511] 1:20:14	SVL for life.
[1512] 1:20:18	[laughter]
[1513] 1:20:19	Crimly trespassed from SPL.
[1514] 1:20:23	[laughter]
[1515] 1:20:25	Oh, yeah.
[1516] 1:20:29	Uh, CPM versus DOS. You're banned for
[1517] 1:20:31	life. Oh, yeah. I was banned for life
[1518] 1:20:34	from SPL and criminally trespassed.
[1519] 1:20:37	So, I can't show up at an SPL conference
[1520] 1:20:41	without being arrested.
[1521] 1:20:49	Milo Motors, they still haven't fixed
[1522] 1:20:51	that and they never will. They never
[1523] 1:20:53	intend to. They just want this all to go
[1524] 1:20:55	away now. now that it's all come out
[1525] 1:20:57	that it's a hoax and
[1526] 1:21:01	and it was malicious slander. Uh yeah,
[1527] 1:21:04	they just they just don't want to don't
[1528] 1:21:06	don't want to deal with it.
[1529] 1:21:10	Uh panel, you didn't go to Azor. I I
[1530] 1:21:13	went to Azor. I went to Azor this year.
[1531] 1:21:15	ATS and Azor were in the same city uh
[1532] 1:21:17	this year, so I went to ATS and Azor. I
[1533] 1:21:20	have no problem with Azor. I'm fine with
[1534] 1:21:22	Azor.
[1535] 1:21:25	Um
[1536] 1:21:26	but um next year Azor is going to be in
[1537] 1:21:30	Chicago, ETSS is going to be in Denver.
[1538] 1:21:33	SPL is going to be in Denver. So I'm
[1539] 1:21:36	going to ETS, but I'm not going to SPL
[1540] 1:21:39	for obvious reasons.
[1541] 1:21:46	Jeez. I'll post this, but I will not
[1542] 1:21:49	repeat it. Okay, you can read that for
[1543] 1:21:52	yourself.
[1544] 1:21:59	AJ Higgins, is SPL not a Christian
[1545] 1:22:01	institution? It's not a Christian
[1546] 1:22:03	institution.
[1547] 1:22:05	It hasn't been for years.
[1548] 1:22:23	I don't know if David Wood's banned from
[1549] 1:22:25	SPL.
[1550] 1:22:27	>> Be interesting.
[1551] 1:22:28	>> It would be interesting to find a get a
[1552] 1:22:30	list of who's been a lifetime banned
[1553] 1:22:32	from SPL.
[1554] 1:22:36	>> Uh SPL for you those who don't know is
[1555] 1:22:38	the Society for Biblical Literature.
[1556] 1:22:41	It's the largest theological society in
[1557] 1:22:44	the world.
[1558] 1:22:47	Um, it's incredibly woke.
[1559] 1:22:50	Incredibly woke.
[1560] 1:22:57	Oh, yeah. And you can tell when ETSs and
[1561] 1:22:59	SPL are held in the same city.
[1562] 1:23:06	>> Yeah. You don't know if you're showing
[1563] 1:23:08	up at a theological convention or a
[1564] 1:23:10	pride parade.
[1565] 1:23:16	What's
[1566] 1:23:19	okay? So, moving on.
[1567] 1:23:30	Next one.
[1568] 1:23:42	See here.
[1569] 1:23:57	breaking. Dr. Faulk condones triggering
[1570] 1:24:00	volcanic eruptions to counter global
[1571] 1:24:02	warming.
[1572] 1:24:05	Well, that would be some power. I mean,
[1573] 1:24:06	that then that would make me a super
[1574] 1:24:08	villain. I I didn't get into that.
[1575] 1:24:10	[laughter]
[1576] 1:24:19	Okay. Uh AJ Higgins, uh composer for
[1577] 1:24:21	photos. Thank you for the super chat. In
[1578] 1:24:24	my own field, I take interest in primary
[1579] 1:24:26	source documents. Okay. Yeah, that's
[1580] 1:24:28	that's cool. Uh Egyptology is a primary
[1581] 1:24:30	source discipline. So for for in my I
[1582] 1:24:33	totally relate to that. How are these
[1583] 1:24:36	things archived and studied in ancient
[1584] 1:24:38	Neareastern studies? For example, the
[1585] 1:24:40	Mar letters. Okay. Um
[1586] 1:24:43	in the case of say
[1587] 1:24:46	um archiving and studying of of primary
[1588] 1:24:49	sources in the ancient near east, these
[1589] 1:24:52	things are typically held at
[1590] 1:24:53	institutions either museums or
[1591] 1:24:56	universities.
[1592] 1:24:58	um
[1593] 1:25:00	pen uh the University of Pennsylvania
[1594] 1:25:02	apparently has a very very large kaoform
[1595] 1:25:05	tablet collection and it's held in these
[1596] 1:25:09	sort of these library drawers where you
[1597] 1:25:12	pull them out and there's a little
[1598] 1:25:14	trays.
[1599] 1:25:16	Yes. Okay. Mrs. Producer is snickering
[1600] 1:25:19	because she knows the story.
[1601] 1:25:23	Um this is a story I heard from Barry
[1602] 1:25:25	Bitesel. Okay. His story happened to him
[1603] 1:25:29	as a grad student.
[1604] 1:25:33	And um
[1605] 1:25:35	he was he was he was at the University
[1606] 1:25:37	of Pennsylvania in one of these archives
[1607] 1:25:40	uh where they had these Caner phone
[1608] 1:25:41	tablets and he was down in the basement
[1609] 1:25:44	with a buddy
[1610] 1:25:46	and he pulls out the drawer and he sees
[1611] 1:25:50	a tablet and it's bright orange. Now,
[1612] 1:25:53	normally um um kunea form tablets. Let
[1613] 1:25:59	me see if I can pull out my kunea form
[1614] 1:26:03	um tablet here or my practice clay. If I
[1615] 1:26:07	can find it here. Probably can't find it
[1616] 1:26:09	in time, but
[1617] 1:26:14	all right. I can't really find it. But
[1618] 1:26:16	it's aboutform tablets are normally
[1619] 1:26:18	discolor. Okay.
[1620] 1:26:24	Um,
[1621] 1:26:25	so he pulls out the tray and he sees
[1622] 1:26:26	this bright orange Cana form tablet. He
[1623] 1:26:28	calls to his friend. He says, "Hey, you
[1624] 1:26:31	got to have a look at this tablet." And
[1625] 1:26:33	the tablet just crumbles to dust in
[1626] 1:26:36	front of his eyes
[1627] 1:26:38	and he closes the drawer slowly.
[1628] 1:26:43	[laughter]
[1629] 1:26:46	He does report that what happened to his
[1630] 1:26:48	supervisor and he says the supervisor
[1631] 1:26:50	says yeah that just happens sometimes.
[1632] 1:26:53	[laughter]
[1633] 1:26:57	So basically
[1634] 1:27:00	uh generally archives uh these documents
[1635] 1:27:03	are are basically conserved the best way
[1636] 1:27:07	possible
[1637] 1:27:09	given the time frame. Uh sometimes
[1638] 1:27:12	they've discovered some of those
[1639] 1:27:13	conservation methods don't work so well,
[1640] 1:27:15	which is why the part of the
[1641] 1:27:16	conservation method is publication.
[1642] 1:27:22	Publication is the best conservation
[1643] 1:27:24	method because what you're doing is
[1644] 1:27:25	you're making copies.
[1645] 1:27:28	You're making copies that go into
[1646] 1:27:29	publication and preserve it as its best
[1647] 1:27:33	um in its best state at the moment.
[1648] 1:27:36	Like for example, some of
[1649] 1:27:39	the um British Museum used to do this
[1650] 1:27:41	with papy. They don't do this anymore,
[1651] 1:27:42	thank God. But um they used to put papy
[1652] 1:27:46	between two planes of glass.
[1653] 1:27:50	And they still have a lot of papy that
[1654] 1:27:51	are sandwiched between two panes of
[1655] 1:27:54	glass.
[1656] 1:27:55	And the eye,
[1657] 1:27:58	it was thought at the time in the 19th
[1658] 1:28:00	century that this was the best way to
[1659] 1:28:01	preserve papy. The problem was the
[1660] 1:28:05	British weather.
[1661] 1:28:08	Um, a lot of humidity got between the
[1662] 1:28:10	panes of glass and the papyrus started
[1663] 1:28:13	to go moldy.
[1664] 1:28:16	So,
[1665] 1:28:18	yeah. And they went oops. Yeah. Um,
[1666] 1:28:23	so they don't do that anymore,
[1667] 1:28:26	but um but they do still um they do
[1668] 1:28:31	still lay them out flat. They do still
[1669] 1:28:34	try to conserve them. Occasionally they
[1670] 1:28:37	will spray them with a antifungal
[1671] 1:28:40	and um
[1672] 1:28:48	Oh, it is a lot of fun. Um they've um
[1673] 1:28:51	they discovered a whole lot of things
[1674] 1:28:52	with conservation that they never uh
[1675] 1:28:55	realized like um some of like uh tape
[1676] 1:29:00	was terrible for conservation.
[1677] 1:29:03	Like uh uh
[1678] 1:29:07	like they discovered that some of the
[1679] 1:29:09	glue that was used like like scotch and
[1680] 1:29:10	masking tape um ended up being really
[1681] 1:29:13	corrosive.
[1682] 1:29:17	>> Scotch.
[1683] 1:29:18	>> Yeah. Scotch tape was horrible.
[1684] 1:29:23	Yeah, they used a lot of it, especially
[1685] 1:29:25	in the reconstruction of pots,
[1686] 1:29:28	uh, like potshards, and it would it
[1687] 1:29:30	would leave a mark, horrible, horrible
[1688] 1:29:32	mark,
[1689] 1:29:34	cuz it would just eat into the ceramic.
[1690] 1:29:41	So, um, so conservation's a big deal.
[1691] 1:29:44	It's a big big deal.
[1692] 1:29:46	Um, archiving is a big deal.
[1693] 1:29:51	A lot of uh a lot of archives, not as
[1694] 1:29:54	many archives are humidity controlled as
[1695] 1:29:56	they should be.
[1696] 1:30:00	Um,
