[0] 0:01	foreign [Music]
[473] 54:22	because you didn't have God before now you've learned something about God
[474] 54:27	through nature you have now learned something intelligible about the world
[475] 54:36	and about God without God per se okay the you're going to get into sort
[476] 54:43	of a circular trap here of of trying to reason
[477] 54:49	the the um the source of knowledge
[478] 54:58	so I I don't find these these premises compelling I just don't
[479] 55:03	now again my my view is very much tainted by my own epistemology which tends to be
[480] 55:09	evidentialism now again
[481] 55:14	there is there is the presuppositional critique
[482] 55:20	of evidentialism which is that well we tend to oversimplify things and you can
[483] 55:26	give facts till you're blue in the face and it's not going to convince anybody
[484] 55:31	well uh many people don't find and then and
[485] 55:36	but you know you can apply that same criticism back on presuppenism presuppositionalism and ask okay
[486] 55:44	how is this apologetic gonna convince anyone you know
[487] 55:50	it's sort of a definitional kind of thing you've said out here
[488] 55:55	so is that more compelling inherently it's not clear to me why that would be
[489] 56:02	more compelling and from you know I hear like for example Dawkins who does this
[490] 56:09	presuppositional stick all the time where he goes well you know I don't care
[491] 56:15	if it convinces I'm just going to say it anyway wait a minute this is supposed to be the
[492] 56:21	compelling apologetic the one that forces you into necessary belief into
[493] 56:26	God and you're saying it doesn't convince you
[494] 56:31	don't care if it doesn't convince ah ah
[495] 56:38	I mean look uh when we look at the waves for example
[496] 56:43	the gospels are set up you know it's not they're not set up according to a
[497] 56:50	presuppositional mode they're really set up more along the lines of an evidentialist mode
[498] 56:56	you know they're giving you the gospel writers are giving you 20 reasons why Jesus is the messiah
[499] 57:03	you know they're doing it through a Hebrew context you know basically you know by
[500] 57:09	referencing how Jesus is just like um he was supposed to be described in
[501] 57:15	the Old Testament but that's their evidence
[502] 57:20	so you know I just don't find
[503] 57:26	presuppositionalism compelling I even find it to be a actually a bit of a lazy
[504] 57:31	apologetic because it's so formulaic you know once you've heard the formula
[505] 57:37	once or twice that's it you know people recognize it
[506] 57:44	yeah and and frankly it's even not that compelling I mean the atheists can
[507] 57:52	essentially say okay yeah I believe things without needing to believe in a god
[508] 57:59	that doesn't drive people to the necessity of belief it just sort of
[509] 58:05	makes them look uh scans at the whole idea of
[510] 58:11	presuppositionalism and for example belief in God so I just
[511] 58:19	for me I'm I'm all about the evidence yeah okay at the end of the day it might
[512] 58:25	be just weak evidence that's possible but I'd rather go with with with
[513] 58:30	something that is compelling at least as far as its facts go
[514] 58:36	then try to create this theoretical artifice that has is built on
[515] 58:42	questionable premises at least if you've got a lot of facts
[516] 58:48	you can create an inductive argument an inductive argument is still totally
[517] 58:54	valid you know if you've got enough facts which is why I happen to
[518] 58:59	to lean uh this is why my maximal facts evidentialist now
[519] 59:06	I will say this being a maximal facts evidentialist takes a lot more work
[520] 59:13	takes a lot more work this is why people like
[521] 59:18	presuppositionalism it's you know it's just there's no question
[522] 59:25	that I mean this is also one of the reasons why I'm not exactly a big fan of the minimal facts cases either
[523] 59:31	is because again you're putting all your eggs in one basket you're putting all your eggs in
[524] 59:37	one basket and if it gets Blown Away yeah that's that's the end of your case
[525] 59:46	so you know again I I prefer a maximal a maximal facts evidentialist
[526] 59:54	uh epistemological perspective when when you know talking about these sorts of things so anyway thank you very much for
[527] 1:00:01	the Super Chat very much appreciate and I hope that helped and I'm sure I have ticked off a couple people here
[528] 1:00:12	alrighty next Super Chat here
[529] 1:00:17	is from cooley27 for two dollars thank you very much for the Super Chat
[530] 1:00:23	just brought the book it's gorgeous well thank you I think the bookie is talking
[531] 1:00:28	about here is uh the ark of the covenant in its Egyptian context
[532] 1:00:33	and Illustrated Journey oops Focus there okay and
[533] 1:00:40	um I want to thank everyone who's purchased that book uh it is a gorgeous book I
[534] 1:00:48	I spent a lot of time uh a lot of Blood Sweat and Tears making that happen
[535] 1:00:53	especially the photography so um for those who don't know uh
[536] 1:01:00	there's a hundred over 100 illustrations in that book and most of them are mine so
[537] 1:01:06	um they it which is pretty rare these days so it's it's almost all original
[538] 1:01:13	photography so uh you gotta I mean even if you don't
[539] 1:01:20	mean I mean it's great as a travel uh Photography book too just because it's just so beautiful
[540] 1:01:26	so we we do appreciate people who who do buy it you know put a review on Amazon
[541] 1:01:34	um and just it helps support the work so we really are thankful that you bought the book we Are appreciate those who
[542] 1:01:41	like it and he also adds here happy birthday well thank you very much it's again we didn't expect to be here three
[543] 1:01:48	years from now um as I said in my post earlier in the day
[544] 1:01:54	you know nobody is more surprised that we've been going three years than I am let alone that has grown to what it has
[545] 1:02:01	so uh so anyway thank you very much for the Super Chat very much appreciate it and
[546] 1:02:07	thank you for buying the book uh very much appreciate that also
[547] 1:02:13	okay
[548] 1:02:21	uh JP for five dollars thank you very much for the Super Chat and yes does the
[549] 1:02:27	tetragrammaton carry ontological significance okay now there's more than
[550] 1:02:32	one way to take that question uh for those who don't know the tetragrammaton is the Divine name of the
[551] 1:02:41	god of Israel Yahweh and it's it's it's it's four consonants which is
[552] 1:02:47	where the word tetragrammaton comes from and it's a form of the the word Yahweh
[553] 1:02:56	is a form of a secondary form of the verb to be
[554] 1:03:03	and it is so so the word the name means I am
[555] 1:03:09	okay it means or he is technically because there's also
[556] 1:03:15	which is I am so um Yahweh means he is
[557] 1:03:24	so does it contain ontological significance well ontology is the idea of the origins
[558] 1:03:33	of things so there is a respect in that the name
[559] 1:03:39	does have say an ontological implication
[560] 1:03:45	which mean which is that he is the one who is who will be and who
[561] 1:03:54	or who was who is and who is to come
[562] 1:03:59	because here's the thing with with that verb to be as well
[563] 1:04:04	is that the future tense is the same as
[564] 1:04:09	say the present so there is some
[565] 1:04:14	it does have that sort of temporal
[566] 1:04:20	um weight to it so it's not just he is it's also he will be
[567] 1:04:29	and inferred from that would be he was so it does seem to indicate at least at
[568] 1:04:37	least imply that there is a that the god
[569] 1:04:43	of Israel was not created that he always existed he's timeless
[570] 1:04:49	he's outside of the causal stream he makes things to be
[571] 1:04:57	but he has not been created himself
[572] 1:05:03	so anyway I hope that helps thank you very much for the Super Chat very very much appreciate it
[573] 1:05:16	okay
[574] 1:05:22	the next Super Chat is also from JP for five dollars thank you very much for the Super Chat
[575] 1:05:28	whose description of the Soul fits better with the Bible Aquinas or
[576] 1:05:33	Descartes oh now that's going to be a really tough question for me to answer
[577] 1:05:40	and the reason is because I haven't read much of Aquinas
[578] 1:05:46	um I've actually read more Descartes than I have Aquinas
[579] 1:05:53	but I've read more of Descartes epistemology than his pneumatology
[580] 1:05:59	so for me this would be a very difficult to answer I don't know both views of the
[581] 1:06:04	Soul all that well so I'm gonna have to give this one a bit of a pass
[582] 1:06:10	uh um
[583] 1:06:21	okay
[584] 1:06:26	my producer here is Googling up the uh the meanings of that that both used for
[585] 1:06:32	the soul uh quiet uh says that apparently that the soul is
[586] 1:06:38	Immortal and uh eternal
[587] 1:06:51	okay that doesn't actually clarify it for me all that much uh
[588] 1:06:58	no I don't
[589] 1:07:07	yeah unless I read more about their pneumatology that I'd have to give again give this one a pass
[590] 1:07:13	um Descartes I know uh Descartes was much more interested in the ACT interaction
[591] 1:07:19	between Body and Soul but I don't know how much difference that is
[592] 1:07:25	from say aquinas's View and without really knowing that it'd be hard to evaluate this so anyway
[593] 1:07:31	um again it's not something I've done a lot of reading on in this particular area so anyway thank you very much for
[594] 1:07:37	the Super Chat very very much appreciate it
[595] 1:07:46	okay next one here
[596] 1:07:52	is from JP for two dollars thank you very much for the Super Chat is Ecclesiastes an existential argument
[597] 1:07:59	for God oh boy how do I even answer that one um
[598] 1:08:07	well uh in what sense
[599] 1:08:12	is what I'd have to ask is is in what sense do you think it could be an
[600] 1:08:18	existential argument for God you know I I know there are people in
[601] 1:08:23	people who have argued that Ecclesiastes is an argument for the existence of the
[602] 1:08:30	church I don't think it's a great argument but I know that there have been apologists and
[603] 1:08:36	theologians that have argued that claim that um Ecclesiastes also known as the
[604] 1:08:44	um um
[605] 1:08:50	the wisdom of Solomon um you know it makes a lot of it makes a
[606] 1:08:56	lot of uh it's called kohelot it's called cohellit in the Hebrew
[607] 1:09:02	and I'm not sure one in what sense this
[608] 1:09:10	question is being asked um it's more I think it's one of the things
[609] 1:09:15	I think it is Ecclesiastes is the idea of
[610] 1:09:21	of where does one find one's meaning in
[611] 1:09:28	respect to God I think this has I think Ecclesiastes if
[612] 1:09:36	we take a step back from the question for a moment and we look at the text of Ecclesiastes
[613] 1:09:41	you know it's talking about cohlet um the son of the king who is wise in
[614] 1:09:48	all things you know he devotes himself to pleasure finds emptiness in that he devotes
[615] 1:09:54	himself to wisdom finds emptiness in that he looks at the world with uh takes off
[616] 1:10:01	the roast color glasses and sees the world sees Injustice he sees the wise but uh uh poor man who
[617] 1:10:11	saves the city and sees the Injustice of that
[618] 1:10:16	and you know basically says you know there's only one thing that's secure
[619] 1:10:23	only one thing that's solid um you know remember your creator in the
[620] 1:10:29	days of your Youth and he will be your hope under the heavens okay
[621] 1:10:36	I think it's much more Ecclesiastes is much more an argument about teleology
[622] 1:10:43	then an argument for the existence of God I think one of the things Ecclesiastes does is it assumes God
[623] 1:10:49	and most the books of the Bible do most books of the Bible just assume the existence of God no one's arguing for
[624] 1:10:55	the existence of God in the Bible it's just sort of assumed to be but that doesn't explain the
[625] 1:11:03	relationship of the meaning of mankind within that Divine framework
[626] 1:11:11	so I think what Ecclesiastes really does well is it says the teleology of man what is
[627] 1:11:19	the purpose of man the purpose of man is to acknowledge his
[628] 1:11:24	God and to worship Him and I think that's what Ecclesiastes is
[629] 1:11:31	driving at is that all these things in the world they're not going to give you happiness
[630] 1:11:36	they're not going to give you Joy they're meaningless they come and they go mankind he comes and he goes he's like
[631] 1:11:45	the grass of the field the flowers of of the field you know here today gone
[632] 1:11:50	tomorrow solar man you know he goes back to to
[633] 1:11:56	his God eventually no one's permanent
[634] 1:12:01	nothing is forever there's a time for war a Time For Peace time to plant a time to reap
[635] 1:12:09	it's this cycle of over and over again everything is is impermanent nothing is
[636] 1:12:15	permanent nothing stays forever you know you might you might get drunk
[637] 1:12:21	and you know feel Joy for that for a moment but there'll be emptiness in that in the end
[638] 1:12:29	what the author uh kohela is trying to tell us is that there's only meaning in God
[639] 1:12:35	alone and that your best advice in life
[640] 1:12:42	is to recognize God in the days of your youth so you can have a long life knowing god
[641] 1:12:50	that's what kohelet Ecclesiastes is driving at
[642] 1:12:56	so again not really sure what you mean here by a sense of it
[643] 1:13:01	uh of an existential argument but it is certainly a
[644] 1:13:08	meant to advise you to you know go back to your God
[645] 1:13:15	and to serve him so I hope that helped thank you very much for the Super Chat really might
[646] 1:13:21	very much appreciate it
[647] 1:13:33	okay uh our next uh one here is from assonville from 199 thank you very much
[648] 1:13:39	for the Super Chat favorite philosopher or Theologian oh
[649] 1:13:45	um cuff one
[650] 1:13:52	I don't really have a favorite I mean I do read very widely
[651] 1:13:59	so
[652] 1:14:15	so because it reads so widely I I have nothing no
[653] 1:14:25	excuse me I have no problem you know reading say a European philosopher one day
[654] 1:14:31	a theologian the next Greek philosopher the next
[655] 1:14:36	um Mesopotamian wisdom literature the next day
[656] 1:14:42	my my reading habits are so varied I mean I'll even read like poetry from you
[657] 1:14:49	know ancient sources so I don't have a favorite and
[658] 1:14:57	uh for me that's that's kind of you know I just sort of read them up
[659] 1:15:03	so you know I'll read Aaron ask one day then I'll go read
[660] 1:15:09	um say uh Aristotle the next day then on my go and flip back to
[661] 1:15:17	um um kamu then I might go and read Plato
[662] 1:15:24	then I might go and read um the the wisdom of ipuware
[663] 1:15:31	and I'll just go back and forth over so many different sources that I
[664] 1:15:42	favorite living philosopher Theologian uh Alvin plantica
[665] 1:15:49	okay that's that's the Easy Choice you know everyone loves planica
[666] 1:15:56	I love Kierkegaard uh the problem of being a Christian is just a Masterwork is an uh particular
[667] 1:16:04	guard is is absolutely a a um just really encapsulates the
[668] 1:16:11	difficult of Chris difficulty of Christian Living so I very very much like Kierkegaard
[669] 1:16:19	but there's there's all sorts of different
[670] 1:16:24	um you know philosophers and theologians and church fathers
[671] 1:16:34	oh yeah well you know there is my producer says that her favorite was Spider-Man oh well my favorite huh oh
[672] 1:16:43	well I've quoted Spider-Man as a philosopher but um
[673] 1:16:49	with great power comes great responsibility Spider-Man [Laughter]
[674] 1:17:01	so um my my reading habits are so varied I just don't usually stick to one
[675] 1:17:07	so anyway thank you very much for the Super Chat very much appreciated
[676] 1:17:22	okay
[677] 1:17:31	our next Super Chat here is from Josh Nichols for 9.99 thank you very much for the Super Chat
[678] 1:17:36	happy birthday well thank you I know you probably get this a lot but
[679] 1:17:41	what are some reliable sources books textbooks Scholars for ancient Egypt
[680] 1:17:47	also your book has been fantastic well thank you so very much uh well for a primer on the history of
[681] 1:17:54	Egypt I always recommend in Shaw's Oxford history of ancient Egypt is a
[682] 1:18:03	very very good historian so I I highly recommend his books on to
[683] 1:18:09	get yourself familiar with ancient Egypt uh
[684] 1:18:14	another good source uh it's getting along the truth this one desperately needs revision but it still
[685] 1:18:21	has some good things in it which is uh Egypt anatomy of a civilization and I
[686] 1:18:28	forgot the author of that one off the top of my head let me see if I can just quickly look that up
[687] 1:18:35	um
[688] 1:18:46	uh okay
[689] 1:18:53	Barry Kemp very campus the name of the author of that one
[690] 1:18:58	yeah that one is that one was uh in its day it was really a ground changing book
[691] 1:19:05	today it's it's it's suffered from the fact that it needs uh serious updating
[692] 1:19:13	weather Temple updated I don't know um but uh last time I used it for a
[693] 1:19:20	class it was it was really clear it was it was getting getting too old to use a class textbook
[694] 1:19:28	but it still is it still is an important work so uh Barry camps uh Egypt anatomy of a
[695] 1:19:34	civilization was very good um just about anything written by Ken kitchen is going to be good I'd also say
[696] 1:19:41	um like for example uh Ken kitchen's uh uh book on romsey's the second is still
[697] 1:19:48	yet to be bested oh spell the author's names okay
[698] 1:19:57	the first author's name was Ian Shaw
[699] 1:20:04	okay second author's name was Barry J Kemp
[700] 1:20:11	and then it's in
[701] 1:20:18	and the fourth one I would I would also recommend it would be um James Hoffmeyer
[702] 1:20:28	all right uh there's other there's other uh sources and resources uh for ancient
[703] 1:20:34	Egypt as well it'll a lot of it will depend on what you're what you're looking for as well
[704] 1:20:40	um because some people will specialize in certain aspects of this
[705] 1:20:47	um like for example if you really want to know about the amarna period the best
[706] 1:20:52	source of that was what was his name now just give me a moment here I'll look that one up um
[707] 1:20:58	was a series called amarna sunset
[708] 1:21:04	foreign
[709] 1:21:31	Dodson write that one down there as well
[710] 1:21:40	uh Dodson also does a really good book on say the families of the New Kingdom
[711] 1:21:45	Period so that book is also really excellent um I don't agree with Dotson on everything
[712] 1:21:53	to be very blunt there's this I do have points of disagreement with Dodson
[713] 1:21:58	um especially on matters of chronology there's there's things of on chronology I've definitely disagreed with Dodson on
[714] 1:22:10	um so anyway um
[715] 1:22:17	Christian Bolshevik says kill the kitchen is goat Grace of all time because he's so sassy and makes his work
[716] 1:22:24	less dry to read despite being scholarly which is supposed to be try well yes
[717] 1:22:30	it's one of the reasons why his book sells so well too is because he does he is very um
[718] 1:22:36	he's a good writer he's a good writer and uh he does love throwing in the puns
[719] 1:22:42	and the jokes and all that stuff in there as well
[720] 1:22:52	Dodson we've got Dodson here C no one cares from BC
[721] 1:23:04	oh boy [Laughter]
[722] 1:23:13	yeah there's a quote there from Jurassic Park
[723] 1:23:21	nice Okay so
[724] 1:23:28	uh so those are some I would resources I would recommend on Ancient Egypt um I think they're all very good sources
[725] 1:23:37	um they'll disagree with each other I mean none of these sources will um
[726] 1:23:42	I mean that's just the way an academic field works is you do get lots of disagreements so they don't
[727] 1:23:50	always agree like for example uh Aiden dots works on the amount of period will
[728] 1:23:57	definitely disagree with James hoffwire's works on the amarna period but in this particular case even though
[729] 1:24:03	I'm a huge fan of hofmeyer I think Dawson's books are just better for the Armada period
[730] 1:24:09	so anyway I hope that gives you some um some guidance here and uh thank you very much for the Super
[731] 1:24:16	Chat very much appreciated
[732] 1:24:28	uh ask somewhere for 499 thank you very much for the Super Chat how would you respond to the claim that
[733] 1:24:34	the Bible is pro-slavery well the same way I would respond to the
[734] 1:24:40	claim that the Bible's pro-divorce uh the fact is that just because slavery
[735] 1:24:48	was regulated doesn't mean it is pro-slavery
[736] 1:24:54	the Bible also has uh Provisions for the insta uh for the
[737] 1:25:00	institution of marriage and for divorce
[738] 1:25:06	is very clearly not pro-divorce just because something is regulated
[739] 1:25:12	doesn't mean it's approved of in fact there's many things in our
[740] 1:25:19	culture and Society in both ancient and modern societies that are regulated but
[741] 1:25:25	not approved of like for example one of the reasons why Canada has a really really steep liquor
[742] 1:25:32	tax okay I mean it's a steep liquor tax it's
[743] 1:25:37	like like half the cost of the product is tax
[744] 1:25:44	yeah how do you sell dog driving you make it so unaffordable that nobody can buy it of course I didn't solve drunk driving
[745] 1:25:50	it just and and some people have have questioned how effective that that is but
[746] 1:25:59	a lot of that liquor tax was instituted because the government did not approve
[747] 1:26:06	of drinking alcohol so
[748] 1:26:12	yikes um so just because it regulates the government regulated alcohol does not
[749] 1:26:19	mean it approved of it quite the opposite in fact
[750] 1:26:25	likewise just because the Bible regulates divorce does not mean it approves a
[751] 1:26:30	divorce and just because it regulates slavery does not mean it approves of slavery
[752] 1:26:38	it's an ins it's it's part of the economics fabric of the age
[753] 1:26:45	so you know there's a lot of things that were
[754] 1:26:50	you know part of the context of the time that were just
[755] 1:26:57	you know your new world going to change that just because you outlaw it
[756] 1:27:03	so you had to regulate it so that's how we respond to this is
[757] 1:27:10	essentially it mentions it doesn't necessarily doesn't mean mentioning it doesn't mean regulating it doesn't
[758] 1:27:15	necessarily mean approving it so anyway thank you very much for the Super Chat
[759] 1:27:21	very much appreciate and I hope that helps
[760] 1:27:33	I had somewhere for 4.99 thank you very much for Super Chat
[761] 1:27:39	does David Funk like to talk while going for a walk
[762] 1:27:45	oh a rhyme okay no I don't [Laughter]
[763] 1:27:51	know when I walk mouth shut uh I'm actually an introvert I'm very
[764] 1:27:58	introverted when I'm not on the air here so you know nope don't talk while I walk
[765] 1:28:04	don't say much of anything and I like it that way
[766] 1:28:15	too many people talk so anyway thank you very much for the
[767] 1:28:20	Super Chat and for kind of the rhymish thing okay
[768] 1:28:25	[Laughter]
[769] 1:28:32	foreign says three years and I still haven't made Egyptian barley beer dude you're
[770] 1:28:40	still missing out so missing out
[771] 1:28:46	front you like it um it's different though it's very different I'll say that again it's got
[772] 1:28:52	that sort of lemony taste that was really unexpected but um it wasn't bad it wasn't bad
[773] 1:28:58	especially when it's carbonated carbonated is better better carbonated although the Egyptians never had
[774] 1:29:03	carbonation so it would make sense if it if you didn't carbonate it
[775] 1:29:08	and that's because he didn't have sealed containers it'll self-carbonate it's one of those advantages that will
[776] 1:29:14	self-carbonate which is very interesting all by itself so anyway thank you very much for the super chat or not for the super chat but
[777] 1:29:21	for the just a comment that was just but yeah try it you'll like it
[778] 1:29:31	okay
[779] 1:29:38	ass and wear for 4.99 thank you for the Super Chat is the Mosaic law like alleged
[780] 1:29:44	legislation would wisdom literature or something in between
[781] 1:29:52	oh ah it's something different
[782] 1:30:06	um I wouldn't say it's necessarily legislation
[783] 1:30:12	and it's not really wisdom literature either
[784] 1:30:18	it's more along the lines of case law okay like for example
[785] 1:30:26	um we do in modern jurisprudence
[786] 1:30:31	we understand that there's a difference between say mandatory sentences
[787] 1:30:37	maximal sentences and say uh this how much discretion a
[788] 1:30:43	judge can have it's very clear that say the Mosaic law
[789] 1:30:51	is more along the lines of say uh discretionary jurisprudence
[790] 1:30:58	so when a judge is presented with a case
[791] 1:31:03	he is seeing what the past precedent was we see this in law codes all over the
[792] 1:31:09	ancient near East like for example the Cobra of Hammurabi
[793] 1:31:14	it's more a catalog of case law
[794] 1:31:20	you know then it is actually prescriptive and it looks like the Mosaic law is more
[795] 1:31:27	along that bent because there was a whole lot of people doing a whole lot of things that if this
[796] 1:31:34	was legislation it wasn't very effective legislation so there does seem to be an implicit
[797] 1:31:40	understanding that the law is more to give guidance
[798] 1:31:47	than it is to prescribe so anyway that's and again there's a
[799] 1:31:55	whole lot of opinion here on say the Mosaic law and its role in society and volumes of literature Vol absolute
[800] 1:32:02	volumes of literature on this it's really hard to actually keep up with all the literature on say
[801] 1:32:08	um the purpose of the Mosaic law and there's new stuff coming out every year on this
[802] 1:32:14	so and opinions can sometimes be all over the map
[803] 1:32:20	so I'm not saying that my opinion here is sort of the be-all and the end all in this
[804] 1:32:25	but from from what I understand it's it's case law it's descriptive of of
[805] 1:32:32	what good judgment should look like it's not necessarily the uh meant to
[806] 1:32:40	exact the absolute penalty described in the law but I think I think that that's how we
[807] 1:32:48	can frame this is it seems to be a more of a matter of case law a good guide for
[808] 1:32:54	jurisprudence and that's about it so anyway thank you very much for the
[809] 1:33:00	question very much appreciate it
[810] 1:33:12	okay uh Gizmo sbol for five dollars thank you very much for the Super Chat hi Dr folk question in non-super chat Q
[811] 1:33:21	okay we can take a look and see here
[812] 1:33:27	I am at um Gizmo espeol so
[813] 1:33:32	let's see make a Time Mark of the timestamp here 12.
[814] 1:33:38	all right um
[815] 1:33:52	okay I'll take his here uh and he asks some very early daters
[816] 1:33:59	disregard a literal 480 years but Place The Exodus in the 16th century BC with
[817] 1:34:05	one of the last hicksauce pharaohs as the X's pharaoh sons of Jacob being subjects of the
[818] 1:34:12	hicksauce thoughts okay um this few is actually
[819] 1:34:20	you'll get sort of two strains of this View you do get some people that basically
[820] 1:34:26	say that the Israelites were the hicksauce now you're going to get the same
[821] 1:34:32	problems with that as you do with the uh 15th century dating of The Exodus in
[822] 1:34:38	that the archeology of Israel is not going to support that especially not stuff like VMware and
[823] 1:34:44	letters okay so it's going to have that's going to have the archaeological problem
[824] 1:34:51	a more common use of use similar to this was called The memorialist View
[825] 1:34:59	and the more memorialist view is basically saying that there was a hicksauce Exodus
[826] 1:35:05	front of ours at the end of the 16th century um really mid 60 uh mid 16th but okay
[827] 1:35:13	who's who this has quibbling but
[828] 1:35:18	that that was not the Hicks that's not the Israelite Exodus but it was a hexas
[829] 1:35:25	Exodus and the tale of that Exodus is Remembered in Israelite culture
[830] 1:35:34	uh Dawn Redford was a big proponent of that view that memorialist view
[831] 1:35:40	I have I I think there's some issues with that that particular View
[832] 1:35:48	um I think one of the big problems with that was where the hick sauce sort of
[833] 1:35:55	fled to they fled to Gaza and Cheryl ham those are on the sort of the Philistine
[834] 1:36:04	side of the Levant though that's all there they fled the coastal plain
[835] 1:36:09	you know where the for the Philistines are going to congregate well that's going to sort of beg the
[836] 1:36:15	question of how did that memory how that cultural memory integrate
[837] 1:36:20	in to say the culture of say people living in the Judean Foothills
[838] 1:36:27	but was somehow isolated on the coastal plain I think I think that's a the geographical issue there's going to be
[839] 1:36:34	in be a problem for that view
[840] 1:36:39	so however you cut this you're going to have some issues you're gonna have some real issues here
[841] 1:36:46	um again I think this is way too early for an exodus um you know chalking it up to the hick
[842] 1:36:52	sauce sounds nice I mean it people have believe this like for example
[843] 1:36:58	um you find a reference to this in Julia's africanus's
[844] 1:37:04	uh writing uh preservation of manatho um manitho the copy of maniso that that
[845] 1:37:12	Africanus uh preserves basically says that the Exodus Pharaoh was
[846] 1:37:17	um ocmos of the first um which is more or less a kind of
[847] 1:37:24	um Exodus or hicksauce
[848] 1:37:29	um Exodus so that's sort of where where you know you're going to see that in say church
[849] 1:37:35	history now
[850] 1:37:40	of course the problem with math though is that you've got uh so many different copies of manitho
[851] 1:37:46	and each has a different Exodus King it's you can't take any of them as as legit
[852] 1:37:52	so a legit in the sense that that writing of The Exodus King is uh
[853] 1:37:57	original to math though so that's my thoughts there I think that
[854] 1:38:02	this is a problem historically I think this has a uh archaeologically I think
[855] 1:38:08	it says a problem at least even with its uh watered-down memorialist View
[856] 1:38:14	so anyway thank you very much for the Super Chat very much appreciate and I hope that helped
[857] 1:38:32	foreign here is from our Amanda s for five
[858] 1:38:41	dollars thank you very much for the Super Chat hi Dr folk my question is in the
[859] 1:38:46	non-super chat well let me find it
[860] 1:38:57	see if I can find it is it above
[861] 1:39:12	how far above it okay I found it
[862] 1:39:21	okay all right uh she asks
[863] 1:39:27	how do we understand the sons of God in Genesis 6 what text resources from the late Bronze Age can we use all right
[864] 1:39:35	now this is I take a very non-hisarian view
[865] 1:39:41	here on Genesis 6. I I understand a lot of people love his his view on the sons
[866] 1:39:47	of God I disagree with it because of the light Bronze Age context here now
[867] 1:39:54	let's actually pull up Genesis 6 here because there's gonna be some technical things here
[868] 1:40:00	yep Genesis 6.
[869] 1:40:12	and pull up our Bible here and let's read
[870] 1:40:23	one two one and two here actually let's go to four let's go to
[871] 1:40:30	four okay now it came about when this when men
[872] 1:40:35	begin to multiply on the face of the land and daughters were born to them that the sons of God saw the daughters
[873] 1:40:42	of men were beautiful and they took wives for themselves whomever they chose
[874] 1:40:48	then the Lord said my spirit shall not strive with man forever because he is also flesh nevertheless
[875] 1:40:56	his days shall be 120 years the Nephilim were on the earth in those
[876] 1:41:02	days and also afterwards when the sons of God came to the daughters of men they bore children to them those were the
[877] 1:41:09	Mighty Men Who were of old men of Ren now okay
[878] 1:41:16	there is actually a lot of
[879] 1:41:22	of context here we sort of need to bring in when you read the late Bronze Age uh
[880] 1:41:29	literature you see this quite frequently now let's begin with sons of God
[881] 1:41:36	a son of God is
[882] 1:41:41	in many ways a code word for a priest okay now you have for example in uh in
[883] 1:41:51	Egypt you have say the son of Rey which is a designation for the king but
[884] 1:41:57	he's given that name son of Ray because he's also the high priest of every cult in ancient Egypt
[885] 1:42:04	we also have from say Mesopotamia the sons of Ishtar
[886] 1:42:11	they were another cast of priests
[887] 1:42:18	so we have all sorts of references in the ancient world
[888] 1:42:25	to Sons of a god being the Des a cast of priests
[889] 1:42:35	so it's all over the place in Bronze Age literature so then okay that covers the sons of God
[890] 1:42:42	that one is pretty pretty straightforward
[891] 1:42:48	so what do we do with the daughters of men
[892] 1:42:53	well the daughters of men is just a little different what we're talking about here
[893] 1:42:58	is an ancestor cult no
[894] 1:43:05	basically the the daughters here uh and it's not just it's not just men as in
[895] 1:43:13	um um ish but Adam
[896] 1:43:19	that's very different okay that's the key to understanding this
[897] 1:43:25	is it's not the daughters of it's not just just the daughters of any
[898] 1:43:32	man it's the daughters of a specific man
[899] 1:43:38	the daughters of Adam so now
[900] 1:43:44	now we're getting a little closer here so what do we got here is an ancestor
[901] 1:43:51	cult so we've got a cast of priests the sons of God and an ancestor cult
[902] 1:43:59	and they're swapping wives or swapping spouses
[903] 1:44:06	so what's the issue here what's the problem with this okay the problem here is going to become with
[904] 1:44:12	the Nephilim and verse 4. and the Nephilim in verse four
[905] 1:44:18	um Neville nefal means to be fallen okay so the Nephilim are the Fallen ones well
[906] 1:44:25	yeah why should a a marriage between two casts of priests result in insulin being
[907] 1:44:32	Fallen foreign the Mighty Men
[908] 1:44:38	uh these those were the Mighty Men Who were of old men of renowned these are
[909] 1:44:45	men okay these are men
[910] 1:44:53	um verse 4 the Nephilim were on the earth in those days and also afterwards when
[911] 1:44:58	the sons of God came to the daughters of men and they bore children to them those were the Mighty Men of old men of renau
[912] 1:45:07	the Nephilim are men they're not Angels they're men
[913] 1:45:13	okay so what would cause Mighty Men to rise out
[914] 1:45:21	of priests that are um that are intermarrying
[915] 1:45:27	or having sexual relations we have to go to for this we have to go
[916] 1:45:33	to the Sargon of a god of akkad um
[917] 1:45:38	uh myth now this one's really interesting because this one sort of uh
[918] 1:45:44	captured it all in in sort of encapsulate the whole thing the legend of Sargon of akat is birth
[919] 1:45:52	narrative was that he was the son of an aditum
[920] 1:45:58	Priestess now um and then the ditum Priestess is a
[921] 1:46:04	priestess that took a sexual vow okay the sexual vow is basically that
[922] 1:46:11	she would not procreate with a man she would not have sexual relations with a
[923] 1:46:16	man while being in service to the god now the idea here
[924] 1:46:23	is when this happens and a child does result the child is supposed to be
[925] 1:46:28	killed the reason is because this is a cow
[926] 1:46:35	that's supposed to be imbued with supernatural abilities that can destroy
[927] 1:46:40	a society so sargon's mother puts him in the
