[0] 0:03	and stream is
[773] 39:48	thank goodness a cashier
[774] 39:51	right a little calt behind the counter
[775] 39:56	do have
[776] 39:58	chickens he says you want fries with
[777] 40:01	that no no no chickens chicken
[778] 40:05	chickens he doesn't seem to understand
[779] 40:08	you I I hold up the chicken that I want
[780] 40:12	this understand you what kind
[781] 40:15	of you want fries with
[782] 40:18	that yes I would love some fries with
[783] 40:22	that
[784] 40:23	awesome so he
[785] 40:27	gives you a piece of fried meat with
[786] 40:30	some french fries on the side and it
[787] 40:32	cost 20 gold
[788] 40:37	pieces I offer him
[789] 40:40	17 I give the other
[790] 40:43	three he takes
[791] 40:47	it I don't trust that it's
[792] 40:49	[Laughter]
[793] 40:52	chicken um I'm going
[794] 40:58	to um can I borrow the rope from you
[795] 41:01	Jonathan sorry Hast Hast hyack I think
[796] 41:05	your name was Leroy leroyer can can I
[797] 41:09	borrow the rope from
[798] 41:11	you okay and I'm going to sneak into the
[799] 41:15	kitchen I'm going to try and find a
[800] 41:18	source of fire or something that's
[801] 41:20	really really hot is it like an oven or
[802] 41:22	like a don't go behind the kitchen man
[803] 41:25	don't don't
[804] 41:27	okay I try to distract the Cobalt while
[805] 41:29	he does
[806] 41:30	that I do
[807] 41:34	not about this great and glorious good
[808] 41:37	news that we've come to
[809] 41:40	preach focus on the
[810] 41:44	mission he doesn't care about the
[811] 41:47	mission or me going into the
[812] 41:50	kitchen he repeats you want fries with
[813] 41:53	[Music]
[814] 41:55	that
[815] 41:57	do you want fries with
[816] 41:59	that he's got
[817] 42:01	fries he's got a big Hopper full of
[818] 42:04	fresh fries and
[819] 42:07	meat okay okay I'm going to try and not
[820] 42:10	go behind the Kon but I'm going to reach
[821] 42:12	over the counter with the stick and try
[822] 42:14	and hit something that's slap your
[823] 42:17	hand he slaps your
[824] 42:20	hand
[825] 42:24	tricky I ask him what and he warns you
[826] 42:29	try that again and he'll gut you like a
[827] 42:32	fish do you have
[828] 42:36	fish we have
[829] 42:41	KFC asking for a later of cola while
[830] 42:44	you're at
[831] 42:50	it oh are there any lights in the in the
[832] 42:55	KFC is it what a like a light or
[833] 42:59	something or like some kind of it's
[834] 43:01	natural sunlight coming in out of the
[835] 43:03	roof is there any
[836] 43:07	Windows there's a small window by the
[837] 43:10	door okay I'm going to slowly go next to
[838] 43:14	the
[839] 43:16	window you approach the
[840] 43:19	door okay and then I'm going to use the
[841] 43:22	butt end of my Quarter Staff to break
[842] 43:24	the window it's not it's not a glass
[843] 43:27	window it's just an open hole oh that f
[844] 43:33	um does the Cobalt have a pair of
[845] 43:37	glasses
[846] 43:39	no he's perfectly able to see what a
[847] 43:42	conniving guy you
[848] 43:45	are so if we survive the Beast we can
[849] 43:48	camp in here and not
[850] 43:50	freeze wait hang on hang on I I go to
[851] 43:53	the
[852] 43:54	counter open
[853] 43:57	he he closes at night okay hang on hang
[854] 43:59	on do you have
[855] 44:03	salt does he have salt of course he has
[856] 44:05	salt okay do you have a salt Shake do
[857] 44:09	you have a salt
[858] 44:12	shaker yeah but he's not gonna give it
[859] 44:13	to you is it made of
[860] 44:17	glass no it's made out of
[861] 44:25	steel next turn storekeeper
[862] 44:29	human no the storekeeper is not human
[863] 44:32	storekeeper is a
[864] 44:34	Cobalt what's it small
[865] 44:36	reptilian humanoid like
[866] 44:39	creature I ask what kind of
[867] 44:45	meat he just is it's
[868] 44:49	meat good meat very
[869] 44:53	fresh hang on hang on KFC stand for
[870] 44:57	Cobalt Fried Chicken do you know the
[871] 45:01	Beast as the Cobalt
[872] 45:06	this he says everyone knows about the
[873] 45:09	Beast okay and the Beast doesn't eat you
[874] 45:14	correct like I'm presuming there isn't
[875] 45:17	an endless pile of cobalt corpses in the
[876] 45:19	back
[877] 45:20	somewhere there's no Cobalt corpses in
[878] 45:22	the back okay okay all right I have an
[879] 45:26	idea but it's a bit
[880] 45:29	risky um what
[881] 45:32	if we kidnap the Cobalt and use it as a
[882] 45:37	human
[883] 45:38	shield and then it won't eat it and then
[884] 45:41	it won't won't eat them because it
[885] 45:43	doesn't eat them
[886] 45:47	normally the Beast doesn't
[887] 45:50	care H the Beast won't
[888] 45:54	care okay okay so H how did he not get
[889] 45:59	eaten by the Beast Ever they're Cobalts
[890] 46:02	the cave obvious he doesn't care
[891] 46:05	yeah hey you know the Beast just ignes
[892] 46:09	us when's the next time
[893] 46:12	signicant we just we just don't taste
[894] 46:16	good we're too small too insignificant
[895] 46:18	and he doesn't
[896] 46:19	care okay so we could travel in and out
[897] 46:22	of the cave no matter what so has we ask
[898] 46:26	we don't bother him he doesn't bother
[899] 46:29	us okay um hang on uh do you have a
[900] 46:33	light when you go into the
[901] 46:35	cave of course not we can see the dark
[902] 46:40	oh yeah did the humans B bother the
[903] 46:45	Beast the
[904] 46:47	Beast oh the Beast and humans
[905] 46:52	wow that's a different
[906] 46:54	matter but that's no concern of
[907] 46:58	mine I just
[908] 46:59	sell KFC with fries you want fries with
[909] 47:04	that do you accept
[910] 47:07	bribes I accept
[911] 47:10	gold or
[912] 47:12	KFC Let's uh let's see if we can get
[913] 47:16	some fat from the fryer and dip that
[914] 47:21	that rag that you made from your clothes
[915] 47:24	in the fat and then put it on a stick
[916] 47:26	and use it as a
[917] 47:28	torch okay Marlo great idea it'll only
[918] 47:33	cost
[919] 47:34	you 20 gold pieces and an order of
[920] 47:42	KFC do we do we have a means to that
[921] 47:45	torch wait wait wait wait wait wait so
[922] 47:48	these Cobalts might be working with a
[923] 47:50	beast who is killing people can can we
[924] 47:54	get verification that this this is an
[925] 47:56	evil creature because if so I I think
[926] 47:58	that we might need to um help fit the
[927] 48:02	world a little bit by making it a little
[928] 48:04	bit less evil detect
[929] 48:08	evil okay okay who was it that had that
[930] 48:11	a stack has to detect evil oh he detects
[931] 48:17	evil what we got do
[932] 48:22	something he's still gonna sell you the
[933] 48:24	KFC though
[934] 48:27	is the evil coming from the Cobalt or
[935] 48:28	just from the general area from the
[936] 48:31	Cobalt uh
[937] 48:33	oh he's serving Kentucky Fried human I
[938] 48:38	am going to I'm going to make a roll
[939] 48:41	here you just attack General
[940] 48:45	evil
[941] 48:47	oh he's just generally
[942] 48:50	uh evil
[943] 48:53	guy it's like going to the DM the new
[944] 48:57	all Cobalts are
[945] 49:00	evil uh I ask if we could we could buy
[946] 49:03	any of his shed last sheds of
[947] 49:06	skin oh hang on I I should have probably
[948] 49:09	asked this um do you do
[949] 49:12	deliveries yes oh hang on one second
[950] 49:15	okay uh and then I'm going to we don't
[951] 49:18	deliver into the
[952] 49:20	cave we deliver to the
[953] 49:24	Village wait do you do that
[954] 49:27	often no not going to do it you can't
[955] 49:31	pay me enough to do
[956] 49:33	that I asked him if KFC stands for
[957] 49:35	Cobalt clerics you smell like blood yeah
[958] 49:40	sorry about
[959] 49:44	that definitely not gonna do
[960] 49:46	that not deliver in your
[961] 49:53	house Kentucky Frank clar
[962] 49:58	all right let's go into the cave shall
[963] 50:00	we andless we're finished here uh no no
[964] 50:03	you gonna buy you're just gonna waste my
[965] 50:06	time well kind of well I mean you've
[966] 50:08	been doing nothing but wasting our time
[967] 50:10	during this entire like I I proposition
[968] 50:12	you to be a human shield you say no I
[969] 50:15	say you can go into the back you say no
[970] 50:17	like you've done nothing
[971] 50:19	I Marlo bought a whole KFC basket and
[972] 50:22	some fries we we paid the 20 gold for it
[973] 50:25	exactly that's one
[974] 50:27	order
[975] 50:29	yeah that that grease for the for the
[976] 50:34	torch uh you you're you're you're going
[977] 50:37	to pay for the the KFC order and you'll
[978] 50:39	get your
[979] 50:40	torch your fat for your torch if someone
[980] 50:44	has the gold for it I have nine gold
[981] 50:47	left I've got 20 he has
[982] 50:52	54 I'm
[983] 50:54	out
[984] 50:55	who's out me uh
[985] 50:58	Marlo
[986] 51:00	okay well let's look at our other
[987] 51:03	options perhaps uh we see if this guy
[988] 51:07	will let us reside with him for the
[989] 51:10	evening be friends and we can uh go
[990] 51:13	teach at his home I'm generally in favor
[991] 51:15	of killing the evil bugger and then we
[992] 51:17	would have access to everything because
[993] 51:20	he's the only one here stay my home yeah
[994] 51:24	oh absolutely not you I keep my business
[995] 51:26	separate from my home life can we buy
[996] 51:30	the last skins he shed as a reptilian
[997] 51:33	creature do you have hey are you either
[998] 51:35	gonna buy or G get out of my shop do you
[999] 51:39	have a
[1000] 51:40	wife what business is that of yours do
[1001] 51:44	you have a
[1002] 51:45	girlfriend get out of my shop okay okay
[1003] 51:49	fair enough I'm I'm going to I'm going
[1004] 51:50	to leave him a tip for being so nice to
[1005] 51:52	us I'm going to just put 56 gold pieces
[1006] 51:54	on the counter and have fun with
[1007] 51:56	that
[1008] 52:00	ouch
[1009] 52:04	you you other three can stay I'm just
[1010] 52:07	gonna I'm just gonna leave especially
[1011] 52:09	you Marlo you bought actually bought the
[1012] 52:12	KFC oh man
[1013] 52:16	um I'm gonna buy some oh you two you two
[1014] 52:19	other genten can I interest you with
[1015] 52:23	fries I'll take fries
[1016] 52:26	with
[1017] 52:28	that stuff just the fries ju sell me
[1018] 52:34	stuff we sell meat okay meat deep fried
[1019] 52:38	meat and Fries that's what we sell here
[1020] 52:40	good try that was a good try yeah one
[1021] 52:44	order stop wasting my time buy something
[1022] 52:48	or go I'm buying I'm buying one order I
[1023] 52:52	still think we should kill him who's
[1024] 52:54	ordering in a dog I'm ordering in a
[1025] 52:57	doggy bag Jonathan you've ordered you
[1026] 53:00	bought yourself uh here's your
[1027] 53:03	KFC fresh hot and
[1028] 53:07	tasty cool okay what about you um
[1029] 53:12	Caleb I'm the only murder hobo in the
[1030] 53:16	group okay
[1031] 53:18	um so how much is just a side of
[1032] 53:22	fries 10
[1033] 53:25	how much would it cost it for you to um
[1034] 53:29	turn this potato into fries I brought
[1035] 53:32	you the potato so I would just be paying
[1036] 53:34	you for your labor
[1037] 53:38	10 makes sense potato are cheap I get
[1038] 53:42	them
[1039] 53:43	wholesale yeah oh does it get them from
[1040] 53:47	the village I say we wait till night
[1041] 53:49	time when this guy's all
[1042] 53:51	done and uh what was your character
[1043] 53:55	cousins guard the place oh good we can
[1044] 53:59	well for you if you did that got Don and
[1045] 54:01	jeppi
[1046] 54:02	here guarding the
[1047] 54:05	place wait a second my my eight cousins
[1048] 54:08	guard the
[1049] 54:09	place okay but he was gonna say the
[1050] 54:13	Beast guards the place during the night
[1051] 54:14	that'd be hilarious no no no the Beast
[1052] 54:15	doesn't guard us no no no no those just
[1053] 54:18	don't mess with
[1054] 54:20	us all right well let's go into the camp
[1055] 54:23	got a big family to guard the place
[1056] 54:25	yeah I think I'm heading to to the the
[1057] 54:28	cave with
[1058] 54:30	grud make sure to grab the grease on
[1059] 54:32	their way
[1060] 54:34	out he takes your rag he soaks it into
[1061] 54:37	the grease and G hands it back to you
[1062] 54:40	all
[1063] 54:42	right the rest of your dead beats get
[1064] 54:51	out do do they shed
[1065] 54:54	skin if this is a we could put on their
[1066] 54:58	skins okay get out oh
[1067] 55:03	man you see a couple people a couple
[1068] 55:07	Cobalts come from the back followed by
[1069] 55:10	another
[1070] 55:13	eight he's
[1071] 55:15	serious buy something or
[1072] 55:19	leave all right I think gret and I are
[1073] 55:21	already
[1074] 55:23	out I weed Michael you have been forced
[1075] 55:27	out and every all the party is now
[1076] 55:30	outside of KFC and now you're at the
[1077] 55:33	entrance of the
[1078] 55:34	cave I'm still car the doggy bag of KFC
[1079] 55:38	you're still carrying the doggy bag of
[1080] 55:40	KFC two of you bought
[1081] 55:43	KFC so you go into the cave of course
[1082] 55:48	like any cave it's
[1083] 55:52	dark what do you do
[1084] 55:56	I'm gonna uh wind the rag the greasy rag
[1085] 55:59	around my uh staff and light
[1086] 56:02	it okay you got some light
[1087] 56:06	here okay you see the cave is
[1088] 56:10	dark and
[1089] 56:12	cold you see little eyes peer from you
[1090] 56:15	from
[1091] 56:17	Corners they're not making any advances
[1092] 56:20	just
[1093] 56:23	watching well let's keep going
[1094] 56:27	let's keep going come on we can't we
[1095] 56:31	can't we'll just keep moving we can't
[1096] 56:33	just stay here and see the sides
[1097] 56:35	we're you you move you're getting get
[1098] 56:38	further down the cave okay you're
[1099] 56:41	getting closer to the cave okay you're
[1100] 56:44	going down deeper and deeper and deeper
[1101] 56:47	into the
[1102] 56:49	cave okay
[1103] 56:53	now you start to see see start to you
[1104] 56:58	hear slight crunching under your
[1105] 57:00	feet what do you do well look at it
[1106] 57:03	obviously Whoever has the torch look at
[1107] 57:05	the floor
[1108] 57:07	what is it
[1109] 57:11	bones it's
[1110] 57:13	bones go I I'm gonna try and find the
[1111] 57:16	biggest one and pick it
[1112] 57:17	up okay you find a femur and you pick it
[1113] 57:20	up yeah got a femur but you notice too
[1114] 57:24	it's it's starting to get dark again
[1115] 57:27	spend a lot of time with that
[1116] 57:30	KFC you better sort of Camp down
[1117] 57:35	again hey I got some fries what do you
[1118] 57:39	have to eat got some fries and some KFC
[1119] 57:43	uh I'll eat the fries and leave the meat
[1120] 57:47	available for anybody who wants it okay
[1121] 57:50	eat the meat have okay I'll eat eat the
[1122] 57:55	meat and leave the fries you have a
[1123] 57:57	carrot you'll eat the meat and leave the
[1124] 58:02	fries my my that it has kind of a
[1125] 58:05	weird
[1126] 58:09	oh I'm gonna eat my
[1127] 58:11	potato raw G eat your
[1128] 58:15	potato this meat tastes weird
[1129] 58:19	Okay meat tastes a little weird is it
[1130] 58:23	cooked
[1131] 58:26	oh it's well cooked well seasoned tasty
[1132] 58:30	really really tasty really really really
[1133] 58:34	tasty perfectly seasoned with salt and
[1134] 58:37	pepper and 11 herbs and
[1135] 58:42	spices but there is kind of a weird
[1136] 58:45	taste to
[1137] 58:49	it these bones that we're stepping on
[1138] 58:51	are they uh cooked or or what
[1139] 58:55	but they're not cooked all
[1140] 59:00	right no the bones are not
[1141] 59:05	cooked
[1142] 59:10	are Stones what stones are there any
[1143] 59:13	Stones um in the the on the ground
[1144] 59:18	too no there's no I mean there's just
[1145] 59:20	some rough Rock rough Rock okay cast
[1146] 59:25	detect
[1147] 59:27	evil in the cave and on his
[1148] 59:32	chicken okay so you wake up in the
[1149] 59:35	morning and your torch is sort of
[1150] 59:38	burning
[1151] 59:39	out but you see in the shadows a Cobalt
[1152] 59:44	different
[1153] 59:45	Cobalt he's just sitting
[1154] 59:48	there looking at you just
[1155] 59:51	staring do you sell KFC
[1156] 59:57	he says did you actually eat that
[1157] 1:00:02	stuff well they did I I
[1158] 1:00:07	didn't why do you
[1159] 1:00:11	ask
[1160] 1:00:13	well
[1161] 1:00:15	uh he's my cousin I'm
[1162] 1:00:20	Vinnie are you the guy who gots the shop
[1163] 1:00:23	at night
[1164] 1:00:25	uh no I'm not the guy who cast go a shop
[1165] 1:00:27	at night that's my other cousin
[1166] 1:00:30	Denny I'm the guy who who goes near the
[1167] 1:00:34	The Lair of the
[1168] 1:00:37	Beast
[1169] 1:00:38	and takes the
[1170] 1:00:42	meat and gives it to my
[1171] 1:00:46	cousin oh recycling oh
[1172] 1:00:50	fantastic he uh he's I mean he's a
[1173] 1:00:53	wonderful cook I mean admit he's a
[1174] 1:00:55	wonderful
[1175] 1:00:56	cook but and no one can render fat down
[1176] 1:01:00	better than he can to make french
[1177] 1:01:10	fries wait so the Beast doesn't eat the
[1178] 1:01:14	meat the Beast doesn't eat the
[1179] 1:01:16	meat oh no no no the Beast doesn't eat
[1180] 1:01:20	meat he just kills you yeah well that's
[1181] 1:01:25	disappointing vicious monster
[1182] 1:01:28	horrifying pointed ears shaged teeth
[1183] 1:01:33	razor sharp
[1184] 1:01:34	claws but he doesn't eat
[1185] 1:01:37	beat he just leaves it
[1186] 1:01:39	behind we just are kind of a little bit
[1187] 1:01:42	enterprising here we pick the meat up
[1188] 1:01:46	dust it off bring it to KFC Kentucky
[1189] 1:01:49	Fried cleric and he does his magic
[1190] 1:01:57	I
[1191] 1:01:58	vomit yeah don't vomit you spoil the
[1192] 1:02:01	meat for the next group of
[1193] 1:02:03	[Laughter]
[1194] 1:02:10	people oh
[1195] 1:02:13	man the fries were a bad idea the fries
[1196] 1:02:17	were a very bad
[1197] 1:02:18	idea the meat was the worst idea and and
[1198] 1:02:21	FY says to you what it didn't go and and
[1199] 1:02:25	get the word of wisdom from the
[1200] 1:02:30	Priestess say the same word of
[1201] 1:02:33	wisdom she says don't eat from
[1202] 1:02:39	KFC that's more than one word you idiot
[1203] 1:02:42	and I like shake the
[1204] 1:02:44	[Laughter]
[1205] 1:02:46	Cobalt you understand how words work
[1206] 1:02:49	don't
[1207] 1:02:53	you you decided to go with worldly
[1208] 1:02:56	wisdom you went for quantity instead of
[1209] 1:03:01	quality a lot of dead clerics ended up
[1210] 1:03:03	that
[1211] 1:03:07	way yep didn't they teach you at TS to
[1212] 1:03:10	check your
[1213] 1:03:13	sources um not really I I tend to just
[1214] 1:03:16	steal mine from whatever shows
[1215] 1:03:21	up you want chicken
[1216] 1:03:24	well you know the beast is just behind
[1217] 1:03:28	that wall over
[1218] 1:03:29	there good luck and if not well bone
[1219] 1:03:34	Appetit thank you very much all right
[1220] 1:03:36	we'll get that we get the carrot so
[1221] 1:03:39	Vinnie Slips Away into the
[1222] 1:03:42	darkness and
[1223] 1:03:43	now what remains is the
[1224] 1:03:48	Beast so why are we going into the belly
[1225] 1:03:51	of the Beast if it comes out to bother
[1226] 1:03:54	the humans I
[1227] 1:03:56	mean curiosity obviously
[1228] 1:04:01	like why is that or still alive are
[1229] 1:04:04	humans that's my real question why is
[1230] 1:04:06	that orc still
[1231] 1:04:07	alive he's not much of
[1232] 1:04:10	a I been fending off the the the Beast
[1233] 1:04:14	oh sure buddy oh yeah we got
[1234] 1:04:19	you okay
[1235] 1:04:21	so you advance forward
[1236] 1:04:25	and you get
[1237] 1:04:27	close very very
[1238] 1:04:30	close you can hear the
[1239] 1:04:34	breathing
[1240] 1:04:36	it's it's terrifying it's the CLE your
[1241] 1:04:40	hearts pound as you get ever ever closer
[1242] 1:04:43	to the
[1243] 1:04:45	p as you turn the corner you see the
[1244] 1:04:49	cave
[1245] 1:04:52	piled on the the very top of the pile of
[1246] 1:04:57	skeletons bleached
[1247] 1:05:00	white you
[1248] 1:05:02	see a small white
[1249] 1:05:05	rabbit oh no oh no oh no back up back
[1250] 1:05:12	up he sees
[1251] 1:05:16	you you have now
[1252] 1:05:20	encountered the robbit of
[1253] 1:05:23	kog
[1254] 1:05:25	offer him carrots offer him carrots I
[1255] 1:05:27	think we have one we have one
[1256] 1:05:30	carrot we have one carrot to save us and
[1257] 1:05:33	let's teach him something while we're at
[1258] 1:05:35	it we'll have a blessing over the carrot
[1259] 1:05:38	this is why this all happened we never
[1260] 1:05:39	blessed our food okay I can't believe we
[1261] 1:05:42	did that when I when I see the rabbit
[1262] 1:05:44	I'm gonna take the chicken and I'm gonna
[1263] 1:05:46	put it down on the ground I'm GNA see
[1264] 1:05:48	what he
[1265] 1:05:52	does well what spells do you guys have I
[1266] 1:05:56	have sanctuary and curite wounds I have
[1267] 1:05:59	purified food and drink so if he eats
[1268] 1:06:03	it all
[1269] 1:06:04	right he's he's getting ready to
[1270] 1:06:09	attack I'm God and I draw my carrot I
[1271] 1:06:12	got my carrot I'm all
[1272] 1:06:15	set spear is ready first Hy stack has
[1273] 1:06:18	the first turn what does he
[1274] 1:06:21	do uh I I push arcs character in front
[1275] 1:06:26	with a
[1276] 1:06:28	carrot that's
[1277] 1:06:30	grud all right that is that is a
[1278] 1:06:33	alignment
[1279] 1:06:36	violation
[1280] 1:06:39	neutral dang it all
[1281] 1:06:42	right grundt what do you do okay um I
[1282] 1:06:47	have a carrot so I'm going to let's see
[1283] 1:06:51	how do I how do I do this delicately um
[1284] 1:06:53	I'm going
[1285] 1:06:55	to uh go around the person who just
[1286] 1:06:59	pushed me and then hold the carrot out
[1287] 1:07:00	in front of
[1288] 1:07:02	them so I'm I'm using them as a human
[1289] 1:07:04	shield
[1290] 1:07:08	instead I I Repent of my previous
[1291] 1:07:11	actions and I say go right go for
[1292] 1:07:15	it it's not your turn yet you can't
[1293] 1:07:17	repent
[1294] 1:07:21	yet behind you
[1295] 1:07:26	holds out a
[1296] 1:07:29	carrot the rabbit just Squints at
[1297] 1:07:34	you like he's not
[1298] 1:07:38	satisfied with me
[1299] 1:07:41	carrot Caleb your
[1300] 1:07:44	turn just throw all the vegetables at
[1301] 1:07:47	him everything we've got I'm I'm out of
[1302] 1:07:50	vegetables oh useless aren't you
[1303] 1:07:54	sorry um I have a spear I'm I'm not
[1304] 1:07:57	going to to spear him um yet I'm going
[1305] 1:08:00	to maintain a defensive
[1306] 1:08:02	position so you attack the rabbit I'm
[1307] 1:08:06	maintaining a defensive position get
[1308] 1:08:09	behind me getting behind Hy Hees at
[1309] 1:08:12	you at me
[1310] 1:08:14	okay well
[1311] 1:08:18	then I guess it is the rolling of the
[1312] 1:08:21	combats yes combat now
[1313] 1:08:24	you
[1314] 1:08:26	got you did did you drew the spear right
[1315] 1:08:29	I was holding my spear like when we
[1316] 1:08:32	walked in yeah I said that I had it yeah
[1317] 1:08:35	yeah he's used the spear in a defensive
[1318] 1:08:37	position so that's a that's a that's an
[1319] 1:08:40	antagonistic move to the uh the rabbit
[1320] 1:08:44	of oh
[1321] 1:08:46	no you he's he's hit you for uh three
[1322] 1:08:50	hit points oh I'm still alive
[1323] 1:08:56	okay um your attack on him was
[1324] 1:08:58	completely unsuccessful or defense was
[1325] 1:09:00	completely
[1326] 1:09:02	unsuccessful okay
[1327] 1:09:05	awesome you lucked
[1328] 1:09:08	out okay Marlo what do you do I'll cast
[1329] 1:09:12	a bless on the
[1330] 1:09:14	party okay you cast a bless on The Party
[1331] 1:09:17	The Party gets uh plus one against
[1332] 1:09:22	fear first sensible hey stack your
[1333] 1:09:27	turn
[1334] 1:09:29	I what does command
[1335] 1:09:31	do command you give simple one-word
[1336] 1:09:34	commands
[1337] 1:09:36	and and they obey if they are not power
[1338] 1:09:41	if they're just a weak
[1339] 1:09:47	creature
[1340] 1:09:48	I repent for my previous actions
[1341] 1:09:55	and uh uh it's not your turn yet it's
[1342] 1:09:57	not it's Leroy's
[1343] 1:10:00	turn Leroy what do you
[1344] 1:10:06	do my holy
[1345] 1:10:08	symbol you hold up your holy symbol he's
[1346] 1:10:11	not
[1347] 1:10:14	impressed he attacks you you're
[1348] 1:10:18	dead
[1349] 1:10:20	no all right we've lost Leroy
[1350] 1:10:28	all right thank you for
[1351] 1:10:30	playing goodbye
[1352] 1:10:36	Leroy all
[1353] 1:10:38	right three of you
[1354] 1:10:42	left it is now our colus turn okay I'm
[1355] 1:10:47	going to dump the contents of a small
[1356] 1:10:49	treasury onto the rabbit so I'm just
[1357] 1:10:51	going to dump everything that I picked
[1358] 1:10:53	up at the Aventure on the rabbit so the
[1359] 1:10:55	chicken the quarter stuff the femur the
[1360] 1:10:57	dagger and the one
[1361] 1:11:00	carrot just every it all on the
[1362] 1:11:04	rabbit you dump your contents of of
[1363] 1:11:06	everything you have before the
[1364] 1:11:08	rabbit he ignores
[1365] 1:11:10	you the carrots in there he ignores
[1366] 1:11:15	you all
[1367] 1:11:20	right uh Caleb your turn
[1368] 1:11:25	um I am going to cast Sanctuary on
[1369] 1:11:32	myself okay he's totally not impressed
[1370] 1:11:35	but ignores you
[1371] 1:11:40	also Marlo I'll cast cast curite wounds
[1372] 1:11:45	on uh
[1373] 1:11:48	Caleb okay you cast uh curine wounds on
[1374] 1:11:53	on
[1375] 1:11:55	Caleb let's see what how how much he
[1376] 1:11:57	gets
[1377] 1:11:58	here he
[1378] 1:12:02	gets he gets one hit point back hooray I
[1379] 1:12:06	have five hit points that's
[1380] 1:12:11	awesome does my wisdom not play play
[1381] 1:12:13	into that at all no ah
[1382] 1:12:17	bummer all right
[1383] 1:12:20	so
[1384] 1:12:22	um
[1385] 1:12:25	next one here is arus your turn um well
[1386] 1:12:30	I've got nothing on me so I will give up
[1387] 1:12:33	and pretend to be a
[1388] 1:12:35	chicken as a form of Disguise okay you
[1389] 1:12:38	pretend to be a chicken he's still not
[1390] 1:12:40	impressed but he's kind of
[1391] 1:12:43	curious okay well pretending to be a
[1392] 1:12:50	chicken all right Caleb or sorry uh um
[1393] 1:12:54	yeah
[1394] 1:12:55	Caleb okay so he's he ignores us when we
[1395] 1:12:59	don't jab at him with Spears so it's
[1396] 1:13:02	probably a good idea to not jab at him
[1397] 1:13:04	with
[1398] 1:13:05	spear um I will attempt to pick up the
[1399] 1:13:09	carrot and offer it to him
[1400] 1:13:11	specifically all right how are you gonna
[1401] 1:13:13	offer it to him um with a gesture of
[1402] 1:13:20	gently um putting it in in his general
[1403] 1:13:26	direction um but and placing It On The
[1404] 1:13:31	Ground okay you place it on the ground
[1405] 1:13:33	before him you kneel before
[1406] 1:13:36	him and you offer him the
[1407] 1:13:39	carrot and he takes the
[1408] 1:13:43	carrot yay and starts munching on the
[1409] 1:13:48	carrot okay Marlo your turn yeah
[1410] 1:13:55	h i uh I will uh offer him some water
[1411] 1:14:00	from my water
[1412] 1:14:03	skin okay he appreciates that he
[1413] 1:14:06	appreciates
[1414] 1:14:08	that
[1415] 1:14:10	okay uh grund your
[1416] 1:14:14	turn um I don't really have anything
[1417] 1:14:17	left to offer
[1418] 1:14:19	him so I might just sit down and chill
[1419] 1:14:22	out you are our animal Handler you could
[1420] 1:14:24	just pick him up I mean with the
[1421] 1:14:27	chickens I I I will I will attempt to
[1422] 1:14:30	pet him
[1423] 1:14:32	gently oh he likes
[1424] 1:14:37	that he really likes
[1425] 1:14:40	that you have given him treats you've
[1426] 1:14:43	given him water and you've cuddled the
[1427] 1:14:48	rabbit what you've
[1428] 1:14:51	done now you alignment of the rabbit of
[1429] 1:14:56	kog
[1430] 1:14:58	changes from chaotic evil to chaotic
[1431] 1:15:04	neutral you have won a convert in Thea
[1432] 1:15:08	in the rabbit of kog and you have won
[1433] 1:15:11	the
[1434] 1:15:12	game y
[1435] 1:15:15	congratulations
[1436] 1:15:17	now the Cals are going to be really
[1437] 1:15:19	really angry with you no problem I've
[1438] 1:15:22	got a weapon
[1439] 1:15:24	for
[1440] 1:15:25	KFC kill kill the
[1441] 1:15:28	Infidel
[1442] 1:15:30	but that's a problem for another group
[1443] 1:15:33	of
[1444] 1:15:35	clerics we did it thank you very much
[1445] 1:15:37	for playing gentlemen I hope you enjoyed
[1446] 1:15:39	the
[1447] 1:15:40	adventure and uh this was our first s uh
[1448] 1:15:45	D&D game here at
[1449] 1:15:48	ETS thank you so much for
[1450] 1:15:51	playing lot fun okay okay so I'm GNA let
[1451] 1:15:55	you guys all go now we finished it here
[1452] 1:15:58	and it's a I hope you guys I hope the
[1453] 1:16:01	audience really enjoyed that
[1454] 1:16:03	too all right so we're gonna get back
[1455] 1:16:06	here and we're gonna start uh ask
[1456] 1:16:09	answering some questions for the rest of
[1457] 1:16:10	the
[1458] 1:16:11	night um
[1459] 1:16:14	move and let's start at the beginning
[1460] 1:16:17	here because I don't think we have any
[1461] 1:16:19	super chats here so no we have no super
[1462] 1:16:22	chats so we're just going to start
[1463] 1:16:24	answering
[1464] 1:16:26	questions all
[1465] 1:16:28	righty just going to go down the list
[1466] 1:16:33	here and let's see
[1467] 1:16:37	here question they're all following game
[1468] 1:16:40	yeah they're all following game that's
[1469] 1:16:41	cool well well we're we're good so we're
[1470] 1:16:43	done with the game now and we're just
[1471] 1:16:45	GNA go into some uh nons super chats
[1472] 1:16:48	here uh for the next couple hours and
[1473] 1:16:50	then we'll put a call T night so because
[1474] 1:16:53	I got to get on a plane tomorrow so I
[1475] 1:16:55	can't stay up too late so uh the first
[1476] 1:16:58	question here I'm going to take here is
[1477] 1:17:00	from uh children of Yahweh what Greek
[1478] 1:17:03	textbook would you
[1479] 1:17:05	recommend I would
[1480] 1:17:07	recommend um William ms's Greek textbook
