[0] 1:48	Heat. Hey, Heat.
[1236] 1:06:51	his field, but tends to be off base when
[1237] 1:06:53	it comes to actual history. He's lost a
[1238] 1:06:55	lot of his edge over the years. Um,
[1239] 1:06:59	he says a lot of things now that he
[1240] 1:07:02	never used would have never used to have
[1241] 1:07:04	said as a 40-year-old.
[1242] 1:07:07	So, a lot a lot of his edge has is he's
[1243] 1:07:12	lost a lot. He's forgotten a lot.
[1244] 1:07:16	So,
[1245] 1:07:18	um he was a lot sharper
[1246] 1:07:22	30 years ago. He's not so sharp today.
[1247] 1:07:26	So,
[1248] 1:07:33	mama says man is disingenuous and
[1249] 1:07:35	contradicts himself. Oh, yeah.
[1250] 1:07:36	frequently. Yeah, now he does anyway.
[1251] 1:07:44	But he's now getting into these issues
[1252] 1:07:46	more cuz here's the thing. 40 years ago,
[1253] 1:07:49	30 years ago, he would have stayed away
[1254] 1:07:50	from some of this stuff. Now he just
[1255] 1:07:52	sort of dives into it. And
[1256] 1:07:56	you know,
[1257] 1:07:59	[laughter] yeah,
[1258] 1:08:01	uh Patoule says, "Soldiers, hell that
[1259] 1:08:03	bloody corpse." Ew. The colonized
[1260] 1:08:06	peasantry can do that instead.
[1261] 1:08:09	Yeah, exactly.
[1262] 1:08:12	Well, they don't want to handle it.
[1263] 1:08:15	They they don't.
[1264] 1:08:22	>> Yeah.
[1265] 1:08:26	>> Well, soldiers have never cleaned up
[1266] 1:08:28	corpses. Not Not in ancient Rome. It's
[1267] 1:08:31	exact. I mean, Pui's got it right here.
[1268] 1:08:33	That's what That's what the peasants are
[1269] 1:08:34	for.
[1270] 1:08:36	You know, that's that's how that's how
[1271] 1:08:38	empires work. You get the pres you get
[1272] 1:08:41	the peasants to do it.
[1273] 1:08:46	So,
[1274] 1:08:49	yeah.
[1275] 1:08:52	Uhwami
[1276] 1:08:54	says he was on Myth Vision talking about
[1277] 1:08:56	how Moses never existed. And I'm sitting
[1278] 1:08:58	there like, how is he an authority on
[1279] 1:09:00	Moses? I know. I know. That was so bad.
[1280] 1:09:04	That was so bad. Especially when he
[1281] 1:09:06	forgot when he when he when he said I
[1282] 1:09:09	mean I I remember he went on Paulogia
[1283] 1:09:11	once and you know and he was critiquing
[1284] 1:09:14	Kennedy and there's lots to critique
[1285] 1:09:16	Kennedy on but Aramman said at one point
[1286] 1:09:20	you know why why what what does this
[1287] 1:09:23	have what does the killing of the
[1288] 1:09:24	firstborn have to do with the Exodus?
[1289] 1:09:28	What? [laughter]
[1290] 1:09:30	What?
[1291] 1:09:35	Dude's forgotten the story.
[1292] 1:09:38	He's forgotten his Sunday school.
[1293] 1:09:42	What does What does the killing of the
[1294] 1:09:44	firstborn have to do with the Exodus?
[1295] 1:09:46	Yeah, that was fun. [laughter]
[1296] 1:09:51	I was like, uh, did you miss the point
[1297] 1:09:53	about the Passover?
[1298] 1:09:58	go. I don't get it. I don't get it. What
[1299] 1:10:01	is What does the killing of the
[1300] 1:10:02	firstborn have to do with the Exodus?
[1301] 1:10:04	Don't actually
[1302] 1:10:13	Passover is just a Jewish holiday. You
[1303] 1:10:16	don't pick up any
[1304] 1:10:19	Jack Ray. How does one forget firstborn
[1305] 1:10:21	in Exodus? Here's how you do it.
[1306] 1:10:25	You become an atheist and then you never
[1307] 1:10:28	pick up the Bible again for the next 50
[1308] 1:10:30	years because you think you know it.
[1309] 1:10:34	That's how it happens.
[1310] 1:10:36	The I mean this is the reason why we on
[1311] 1:10:40	this channel whenever someone asks a
[1312] 1:10:42	Bible question we bring up the Bible.
[1313] 1:10:45	It's too easy to forget the details.
[1314] 1:10:50	And if you don't do that enough, if you
[1315] 1:10:52	don't bring up your Bible and you don't
[1316] 1:10:55	read it,
[1317] 1:10:57	you not only forget the details, you
[1318] 1:10:58	start forgetting the major events, too.
[1319] 1:11:01	And this is what's happened to to Airman
[1320] 1:11:03	is he's forgotten the big things cuz he
[1321] 1:11:06	stopped reading it. He stopped reading
[1322] 1:11:08	it 50 years ago. So,
[1323] 1:11:19	so
[1324] 1:11:30	Kwami says, "Oh, you you think Armen
[1325] 1:11:34	doesn't even read the Bible anymore?"
[1326] 1:11:35	Yeah. Yeah. I don't think he reads it
[1327] 1:11:37	anymore. Look, I mean, he's not alone in
[1328] 1:11:40	this. I've encountered a lot of Bible
[1329] 1:11:44	scholars who stopped reading the Bible
[1330] 1:11:47	decades ago. U and not just atheists.
[1331] 1:11:50	I've I I've encountered evangelicals
[1332] 1:11:51	that do this, too. Christians that do
[1333] 1:11:54	this, that stopped reading the Bible
[1334] 1:11:56	decades ago because they think they know
[1335] 1:11:58	it.
[1336] 1:12:05	>> Yeah.
[1337] 1:12:06	>> Yeah. recycle.
[1338] 1:12:10	>> Yeah.
[1339] 1:12:16	>> Scott Warin says man still knows the NT
[1340] 1:12:19	though. He does because he's memorized a
[1341] 1:12:21	lot of it. Um he's of that generation
[1342] 1:12:25	where the memorization of scripture was
[1343] 1:12:27	seen as part of the primary discipline.
[1344] 1:12:34	Well, so I mean while you can do that
[1345] 1:12:38	with say I mean there's been more than
[1346] 1:12:40	one person who's memorized the New
[1347] 1:12:42	Testament
[1348] 1:12:43	um and that that wasn't unusual in
[1349] 1:12:46	airman's generation to memorize the
[1350] 1:12:48	entire New Testament in Greek. That was
[1351] 1:12:51	very common.
[1352] 1:12:53	Um, there's been some people who who
[1353] 1:12:55	tried are trying to bring that back, but
[1354] 1:12:57	it's really hard to do in a day and age
[1355] 1:13:00	where you have so much secondary
[1356] 1:13:01	sources,
[1357] 1:13:04	but you can't memorize the entire Old
[1358] 1:13:07	Testament.
[1359] 1:13:08	It's just too big.
[1360] 1:13:11	So
[1361] 1:13:15	uh
[1362] 1:13:20	Patoule says even the English and new uh
[1363] 1:13:24	French new historicists are like sources
[1364] 1:13:27	sources sources primary sources make
[1365] 1:13:30	with the sources. It's all about
[1366] 1:13:32	sources. Yeah. It's all about sources.
[1367] 1:13:35	Yeah. So,
[1368] 1:13:40	MV Monson says, "When airman was
[1369] 1:13:43	questioned by Danny Jones on the Danny
[1370] 1:13:44	Jones podcast, it was evident he doesn't
[1371] 1:13:47	read the Bible." Yeah.
[1372] 1:13:50	Well, I mean, he got a lot of it in his
[1373] 1:13:52	uh at his time at Moody.
[1374] 1:13:57	Yeah. Bartman had got his bachelor's
[1375] 1:13:58	degree at Moody Bible Institute. Yeah.
[1376] 1:14:04	Yeah. So he got he got a lot of Bible
[1377] 1:14:06	there. He got a lot of Bible in his
[1378] 1:14:08	upbringing and he thought that's enough.
[1379] 1:14:12	And a lot of people end up, you know,
[1380] 1:14:16	with that attitude who go into
[1381] 1:14:20	um into
[1382] 1:14:24	[laughter]
[1383] 1:14:25	mama
[1384] 1:14:26	moody deep sigh.
[1385] 1:14:29	Yeah.
[1386] 1:14:31	Yeah. the uh deconstruction rate at
[1387] 1:14:34	Moody is not good,
[1388] 1:14:38	but that's a topic for another time.
[1389] 1:14:41	Okay, so let's move on here to the next
[1390] 1:14:43	super chat.
[1391] 1:14:49	Uh BC4YT for $5 Australian. Thank you
[1392] 1:14:53	for the super chat.
[1393] 1:14:55	The 60-second countdown music sounds
[1394] 1:14:58	like a cavern full of resonating
[1395] 1:14:59	crystals. Was it inspired by your time
[1396] 1:15:03	as a gem master? Um,
[1397] 1:15:07	no it wasn't.
[1398] 1:15:09	It was actually inspired
[1399] 1:15:12	by the song Tubular Bells,
[1400] 1:15:16	but instead of being tubular bells,
[1401] 1:15:18	which actually to be honest in in the
[1402] 1:15:21	song uh tubular bells, there aren't very
[1403] 1:15:24	many tubular bells, but it was more
[1404] 1:15:26	inspired by the idea of of of
[1405] 1:15:30	a crystal cave.
[1406] 1:15:33	I I kind of envisioned like a crystal
[1407] 1:15:35	cave where say crystals would would
[1408] 1:15:38	would
[1409] 1:15:40	resonate and basically ting against each
[1410] 1:15:43	other. So So that was my inspiration for
[1411] 1:15:47	the song. Hope that helps. Thank you for
[1412] 1:15:50	the super chat.
[1413] 1:15:59	Okay.
[1414] 1:16:01	Uh BC4YT
[1415] 1:16:03	uh $2 for $2 Australian. Thank you for
[1416] 1:16:05	the super chat. What are the sources?
[1417] 1:16:08	What sources for the battles you
[1418] 1:16:10	mentioned? Okay.
[1419] 1:16:12	Um the sources for the battle of Karkar
[1420] 1:16:16	are from the annals of Tiglath Pazer. I
[1421] 1:16:20	think it's the third. And uh it was a it
[1422] 1:16:25	was one of the historical prisms. Okay.
[1423] 1:16:28	So that's the source for that. Now the
[1424] 1:16:31	battle of Caramish we actually have
[1425] 1:16:34	Babylonian annals for that.
[1426] 1:16:37	So so for Carameish we've got the
[1427] 1:16:40	Babylonian annals or the Mesopotamian
[1428] 1:16:43	annals. Um and you can find that for
[1429] 1:16:46	example I believe is it Sasson's book?
[1430] 1:16:49	Let me just double check that. Oh,
[1431] 1:16:56	you can find that in the Assyrian and
[1432] 1:16:58	Babylonian uh the Assyrian and
[1433] 1:17:02	Babylonian Chronicles by Grayson.
[1434] 1:17:05	So Grayson's where you'll find that.
[1435] 1:17:08	Okay. So, uh that's where you're going
[1436] 1:17:11	to find that sort of stuff. Car car,
[1437] 1:17:14	that's going to be in the historical
[1438] 1:17:16	prisms. So, you'd have to probably look
[1439] 1:17:18	it up into um that. And it was seen as
[1440] 1:17:21	an incredible failure by Tiglath Blazer.
[1441] 1:17:24	Tiglath Blazer that was his probably his
[1442] 1:17:26	big failure was at the battle of Karkar.
[1443] 1:17:30	And much of that prism goes into the
[1444] 1:17:32	explanation of of how the king of of
[1445] 1:17:35	Assyria failed the gods [snorts] and and
[1446] 1:17:39	it led to this decay that caused uh the
[1447] 1:17:43	Assyrians defeat at the hands of that um
[1448] 1:17:47	Levventine coalition. So,
[1449] 1:17:53	uh, so hope that helps.
[1450] 1:17:58	So, those are the sources you can look
[1451] 1:17:59	up for that.
[1452] 1:18:03	Okay.
[1453] 1:18:05	Dark hard binks. Let's hope not.
[1454] 1:18:08	[laughter]
[1455] 1:18:15	Next. the at mystery one here.
[1456] 1:18:22	You mentioned Midian were descendants of
[1457] 1:18:25	Ishmamail, but aren't Midionites
[1458] 1:18:27	descendants of Abraham? Genesis 25:2.
[1459] 1:18:30	Yes. Here's here's what's going on with
[1460] 1:18:32	with Midian. Okay. Now, Midian
[1461] 1:18:35	Midionites and Ishelites
[1462] 1:18:38	are
[1463] 1:18:40	two different ethnic designations. Okay.
[1464] 1:18:45	A Midionite
[1465] 1:18:46	is a reference to
[1466] 1:18:50	location.
[1467] 1:18:51	Okay, that's a geographic ethnm.
[1468] 1:18:55	An Ishelite
[1469] 1:18:57	is a tribal ethnm.
[1470] 1:19:01	So, it is possible to be an Ishelite
[1471] 1:19:05	living in Midian, which makes that
[1472] 1:19:07	Ishelite also a Midianite.
[1473] 1:19:11	That's how it works.
[1474] 1:19:15	The same way as a Vancouverite can also
[1475] 1:19:17	be a Canadian. [laughter]
[1476] 1:19:21	Okay.
[1477] 1:19:29	Yeah. Well, Kebeekqua is also a
[1478] 1:19:31	Canadian, too. But hey,
[1479] 1:19:34	they don't think so, but they are.
[1480] 1:19:36	[laughter]
[1481] 1:19:40	So, so you can have same person could
[1482] 1:19:44	have multiple ethnmic designations.
[1483] 1:19:48	So,
[1484] 1:19:50	so uh Midianites are descendants of
[1485] 1:19:53	Abraham because Ishelites are
[1486] 1:19:56	descendants of Abraham.
[1487] 1:19:58	See how that works?
[1488] 1:20:04	Uh Scott Warin, Midianite of Eastern
[1489] 1:20:07	Sinai, Negev, and adjacent part of
[1490] 1:20:09	Hijaz. I I think by Hijaz you mean uh
[1491] 1:20:12	the Arabian Peninsula if you were if
[1492] 1:20:15	that's what you mean cuz I'm not I'm not
[1493] 1:20:16	familiar with that term Hijaz uh but I
[1494] 1:20:18	know it as the Arabian Peninsula. So
[1495] 1:20:20	yeah uh Midian included eastern Sinai
[1496] 1:20:25	Edom and um the western side of the
[1497] 1:20:30	Arabian Peninsula. That was Midian.
[1498] 1:20:33	Okay. At least in the late Bronze Age.
[1499] 1:20:36	Once uh once Edom establishes itself as
[1500] 1:20:39	a kingdom,
[1501] 1:20:41	uh Midian shrinks to the western coast
[1502] 1:20:46	of of the Arabian Peninsula. But
[1503] 1:20:50	but yeah, that's that's really what's
[1504] 1:20:52	going on there.
[1505] 1:20:55	Yeah. Near Mecca,
[1506] 1:20:59	uh the Negv is is the desert. Okay. The
[1507] 1:21:03	negv actually stretches
[1508] 1:21:05	from Jordan
[1509] 1:21:08	all the way across um
[1510] 1:21:11	across Adam
[1511] 1:21:14	and into all the way to Gaza. Okay. So,
[1512] 1:21:20	uh the negative is includes Edom, but it
[1513] 1:21:25	doesn't it's not Edom is not all of the
[1514] 1:21:28	NGV.
[1515] 1:21:30	Now, one of the interesting things we
[1516] 1:21:32	need to point out too
[1517] 1:21:34	is that Edom was not always the Ngev.
[1518] 1:21:39	The Ngev is a deserted region. Uh, in
[1519] 1:21:43	the late Bronze Age,
[1520] 1:21:46	uh, Edom had wheat fields.
[1521] 1:21:49	It wasn't always a desert.
[1522] 1:21:51	Moab wasn't always a desert. This came
[1523] 1:21:55	up actually in a really interesting
[1524] 1:21:57	paper that I heard at uh at ETSS this
[1525] 1:22:00	year.
[1526] 1:22:02	So, um there was a a um an ETS paper
[1527] 1:22:07	that talked about
[1528] 1:22:10	um that talked about Moab as being
[1529] 1:22:14	covered in wheat fields.
[1530] 1:22:18	It was really really interesting. And if
[1531] 1:22:22	you take into account say the biblical
[1532] 1:22:24	narratives
[1533] 1:22:26	like like the narrative with Lot, Lot
[1534] 1:22:30	goes to Moab
[1535] 1:22:33	and moves southward because of
[1536] 1:22:37	the green fields he sees.
[1537] 1:22:42	Naomi
[1538] 1:22:43	goes to
[1539] 1:22:45	to um Moab because of of the of the
[1540] 1:22:51	wheat fields.
[1541] 1:22:54	So,
[1542] 1:22:59	oh yeah. Oh yeah. Scott Worth and says
[1543] 1:23:02	paleoclimatology allows the Bible to
[1544] 1:23:04	make sense. Absolutely. You have to
[1545] 1:23:07	account for the paleoclimatology.
[1546] 1:23:09	Sinai in the late Bronze Age was a
[1547] 1:23:11	savannah. It wasn't a desert. I mean
[1548] 1:23:14	when I I mean I gave that I gave a paper
[1549] 1:23:17	on this talking about the climatology of
[1550] 1:23:21	of the Sinai in the late Bronze Age
[1551] 1:23:23	where we have like ample evidence
[1552] 1:23:26	that the Sinai was covered in grasslands
[1553] 1:23:32	hadacia almond trees
[1554] 1:23:36	um and even some olive trees and
[1555] 1:23:42	um even had wild name.
[1556] 1:23:47	So
[1557] 1:23:49	this whole idea that the whole area was
[1558] 1:23:54	um always a desert is just factually
[1559] 1:23:57	untrue.
[1560] 1:24:00	I mean to think that Jordan was once a
[1561] 1:24:03	lush agricultural land.
[1562] 1:24:06	Yeah, it's crazy to think considering
[1563] 1:24:08	what what Jordan is like today.
[1564] 1:24:12	But
[1565] 1:24:14	boy,
[1566] 1:24:15	things have changed. Like uh most people
[1567] 1:24:18	don't even realize that for example
[1568] 1:24:22	that Israel
[1569] 1:24:24	had a huge swamp that cut the country
[1570] 1:24:28	right down the center.
[1571] 1:24:32	Huge swamp. An impassible swamp.
[1572] 1:24:36	Uh the land of the Philistines, which is
[1573] 1:24:39	the coastal plane.
[1574] 1:24:42	And the Judeian foothills was separated
[1575] 1:24:44	by this swamp.
[1576] 1:24:47	And there were hippos living in that
[1577] 1:24:49	swamp.
[1578] 1:24:55	This is one of the reasons why
[1579] 1:24:57	uh say when the Egyptians uh did their
[1580] 1:25:03	um campaigns into the Gian Judeian
[1581] 1:25:05	foothills, they had to travel up the
[1582] 1:25:08	coastal plane,
[1583] 1:25:10	go to um to near uh um Jezrael Valley
[1584] 1:25:14	and use the Jezrael Valley to cut back
[1585] 1:25:16	over eastward to come back down into the
[1586] 1:25:22	Judeian foothills. It's because they had
[1587] 1:25:24	to go entirely around that swamp. They
[1588] 1:25:27	couldn't cut across it.
[1589] 1:25:30	So,
[1590] 1:25:33	it's crazy to think about it seeing what
[1591] 1:25:35	the climate is like today, but it was a
[1592] 1:25:38	wetter time. There was a lot more
[1593] 1:25:40	precipitation.
[1594] 1:25:42	Um, they used to get uh the area used to
[1595] 1:25:45	get seasonal torrential rains.
[1596] 1:25:48	Um,
[1597] 1:25:49	as I said, Sinai was was a savannah.
[1598] 1:25:53	Moab and Edom had wheat fields and
[1599] 1:25:57	[laughter]
[1600] 1:26:05	Israelites [laughter]
[1601] 1:26:06	to Philistines. This is my swamp.
[1602] 1:26:11	[laughter]
[1603] 1:26:12	>> Michael Geese says that would deprive
[1604] 1:26:14	the hippos of snacks. [laughter]
[1605] 1:26:20	Not a good foodie section. There was a
[1606] 1:26:22	there was an American scheme to uh to
[1607] 1:26:25	populate the Mississippi with hippos for
[1608] 1:26:28	food.
[1609] 1:26:30	Yeah. Didn't work out. But
[1610] 1:26:34	yeah, they wanted to some guy wanted to
[1611] 1:26:37	populate the the the Mississippi River
[1612] 1:26:39	with hippos
[1613] 1:26:42	as a food animal.
[1614] 1:26:47	[laughter]
[1615] 1:26:48	>> Yeah. It was probably their first snack.
[1616] 1:26:51	Yeah.
[1617] 1:26:53	Hippo meat. Yeah. Yeah. The guy was
[1618] 1:26:56	thinking the guy was thinking hippo
[1619] 1:26:58	meat. Mama says, "Oh my word."
[1620] 1:27:06	Um, the 19th century was good times.
[1621] 1:27:08	Good times. [laughter]
[1622] 1:27:13	Hippo is edible.
[1623] 1:27:15	I don't know how.
[1624] 1:27:17	>> Just [laughter] really dangerous animal
[1625] 1:27:19	to try to kill.
[1626] 1:27:22	You're not going to do
[1627] 1:27:24	>> Yeah, you're not going to domesticate
[1628] 1:27:25	hippos. It just ain't happening.
[1629] 1:27:30	Incredibly dangerous animals.
[1630] 1:27:34	I mean, these are animals that kill
[1631] 1:27:35	crocodiles on a regular basis.
[1632] 1:27:39	[laughter]
[1633] 1:27:41	>> Yeah. For fun. Yeah. Yeah. Crocs stay
[1634] 1:27:46	well away from
[1635] 1:27:49	uh hippos for a reason.
[1636] 1:27:53	He versus an classic barbecue hippo.
[1637] 1:27:56	Yeah. Will [laughter]
[1638] 1:27:59	uh Michael B. Uh hippos can swim faster
[1639] 1:28:03	than humans on land, run faster than
[1640] 1:28:05	humans on land, and are happy to eat
[1641] 1:28:07	humans. Yeah, they they're Yeah, they're
[1642] 1:28:10	Whoa. Yeah.
[1643] 1:28:12	Hippos are best.
[1644] 1:28:15	>> Yeah. Best leave a hippo alone. Yeah.
[1645] 1:28:20	Uh, kangaroo is edible, too. I've had
[1646] 1:28:22	kangaroo. I've had kangaroo. Uh, tough
[1647] 1:28:26	and gy. Tough and gy. Did not care for
[1648] 1:28:30	kangaroo.
[1649] 1:28:34	It was not good. Was not good. I
[1650] 1:28:36	wouldn't I wouldn't eat kangaroo again
[1651] 1:28:37	by choice.
[1652] 1:28:48	Okay.
[1653] 1:28:51	So, let's move on to the next one here,
[1654] 1:28:55	which is
[1655] 1:28:57	um are there any peoples today that we
[1656] 1:29:00	can definitively say are descendants of
[1657] 1:29:02	Ishmael? No. Okay. Here's what happened
[1658] 1:29:07	to the Ishelites.
[1659] 1:29:09	Again, thank you at for your super chat.
[1660] 1:29:12	Um
[1661] 1:29:16	they uh
[1662] 1:29:19	the Ishelites in the 10th in the 10th
[1663] 1:29:21	century BC what started happening was
[1664] 1:29:24	that Arabic tribes from eastern Arabia
[1665] 1:29:29	started moving westward.
[1666] 1:29:32	They started moving westward and that
[1667] 1:29:33	drove the IshRaelites out of the Arabian
[1668] 1:29:36	Peninsula and they started moving north
[1669] 1:29:38	into Jordan. Now once they enter Jordan,
[1670] 1:29:43	they start disappearing.
[1671] 1:29:45	They start losing their nomadic
[1672] 1:29:47	lifestyle because because Moab
[1673] 1:29:52	wasn't a place that was conducive to
[1674] 1:29:56	um um to nomadic pastoralists.
[1675] 1:30:01	It really wasn't. Moab at the time of
[1676] 1:30:05	the early Iron Age, Iron Age 1 and two,
[1677] 1:30:08	was really an agricultural
[1678] 1:30:11	country at that point. So it wasn't it
[1679] 1:30:14	wasn't a country
[1680] 1:30:17	where you got a lot of nomads. So no
[1681] 1:30:20	Bedwin.
[1682] 1:30:22	So it was it was it was basically a a
[1683] 1:30:26	country divided by wheat fields and
[1684] 1:30:28	agricultural plots.
[1685] 1:30:31	So
[1686] 1:30:34	when the Ishelites moved into into
[1687] 1:30:38	places like Edom and Moab and Ammon,
[1688] 1:30:41	they just had they just assimilated.
[1689] 1:30:43	They just assimilated. And once they
[1690] 1:30:45	assimilated, they lost their their their
[1691] 1:30:47	their
[1692] 1:30:49	um their culturally distinctive
[1693] 1:30:52	lifestyle.
[1694] 1:30:53	And that was more or less the end of the
[1695] 1:30:55	Ishelites.
[1696] 1:30:58	you know, they probably lasted another
[1697] 1:31:00	couple centuries or two, but that was
[1698] 1:31:03	it. They didn't really make it past the
[1699] 1:31:06	8th century. So, there's no there's no
[1700] 1:31:11	people group living today that we could
[1701] 1:31:14	say were certain are descendants of the
[1702] 1:31:17	IshRaelites. So, they just sort of they
[1703] 1:31:19	didn't make it. And again, that's
[1704] 1:31:22	because they assimilated with the
[1705] 1:31:23	Moabites and the Ammonites and those
[1706] 1:31:25	people groups disappeared, too. So,
[1707] 1:31:29	hope that helped. Thank you for the
[1708] 1:31:30	super chat. Very much appreciated.
[1709] 1:31:38	Okay, next question here. If vinegar
[1710] 1:31:40	represents the crucifixion, why would
[1711] 1:31:42	they serve it for the Eucharist? They
[1712] 1:31:45	don't. [laughter]
[1713] 1:31:47	We are remembering his sacrifice.
[1714] 1:31:49	Vinegar is the one thing that most um
[1715] 1:31:56	um
[1716] 1:31:57	most churches do not say is um is
[1717] 1:32:03	allowed. Okay. Wine, yes. Grape juice,
[1718] 1:32:08	yes. Vinegar,
[1719] 1:32:12	that but that that's the thing. Here's
[1720] 1:32:14	the thing. It's it's the vinegar portion
[1721] 1:32:17	is meant to humiliate.
[1722] 1:32:20	Okay. It's meant to humiliate Christ.
[1723] 1:32:23	That's why it's not served as as
[1724] 1:32:26	something to
[1725] 1:32:28	during the Eucharist. Now, that again
[1726] 1:32:31	two
[1727] 1:32:33	um vinegar is really unpleasant to
[1728] 1:32:35	drink. It's really unpleasant to drink.
[1729] 1:32:38	There are drinking vinegars. I know that
[1730] 1:32:40	there are Koreans that that do make
[1731] 1:32:42	drinking vinegars and they're very
[1732] 1:32:44	sweet, but they're also they also have
[1733] 1:32:47	that acidic bite and they're often used
[1734] 1:32:50	as a mixer. Okay. But
[1735] 1:32:56	but it's it's
[1736] 1:32:58	as I said, it's it's something that
[1737] 1:33:00	would be verboden
[1738] 1:33:02	at at any eukarist
[1739] 1:33:05	eucharistic um ritual.
[1740] 1:33:11	because it's just it's just
[1741] 1:33:14	it was it was it was a a drink of
[1742] 1:33:16	humiliation
[1743] 1:33:18	and it doesn't represent the blood of
[1744] 1:33:20	Christ. It represents the humiliation
[1745] 1:33:23	that the Romans inflicted upon Christ on
[1746] 1:33:26	the cross. So it doesn't represent
[1747] 1:33:30	crucifixion
[1748] 1:33:31	in the way that you think it does.
[1749] 1:33:35	It's not doesn't rec uh remember his
[1750] 1:33:38	sacrifice. It remembers his humiliation.
[1751] 1:33:42	So
[1752] 1:33:55	um Michael Gos, white vinegar can be
[1753] 1:33:57	useful for stomach troubles. Oh yeah,
[1754] 1:33:59	sure. I mean there are
[1755] 1:34:01	um I mean vinegars are are great. great
[1756] 1:34:04	on vinegarettes.
[1757] 1:34:06	They're great for sauces. I mean,
[1758] 1:34:10	there's a lot of ways you can use
[1759] 1:34:12	vinegar. Apple cider vinegar. There are
[1760] 1:34:14	people who drink apple cider vinegar.
[1761] 1:34:16	Okay, that's fine. Um, it's not really
[1762] 1:34:20	pleasant.
[1763] 1:34:24	Animal New says, "Vinegar with water
[1764] 1:34:27	kills your thirst." Yeah, but so does
[1765] 1:34:28	lemon juice, too. And lemon juice is a
[1766] 1:34:30	lot more pleasant, honestly.
[1767] 1:34:35	So,
[1768] 1:34:38	um, vinegar has its uses, just not on
[1769] 1:34:42	the on the communion table. Okay.
[1770] 1:34:49	Yeah.
[1771] 1:34:53	Uh, Patouille says, "Vine was also used
[1772] 1:34:55	on the soporrific sponge. A terrifying
[1773] 1:34:57	way to awaken the senses while you're
[1774] 1:34:59	being tortured." Yeah. Yeah. Basically,
[1775] 1:35:02	as you're being tortured, they put
[1776] 1:35:04	vinegar in your wounds. Fun.
[1777] 1:35:20	Count of Marcy says, "The Roman soldiers
[1778] 1:35:22	tried to feed Jesus gull and vinegar on
[1779] 1:35:24	the cross." Yeah. Um,
[1780] 1:35:30	okay. What's Gull?
[1781] 1:35:32	Gaul
[1782] 1:35:34	is
[1783] 1:35:35	basically,
[1784] 1:35:38	okay, how do I explain G? Um,
[1785] 1:35:42	you have an oak tree
[1786] 1:35:44	and a wasp plants a
[1787] 1:35:50	parasitic wasp that that called the gall
[1788] 1:35:52	wasp plants a larvae inside of the
[1789] 1:35:58	branch the soft branch of an oak tree.
[1790] 1:36:03	What happens is over time
[1791] 1:36:06	uh if if the if the um if the larvae
[1792] 1:36:10	doesn't merge which happens frequently
[1793] 1:36:13	the oak tree starts attacking
[1794] 1:36:16	the the insect
[1795] 1:36:19	and what happens is it starts attacking
[1796] 1:36:23	it with cannons
[1797] 1:36:25	and it sort of builds this sort of ball
[1798] 1:36:29	this wood ball around the infection.
[1799] 1:36:33	Okay.
[1800] 1:36:35	Um, gull is used in, for example, in
[1801] 1:36:38	inks because it's it's very dark and
[1802] 1:36:41	tannin. It's also a poison.
[1803] 1:36:46	Okay. And that's that's what's being how
[1804] 1:36:48	it was being used here. So, they were
[1805] 1:36:52	basically serving him
[1806] 1:36:55	a vinegar mixed with a poison.
[1807] 1:36:59	Now, here's the thing. Gaul is
[1808] 1:37:02	exceptionally bitter.
[1809] 1:37:04	So, um, while Christ was served vinegar
[1810] 1:37:10	and g,
[1811] 1:37:12	he didn't drink of it. He tasted it,
[1812] 1:37:15	discovered it was vinegar and g, and
[1813] 1:37:18	rejected it
[1814] 1:37:21	because he wasn't taking the easy way
[1815] 1:37:23	out.
[1816] 1:37:25	He would drink of the vinegar, but not
[1817] 1:37:28	the vinegar and gulp.
[1818] 1:37:31	because that's that's a poison. It's
[1819] 1:37:34	meant to end things quick
[1820] 1:37:37	or quicker.
[1821] 1:37:41	So that's G. It's basically a something
[1822] 1:37:45	you find on oak trees.
[1823] 1:37:47	Uh it was used a lot in say for example,
[1824] 1:37:50	one of the things it was used for is
[1825] 1:37:53	medieval inks. Okay. What they would do
[1826] 1:37:56	is take g, smash it up, combine it with
[1827] 1:38:01	oil
[1828] 1:38:02	in a pot, and then boil the pot.
[1829] 1:38:08	And what would happen is the um the oil
[1830] 1:38:12	would start to um polymerize
[1831] 1:38:16	and it would create this sticky ink.
[1832] 1:38:20	And this works really, really well with
[1833] 1:38:23	type.
[1834] 1:38:27	That's what they that was the secret of
[1835] 1:38:28	the printing press. Okay.
[1836] 1:38:31	>> England.
[1837] 1:38:33	>> Mhm.
[1838] 1:38:34	>> China.
[1839] 1:38:34	>> This is why Yeah. This is why European
[1840] 1:38:36	printing presses, this is the Gutenberg
[1841] 1:38:39	formula.
[1842] 1:38:42	Okay. This is the Gutenberg formula.
[1843] 1:38:45	Um, and this is what I mean there were
[1844] 1:38:47	printing presses before Gutenberg, but
[1845] 1:38:48	they weren't successful. And the reason
[1846] 1:38:50	why was because
[1847] 1:38:53	um
[1848] 1:38:55	in the case of they would have to use
[1849] 1:38:57	wood blocks because they were using
[1850] 1:38:59	water-based inks.
[1851] 1:39:02	You see the printing press h was only
[1852] 1:39:04	half of Gutenberg's invention. The other
[1853] 1:39:07	half was the use of gall ink.
[1854] 1:39:11	And gall ink is
[1855] 1:39:15	is basically it sticks to metal. And if
