[0] 0:10	so [Music]
[467] 52:07	and then any children you have afterwards are your children okay
[468] 52:13	so um this is um so what onan does here is
[469] 52:22	instead of say completing the marital act
[470] 52:28	with his brother's widow he lets his seed fall to the ground
[471] 52:35	the sin here is not um
[472] 52:41	the sin here is not that he is um
[473] 52:46	and i said self-pleasuring himself that's that's not the sin here the sin here is not
[474] 52:52	self-pleasure the sin here is that he is trying to
[475] 52:57	destroy his brother's um posterity
[476] 53:02	you know essentially a violation of the clan it's a violation of the clan
[477] 53:09	and clan integrity okay now we don't know why onan hated
[478] 53:15	his brother that much that that that he would just do this instead
[479] 53:21	but there does seem to be that that that intense hatred here between onan and his brother that he would do this
[480] 53:28	instead of it so that's the best explanation i think
[481] 53:33	there is for this particular act is that it just just tears apart
[482] 53:39	clan integrity and we have to really understand that the clan integrity is just
[483] 53:45	part in part it's integral to israelite society
[484] 53:50	the worst thing you can do is betray your clan that is the absolute one of the absolute
[485] 53:55	worst things you can do uh in ancient eastern cultures if you if you betray your clan if you
[486] 54:02	tear apart your clan that's that's almost the that's that's a really really serious matter
[487] 54:10	and i think this is why he was struck dead it's because he's he's tearing apart the clan of judah here
[488] 54:17	in order to settle a a petty vendetta
[489] 54:22	so anyway that's what's happening in this passage to in pg-13 terms
[490] 54:29	okay thank you very much for the super chat very much appreciate it
[491] 54:37	okay uh uh cheese one uh for australian five
[492] 54:43	dollars thank you very much for the super chat hi dr faulk what were forges and kilns
[493] 54:49	fired with if wood was so expensive it's a good question that is assuming
[494] 54:54	that wood and versus metal chest versus clay jar uh
[495] 55:00	cost roughly the same okay now the egyptians did import wood
[496] 55:07	um they did have scrub species okay they did have that they did have some small
[497] 55:12	scrub species that they could use for firing kilns for firing a lot of kilns
[498] 55:19	were fired with um with re dried reeds and hay and that sort of thing they did
[499] 55:26	have a lot of agricultural chaff they could burn um there's even some evidence that dung
[500] 55:32	was used as a fuel to fuel uh to to fire clays
[501] 55:37	now i don't know if i would want to eat bread that was fired in a dung fired
[502] 55:42	clay uh kiln but you know i'm not the one eating it so
[503] 55:49	there are alternate sources of fuel that don't require wood now
[504] 55:55	some kilns and forges require wood um just because the temperatures need it
[505] 56:01	especially in smelting operations now a lot of smelting operations in
[506] 56:07	ancient egypt were done outside of egypt proper um or on the periphery of egypt like for
[507] 56:13	example um at cerebel cotton uh smelting operations were done there
[508] 56:19	and they would have used wood that was found in the sinai peninsula and during the bronze age there were
[509] 56:26	still sources of wood out in the cyanide that they could use they could take acacia wood chop it down and use that to
[510] 56:32	fire their kilns and their smelts smelters
[511] 56:38	at buhan they would have had access to wood from say kush
[512] 56:43	and up through say the middle kingdom uh kush still had some forests
[513] 56:51	that the egyptians did import wood from we do have one account of
[514] 56:56	of magi being hired by the kings of mid of the middle kingdom to go chop wood
[515] 57:03	from um kush and bring it back so we do have some some evidence that
[516] 57:11	egypt did have wood in its where it had hegemonic control
[517] 57:18	so wood was very expensive especially large pieces large planks large logs those
[518] 57:25	were very expensive they were generally reserved for funerary um
[519] 57:31	works but the scraps the remains the bark that's
[520] 57:37	still uh burnable and still usable as as fuel so anyway i hope that answers your
[521] 57:44	question very much appreciate it good question um i like questions on archaeomythology because it is one of
[522] 57:50	the fields that i did a lot of study on and even published in it so um it's a for me this is very very interesting
[523] 57:56	stuff so i do appreciate that question okay
[524] 58:06	rg strategy for five dollars uh thank you very much uh do you think ramsey's the third was
[525] 58:11	assassinated yes i do um uh for two reasons why i think he was
[526] 58:18	assassinated one we do have the harem conspiracy papyrus um that um
[527] 58:24	talks about the trial that ramses iv
[528] 58:30	puts on for the um the criminals that were involved in the conspiracy to
[529] 58:39	assassinate ramses the third now the harem conspiracy papyrus
[530] 58:44	does not actually specify whether ramses iii was actually killed by the
[531] 58:50	conspirators or not only the trial that took place
[532] 58:57	however the examination of the mummy of um ramses
[533] 59:03	iii uh revealed that there was there is an incision that goes right across the
[534] 59:09	throat so this is not an incision that you find happen during the mummification process
[535] 59:16	that is a pre-mortem incision
[536] 59:22	so it's pretty much confirmed now that ramses iii was
[537] 59:28	um killed by a knife cut to the throat he was essentially you know
[538] 59:35	slit he had his throat slit so um it's it's very clear i think from the
[539] 59:41	evidence now and i think you'll find that this has become consensus thinking uh within egyptology that romans iii was
[540] 59:49	actually assassinated i know for many years that um that this was highly debated and you'll still find
[541] 59:55	articles out there that still might debate this but i don't think anyone's serious debates it now
[542] 1:00:00	uh the postmortem on on the mummy is pretty much com conclusive on this has settled this question
[543] 1:00:07	so uh thank you very much for the question very much appreciated
[544] 1:00:16	okay uh matthew harrell for 4.99 thank you
[545] 1:00:22	very much for the super chat hmm
[546] 1:00:27	do you think it's possible that the characters in homer's iliad could be tribes the way adam was a tribe
[547] 1:00:36	uh sorry it's not in egypt question hmm
[548] 1:00:42	okay um i did read the iliad in college it's been a long time since i looked at the iliad
[549] 1:00:48	um i don't know
[550] 1:00:54	and i'm going to say i don't know here because i don't know greek culture enough to know if it had
[551] 1:01:00	say those that that try those tribal affiliations that we find in more semitic and ancient
[552] 1:01:06	near eastern cultures um hmm
[553] 1:01:13	yeah um
[554] 1:01:19	the it's true the greek um
[555] 1:01:25	greek polity um seems to have been much much more along say small kingdoms island city-states or
[556] 1:01:32	island states then it does seem to be amongst tribes or clans so i don't think a tribal model
[557] 1:01:39	me is the best model for for greece um but there is a say uh sort of a
[558] 1:01:47	kingdom uh said a small set of kingdoms in the archipelago but i also don't think that we can
[559] 1:01:55	necessarily do tribes in the same way as we do say in more ancient near eastern now that's not saying there aren't
[560] 1:02:00	tribes amongst the greeks i just don't know so um it's this is one of those things
[561] 1:02:07	that i i just can't answer because i don't know uh 13th century
[562] 1:02:13	greek culture as well as i say understand ancient near eastern culture
[563] 1:02:19	so maybe but don't know thank you very much for the super chat
[564] 1:02:24	though very much appreciated
[565] 1:02:29	okay cnmk for 9.99 thank you very much for the super chat
[566] 1:02:35	can you discuss compare temple design in ancient nearies to early catholic
[567] 1:02:40	orthodox basilica design is the influence only roman or is it
[568] 1:02:45	jewish or more broadly near eastern okay
[569] 1:02:51	um i am not that familiar with
[570] 1:02:58	basilica design now uh as i uh do uh archaeology in
[571] 1:03:03	ancient egypt i do encounter um christian churches that uh sort of early
[572] 1:03:10	christian churches that pop up during say the uh coptic era
[573] 1:03:16	and that's probably the the best i know generally these churches are um face uh east to west
[574] 1:03:25	so um they um sort of
[575] 1:03:30	run um in sort of the same sort of uh
[576] 1:03:35	pattern that we find say egyptian temples uh
[577] 1:03:40	from what i understand i mean egyptian temples are oriented uh so that they are uh also face east to
[578] 1:03:48	west but that's because they are facing the river
[579] 1:03:53	from what i understand that there's a theological reason though why christian churches face east to west in that it's
[580] 1:04:01	expected that the son of man will return from the east so there's a theological reason why
[581] 1:04:08	christian churches are in that face in that direction now in the case of say um
[582] 1:04:17	say egyptian temples most of them have a design where you the
[583] 1:04:23	very center of the temple is the most holy place and then it sort of
[584] 1:04:29	becomes more concentric circles of holiness as it goes out
[585] 1:04:35	so as the further out you get from that center the less holy place you are in the temple
[586] 1:04:41	in the case of say church designs early church designs that
[587] 1:04:46	i see in say egypt you don't have that sort of separation
[588] 1:04:52	of holy places now what you do find at say the sort of
[589] 1:04:58	the where the altar would be um in christian churches in in say for
[590] 1:05:03	example egypt and that's really what i can talk about here intelligently because that's what i've seen you find
[591] 1:05:08	this sort of sort of i'll say quarter dome design at the
[592] 1:05:15	front it's very distinct of a christian churches in egypt and
[593] 1:05:20	it does seem to have taken some influence from say roman designs or hellenistic designs
[594] 1:05:27	um it's it's definitely not an egyptian design um you find one of these at the church
[595] 1:05:33	that's um outside of the temple of dindara
[596] 1:05:40	you find one of these at luxor temple because uh during the christian era luxor temple is eventually converted
[597] 1:05:47	into a church there's even some drawings the paint uh murals of the saints on the wall of
[598] 1:05:53	luxor temple uh in amongst this sort of our uh
[599] 1:06:00	semi-dome design that you do find that was at the front of the church at luxor
[600] 1:06:06	um so you do find it it it does seem to be much more influenced from roman uh
[601] 1:06:13	roman temples as opposed to jewish or more broadly near eastern temples
[602] 1:06:19	so i think that's about as far as i can discuss it um
[603] 1:06:26	again this is not an area i have a huge amount of expertise in but that's what i've seen when
[604] 1:06:31	it's an interesting question it's a fascinating question it's just not one i have a lot of experience in but that's
[605] 1:06:37	really where i've seen it play out so anyway thank you very much for the super chat i very much appreciate it
[606] 1:06:47	okay matthew harrell for 499. uh was there already a
[607] 1:06:54	uh water in the rock that god commanded moses to speak in numbers 2011. let's
[608] 1:07:00	look at numbers 2011. numbers
[609] 1:07:12	uh then moses lifted up his hand and struck the rock twice with his rod water
[610] 1:07:18	came forth abundantly and the congregation and their beasts drank
[611] 1:07:24	okay um well that's a good question we're not really told by it
[612] 1:07:31	the uh we're only told that that moses struck the rock
[613] 1:07:38	and that uh the water um came forth from it
[614] 1:07:44	so it what we're seeing here is looks like it's a spring a speci essentially a spring that when
[615] 1:07:51	moses struck it god caused the spring to gush forth
[616] 1:07:56	so it's it's it's highly likely that there was water already in there and that god
[617] 1:08:02	revealed it
[618] 1:08:09	so um so the the it does seem to it does seem to
[619] 1:08:14	be that the water was already there but that that that that um
[620] 1:08:20	um moses god had intended moses to to reveal this to the people so that they
[621] 1:08:27	would put their trust in god now unfortunately moses abuses this this
[622] 1:08:34	you know he he uses as a way to express his anger
[623] 1:08:41	against the people and god didn't want this to be a a point where god
[624] 1:08:48	shows his anger but his loving kindness so moses betrays the message
[625] 1:08:56	and in verse 12 it says but the lord said to moses and aaron because you have not believed me
[626] 1:09:03	to treat me as holy in the sight of the sons of israel therefore you shall not bring this
[627] 1:09:10	assembly into the land which i have given them and quote so he he sort of betrays the charge he's
[628] 1:09:17	been given which is to teach israel to live by faith to live by the goodness of
[629] 1:09:24	god and instead uses it as a point to express his own anger and frustration using what god has
[630] 1:09:32	given so moses is perverting the word of god here for his own ends
[631] 1:09:39	so that's why he's excluded ultimately excluded from coming into the holy land
[632] 1:09:45	is because of this event but i think i think i think the water was already there but god was just
[633] 1:09:50	revealing it so anyway thank you very much for the super chat very much appreciated i very much
[634] 1:09:57	appreciate your questions okay
[635] 1:10:03	um tom won check for five dollars thank you very much for the super chat
[636] 1:10:09	uh do you know any good books on the history of the modern messianic jewish sect
[637] 1:10:15	uh does it uh date directly to first century jews who became christian okay
[638] 1:10:22	um this um
[639] 1:10:28	modern messianic judaism is really a phenomenon of the late 20th
[640] 1:10:36	early 21st century church now we do know
[641] 1:10:41	that um the er the the the um
[642] 1:10:47	the all the christians of the almost all the christians of the first century church were jewish
[643] 1:10:52	that much we know during the second and third centuries
[644] 1:10:58	the amount of jews that that convert to christianity become dramatically reduced it then at that
[645] 1:11:04	point sort of takes on a more gentile flavor
[646] 1:11:09	now i used to um i used to um [Music]
[647] 1:11:15	be in a messianic jewish church [Music] i
[648] 1:11:20	am very very familiar with the modern uh messianic jewish community i've done lots of work with them
[649] 1:11:28	um it's not a direct descendant it seems to be a a new movement a new blossoming of
[650] 1:11:35	messianic judaism so uh i don't know any good books on this um i
[651] 1:11:43	know people who might be able to recommend books but i myself don't know any books personally
[652] 1:11:48	um but i'll also say too that throughout
[653] 1:11:53	the history of the last 2000 years there have been um not just
[654] 1:12:01	individual jews but entire groups of jews that have converted to christianity from time to
[655] 1:12:08	time so um i know very well that throughout the history of say christianity jews
[656] 1:12:14	have come to faith in jesus and have recognized jesus as messiah so you know i think while what we're
[657] 1:12:21	seeing here in say the beginning of the 21st century is just sort of a renaissance
[658] 1:12:28	of of jews coming to christ i also think too that it's not a direct
[659] 1:12:34	descendant of first century uh jews who came to christians but they are coming to christ for very
[660] 1:12:42	much the same reasons um so that's all i can pretty much say on
[661] 1:12:49	that very much appreciate the super chat thank you very much and a great question
[662] 1:12:57	uh jonathan monroe for 4.99 thank you for your ministry well thank you very much for the super chat i very much
[663] 1:13:03	appreciate it and thank you for your support we as i say we value each super chat we
[664] 1:13:10	thank we appreciate every subscriber we try to do our best to answer all the
[665] 1:13:15	questions we can um we know we know we're kind of um
[666] 1:13:21	we don't have enough hours in the day to answer everyone and that sort of um grieves us we kind of wish we had more
[667] 1:13:28	hours to be able to answer more questions but we're doing our best and we're trying to get
[668] 1:13:33	the most answers to the most people as as widely distributed as we can
[669] 1:13:38	so very much appreciate the super chat and the support thank you very much jonathan
[670] 1:13:46	okay matthew herrell for 499 thank you for the super chat demonic possession seems to occur
[671] 1:13:52	suddenly through christ is there a concept of possession in
[672] 1:13:58	ancient ears before christ yes there is um we do see it in second temple
[673] 1:14:03	literature uh we do see um third party accounts of this
[674] 1:14:10	there is lots of references to to demons and demonic possession
[675] 1:14:16	um going back hundreds of years before christ we don't see it so much in the biblical
[676] 1:14:22	texts um but we do see it in say second temple literature
[677] 1:14:28	so absolutely we do find it um it's during the time of uh even the time
[678] 1:14:35	during ministry of of christ now and we have to say remember that the ministry of christ is only three years
[679] 1:14:43	so this is not something that occurred suddenly with christ and you look at say the gospels
[680] 1:14:50	you know where it talks about somebody who's been afflicted with a demon for 20 years when christ meets him well it had to be that
[681] 1:14:56	he had the demon long before christ's ministry so it's not something that that that's
[682] 1:15:02	um comes with christ but it's something that christ is actively engaging because
[683] 1:15:08	it's there in the culture it's there and frankly the whole demonic
[684] 1:15:13	possession thing continues after christ too you know one of the things that tertullian says is that you know
[685] 1:15:20	we are we are you know the proof of say christianity is that we are casting out
[686] 1:15:27	demons left right and center now this is in tertullian's writings you
[687] 1:15:32	know so even back into say you know the early church fathers they're still doing
[688] 1:15:39	exorcisms they're still doing exorcisms as part of regular christian ministry
[689] 1:15:47	so we do find it before christ and we find it after him too so anyway thank you very much for the super chat
[690] 1:15:54	very much appreciate it okay
[691] 1:15:59	uh final super chat from matthew harrell for 1.99 good night everyone thank you dr folk well you're most welcome we very
[692] 1:16:06	much appreciate you joining us tonight we thank you for the super chats it was great to have you here
[693] 1:16:15	all right and i think this is last uh super chat we have so far and then
[694] 1:16:22	we've got uh non-super chats okay tony g for 4.99
[695] 1:16:28	thank you very much for the super chat very much appreciate it uh please comment on the theory moses
[696] 1:16:34	was assassinated for failure to enter the promised land and why his burial place is unknown as suggested
[697] 1:16:40	by history channel bible bells
[698] 1:16:46	[Music]
[699] 1:16:51	oh dear [Laughter]
[700] 1:17:00	um history channel what an oxymoron
[701] 1:17:06	um not the history channel again
[702] 1:17:12	[Laughter] oh this is just sterile conjecture
[703] 1:17:21	this is just this is just complete sterile conjecture um there's no evidence that moses was
[704] 1:17:28	knocked off um as far as why his his burial place is unknown is because we're not told
[705] 1:17:36	you know his his his his place is is not known because it's it's it was never intended
[706] 1:17:43	to be a place where people come back and venerate them really that's the reason why his his his burial
[707] 1:17:50	place is unknown because we are talking about a a
[708] 1:17:56	um a civilization here uh a a group of people
[709] 1:18:01	uh that is just you know one toe with away from falling back into
[710] 1:18:08	complete paganism and ancestor worship
[711] 1:18:13	and moses coming out of egypt would have seen what happened when great leaders
[712] 1:18:19	are die you know they become venerated they become objects of ancestor worship
[713] 1:18:26	and i think that's the last thing moses wanted was to have his um
[714] 1:18:31	um you know his grave become the site of
[715] 1:18:36	basically a stumbling block for israel a stumbling stone for israel
[716] 1:18:41	because if his shrine would become known as his burial place becomes known then the israelites would come back
[717] 1:18:48	they would venerate his grave they would build shrines and chapels and temples
[718] 1:18:54	and it would lead him astray so that's why his burial place is
[719] 1:18:59	unknown
[720] 1:19:04	no history channel here is just doing what it always does which is more sterile conjecture you know
[721] 1:19:10	hey we i don't understand why why why moses wouldn't have his grave known so must be a conspiracy
[722] 1:19:17	it must be an assassination let's jump to the most irrational
[723] 1:19:23	conclusion oh aliens came and teleported his body up
[724] 1:19:33	this is not how historians really work
[725] 1:19:39	[Laughter]
[726] 1:19:45	i wouldn't take seriously anything that that history channel says especially when it comes to bibles
[727] 1:20:00	we got some technical difficulties here okay
[728] 1:20:06	so um anyway thank you very much for the super chat very much appreciate it
[729] 1:20:12	okay uh 501 mobius for five dollars thank you very much uh so we got another super
[730] 1:20:18	chat here uh doesn't deuteronomy 137 contradict the reason why moses could not enter the
[731] 1:20:25	promised land in uh numbers 2011. let's take a look at
[732] 1:20:30	that so we had then um in numbers 2011 that moses lifted up his
[733] 1:20:38	hand struck forth his rod um and then the lord saying you did not
[734] 1:20:44	treat me as holy in the sight of the sons of israel okay so let's look at deuteronomy
[735] 1:20:52	1 37
[736] 1:20:59	okay and we'll go back to verse 34.
[737] 1:21:05	uh then the lord heard the sound of your words and he was angry and took an oath saying not one of these men this evil
[738] 1:21:12	generation shall see the land which i swore to give your fathers except caleb son of
[739] 1:21:19	jeffers he shall see it and to him and to his sons i will give the land on
[740] 1:21:24	which he has set foot because he has followed the lord fully
[741] 1:21:30	okay and the context here
[742] 1:21:38	is see here is when is uh the first sort of um their
[743] 1:21:46	attempts to to go into the land okay now
[744] 1:21:53	uh the events in in in numbers
[745] 1:21:59	uh happens before the events in say deuteronomy
[746] 1:22:04	now in the case of of deuteronomy um it's it's basically saying all the
[747] 1:22:11	people in the case of numbers 2011 it's talking about moses specifically
[748] 1:22:20	so it's like this in numbers 11 or not sorry numbers 2011.
[749] 1:22:26	moses has already disqualified himself from coming into the holy land before
[750] 1:22:32	the rest of the people are so moses is already not going to enter be
[751] 1:22:38	able to enter the holy land even before the rest of the people are say basically said you know
[752] 1:22:43	you're not going to enter either so it doesn't contradict the reason why
[753] 1:22:48	moses couldn't enter the land this is just say a wider condemnation of
[754] 1:22:54	the people in general in number or in deuteronomy so i don't think this contradicts one
[755] 1:23:00	contradicts the other because be if if the text in say numbers 2011 or sorry in
[756] 1:23:06	deuteronomy uh 137 had said well you moses are not going to enter for this reason
[757] 1:23:13	even then it wouldn't contradict it because it might be multiple reasons at that point as well
[758] 1:23:18	so um um i don't i don't think that this is this
[759] 1:23:23	is um i don't think that this is well moses uh sorry 501 mobius says here that
[760] 1:23:32	uh see here uh deuteronomy
[761] 1:23:38	happens 38 years before numbers um 11 days before mount sierra cash barnea
[762] 1:23:45	so
[763] 1:23:50	so deuteronomy 1 11 says these are the words moses spoke uh to all israel
[764] 1:23:57	across the jordan in the wilderness in the arab opposite sooth between param and toffel
[765] 1:24:05	and desa it's 11 days journey from horeb by way of mount sierra to case bernie so
[766] 1:24:10	it's just sitting in geographical and it came about in the 40th the year on the first day of the 11th month that
[767] 1:24:17	moses spoke to the children according to all that he commanded to give them okay so no
[768] 1:24:23	sorry deuteronomy 1 is actually much later
[769] 1:24:29	than um then unless there's some other
[770] 1:24:35	text in between here that i'm not seeing
[771] 1:24:42	um so 37 i'll go flag down to 37 here
[772] 1:24:52	so at 30 the lord said your god will go for will fight uh on your behalf just as
[773] 1:24:57	he did for you in egypt before your eyes and in the wilderness so he's telling him that
[774] 1:25:04	uh 34 the lord heard the sound of your words and he was angry and took an oath
[775] 1:25:09	saying not one of these men this evil generation shall see the land which i swore to give to your fathers except
[776] 1:25:16	caleb so let's hear
[777] 1:25:32	so i don't think that this is necessarily talking about let's see unless there's
[778] 1:25:38	another reference to this that shows that it's that these words are earlier
[779] 1:25:43	um not one of these men [Music]
[780] 1:25:49	i don't think there's anything that we can say is earlier than that but from this from the looks of it
[781] 1:25:57	it does appear that this is the fulfillment of that not one
[782] 1:26:03	of these men
[783] 1:26:13	uh the only reference to this is in 35
[784] 1:26:18	uh where he swore to his chief of evil generation
[785] 1:26:40	uh the only other uh actually actually we do have it we do have it uh referenced previously in
[786] 1:26:48	numbers 32 i'm just going to slip back here to your original question here
[787] 1:26:55	so we do have it uh the deuteronomy 1 37 promise is actually
[788] 1:27:03	first referenced in numbers 32 verse 13.
[789] 1:27:10	so the numbers 2011 incident is actually
[790] 1:27:15	free prior to the deuteronomy 137 promise so
[791] 1:27:22	uh that resolves the contradiction so or any any sort of potential for a
[792] 1:27:28	contradiction here so it does appear at least from the um
[793] 1:27:33	text that we have in the book of numbers that mo the the the pattern of events was that that moses
[794] 1:27:40	uh angered god misused his the words of god is told he's not going to enter and then
[795] 1:27:45	the rest of the people are then disqualified in numbers 32. so
[796] 1:27:51	uh thank you very much for the super chat very much appreciated
[797] 1:27:57	okay so uh
[798] 1:28:03	uh cheese one uh five dollar australian super chat thank you very much for the super chat
[799] 1:28:10	were attempts made to cultivate forestry to secure wood resources or did military
[800] 1:28:15	activity damage long-term agricultural endeavors um
[801] 1:28:23	they don't seem to have have made the attempt to uh to um to do silviculture
[802] 1:28:31	or uh try to um cultivate wood say responsibly
[803] 1:28:37	and most people of the ancient world didn't um the whole idea of cultivating forests
[804] 1:28:43	is a fairly modern thing uh we do see ancient attempts of silver culture uh happen in japan
[805] 1:28:50	and by that i mean um that going back say a thousand years the japanese have
[806] 1:28:55	been cultivating wood specifically for harvesting
[807] 1:29:02	but most most um most countries up to the modern era didn't do this
[808] 1:29:09	so um they did secure forests for wood um
[809] 1:29:15	resources um but they're also at the same time to those those harvesting of the wood
[810] 1:29:23	harvesting of the trees um did damage say that the potential for the area to
[811] 1:29:29	support trees in the first future now interestingly enough
[812] 1:29:36	egypt is um trying to um um restore
[813] 1:29:43	some of its um desert regions in and this is modern this is like in the last
[814] 1:29:48	few years they are trying to read uh how do i say it
[815] 1:29:55	terraform terraform the desert um there's a big project happening up by
[816] 1:30:01	antoine right now where they're taking surplus water from lake aswan and right now they can't
[817] 1:30:08	drain lake as one fast enough um this while uh ethiopia and egypt are
[818] 1:30:14	right now having a water dispute which is really strange you know ethiopia wants to cut off all the water to egypt for its power
[819] 1:30:20	for its power dams but egypt as right now has a
[820] 1:30:26	a problem that uh the as lake as one is uh lake nassar is rising too fast so
[821] 1:30:34	they're trying to drain off all that water for um essentially uh
[822] 1:30:40	terraforming the desert when they're they're considering putting in banana farms forests
[823] 1:30:46	um they want to sort of change the sahara to
[824] 1:30:51	a more um um temperate productive area
[825] 1:30:58	so um there is um there is some attempt to to do uh forestry now in in say southern egypt
[826] 1:31:06	although this is still very much at its emphasis stage but i think the
[827] 1:31:11	the um their attempts during say the middle kingdom to deforest or or exploit
[828] 1:31:19	the forest resources and cush ultimately damage those those areas and um turn
[829] 1:31:25	kush into the desert similar to what you find in in rest of egypt so it did damage it long term
[830] 1:31:33	so anyway thank you very much for the super chat very much appreciated
[831] 1:31:40	okay that's the last super chat let's go find some more interesting questions
[832] 1:31:46	okay i am going to take a smack dab in the middle this time
[833] 1:31:58	let's see here what else is interesting question
[834] 1:32:20	hmm
[835] 1:32:38	okay i'll take this one here from karis uh kerose
[836] 1:32:43	uh which language is closer to middle egyptian uh modern coptic or nubian modern coptic
[837] 1:32:51	absolutely uh modern coptic is the closest modern language to egyptian
[838] 1:32:59	uh its monocoptic is very very close to late egyptian in dialect it's close
[839] 1:33:05	um it has its own idiosyncrasies um it has its own sort of things but uh modern
[840] 1:33:11	coptic and we have to understand that modern coptic is as a living language is almost dead it's
[841] 1:33:17	almost it's spoken by two families so it's it's a highly endangered
[842] 1:33:24	language but as far as how close it is to middle egyptian it's probably as close as we're
[843] 1:33:30	going to get from a modern language so um it's not uh the orthography is different
[844] 1:33:37	than say for example um middle egyptian which uses hieroglyphs
[845] 1:33:42	but it's it's very very close to say classical coptic
[846] 1:33:48	so i i hope that answers your question thank you very much for the question i love language questions by the way
[847] 1:33:56	um let's hear okay
[848] 1:34:04	dragon of the mississippi river question would you be willing to debate dr james white on autonomy using hermeneutics
[849] 1:34:12	regarding to exodus 9 10 918 since both of you can read greek and hebrew
[850] 1:34:21	i don't really like doing debates i know james white loves debating people
[851] 1:34:27	it's not really my thing i'd rather just teach i'd rather teach and do research um
[852] 1:34:33	i've really in recent days um come to
[853] 1:34:38	come to the to the thinking that debates are a big waste of time i agree with michael heiser here um this
[854] 1:34:44	is one one one thing point with michael heiser i just i can't agree with him enough
[855] 1:34:50	i cannot agree with him enough that debates are generally a waste of time um i think if if there's a if there's a
[856] 1:34:56	specific issue a fine fine issue um
[857] 1:35:02	debate can sort of i i think one place where a debate can be really helpful
[858] 1:35:08	is when the other party is sort of in denial about its own point of view
[859] 1:35:16	if the other party is in denial about what it really believes or what its point of view really is i think
[860] 1:35:22	sometimes sometimes a debate can help bring that out and help the other party to
[861] 1:35:28	recognize and or help everyone else recognize that the other party does not understand
[862] 1:35:34	its own view in those rare circumstances i think
[863] 1:35:39	debate can have some beneficial effect but most of all
[864] 1:35:46	debates generally only convince those who side you happen to be on
[865] 1:35:51	it's more about um confirming what people already believe than actually changing minds
[866] 1:35:59	so uh i don't i don't think uh i don't think uh debate would be very productive here
[867] 1:36:04	so um yeah uh would i be willing to probably not
[868] 1:36:11	um just because i don't see the i don't see the point of this would
[869] 1:36:16	what the point of this debate would be really so um i do appreciate the question
[870] 1:36:21	though let's see here
[871] 1:36:28	uh swiftly's question about polytheism okay
[872] 1:36:33	let's see what is swiftly's question okay i see a white girl
[873] 1:36:39	uh consider swiftsy's question about polytheism let me see if i can find his question
[874] 1:36:56	i'm not seeing his question here uh
[875] 1:37:03	i see one question i wouldn't exodus 2021 apply it to foreign slaves too
[876] 1:37:10	um yeah but that's not about polytheism uh let's see where's this i do not see
[877] 1:37:30	uh swift see if you if you uh repeat that question i will consider it
[878] 1:37:36	um but i don't actually see oh i see it okay i see it all right
[879] 1:37:43	oh it's way at the beginning it's way way at the beginning okay
[880] 1:37:48	uh i've heard mark s smith say that deuteronomy 3289 is evidence that old testament religion was
[881] 1:37:55	polytheistic because it says that all el gave israel to yahweh what are your
[882] 1:38:00	thoughts on this argument all right well let's look at deuteronomy 32 8-9
[883] 1:38:14	okay
[884] 1:38:22	okay uh i'm gonna start at verse seven and we have to understand here that uh
[885] 1:38:27	deuteronomy 32 is a bit of a weird passage there's a there is a lot of reference in
[886] 1:38:33	deuteronomy 32 to um to other forms of literature there is some borrowing here so we got
[887] 1:38:39	to sort of keep that in mind that as we read this so i'll start at verse seven remember
[888] 1:38:45	the days of old consider the years of all generations ask your father and he will inform you
[889] 1:38:53	your elders and they will tell you so that's poetic right there there's a doublet right in there that's that's a
[890] 1:39:00	nice doublet by the way when the most high gave the nations their inheritance
[891] 1:39:06	when he separated the sons of man he set the boundaries of
[892] 1:39:11	the uh the number of the sons of of of israel
[893] 1:39:17	for the lord's portion this is yahweh's portion is his people
[894] 1:39:23	jacob is the allotment of his inheritance okay
[895] 1:39:33	now if i look at the hebrew here
[896] 1:39:41	okay so elian so
[897] 1:39:48	um i don't think um i here's here's one thing here i would i would doubt
[898] 1:39:56	i've got some big big big big big doubts here
[899] 1:40:02	that uh mark smith is correct here
[900] 1:40:07	because what we have here is another we do actually have here a sort of another um couplet almost a chiasm
[901] 1:40:15	so we have on the outside of this sort of chiasm of this uh when the most high
[902] 1:40:22	gave the nations there their inheritance and then it's followed by when he
[903] 1:40:29	separated the sons of man okay and then the next couplet would be
[904] 1:40:37	begins with he set the boundaries of his people according to the number of the
[905] 1:40:42	sons of israel for the lord's portion
[906] 1:40:47	is his people jacob is the allotment of his inheritance
[907] 1:40:53	okay so it's more or less not so much it's not so much that
[908] 1:41:00	elian is giving it all out and oh here yahweh have your share too
[909] 1:41:06	that's not what the text is saying that's a really poor reading of the text it's more along the lines of
[910] 1:41:14	okay here is here is um here is the um
[911] 1:41:21	the division of the of the nations okay but
[912] 1:41:28	i am reserving one portion for myself
[913] 1:41:33	the lord is dividing the peoples but he is also saying there is one people that
[914] 1:41:38	is special one people that is set apart for his own purposes
[915] 1:41:45	so there is in this case um it's not an argument for polytheism
[916] 1:41:52	it's not an argument for polytheism but it is an argument for saying that
[917] 1:41:59	the lord did divide the nations and that the lord gave each
[918] 1:42:05	nation their inheritance all nations get their inheritance of
[919] 1:42:12	land from god we've already touched on this in in in judges 11.
[920] 1:42:17	when when when uh jephthah earlier in this in this in this q a when jephthah
[921] 1:42:24	messed up and he he says to to to his opponents well kimash gave you
[922] 1:42:31	your land no he didn't and this is the exact verse
