[0] 0:00	e
[608] 1:13:37	nicest way to put it is is it's it's how it's portraying its neighbors it's not
[609] 1:13:42	the table of Nations is not meant to be a genetic descendancy it's not meant to be
[610] 1:13:49	that it's ethnographic it's meant to sort of caricaturize
[611] 1:13:55	the the other nations in a way that relates them morally to to
[612] 1:14:02	Israel so so
[613] 1:14:11	uh so then it's one of those things where it really does come down to um not
[614] 1:14:18	so much this is a a line of descent cuz it's not it's a line of moral reasoning
[615] 1:14:24	using essentially their neighboring Nations so it's it's a way of trying to make a
[616] 1:14:30	distinction between us and them so that's really what what what's
[617] 1:14:36	trying to show here so it's not trying to prove something about God it's trying to show Israel's place in its moral
[618] 1:14:46	universe and this is something that we would expect from this particular sort of um area of the text too you know as
[619] 1:14:55	that as I said that Genesis 1-11 is really talking about Sacred
[620] 1:15:03	Space and setting up Temple precincts and setting up the culture of of
[621] 1:15:12	religion so here you got here then how how do the worshippers of God fit in
[622] 1:15:18	this Sacred Space and this sacred culture so that's Genesis 10 is trying to do
[623] 1:15:26	it's not trying to to show us anything particular about God it's trying to show us how does does Israel fit in that that
[624] 1:15:35	whole Temple narrative okay so it's
[625] 1:15:40	ethnographic so I hope that helps thank you very much for the Super Chat very much appreciate it and it was really
[626] 1:15:45	good to see you here tonight I haven't seen you I think in a while so yeah really appreciate
[627] 1:15:53	that okay okay 18 Ministries from 199 what's First Kings 1846 mean all right
[628] 1:16:02	well let's find out first
[629] 1:16:09	Kings 18
[630] 1:16:17	36 okay then the hand of the Lord was on
[631] 1:16:24	Elijah and he girded up his loins and outran Ahab to jezrael
[632] 1:16:30	okay now this was one of those things where we don't always you know Ahab the
[633] 1:16:38	context of the text is Ahab gets into a chariot and he starts riding to to jezel
[634] 1:16:45	and we're supposed to get sort of the idea here that God supernaturally helps
[635] 1:16:52	Elijah to outrun a chariot
[636] 1:16:57	now it's one of those things that
[637] 1:17:03	um that that whole idea of of ging your L is basically taking your your tunic
[638] 1:17:09	and wrapping it around your waist in such a way that you can you can do more flexible things okay
[639] 1:17:17	because it could get in the way so he's he's essentially this is a supernatural
[640] 1:17:24	act where Elijah is given the power to outrun a
[641] 1:17:29	chariot he might have been taking some shortcuts too that chariots can't get
[642] 1:17:34	around I did notice I did notice when we were playing um Assassin's Creed origins
[643] 1:17:41	The Chariot is not a very flexible vehicle it's not a very flexible vehicle
[644] 1:17:47	it gets stuck you have to take it on on you know
[645] 1:17:52	roads you know you can't just go uh for four-wheel driving with a
[646] 1:18:00	chariot so what's possible here is that Elijah's taking shortcuts you know
[647] 1:18:07	and he's running with his his his loins girded and this is how he outruns Ahab
[648] 1:18:14	who's in a chariot
[649] 1:18:20	[Laughter] yes yeah
[650] 1:18:29	uh Deacon hike your skirts up boys yeah pretty much Damon says so it's not a Jeep laugh
[651] 1:18:36	out loud yep not a Jeep yeah it'll get stuck on things real
[652] 1:18:45	easy hey stack Elijah's a boss yeah he is okay so that's what First Kings 18:46
[653] 1:18:54	means he's been touched to run he basically girds up his
[654] 1:19:00	loins and he's probably taken some shortcuts so and he gets manages to to
[655] 1:19:08	outrun Ahab to the Jezreel Valley okay so hope that helps thank you for the
[656] 1:19:16	Super Chat very much
[657] 1:19:21	appreciate uh 18 Ministries for $499 uh thank you a Super Chat did ancient
[658] 1:19:26	Israelites celebrate the freest of Bruth because they lived in booths because God dwelt in the Tabernacle or
[659] 1:19:33	both um Leviticus Leviticus
[660] 1:19:41	here 23
[661] 1:19:47	43 so your generation may know that I had the sons of Israel live in boost when I brought them out of the land of
[662] 1:19:52	Egypt I am the Lord your God yeah um it's to to basically celebrate the
[663] 1:20:00	fact that they were tent dwellers essentially you know they wandered from place to place uh like for example uh it
[664] 1:20:08	gets the name from the whole idea of a Suka okay
[665] 1:20:14	a Suka and this the the term for booth is Suka but it's also related to the term
[666] 1:20:22	sukko which was the first destination of the Exodus so the Israelites are leaving
[667] 1:20:31	leaving the fields of pamis and their first stop their first stop on the way
[668] 1:20:37	is at suo okay which is it's
[669] 1:20:43	um it's actually the word suko um comes from the um the Egyptian
[670] 1:20:52	czechu comes from the word czechu and sheu was the name of the W
[671] 1:20:58	talot so these booths these tents are actually named after the place
[672] 1:21:09	Su
[673] 1:21:14	so so the Feast of booths is to celebrate their wandering in the Wilder
[674] 1:21:21	in you know after The Exodus so they leave Egypt and they spend time in tents
[675] 1:21:27	and so is so so they don't forget that they were once tent dwellers they have this
[676] 1:21:32	Festival hope that helps thank you for the Super Chat very much
[677] 1:21:41	appreciated uh 18 Ministries for $499 outside 2 Chronicles 79 where do we see
[678] 1:21:47	a 7-Day temple dedications in the ancient near East uh let's take a look at that
[679] 1:21:56	2 Chronicles 7 verse
[680] 1:22:05	9 and we'll start at verse eight here so Solomon observed The Feast at that time for 7even
[681] 1:22:11	days and Israel with him a very great assembly who came from the entrance of
[682] 1:22:17	HTH to the brook of Egypt and on the 8th day they held a solemn assembly for the
[683] 1:22:24	dedication of the altar they observe seven days and the feast seven days
[684] 1:22:31	okay um I don't know if there's what a 7-Day
[685] 1:22:38	Festival specifically for a temple dedication um we do though find 7-Day
[686] 1:22:44	festivals okay uh the I think it's the wheat Festival of the Hittites is seven
[687] 1:22:51	days and it's it's I think it was Richard Hess either Richard Hess or
[688] 1:22:56	Jonathan or John Walton who basically said that that hittite that hittite
[689] 1:23:02	Festival is very closely related to that 7th Day Passover
[690] 1:23:08	Festival so that's the only one that I can think of off the top of my head that
[691] 1:23:17	is um um a
[692] 1:23:22	7day uh Festival uh outside in in the ancient new East but the problem too is
[693] 1:23:28	that we don't have great records of the festival days from from the ancient near East uh we have a couple calendars from
[694] 1:23:36	Egypt but I haven't gone through them to see if these do relate to 7-Day festivals they could I mean there's a I
[695] 1:23:43	I do have one um one set of of ritual calendars that I have really have to do
[696] 1:23:50	more work with but I haven't done it yet so I can't give you a complete answer on
[697] 1:23:56	this one so but I do know that the hittite uh wheat Festival was was seven
[698] 1:24:03	days but uh that's the only one I can think of off the top of my head
[699] 1:24:10	okay so I hope this helps thank you much for the Super Chat very much
[700] 1:24:17	appreciated 18 Ministries from $999 thank you for the Super Chat so Solomon
[701] 1:24:22	built the temple in 7 years First Kings 638 and his old house in 13 yes he
[702] 1:24:30	did shows you his priorities I see the author uses the
[703] 1:24:35	contrast as a rebuke yes he does did Solomon do this at the same
[704] 1:24:41	time yes he did okay
[705] 1:24:47	so he's he is he is doing this in in sort of the similar time
[706] 1:24:55	so um he's delaying the house of the Lord's construction by building his own
[707] 1:25:02	his own Palace and he's taking more time with his Palace so it's bigger better
[708] 1:25:08	nicer so the author's correct here to rebuke him for this but there's only so far you
[709] 1:25:15	can rebuke a king so so yeah this is this is a something
[710] 1:25:21	shows you um Solomon's narcissistic priorities and he he was very
[711] 1:25:29	narcissistic so um yeah yeah it was it was a rebuke um and he did do this at
[712] 1:25:36	the same time so while while he's building the Temple he's also building his
[713] 1:25:45	Palace so hope that helps thank you much Super Chat very much
[714] 1:25:52	appreciate 180 Ministries for 19 9 thoughts on the acts of Peter uh it's
[715] 1:25:57	Apocrypha I don't really read it I haven't read it because it's Apocrypha um I'm really not a big fan of
[716] 1:26:05	Apocrypha so I don't really get into it much occasionally I'll look into it for
[717] 1:26:10	something historical or when we get a question about it but I really don't read Apocrypha as a as a rule I don't
[718] 1:26:17	find a lot of use of I don't find that useful I don't find that useful
[719] 1:26:23	so um that would be my my thoughts here and New Testament Apocrypha tends to be
[720] 1:26:30	much more deprecated than the Old Testament Apocrypha so so that's kind of
[721] 1:26:35	my thoughts on the acts of Peter uh hope that helps thank you for the Super Chat very much
[722] 1:26:43	appreciate H ministers for 199 why was the solution murder laugh out loud Luke
[723] 1:26:49	4 okay let's look at Luke 4 Luke 4: 24 to2
[724] 1:26:59	29 Luke chapter
[725] 1:27:04	4 24-
[726] 1:27:11	29 and he said truly I say to you no Prophet is welcome in his hometown but I say to you in truth there
[727] 1:27:19	are many widows in Israel in the Days of Elijah when the sky was shut up for 3 years and 6 months when a Great Famine
[728] 1:27:27	came over the land and yet Elijah was sent to none of them but only to zarapa
[729] 1:27:34	in the land of sidon to a woman who was a widow and there were many lepers in in
[730] 1:27:41	Israel in the time of Elisha the prophet and none of them were cleansed but only non the
[731] 1:27:47	Syrian and all the synagogues were filled with rage as they heard these things and they rose up and cast him out
[732] 1:27:55	of the city and led him to the brow of the hill on which the city had been built in order to cast him off the cliff
[733] 1:28:02	all right why was why was their solution
[734] 1:28:10	murder ah cuz that's that's sort of that was the um that was the penalty for
[735] 1:28:17	blasphemy okay now was this Blasphemous no it wasn't okay
[736] 1:28:25	but this is what they would do okay this is this is their solution to blasphemy
[737] 1:28:30	is murder so you know you know Christ is
[738] 1:28:38	telling them hey you know Israel's not so hot Israel's not so
[739] 1:28:44	obedient you know um in the Days of Elijah there was
[740] 1:28:49	a famine and the prophet didn't help you
[741] 1:28:55	because you were disobedient you know God didn't help you because of your Disobedience there are many
[742] 1:29:02	lepers and who does God heal he heals a he heals a
[743] 1:29:08	gentile you know name an Assyrian who does he um he he sends to
[744] 1:29:15	uh you know the um helps uh a sidonian woman
[745] 1:29:21	zerao okay that's that's harsh if you're Jewish
[746] 1:29:27	okay that's that's a harsh condemnation that God our God is helping the enemy
[747] 1:29:34	not us and [Laughter] us okay
[748] 1:29:43	enemy yeah my producer says they'd be okay with them help helping the enemy if they helped us too but God's not helping
[749] 1:29:51	them okay smacking yeah he's giving them smack
[750] 1:29:56	he's giving them hey obey yeah he's telling them to
[751] 1:30:02	obey so God's not helping you because you're not obeying but God's going to show you he's
[752] 1:30:09	still in charge he's still powerful by helping these
[753] 1:30:18	Gentiles yeah yeah Jonathan Walker says Hitchens
[754] 1:30:24	why help him and not me you yeah ex
[755] 1:30:32	exactly yeah because it's this is a smack and it's a smack for the for the
[756] 1:30:39	Jews in in Christ's day you know trying to call them to yeah God's trying to
[757] 1:30:45	call them to repentance and they just refuse they're say no you know so we're
[758] 1:30:51	going to Kill the Messenger
[759] 1:30:57	because that's that's what they did they would kill the messengers they killed the
[760] 1:31:07	prophets yeah
[761] 1:31:17	so uh poui says if you were a judian peasant and you thought you could get away with here's what we did in the old
[762] 1:31:24	days Justice you might go for it yeah yeah yeah this is the this is what
[763] 1:31:31	we did in the old days kind of justice and you know God's just
[764] 1:31:39	revealing their their pride and Disobedience
[765] 1:31:47	so uh Emily toescu I don't think God appreciates entitlement
[766] 1:31:54	uh there is something the to the idea that well if it's our
[767] 1:32:00	national God he helps us first that's always sort of been the the
[768] 1:32:07	attitude uh in ancient new Eastern call cultures is our gods are supposed to help us because they're are
[769] 1:32:14	Gods well if they're really Gods why would they do that necessarily
[770] 1:32:27	yeah God is utterly Sovereign he is utterly Sovereign he makes his own
[771] 1:32:38	decisions so you know if God's going to make his own decisions here you know
[772] 1:32:43	he's not going to just help you because he's your National deity you know he's
[773] 1:32:49	going to he's going to um yeah Emily says but Yahweh isn't just
[774] 1:32:56	a national God like the gods of the Nations but that's not how the Israelites are going to treat
[775] 1:33:05	him yeah uh stillus uh Silas says here a
[776] 1:33:11	butler God made in one's own image yeah very much so yeah and isra Israel had
[777] 1:33:16	always treated God like a butler God you know do things for
[778] 1:33:22	me we do some of the same things in some of our prayers too to be
[779] 1:33:27	honest yeah everyone makes deals with God everyone asks God for Stuff um I'll go on the mission field if
[780] 1:33:35	you yeah so it it's a matter of of that you know when you bargain with God you
[781] 1:33:42	treat him like an idol so you know when your worship
[782] 1:33:47	becomes idolatry that's not a good thing so and this is what what Christ is
[783] 1:33:55	saying here is you know in in Israel's past you know you treated God like like
[784] 1:34:02	like an idol and he withheld the reain he didn't
[785] 1:34:09	cure your lepers
[786] 1:34:14	so so this is yeah uh Emily tesu
[787] 1:34:19	transactional worship equals Pagan worship it does yeah absolutely
[788] 1:34:25	and that's what the old
[789] 1:34:33	yeah yeah yeah
[790] 1:34:39	that's yeah um if you want to worship God you got to do it God's way that's
[791] 1:34:45	what it boils down to you want to worship God you got to do it his way
[792] 1:34:55	yeah asack says God is not a cosmic vending machine no he's not he's not he's very much not a cosmic
[793] 1:35:02	vending machine but the Israelites were treating him as one
[794] 1:35:08	so the rign stopped their leopards didn't get healed and God said okay I'll
[795] 1:35:15	even I'll show you that I can bless you by blessing the Nations by NE blessing
[796] 1:35:20	the Gentiles lost yeah it's not because lost my power it's not because I've gone
[797] 1:35:26	away I'm going to show you I'm still in charge by blessing this sidonian woman
[798] 1:35:33	by curing the Syrian these dirty Gentiles that you
[799] 1:35:40	can't you you have no regard for I'm going to bless them to show you to put
[800] 1:35:47	you to shame to show you I can still bless and I can still heal
[801] 1:35:56	and Christ is saying hey you're no different you guys are no different than those
[802] 1:36:01	guys and of course they respond by trying to kill [Laughter] them
[803] 1:36:09	nice so I hope that helps thank you very much for the Super Chat very much appreciate
[804] 1:36:17	it 18 Ministries for $499 thank you for the Super Chat should we understand the
[805] 1:36:23	trend as being true as our best understanding of the nature of the
[806] 1:36:28	plurality of the godhead yes um this is one of those Essentials
[807] 1:36:34	of the Christian faith the Trinity uh we should understand the Trinity as being true um
[808] 1:36:41	it is our best understanding of the nature of the plurality of the godhead the the the three persons are the one
[809] 1:36:52	God so so that's how I would basically say yeah
[810] 1:36:57	absolutely this is the this is the classical Christian understanding uh it goes all the way
[811] 1:37:04	back to the early church Fathers as being the classical understanding um it's it's one of those
[812] 1:37:10	things that just sort of it's it's it's a truism of
[813] 1:37:16	Christianity and it's it's it's a defining doctrine of Christianity
[814] 1:37:22	so though those who don't hold to this are in some ways outside of the
[815] 1:37:28	Christian faith so it is our best understanding
[816] 1:37:35	and I would basically say yeah that's what we get from the scriptures so thank you very much from the Super Chat very
[817] 1:37:40	much appreciated I hope that helped 18 Ministries from 199 thank you
[818] 1:37:48	for the super chat if you could be Pharaoh when would you want to rule oh boy
[819] 1:37:56	when would I want to rule Dynasty 18 Dynasty 18 had the best
[820] 1:38:01	stuff uh Dynasty 18 was awesome that's when we had uh that's the
[821] 1:38:08	that's the time of to mosis III um of King Tut aanan pemp all the in
[822] 1:38:17	a lot of the in really interesting stuff happened in Dynasty 18 so yeah that would be
[823] 1:38:25	that would be probably my preferred period to to rule if I was
[824] 1:38:33	Pharaoh yes it's always yeah it's always more interesting when you're outside of
[825] 1:38:38	it but um um but that would be that would be that
[826] 1:38:45	would be the when I'd want to rule uh
[827] 1:38:54	Jack Ray was that before the uh inflation reached oppressive levels oh yes oh
[828] 1:39:00	yes yeah they were still getting goodies from the outside to to shore the inflation at that
[829] 1:39:07	point um the Middle Kingdom might be interesting time to rule too so uh I don't think I would want to
[830] 1:39:14	rule in the Old Kingdom but in the Middle Kingdom had had some interesting times too uh there was a lot more
[831] 1:39:22	literature being done in the Middle Kingdom the Middle Kingdom was kind of the height of Egyptian
[832] 1:39:29	literature so there was a lot of scribal activity going on during the Middle Kingdom so that was very in that would
[833] 1:39:36	be very interesting too so that would be a I would say that that would be that would be my my my two
[834] 1:39:43	choices either the 18th Dynasty or um the 12th Dynasty those would be
[835] 1:39:50	probably the best times to rule Egypt so thank you very much for the Super Chat very much appreciated and I hope that
[836] 1:39:56	you found that interesting H ministers for 199 thank
[837] 1:40:03	you for the Super Chat what did ancient near Eastern semites dress like uh
[838] 1:40:11	depends a lot of a lot of semites wore different kinds of clothing so it's not
[839] 1:40:16	one of those sort of one size fits all um like the shasu were semites
[840] 1:40:24	but they were they had very elaborate dressing um they would dress in these
[841] 1:40:29	wraps and layers and had uh very elaborate head
[842] 1:40:35	headdresses uh so yeah the shasso were were probably the best dressed
[843] 1:40:41	semites you also had semites that were uh Dressed in
[844] 1:40:47	tunics okay and we see those uh from the semites that came in on um Benny Hassan
[845] 1:40:55	from the tombs of Benny Hassan they're wearing these very colorful tunics uh
[846] 1:41:00	stripes and patterns um they did uh very interesting
[847] 1:41:05	forms of weaving yeah uh ban Benny Hassan was
[848] 1:41:11	very has very interesting shows very interesting clothing on the semites very
[849] 1:41:17	interesting you also have some that are um uh uh you also see some uh like like
[850] 1:41:27	there's some inlays that I saw that show semites that are not
[851] 1:41:32	shasu but have again tunics and headbands so that's also very
[852] 1:41:39	interesting the one thing you don't see you don't see them they're not dressed like modern beduin that whole style uh
[853] 1:41:47	like you like you see in church plays you know the robes and the head cloths and all that no that wasn't the thing
[854] 1:41:53	thing back then where do we get that it's just
[855] 1:41:58	basically our our view of what Betty one would like today um and actually that wasn't even
[856] 1:42:06	the style that they wore until it's like the 19th century that they started dressing like that it's actually really
[857] 1:42:14	recent there's some old photographs of bedin uh from the ear from the 19th
[858] 1:42:21	century and uh
[859] 1:42:26	um we see that they had actually turbin they had turbin and
[860] 1:42:37	tunics that's right we don't do that in the in western church place because nobody can can uh tie a
[861] 1:42:44	[Laughter]
[862] 1:42:51	turban yeah you've probably done some of those plays yeah but um but that's a that's a
[863] 1:43:00	carryover from the Ottomans it's the Ottomans who uh sort of dictated Arabic
[864] 1:43:07	clothing so um so that's uh that's one of those
[865] 1:43:14	things that uh that just um yeah so none of them none of them
[866] 1:43:20	wore you know you see this the the these um these Israelites wearing modern
[867] 1:43:25	Arabic dress and it's just like no they didn't wear stuff like that at all at
[868] 1:43:32	all so yeah it's pretty pretty funny when you see
[869] 1:43:45	it uh he's asking why I don't know the why so can't answer
[870] 1:43:51	that um um Deacon asks why did the bedwin women
[871] 1:43:57	wear large nose rings as a show of modesty
[872] 1:44:02	um not really sure not really sure um I can't answer that I can't answer why I
[873] 1:44:09	also know though that they didn't wear it ubiquitously so a lot of that was uh
[874] 1:44:17	based upon what tribe to there are some some bedwin women that didn't wear those
[875] 1:44:23	those uh large nose rings but some of them did
[876] 1:44:30	okay next Super Chat here uh from 18 Ministries from 199 will there be an
[877] 1:44:37	ancient Egypt and Bible Israel tour um no probably
[878] 1:44:44	not um uh there is going to be the this
[879] 1:44:50	March we are doing the ancient Egypt and the Bible tour Egypt tour so if you want
[880] 1:44:57	to see ancient Egypt yeah that's absolutely you absolutely want to go on that tour and do sign up for it if you
[881] 1:45:03	are are interested uh there's a reason
[882] 1:45:09	why we're not going to do an Israel tour okay first of all I've never been to
[883] 1:45:14	Israel okay hard hard for me to to do an Israel
[884] 1:45:20	tour when I've never been to Israel okay my my way say she'll do it she's been to
[885] 1:45:28	Israel um so I would be a very poor tour guide
[886] 1:45:34	of of of uh an Israel tour because it's not it's not where I have
[887] 1:45:40	expertise okay Dr FK blind
[888] 1:45:49	tours yeah well it would be very blind in the cas of Israel um I only had um
[889] 1:45:57	there was a conference that wanted me to come out to Israel to be their keynote speaker and
[890] 1:46:04	uh I was supposed to be going to Israel but they couldn't get the money for it
[891] 1:46:10	together for it so that sort of fell apart and I never went to Israel so um just didn't go so I've
[892] 1:46:19	never been to Israel yet I've been to Egypt several times so
[893] 1:46:26	that's what we're doing the Egypt tour yeah I can take you I can I can
[894] 1:46:33	lead you to the best restaurants in Egypt hey if if we're in Luxor we could
[895] 1:46:39	even do um I I I mean there's some great restaurants in Luxor
[896] 1:46:45	um uh the Tuton Kon very good restaurant the best
[897] 1:46:51	restaurant I've actually had in eating that in Egypt uh incredible food at that
[898] 1:46:56	place really really great food um kind of tucked away you have to know where it
[899] 1:47:03	is and it doesn't look like much on the outside how did I find
[900] 1:47:10	it
[901] 1:47:16	um yeah I I do look for hole in- thewall kind of restaurants um
[902] 1:47:26	um but um yeah uh uh how did I find it I
[903] 1:47:32	think I I think I saw a review of it online so I hunted it
[904] 1:47:39	out um but it it was it's fabulous I mean the Tuton Kon is is is
[905] 1:47:45	fabulous uh they Apple was it it was apple banana chicken curry and
[906] 1:47:54	incredible uh if they ever have the okra again I'm going to have that too the okra was fantastic I couldn't believe
[907] 1:48:01	how good the okra was best okra I've ever eaten and I'm not a big okra fan
[908] 1:48:06	fact I I kind of hate okra but this this was so good I I'll order this any day of
[909] 1:48:11	the week is just unbelievably good um I also know a little place in um
[910] 1:48:20	luxer um that served camel and it was good too it was good
[911] 1:48:27	too I wouldn't put it on the same same level as the Tuton moon but it was good as well
[912] 1:48:34	so um dosman asks lots of like lots of onions like Libyan food oh no oh no no
[913] 1:48:41	no no uh the one complaint I have of of Egyptian food is it's normally very
[914] 1:48:47	Bland incredibly Bland uh I sometimes
[915] 1:48:52	say that Egypt and Israel are the two countries where Cuisine went to die
[916] 1:49:02	[Laughter] um it's so funny because you go to the markets and you can see tons of spice
[917] 1:49:10	markets tons of them and you kind of Wonder well
[918] 1:49:19	um it's like you see spice everywhere but the cooks don't use
[919] 1:49:26	it most of them anyway now I will say this about the t
[920] 1:49:32	uh Tut anamon that restaurant uses spice and uses it well I mean it's really good
[921] 1:49:38	but most places where you eat oh um what about the UK uh the UK has
[922] 1:49:47	not great Cuisine either uh but there's options in the UK that you can eat that are actually
[923] 1:49:54	reasonable yeah there's a lot of foreign food in the UK umat tons of Indian yeah
[924] 1:49:59	they eat a lots you can always get Indian food in the UK and it's UK styled
[925] 1:50:05	Indian food and it's good it's really good like chicken Tika Masala that's actually a British dish it's not
[926] 1:50:11	actually an Indian dish and it's excellent but getting good food in Egypt
[927] 1:50:18	kind of hard um it's one of the reasons I really love
[928] 1:50:24	McDonald's in Egypt um the McDonald's is good I'll say
[929] 1:50:29	this Egypts McDonald's are good uh now because it's
[930] 1:50:35	Halal they cook their burgers in a certain way too uh which is uh kind of
[931] 1:50:43	interesting uh they're very they're very thin and they're thoroughly cooked I
[932] 1:50:50	mean they you can only get well done um um the um and when they have um
[933] 1:51:00	because the the burgers are so thin you get what's they have uh what's it called
[934] 1:51:05	now um they call it a triple Big Mac but it's actually six
[935] 1:51:13	patties but because it's like so thin it's like getting like two or three okay
[936] 1:51:19	um um I don't like the rice they'll often
[937] 1:51:27	serve it's kind of a rice and uh forget what it's called now it's a rice and
[938] 1:51:34	um um verelli mix and it's done in a tangin
[939] 1:51:41	uh don't care for that and I don't care for the stewed okra with tomatoes you
[940] 1:51:47	often get don't like that at all and I definitely stay way from the salads now
[941] 1:51:53	I mean I just I will not touch a salad in in Egypt again it's washed in local water
[942] 1:52:00	and you can get real sick off of it
[943] 1:52:09	um yeah
[944] 1:52:15	um uh Mr warlight says is modern Egyptian food at least better than
[945] 1:52:20	ancient Egyptian Cuisine I think I think it probably is um there is some stuff that's really
[946] 1:52:27	good um there was a one place I at near
[947] 1:52:32	Giza that again another hole in the wall you had to know where it
[948] 1:52:38	was um and it had this this um chicken
[949] 1:52:45	chicken that was stuffed with sausage and it was really good it was really
[950] 1:52:51	good so um yeah that was that was excellent
[951] 1:52:56	that was really good there's also a sandwich place right beside um the McDonald's at luxer as
[952] 1:53:05	well that's also really good that's the only place in uh in Egypt where you can get real
[953] 1:53:11	bacon trust me to know where to find the bacon
[954] 1:53:17	[Laughter]
[955] 1:53:24	yeah BC says getting baptized in the N would be a real Act of Faith by the sounds yeah yeah don't swim in the Nile
[956] 1:53:31	uh don't touch the Nile
[957] 1:53:39	water uh how about your favorite American restaurant
[958] 1:53:46	um would that be flames it'd be flames
[959] 1:53:53	yeah yeah you'd have to know about this it's it was a restaurant in uh um oh um
[960] 1:54:01	the Bay Area in San Francisco Bay area and it's a family restaurant we
[961] 1:54:07	used to go to that one all the time I don't even know if they're still operating to be
[962] 1:54:14	honest but uh it was very good very
[963] 1:54:19	good all right so that was my favorite American restaurant all right let's get on to the
[964] 1:54:25	next one here super chat uh $499 from at mysteries thank you very much for the
[965] 1:54:32	Super Chat is there an ancient near East Israelite Greco Roman understanding of
[966] 1:54:38	predestination that we miss in our modern context um not so sure never studied
[967] 1:54:49	that Jack and Ray bacon WRA pork sausage nice oh yeah bacon red pork sausage I'm
[968] 1:54:56	I I love P prime rib for me I I I am very big on prime
[969] 1:55:03	rib of course being on a ketogenic diet uh I tend to really
[970] 1:55:09	enjoy um Prime rip so um so restaurants
[971] 1:55:15	that serve that tend to float my boat but um bacon wreck por sausage oh yeah
[972] 1:55:22	yeah really nice I'll agree with you oh we actually had hamburgers for
[973] 1:55:29	dinner tonight uh first time in a while that we've had hamburgers and feel wow
[974] 1:55:35	uh they these were very good hamburgers okay so uh can't really
[975] 1:55:41	comment on predestination here because I haven't studied the
[976] 1:55:46	topic 18 Ministries for 199 thank you for the super chat um
[977] 1:55:53	pronounced hotep Simi think I just
[978] 1:55:58	did yeah it's hotep swi so hope that helps thank you for the
[979] 1:56:04	Super Chat and don't trust my pronunciations I'm terrible pronouncing
[980] 1:56:11	things uh count of marsai Moroccan chicken is unreal yes it is Moroccan
[981] 1:56:18	cuisine's very good it's it's it's when I said that you know Egypt and
[982] 1:56:25	Israel where is where crine went to Die the further you get from it in either direction EAS or west the better food
[983] 1:56:32	gets it's really strange like you go to Morocco and it is fantastic Morocco has some of the best quisine I've ever eaten
[984] 1:56:39	just beautiful Cuisine really tasty uh you hit Persia and India yeah
[985] 1:56:46	you're you're getting back into the good food at that point so hit Paul and you're you're
[986] 1:56:53	eating real good nepes food is is
[987] 1:56:59	excellent German yeah German German was a relief after
[988] 1:57:06	Egypt oh my gosh that Buffet at that German um Hotel
[989] 1:57:15	wow okay uh when I when I when I did my
[990] 1:57:22	three-week photographic tour of Egypt I finally came back uh when I when I came
[991] 1:57:28	back I I spent a night at Frankfurt and went to the only bar that was open
[992] 1:57:35	and I ordered two two
[993] 1:57:40	Entre and the guy goes you realize this is two Entre right I said yep yep bring
[994] 1:57:48	me the broadw worst bring me the uh the Schnitzel
[995] 1:57:56	after after
[996] 1:58:03	uh after after three weeks of of of eating some pretty awful stuff in Egypt
[997] 1:58:09	oh Germany was just like going to heaven it was just like so so [Laughter]
[998] 1:58:17	phenomenal uh Kiara folk says the producer says he had a lab over in Germany and re raved and raved about the
[999] 1:58:24	meat available well you know the thing is you
[1000] 1:58:30	don't in Egypt you don't generally get large portions of meat you know and it's
[1001] 1:58:36	usually overcooked or tastes terrible um like you often get served for
[1002] 1:58:43	breakfast this is was kind of weird um breakfast in Egypt was often
[1003] 1:58:52	an overfried egg so it was an egg that was like rubber it was really awful and
[1004] 1:59:00	uh damiata cheese which just tastes rancid I mean it's just they just give you a block of cheese like it's a soft
[1005] 1:59:09	cheese and it tastes really sharp and nasty
[1006] 1:59:14	and then you would sometimes get a hot dog okay and all be beef hot dog which
[1007] 1:59:24	was not good I mean it's it's all beef hot dogs like this are super
[1008] 1:59:30	sharp so your breakfast is kind of like
[1009] 1:59:35	overfried egg uh they'll also serve flatbread with us uh overfried egg
[1010] 1:59:43	flatbread damiata cheese and um and a hot dog that's your breakfast
[1011] 1:59:50	in Egypt oftentimes Jack Ray that makes US military sea
[1012] 1:59:57	rations sound good yeah it will depend on the on the
[1013] 2:00:02	particular hotel but at a lot of hotels that's your that's going to be your
[1014] 2:00:07	breakfast now I will say this you hit one of those crepe STS however those are
[1015] 2:00:14	good okay restaurants tend uh sorry hotels don't tend to um aren't don't do as much
[1016] 2:00:22	uh I would say good food as say some of the restaurants some
[1017] 2:00:28	of the restaurants some of the carts some of the food carts uh again you don't want to eat
[1018] 2:00:35	anything that isn't thoroughly cooked so don't need anything wrong from a food cart okay but uh uh stuff that's like
[1019] 2:00:44	cooked or peeled or boiled that sort of thing is is totally okay but I had um
[1020] 2:00:52	when I was leaving Awan the last time I left Awan um I had to catch a train and it
[1021] 2:00:58	was so early in the morning that McDonald's hadn't opened yet
[1022] 2:01:04	so uh I actually had a crepe crepe which was filled with meat filled with beef
[1023] 2:01:11	and onions and um it was delicious it was absolutely delicious uh couldn't
[1024] 2:01:18	believe how good it was I end up you know being on a
[1025] 2:01:23	ketogenic diet I ate the meat and left the crepe for the most part but but it was it was really good really tasty it
[1026] 2:01:30	was surprisingly good
[1027] 2:01:38	okay so next Super Chat here is from at Ministries from $999 thank you for the Super Chat what examples are there of
[1028] 2:01:46	the bird descending on a king to denot kingship I only found reference to coffay and Horus is there anything else
