[0] 0:00	a
[467] 56:23	okay uh yeah oh the other you need to know about toilets in Egypt you don't
[468] 56:30	put the toilet paper in the toilet you never flush the toilet paper
[469] 56:35	the plumbing there can't handle it okayy
[470] 56:40	so just keep that in mind there's a waste paper basket beside the toilet that's where you stick the toilet paper
[471] 56:47	not in the toilet you'll plug the toilet okay so that was fun
[472] 56:57	all
[473] 57:03	right yeah if you're not going on the trip you don't really need to know this
[474] 57:08	but there you go okay uh 18 Ministries for 199 thank you
[475] 57:15	again for the Super Chat when does the two Powers theology enter
[476] 57:20	Israel uh it enters Israel definitely by the Iron Age I mean
[477] 57:26	it's definitely there by the time of the prophets okay so it's it's definitely
[478] 57:31	there by the split monarchy it's probably there even earlier okay like
[479] 57:37	for example you're going to have the whole idea of of Elohim versus the spirit as early as the bra Bronze Age uh
[480] 57:46	particularly in say Genesis 1 okay so there's already the idea of the two
[481] 57:53	Powers theology in Genesis 1 but you're going to get it lot more explicitly at the time of the major
[482] 58:02	profits so so that's when it IT enters in it
[483] 58:10	really enters into um Israel in force in force but
[484] 58:15	it's it's its Echoes are already in the Torah okay so I hope that helps thank
[485] 58:23	you very much for Super Chat very much appreciated 18 Ministries for 199 how does the ball
[486] 58:30	cycle relate to Daniel 7 let's pull up our Bible and let's take a
[487] 58:36	look okay
[488] 58:41	Daniel chapter 7 and it's going to be a
[489] 58:49	mostly the environmental effects that we see here that are going to be related to the ball cycle
[490] 58:56	uh verse two in particular I was looking at in my vision by night and behold the
[491] 59:03	Four Winds of Heaven were stirring up the great sea okay now the whole idea of the ball
[492] 59:11	cycle is this is a contest against the gods between the gods you have the hero
[493] 59:17	God B and B is doing combat Against The Gods
[494] 59:25	of of the sea so he's the storm God he's
[495] 59:31	doing his his battle against so so the Four Winds here would
[496] 59:36	be seen as as ball stirring up the The
[497] 59:42	Winds of Heaven against the great sea and doing combat against the
[498] 59:48	monsters of the sea the yam okay and that's very typical ball
[499] 59:54	cycle but the thing is Daniel here seems to be sampling that that idea but he's
[500] 1:00:04	not taking it very far if if he is at all because he he's then going on to
[501] 1:00:12	talking about the the four Great beasts coming out of the sea each one
[502] 1:00:19	different so this is not a single God this is not a sea god that controls the
[503] 1:00:25	sea and is is the lifethreatening force of the sea as you find in the ball cycle but
[504] 1:00:32	the sea is just more or less upchucking these four beasts that are
[505] 1:00:40	enemies and have their own identities
[506] 1:00:46	so there's there's a very very limited idea here to how closely the ball cycle
[507] 1:00:55	relat to Daniel 7 um you do have in verse 13 and he came
[508] 1:01:01	upon up to the Ancient of Days and was presented before him okay so uh actually I'll read a
[509] 1:01:08	little more and I kept looking at the night fish and behold with the uh Clouds Of Heaven one like a son of man was
[510] 1:01:14	coming and he came up to the Ancient of Days and was presented him now the Ancient of Days is a title we do find in
[511] 1:01:20	the ball cycle so there's also that too so there is remnants of the ball cycle
[512] 1:01:27	in Daniel 7 it's almost like the the person who wrote Daniel 7 if we can say
[513] 1:01:33	Daniel here just for the sake of argument was had read at one point the
[514] 1:01:40	ball cycle but was um doing intertextuality
[515] 1:01:45	with the ball cycle this is not a copy of the ball cycle it's not even close to a copy but there's just a couple of
[516] 1:01:52	references here and there that seemed to indicate that this author had had heard
[517] 1:02:00	of or read the ball cycle and is interacting with it in some various
[518] 1:02:09	ways uh do you think uh Muhammad Karam do you think the last Beast of Daniel 7
[519] 1:02:16	is Rome um I would have to read that in more
[520] 1:02:23	detail before I decide i' I've taking various uh views of this in the past one
[521] 1:02:30	of the things I'd have to do before I actually come down on that question is I have to go through the
[522] 1:02:35	commentaries really I know there's a lot of lot of people out there who think it's Rome
[523] 1:02:43	okay but I've also had some reasons to to second guess that as well but I also
[524] 1:02:51	want to make sure I do my my my due diligence
[525] 1:02:56	before I answer that question because I've had I've had to change my thinking on a lot of stuff
[526] 1:03:05	that refers to both Daniel and the Book of Revelation okay so I want to be very
[527] 1:03:10	very cautious before I say de uh definitively that any Beast represents
[528] 1:03:17	any one thing okay so I'm going to defer this question it's something I'm still
[529] 1:03:22	looking into and I'm still reading on in my copious fre time unfortunately I'm not going to get to it this month I'm
[530] 1:03:29	just not going to get to it I am I am right now doing a peer reviewed article on chronology and I am
[531] 1:03:37	overwhelmed absolutely overwhelmed with the edits to get it to to press so I
[532] 1:03:43	won't be able to do it this month at all okay um your caution has me intrigued
[533] 1:03:51	says M well here's the thing here's the thing that I I I find when I start
[534] 1:03:57	looking at say Revelation when I start looking at Revelation or prophecy or anything like
[535] 1:04:04	that it's the always the alternate readings that are going to put a spanner into any any
[536] 1:04:10	interpretation okay um like for
[537] 1:04:17	example um last week we had the question of of is revelation 12 talking about the
[538] 1:04:26	Virgin Mary well when you start looking at the symbolism of it and you you you're aware
[539] 1:04:31	of the alternate reading in in Genesis where it's talking not about Mary but
[540] 1:04:37	the nation of Israel yeah okay you can't go with a Maran reading of that without completely
[541] 1:04:45	destroying the reading in Genesis so I like to be I mean the more
[542] 1:04:52	the more I look at at uh Revelation the more I'm discovering obscure readings in
[543] 1:05:00	the Torah in the Old Testament
[544] 1:05:07	that um that really caused me to
[545] 1:05:13	pause and say okay we got to give these things a little more breathing room
[546] 1:05:18	around its the text it's relating to before we come down to
[547] 1:05:24	something a definitive interpretation because prophecy doesn't work this
[548] 1:05:30	way that's the other thing too is that prophecy is recontextualized
[549] 1:05:37	frequently it's recontextualized for its specific audience it's recontextualized
[550] 1:05:44	according to its current audience and it's often recontextualized for future
[551] 1:05:49	audiences so we have to be really super cautious before we say this is the
[552] 1:05:55	definitive reading of any prophetic text
[553] 1:06:01	so I like to be really cautious with with prophecy because it has those
[554] 1:06:06	nuances to it okay so that's all I'm going to say
[555] 1:06:13	about about this uh as far as is this this Rome the answer is don't know I
[556] 1:06:20	have to look it up more all right when I finally get that copious freak time that
[557] 1:06:26	I've been praying for uh I might use some of that for doing this
[558] 1:06:32	investigation further okay
[559] 1:06:37	okay so that
[560] 1:06:43	said get into the Super chats back to the super chats here
[561] 1:07:05	okay um 18 Ministries next one for $499 uh thank you very much for the
[562] 1:07:11	Super Chat we appreciate that uh where do we get the idea of the seven essential doctrines of the
[563] 1:07:18	Christian faith why only these okay um the seven essential doctrines
[564] 1:07:25	and and really seven is really kind of an arbitrary number it was sort of counted up during the Reformation is
[565] 1:07:33	where were the idea that there were seven of them there could actually be a lot more depending on how you count
[566] 1:07:39	these okay and you'll see why in a moment okay now some of these are really
[567] 1:07:45	oneoff dogmas and doctrines and you can but there's one in particular that sort
[568] 1:07:50	of crams a whole lot into it okay um you
[569] 1:07:55	have the Trinity okay that's one salvation by grace through faith that's
[570] 1:08:01	another the Virgin birth is another for the Virgin conception um the fall of Man is another
[571] 1:08:10	one the second coming of Jesus Christ is another one but then you've got like
[572] 1:08:16	this one where it is the sinless life of Jesus his crucifixion vicarious ATT
[573] 1:08:26	atonement um burial is
[574] 1:08:32	resurrection and and the the perfect life of the Lamb of Jesus Christ now
[575] 1:08:38	that's a whole lot of actually smaller doctrines crammed into one that sort of
[576] 1:08:44	is the catch bucket the life of Jesus Christ
[577] 1:08:49	okay so so the count is a little bit artificial okay the count is definitely
[578] 1:08:55	bit artificial so that whole life of Christ one is really sort of got whole lot of
[579] 1:09:01	stuff jammed into it so if you really wanted to to unpack that as separate
[580] 1:09:09	doctrines there's no reason why you couldn't it's just more or less convenient and easier to remember a a
[581] 1:09:17	group of seven than say 15 or 18
[582] 1:09:23	okay yeah s a nice biblical number oh the seventh one is solar scriptura okay now of course there are
[583] 1:09:31	going to be those who don't understand solar scripture like the Eastern
[584] 1:09:36	Orthodox and there are those who are going to reject solar scripture like the Roman Catholics so that seventh one is
[585] 1:09:44	very very controversial okay so it's
[586] 1:09:50	more it's probably fair to say that there's six that everyone agrees on
[587] 1:09:59	so it's one of those things that we get it coming out of the Protestant
[588] 1:10:04	Reformation the Protestant Reformation says looked looked at all Christianity
[589] 1:10:09	and said these are the the doctrines that we all agreed on throughout church
[590] 1:10:17	history okay so in some ways it's it's a it's the idea of
[591] 1:10:23	of going through the Church fathers going through the ecumenical councils
[592] 1:10:28	looking back and seeing this is where we're all agreed Eastern Orthodox Roman Catholics
[593] 1:10:37	Protestants even anabaptists all of these churches are
[594] 1:10:43	agreed on these Essentials doctrines as to what makes you
[595] 1:10:49	Christian and it's been that way going all the way back to the apostles
[596] 1:10:56	and the apostolic sees
[597] 1:11:01	so that's going to end up that's um that's how we got these
[598] 1:11:08	doctrines um and why only those is because they're the ones we can agree on
[599] 1:11:14	essentially that's the ones that every sort of church can agree on for the most part at least in their lurgical
[600] 1:11:20	doctrines now this is not taking into account lay understanding
[601] 1:11:26	okay lay understandings things can get weird um I've always said that there's
[602] 1:11:32	there are every every Church on this planet has two theologies your clerical
[603] 1:11:37	ecclesiastical lurgical Theology and your lay in the Pew
[604] 1:11:43	understand uh theology they're radically different from one another and they don't even
[605] 1:11:50	know the other one exists they're unaware of each other's existence
[606] 1:11:56	okay so you can have a very very different understanding of things in the pews of
[607] 1:12:02	your church and your your your lady will have a theological
[608] 1:12:09	understanding but it can be radically different than say what we would call
[609] 1:12:14	historical Christianity but what we talk about here is generally the
[610] 1:12:20	um the agreed upon the agreements that
[611] 1:12:26	occur between say say those who are in the no your basically the church
[612] 1:12:32	hierarchies your your um Church sinns
[613] 1:12:38	your councils Etc so that's what we're really talking
[614] 1:12:43	about here when we talk about the essential do uh doctrines of the Christian faith these are the ones that
[615] 1:12:49	go all the way back to the earliest phases of the church okay
[616] 1:13:00	so oh yeah well that's a perfect example
[617] 1:13:05	of of a lay lay theology guys Octavius says
[618] 1:13:12	like how 37% of evangelicals don't believe Jesus was God yeah like
[619] 1:13:18	that um that's that's a perfect example of Alay theology
[620] 1:13:29	uh you also get like like other other churches have lay theologies too like for example you get in Roman Catholicism
[621] 1:13:36	the idea in say the pews that salvation is by faith and
[622] 1:13:42	works the actual clerical ecclesiastical understanding of it this much more
[623] 1:13:48	nuanced it's it's that that you are saved by grace through
[624] 1:13:56	faith unto good works and you're expected to do good works to maintain your salvation okay the good works don't
[625] 1:14:04	really save you but they're part and parcel to the Salvation process they're
[626] 1:14:09	indispensable from the Salvation process that's a very very different
[627] 1:14:15	understanding than the whole idea that you can work your way to Salvation which is often which you'll get in a in the
[628] 1:14:21	pews of a s Roman Catholic Church okay but again often times in the lay theology
[629] 1:14:29	things are simplified to the point where they're devoid of their original content
[630] 1:14:35	and that's just very very common in Lay understandings and in Lay
[631] 1:14:42	theologies I mean i' I've heard things like you know um I've heard of uh people
[632] 1:14:50	who were lifelong churchgoers you know I heard this one story story from one of my
[633] 1:14:58	professors and he was doing premarital counseling remember Perry
[634] 1:15:05	DS remember that story that was
[635] 1:15:11	something this uh young couple who was coming in for premarital
[636] 1:15:16	counseling and it's in his it's his church it's his church and they revealed during
[637] 1:15:23	premarital counseling that they've been shacking
[638] 1:15:28	up and he goes he asks them uh don't you think that you should
[639] 1:15:35	be doing that I mean you're not yet married do you really think you should be shacking up right
[640] 1:15:42	now and they go well why wouldn't we it's like it's like they never
[641] 1:15:50	heard of to keep yourself you know
[642] 1:15:56	it's actually pure before marriage they had never heard of that this is fornication and
[643] 1:16:03	adultery you know
[644] 1:16:09	so you know you get some really weird understandings in the pews and even
[645] 1:16:15	though these were lifelong churchgoers they in his
[646] 1:16:21	church which might probably he had preached it uh we don't know if he was the actual Pastor though
[647] 1:16:30	so but it does tell you that people can be
[648] 1:16:39	in um in a church for their entire lives
[649] 1:16:44	and either don't get the message or the message is never taught it can actually
[650] 1:16:49	happen both ways so there can be a lot of weirdness that happens in Lay
[651] 1:16:59	theology which is why I don't blame every Pastor for what comes out of his pews
[652] 1:17:06	but I think there's times when a little more preaching needs to be
[653] 1:17:18	[Laughter] done mechan says that sounds close
[654] 1:17:24	enough as his much as as much the devil's work as Idle Hands Are yeah yeah
[655] 1:17:30	it does close [Laughter]
[656] 1:17:38	enough okay oh let's get back to the super chats here
[657] 1:18:02	okay uh so essentially again just to wrap up
[658] 1:18:07	here the seven essential doctrines that comes from uh basically the observations
[659] 1:18:13	of the reformers in after the Reformation but it is a synthesis of all
[660] 1:18:19	the universal agreements between all the major branches of Christianity going back to the church age uh the apostolic
[661] 1:18:26	age so any I hope that helps thank you very much for the Super Chat very much
[662] 1:18:32	appreciated okay next one here for
[663] 1:18:41	$9.99 thank you very much for the Super Chat very much appreciated and he asks
[664] 1:18:47	for Joshua's long day where do we see the requirement for the REM moon to
[665] 1:18:52	remain in the sky we don't I see what you mean by Sunrise is
[666] 1:18:58	this an omen for or against Joshua it's neither well let's let's
[667] 1:19:03	let's examine it here and we Bible here so it's going to be Joshua
[668] 1:19:11	10 Joshua chapter 10 okay
[669] 1:19:17	verse going to be started here at verse 12
[670] 1:19:23	okay and he Joshua said oh son stand still at
[671] 1:19:29	gibian oh moon in the valley of aelon okay now the whole idea of that
[672] 1:19:36	standing still is a conjunction it's not really stand that stand still in the sky
[673] 1:19:41	as the sky moves that's not what it's talking about here it's talking about it's in conjunction with each other
[674] 1:19:47	okay so the sun stopped in the middle of the sky means that it is at the
[675] 1:19:53	Horizon so it's at at the Horizon and the Moon is still
[676] 1:19:58	up so that's what this means here and it did not hasten to go down
[677] 1:20:04	for the whole day and there was no day like that before or afterward when the Lord
[678] 1:20:09	listened to the voice of man for the Lord fought for Israel now this is
[679] 1:20:14	again not uh right let me reread 13 so the sun Stood Still again standing still
[680] 1:20:21	is not the same as um it's that that again that standing in
[681] 1:20:30	conjunction and the moon stopped okay and again this is not stop
[682] 1:20:36	as in uh the word here is not stop the word here is stand so again it's that Omen
[683] 1:20:42	language so it's essentially the uh the sun Stood Still really let's let's and
[684] 1:20:49	the moon stood so they're standing in conjunction to each other
[685] 1:20:55	that's what's going on here is we've got a conjunction happening between the Moon and the sky and the sun Moon's on the
[686] 1:21:02	one hand end of the in the valley the suns in the other until the nation avenge themselves
[687] 1:21:08	of the enemies is it not written in the book of jasher the sun stopped in the middle of the sky again that's Horizon
[688] 1:21:15	did not hasten to go down for about a whole day okay so essentially the two
[689] 1:21:20	were in conjunction through the entire day essentially and there was no day or like that before
[690] 1:21:26	or after it when the Lord listened to the voice of a man for the Lord fought for Israel okay so the so the miracle
[691] 1:21:32	here is not so much that the conjunction happened and I
[692] 1:21:38	think that's a one place thing about this that people get kind of confused about this passage is it's not
[693] 1:21:46	that this Omen is anything special or unique it's more that this omen
[694] 1:21:55	happens Joshua says hey I got a plan Lord why don't we use this time when
[695] 1:22:03	this alond is taking place the thing that the amorites
[696] 1:22:09	fear and use it against them and the Lord says great idea let's
[697] 1:22:15	do that we'll do
[698] 1:22:21	that so so that's what's going on here it's not an omen for or against Joshua
[699] 1:22:28	it's an omen against the amorites the amorites perceive this as an OM bad Omen
[700] 1:22:37	Joshua doesn't care Joshua says recognizes this in the sky goes this would be a really bad sign if I was an
[701] 1:22:45	Amorite hey Lord can we attack now since this is a bad Omen for them and they're
[702] 1:22:52	going to be really really skittish about this and the Lord goes sure why not
[703] 1:23:01	sounds like a great [Laughter]
[704] 1:23:08	idea and that's what's going on in this text okay it's all Omen language it's no
[705] 1:23:15	special astrological or astronomical event it's just a
[706] 1:23:20	conjunction and it's using uh Omen language that we find in like Assyrian
[707] 1:23:26	texts and they're just Joshua was just leveraging on the Superstition of the
[708] 1:23:32	amorites and getting the Lord to agree with the
[709] 1:23:39	plan so so anyway I hope that helped thank
[710] 1:23:45	you very much for the Super Chat very much appreciated but that's what's going on
[711] 1:23:52	here okay uh 18 mysteries for 199 uh thank you very much for the Super Chat
[712] 1:23:58	please explain the meaning and the context of Deuteronomy 241 to4
[713] 1:24:05	okay now on me want
[714] 1:24:10	to Deuteronomy
[715] 1:24:16	24 and verse 1 to4 and we'll read the text first and then we'll get into it
[716] 1:24:21	when a man takes his takes a wife and marries her and it happens that she finds no favor
[717] 1:24:27	in his eyes because he has found some indecency in her he writes her a
[718] 1:24:32	certificate of divorce and puts it in her hand and sends her out from his
[719] 1:24:38	house and she leaves his house and goes and becomes another man's wife if the latter husband turns against
[720] 1:24:46	her and writes her significant of divorce and puts it in her hand and
[721] 1:24:51	sends her out of his house if the latter husband uh Dies who took her to be his
[722] 1:24:57	wife then the former husband who sent her away is not allowed to take her again to be his wife since she has been
[723] 1:25:04	defiled for that is an Abomination before the Lord and you shall not bring sin on the land which the Lord your God
[724] 1:25:11	gives you as an inheritance all right uh this is the divorce law
[725] 1:25:20	okay this is the divorce laws uh these are basically the regulation of
[726] 1:25:28	divorce in in Israel okay
[727] 1:25:33	now uh there's a lot to unpack here but we will let's get into it
[728] 1:25:41	okay uh first of all this happens this is more than just betral this this the
[729] 1:25:46	full marriage here so when a man takes a wife and marries her and it happens that
[730] 1:25:52	she finds no favor in his eyes because he she he has found some indecency in her now this word
[731] 1:26:01	indecency is um arova it's very very
[732] 1:26:06	similar to the term nakedness that we find in genes in the
[733] 1:26:12	last verse of Genesis 2 where Adam and Eve were naked in the garden okay but
[734] 1:26:18	this particular this is uh this is a particular kind of a decency here
[735] 1:26:25	um it's particular to women it's the kind of shameful
[736] 1:26:31	indecency so there's a Nuance here of Shame
[737] 1:26:36	involved so this is more than just he's not pleasing her or she's not pleasing
[738] 1:26:42	him it's not like she drops her her her tunic and he doesn't like what he sees
[739] 1:26:47	because he's not turned on like Henry VII was okay there's something else going on
[740] 1:26:56	here like like she might drop her drawers and
[741] 1:27:01	he might find a tattoo that says
[742] 1:27:07	um ball was here okay he finds out she might he might
[743] 1:27:13	find out she might have a temple prostitute tattoo that would be a big deal if
[744] 1:27:20	you're an Israelite okay if she has hidden her past that she was a temple prostitute in
[745] 1:27:27	the temple of ball yeah that would be a big deal if you're an
[746] 1:27:34	Israelite okay you [Laughter]
[747] 1:27:41	know uh yeah that's that's that's the last part that's that's when you don't want a secret to come out but some
[748] 1:27:46	people do keep secrets to that point okay so this is supposed to give
[749] 1:27:55	the guy a means of divorcing the person if he finds
[750] 1:28:03	out that there's this sort of shameful sexual
[751] 1:28:11	ritual impurity okay
[752] 1:28:17	indecency so yeah BC you're probably right about
[753] 1:28:26	that these days it's more likely to be the balls we're here yeah we won't get
[754] 1:28:32	into that pun but yeah but but all worship would have been a but all Temple
[755] 1:28:39	prostitution would have been a really super big deal back then
[756] 1:28:46	okay um so yeah this there there's this idea
[757] 1:28:54	of not just that there's there's you know he he just looked
[758] 1:29:00	looked at her and just did didn't like what he saw it's more that there's
[759] 1:29:06	something shameful in in in her past that has been exposed through the act of
[760] 1:29:13	marriage okay so uh so that's what's going on in
[761] 1:29:22	this particular past that's what this passage is driving at is that yeah if
[762] 1:29:29	you can write a certificate of divorce under this
[763] 1:29:35	circumstance now the problem was that the um the sages took this to mean just
[764] 1:29:44	about anything there was one Sage that basically said if she burns your cooking
[765] 1:29:50	you can divorce her yeah that's not what this passage is about
[766] 1:29:56	okay you know if she makes burnt offering of your pizza that's not an
[767] 1:30:01	excuse to divorce her okay but by the first century b bcad
[768] 1:30:11	d that is that is the
[769] 1:30:27	mama says showing that it is never cool to hide your body count from the person who it matters to you the
[770] 1:30:33	[Laughter]
[771] 1:30:38	most yum I [Laughter]
[772] 1:30:49	agree um
[773] 1:30:55	Jack Ray asks is it current indecency and not past
[774] 1:31:03	um it's not clear the passage here is not clear on whether it refers to the
[775] 1:31:10	past or the present it could be conceivable that it is either
[776] 1:31:17	one because remember Christ said that God allowed you to divorce out of the
[777] 1:31:22	hardness of your heart so when in Christ's words here there does seem to be some
[778] 1:31:30	inference that it this was written for past
[779] 1:31:36	indecency but people were too hard to forgive it again this is where say somebody who
[780] 1:31:44	may have had a life of say Temple prostitution at the Temple of ball and maybe have recanted but then tried to
[781] 1:31:51	hide it could still be um find themselves in this divorce
[782] 1:31:59	situation so so you know that's that does seem to
[783] 1:32:06	have been like in in Christ's example of of um you know he gave this to you out
[784] 1:32:14	of the hardness of your heart it does seem to infer that this is not a present on going indecency but a past indecency
[785] 1:32:34	okay so that's just that's just the first verse here okay
[786] 1:32:40	so the second thing about this passage too is in this particular society you
[787] 1:32:46	had to get your divorce certificate from the man the woman could not file for a divorce here in this Society there's no
[788] 1:32:55	women could not get divorces on their own initiative it had to come the divorce certificate had to come from the
[789] 1:33:01	man this is unlike Egypt Egypt either party could write could do the divorce
[790] 1:33:06	but in Israel the man had to write you the divorce certificate in verse two she leaves the
[791] 1:33:13	house and goes to becomes another man's wife and the LA latter husband turns
[792] 1:33:19	against her writes her a certificate so she's twice now puts it in her hand sends her out of
[793] 1:33:26	the house and then the latter husband dies who took her as a wife okay then we've got this second one here uh verse
[794] 1:33:34	four here of the former husband changes his
[795] 1:33:39	mind the former husband who sent her away is not allowed to take her again to
[796] 1:33:45	be his wife since she has been defiled and is an Abomination before the
[797] 1:33:51	Lord that is an Abomination before the Lord you shall not sin on the land which the Lord gives you as an inheritance
[798] 1:33:58	okay so the idea in verse four is
[799] 1:34:04	that once she's you divorce her and she
[800] 1:34:10	goes marries another another man she's off the table for you you there's no there's no baxis on this one
[801] 1:34:20	okay uh dark blade asks uh did the man have to personally write it if so were literate men legally
[802] 1:34:27	capable of divorce there's always scribes there's always a Manu Anis out there people who did this work for hire
[803] 1:34:35	so if people were literate they could go to somebody who was literate and have it done okay so that was not really an
[804] 1:34:42	impediment okay so I hope that helped and so anyway getting back to
[805] 1:34:49	that just the Super Chat here um
[806] 1:34:56	so what we have here is this this circumstance of divorce and the implications of it for certain kinds of
[807] 1:35:03	remarriage so first is that um the indecency has to involve
[808] 1:35:11	some kind of sexual shame of some kind probably ritual and that's seems to be
[809] 1:35:17	the inference here it's most likely a ritual shame uh he writes her a divorce
[810] 1:35:24	and then sends her away okay she goes becomes another man's hband in the event
[811] 1:35:29	that he divorces her but dies which would allow her to remarry
[812] 1:35:36	under the first divor second divorce she can remarry the first guy because she's
[813] 1:35:43	already already become another man's wife
[814] 1:35:49	so he can't reconsider his decision once that sort of Rubicon is crossed okay so again
[815] 1:35:58	it's to prevent a lot of weird wife swapping from going on here okay so
[816] 1:36:04	anyway I hope that helps thank you very much for the Super Chat very much
[817] 1:36:13	appreciated and 18 Ministries for $9.99 thank you for the Super Chat here's some extra money to make
[818] 1:36:21	sure Anthony gets some medical attention since he's not feeling well make sure
[819] 1:36:28	you all tune in for the last stream of Assassin's Creed origin playthrough yes
[820] 1:36:33	again that's this Tuesday and uh Tuesday at 4M we hope you
[821] 1:36:40	all join us again it's going to be exciting we are at thieves in um on the
[822] 1:36:45	West Bank and uh the last one was really good the last one was really interesting
[823] 1:36:51	if you hadn't seen that already uh definitely go look at that because that one was really
[824] 1:36:57	fun will there be free P will there be Pizza well I don't
[825] 1:37:04	know we'll see
[826] 1:37:11	okay so anyway thank you very much for sponsoring the uh Assassin's Creed
[827] 1:37:16	origin live play uh thank you very much for that Super Chat and we will see that
[828] 1:37:22	Anthony convalesces okay thank you very so very
[829] 1:37:30	much okay one CH uh for $2 thank you very much the Super Chat why does God
[830] 1:37:36	try to kill Moses Exodus 4:24 all
[831] 1:37:42	right
[832] 1:37:48	Exodus 24
[833] 1:38:03	okay one of our Bibles now we're going to talk about this whole zipra passage
[834] 1:38:08	because this one this one confuses a lot of people but kind of when you finally
[835] 1:38:14	understand what's going on here it'll make sense
[836] 1:38:20	okay okay so he's had Moses has had his encounter with God
[837] 1:38:26	he's told to take his wife and children and go back to Egypt now they're going to be go staying somewhere as else while
[838] 1:38:32	he does his business in Egypt but they're going they stay temporarily at a lodging place on the way and we're going
[839] 1:38:38	to start the reading here at verse 24 now it came about at the lodging
[840] 1:38:43	place on the way that the Lord met him and sought to put him to
[841] 1:38:49	death then zipra took a flint and cut off her son's foreskin and threw it at
[842] 1:38:55	Moses's feet and said you are indeed a bridegroom of blood to
[843] 1:39:01	me so he let him alone at the same time she said you are a bridegroom of Love of
[844] 1:39:08	blood because of the circumcision okay now this seems like a
[845] 1:39:14	very strange sort of three verses to insert in this
[846] 1:39:20	narrative but if you understand what's going on on in the passage and the
[847] 1:39:26	culture as a whole this makes complete sense
[848] 1:39:32	okay so what's going on here is that Moses was had to flee Egypt he had
[849] 1:39:39	murdered an Egyptian he had lived life as an Egyptian up to that point and he fled to
[850] 1:39:47	Midian to get away from Pharaoh's Justice and
[851] 1:39:54	well in Midian he has a wife zipra and two children two
[852] 1:40:03	boys and they're making their way back now he's goinging on his way back to
[853] 1:40:09	lead the children of Israel back to the promised land that's
[854] 1:40:15	why he's going to free the Israelites bring them back into Accord with the abrahamic
[855] 1:40:22	Covenant where where God promises to Abraham that Abraham's descendants his
[856] 1:40:28	seed will inherit the land of Israel one small
[857] 1:40:38	problem Abraham uh Moses himself was not following the abrahamic
[858] 1:40:44	Covenant because the sign of the abrahamic Covenant is
[859] 1:40:50	circumcision now Moses was exempt from this because he' already probably had it done
[860] 1:40:55	while he was living in Egypt Egyptians often circumcised so Moses was probably
[861] 1:41:02	already circumcised but the midianites were not midianites did not
[862] 1:41:12	circumcised so in this particular case his children his
[863] 1:41:18	boys I think it's just one son at this point yeah uh the first son here isn't
[864] 1:41:26	circumcised okay
[865] 1:41:31	so Moses is vile has violated the abrahamic Covenant and God is basically angry
[866] 1:41:39	angry at Moses because hey you're going to go lead the children of Israel out of
[867] 1:41:45	Egypt and tell them that they need to follow Yahweh and the abrahamic Covenant
[868] 1:41:51	and you haven't done it yourself
[869] 1:42:03	woo um kemel leopard weren't The midianites Descendants from Abraham some
[870] 1:42:08	of them were some of them weren't okay so we'll take that question too
[871] 1:42:26	uh what why uh dark blade asked why didn't
[872] 1:42:32	God just leave a by the way go circumcise your son message instead because he already knew
[873] 1:42:37	it okay this is why he he didn't have to look here's the thing
[874] 1:42:44	um God doesn't tell you things you already
[875] 1:42:50	know okay and Skeptics will often say oh well
[876] 1:42:55	why didn't God God just ring the telephone in and tell me about Jesus
[877] 1:43:00	Christ why why why do I have because he gave you the Bible he gave you he gave
[878] 1:43:07	you preachers he gave you YouTube he gave you radio if anyone
[879] 1:43:14	listens radio anymore there's a lot of ways you can get the gospel if you
[880] 1:43:19	really want it so you know where to get it if you know
[881] 1:43:26	where to get it that's not a god problem at that point he's there's no compulsion
[882] 1:43:32	upon God to go pick up the telephone and call you you know Reach Out And Touch
[883] 1:43:37	someone on the telephone okay likewise Moses
[884] 1:43:43	knew that he was supposed to circumcise his kid he knew this he wasn't unaware
[885] 1:43:49	of this he had had it done
[886] 1:43:55	so Moses just didn't want to do it we don't know why we don't know why he felt
[887] 1:44:02	so skittish about this but apparently he did uh to the point where zipra had to
[888] 1:44:09	do it zipra figured it
[889] 1:44:16	out yeah she wasn't an Israelite but she had probably heard the stories she had probably heard him talk about Abraham
[890] 1:44:28	MH uh CA asks weren't midianites descended from Abraham some were okay
[891] 1:44:35	how do they opt out of that even though Ishmael was circumcised not all ishmaelites are are midianites okay it's
[892] 1:44:42	like this uh ishmaelites are an ethnicity within
[893] 1:44:48	the midianites okay um you also also had ishmaelites
[894] 1:44:53	that were  that were not midianites per
[895] 1:44:59	se um you also had um midianites that
[896] 1:45:04	weren't ishmaelites uh particularly later on uh
[897] 1:45:09	in the 10th Century you start getting uh midianites that are from that are part of Arabic tribes that are not ishmaelite
[898] 1:45:17	okay so um you did have midianites that were
[899] 1:45:23	ishmaelites and ishmaelites that were midianites but the two are not
[900] 1:45:29	synonymous okay you could have you could have as I said these are these are overlapping circles think of a ven
[901] 1:45:37	diagram here so so some of them would have opted out
[902] 1:45:43	because they weren't of that it also too could be too that they just didn't pass on the tradition either that seems to
[903] 1:45:49	have happened in some cases with um certain descendants of Abraham where
[904] 1:45:55	they just didn't didn't go along with the whole abrahamic
[905] 1:46:00	program
[906] 1:46:07	so so
[907] 1:46:17	anyway uh one asks but if Moses was circumcised why did his wife put the
[908] 1:46:23	force scin on his legs uh threw it at his feet I think is what the text says
