[0] 0:24	Hey. Hey. Hey.
[714] 38:54	every other demon but like in a Megatron
[715] 38:56	sort of way?" Yeah, exactly.
[716] 38:59	Yeah, that's a that's actually pretty
[717] 39:01	good analogy. Uh, if you understand the
[718] 39:04	reference,
[719] 39:06	Megatron doesn't really control the
[720] 39:09	Decepticons
[721] 39:11	all that much. He's more or less the
[722] 39:13	biggest bully among the Decepticons, but
[723] 39:16	he's doesn't really control them very
[724] 39:18	well.
[725] 39:23	Martinez
[726] 39:25	841. I read the script
[727] 39:30	if any of the
[728] 39:34	Uh, Dr. Amy Martinez says, "I read the
[729] 39:37	school tape labs letters and I wonder if
[730] 39:40	any of the demons regret following the
[731] 39:42	devil." No. No, they don't.
[732] 39:46	Um, they Here's here's the one thing
[733] 39:48	about being a a demonic entity is you
[734] 39:51	knew full well the consequences,
[735] 39:56	the costs,
[736] 40:00	how what would it cost you and the
[737] 40:02	results. You knew everything
[738] 40:05	and you knew who God was on top of it.
[739] 40:07	>> They they've always been face to face
[740] 40:09	with
[741] 40:10	>> Yeah.
[742] 40:14	So, so that's how it works. Um,
[743] 40:17	>> we take a lot on faith.
[744] 40:19	>> Yeah.
[745] 40:23	Or Ryan Cohen camp. Is Satan the
[746] 40:25	strongest enemy of God? Yes, he is. But
[747] 40:28	he's also a second rate adversary.
[748] 40:31	So,
[749] 40:33	he is the strongest enemy of God, but
[750] 40:36	he's he's very second rate.
[751] 40:39	He's only a cherubam. That's it.
[752] 40:42	you know, he's not he's not a god
[753] 40:45	himself. He's just a cherubam
[754] 40:48	and that's pretty powerful. But yeah,
[755] 40:51	he's a second rate adversary.
[756] 40:54	I mean, he can't even defeat Michael.
[757] 40:57	You know, when he goes to war against
[758] 40:58	Michael, who is a prince of Sar, he
[759] 41:03	can't defeat him.
[760] 41:05	So, he he's a second rate adversary.
[761] 41:11	Shri goes, "So, Demon Society is
[762] 41:14	essentially the pirate republic of
[763] 41:15	Nassau." Yeah. Yeah.
[764] 41:27	All right. Let's move on here to the
[765] 41:28	next question.
[766] 41:32	Next question is from
[767] 41:36	Golden Wind.
[768] 41:39	How would you write demons in futuristic
[769] 41:42	or cyberpunk setting without it being an
[770] 41:44	incoherent mess of ideas? Okay,
[771] 41:47	here is my advice for writing demons.
[772] 41:52	Doesn't matter if you're doing
[773] 41:54	fantasy,
[774] 41:56	books of the past, books of the present,
[775] 41:59	or books of the future. Okay,
[776] 42:02	here's the thing.
[777] 42:05	write about demons like you would write
[778] 42:08	about them today.
[779] 42:11	The strategies of demons has not changed
[780] 42:13	in 5,000 years. It's exactly the same.
[781] 42:17	The tactics are exactly the same.
[782] 42:22	So
[783] 42:24	while you write, say if you're doing a
[784] 42:26	futuristic or cyberpunk setting, write
[785] 42:28	the setting as though it were the
[786] 42:30	future, you know, with with the
[787] 42:32	technology and the progress and all of
[788] 42:35	that and this the inevitable regress too
[789] 42:38	because you can't have progress without
[790] 42:40	some regress.
[791] 42:42	But then write the demons in that
[792] 42:44	setting like they would exist today
[793] 42:48	because the tactics of demons don't
[794] 42:50	change. They never change. They're the
[795] 42:53	same tire tactics of 5,000 years ago and
[796] 42:56	they still work. And they still work
[797] 43:00	because people haven't changed in 5,000
[798] 43:02	years. Nature never changes.
[799] 43:03	>> Yeah. Human nature never changes.
[800] 43:21	level
[801] 43:24	already. So,
[802] 43:29	uh, and will they ever change their
[803] 43:31	levels of evil? Um, no, because they're
[804] 43:35	already kind of there.
[805] 43:39	um they've kind of they've kind of gone
[806] 43:42	full evil as it is.
[807] 43:46	So, no, they won't they won't ever
[808] 43:47	change their levels of evil and they're
[809] 43:48	still doing the same stuff. It's just
[810] 43:52	>> mama subs.
[811] 43:54	>> Yeah, mama still sums it up. Kill,
[812] 43:56	steal, destroy. That's the tactics
[813] 43:59	cap is what are those tactics since in
[814] 44:02	short and I think I think mama really
[815] 44:04	summarized it. kill whoever they can
[816] 44:07	kill,
[817] 44:09	steal away from God whatever is God's
[818] 44:12	and destroy whatever God created.
[819] 44:15	Okay? And if that means getting you off
[820] 44:18	the track of the gospel, that's what
[821] 44:20	they'll do.
[822] 44:23	>> That was what you were saying.
[823] 44:25	>> Mhm.
[824] 44:26	>> Hebrews, right?
[825] 44:27	>> Yeah.
[826] 44:29	>> Like% off gold.
[827] 44:32	>> Yeah. Yeah. Yeah. iniquity drift.
[828] 44:37	Yeah, if they can just get you to drift
[829] 44:39	off course until you're far away from
[830] 44:41	God. Oh yeah, they'll do that.
[831] 44:48	Mama adds distract, pervert, lie. Yep.
[832] 44:52	Yep. Confuse.
[833] 44:56	Yep. The tactics are all the same.
[834] 44:59	They haven't changed one bit.
[835] 45:04	Okay. Uh
[836] 45:09	AJ Higgins asks, "What are some of your
[837] 45:12	best recommendations for books on
[838] 45:13	biblical creology at all levels in any
[839] 45:16	niche?" Um the one I would start with,
[840] 45:19	um there's a really good short book
[841] 45:23	uh by Matau Relle
[842] 45:26	called The Bible and Archaeology. It's a
[843] 45:28	really good short book. It's published
[844] 45:30	by Hendrickson's.
[845] 45:32	Um
[846] 45:33	I have it somewhere around here, but I
[847] 45:35	don't know where. Uh but it's a very
[848] 45:38	good book. It's very short. It it it's
[849] 45:41	full of little um nuggets of wisdom on
[850] 45:44	on biblical archaeology. So that would
[851] 45:48	be a good starting primer for biblical
[852] 45:50	archaeology.
[853] 45:52	Uh then you can go on to more advanced
[854] 45:54	books. You can go into stuff like um
[855] 45:57	can kitchens on the reliability of the
[856] 46:00	Old Testament and there's others too,
[857] 46:03	but um
[858] 46:07	so that's that's where I would start you
[859] 46:09	on biblical archaeology.
[860] 46:19	Uh Mr. White asks, "Why is the grave
[861] 46:21	site grave site at Aavarus good ex uh
[862] 46:24	evidence for the Exodus? Couldn't it
[863] 46:26	just have been made because of
[864] 46:28	population growth?" All right, here's
[865] 46:31	the issue with it.
[866] 46:34	Uh at the time, just before the grave,
[867] 46:37	the cemetery cited Avarus.
[868] 46:41	Avarus and um Hi Ramsey's was two cities
[869] 46:45	that coincided at the same time. Okay.
[870] 46:50	So you had Pyramis isolated on an island
[871] 46:53	and then you had the larger Avarus.
[872] 46:57	Avarus disappears
[873] 47:00	and it's replaced by a cemetery.
[874] 47:04	Now why it's good evidence is because it
[875] 47:06	happens all over the site.
[876] 47:10	It is um dates to a specific period of
[877] 47:14	time too which is mid dynasty 19. Okay.
[878] 47:20	So
[879] 47:24	if it is caused by a population growth
[880] 47:28	it's also evidence of a large population
[881] 47:32	death. Okay.
[882] 47:36	to have that many people from a single
[883] 47:38	period
[884] 47:40	die at once.
[885] 47:42	Um,
[886] 47:44	>> yeah,
[887] 47:47	something happened there. Something
[888] 47:49	happened.
[889] 47:51	Okay, but it's it's um we know we know
[890] 47:56	that that site that cemetery site begins
[891] 47:59	in Dynasty 19. It probably was used into
[892] 48:01	Dynasty 20 as well, but um there's a lot
[893] 48:05	of Dynasty 19 remains there. A lot of
[894] 48:07	them. So,
[895] 48:12	so uh hope that helps. Thank you very
[896] 48:15	much for the question. Really
[897] 48:16	appreciated. But yeah, that's why it's
[898] 48:18	good evidence is because it's a whole
[899] 48:20	city just gone and replaced by a
[900] 48:22	cemetery. So
[901] 48:28	a common lurker asks, "What do you think
[902] 48:31	of Donald Redford's argument against the
[903] 48:32	ramicite or origin for the toponym
[904] 48:35	Ramse's in the Bible?" Michael Heiser
[905] 48:38	once mentioned it as an argument that
[906] 48:39	can go against the late day. I think
[907] 48:41	it's a stupid argument.
[908] 48:43	I think it's a dumb argument.
[909] 48:46	Um, and it's been pretty much debunked.
[910] 48:51	Um he he basically says that
[911] 48:56	uh as I best recall
[912] 49:00	that
[913] 49:03	it's not
[914] 49:05	Ramse's because it's
[915] 49:08	lacks the P. So it's not P Ramsey's in
[916] 49:12	the Bible, it's Ramse's. and he tries to
[917] 49:14	make the claim that
[918] 49:18	the the dropping of the pair or P at the
[919] 49:22	beginning of P Ramsy's did not happen
[920] 49:26	until until the third intermediate
[921] 49:28	period. Okay.
[922] 49:31	So it's it's it's not the Ramosa Rom uh
[923] 49:34	Ramse's connection. It's a later thing.
[924] 49:39	Okay. He's trying to make push Ramse's
[925] 49:43	in the Bible to the third intermediate
[926] 49:45	period or the Iron Age.
[927] 49:48	Okay?
[928] 49:50	And he's doing it based upon that that P
[929] 49:53	dropping out.
[930] 49:56	Now, here's the problem with it.
[931] 50:00	We find Ramse's without the P in Papyrus
[932] 50:05	Anastasia 3
[933] 50:09	and that dates to the reign of MPa.
[934] 50:13	That's as Ramicide as you get.
[935] 50:17	So Redford's wrong on this and a lot of
[936] 50:22	people pointed this out. So
[937] 50:26	M goes whoops. Yeah. Yeah, that's a
[938] 50:28	whoops.
[939] 50:31	It's um but you know you get these
[940] 50:32	people that that make that I mean they
[941] 50:34	use that argument too with with pithm
[942] 50:36	ethom too. Ethom is pithm without the p.
[943] 50:41	So a lot of them have said oh you that's
[944] 50:43	got to be third intermediate period iron
[945] 50:45	age because it doesn't have the p in
[946] 50:48	front of it. Well you know what if it
[947] 50:49	doesn't have the p in front of it for
[948] 50:50	rom's doesn't necessarily have to have
[949] 50:52	it in front of etham either. So,
[950] 50:57	so yeah, I I I
[951] 50:59	Yeah.
[952] 51:01	Uh,
[953] 51:03	so Redford was wrong on this. He was
[954] 51:05	very wrong on this. And Michael Heiser
[955] 51:09	mentioning it as an argument against the
[956] 51:12	late date. When it comes to the Exodus,
[957] 51:15	was a complete idiot. Um, I I don't know
[958] 51:17	how to say this any any more clear. I
[959] 51:20	like Heiser. I like some of his ideas. I
[960] 51:22	think he was a very creative scholar.
[961] 51:25	But his stuff on the Exodus was just so
[962] 51:28	bad.
[963] 51:30	So bad in so many ways. Um I just can't
[964] 51:34	take Heiser seriously. Whenever he talks
[965] 51:36	about the Exodus,
[966] 51:38	he doesn't know. He didn't know what he
[967] 51:40	talked about.
[968] 51:46	So it's just one of those things. is
[969] 51:48	just, you know, it's just fa I face palm
[970] 51:51	every time I see Heiser do a lecture on
[971] 51:53	the Exodus.
[972] 51:56	Uh, dark bay falls up here. If a P is
[973] 51:58	dropped, that would mean etham is the
[974] 52:00	same as atum. Yes. Yes, it does.
[975] 52:07	It is that that TM. It's that tomb.
[976] 52:12	And and the U is it's in Egyptian is
[977] 52:15	just TM. So it's tomb it's pum
[978] 52:20	or perum
[979] 52:23	e is also e tomb e.
[980] 52:29	So yeah it's the same and it it occurs
[981] 52:33	in the same orders as you would expect
[982] 52:36	uh pithome to be. So it's definitely I
[983] 52:39	mean there's really no serious doubt
[984] 52:41	>> theory has
[985] 52:42	>> yeah the theory has a lot of problems.
[986] 52:50	So so
[987] 52:53	well I mean I think probably the most
[988] 52:55	embarrassing thing I saw Michael Heiser
[989] 52:57	talk about was at the beginning of his
[990] 52:59	Exodus. He did a threepart
[991] 53:03	Exodus um lecture
[992] 53:06	and
[993] 53:08	he talked about
[994] 53:13	um pictures of the slaves
[995] 53:16	and he showed the picture you know it
[996] 53:18	was it's it's it's the the the Asiatics
[997] 53:20	making mud bricks from thieven tomb 100
[998] 53:25	and he talked about it being from a tomb
[999] 53:29	of a guy called Benny Hassan.
[1000] 53:32	But it this couldn't be related to the
[1001] 53:34	Exodus because Benny this this this
[1002] 53:36	guy's tomb, Benny Hassan's tomb dates to
[1003] 53:40	uh 1800 BC. So it's too early.
[1004] 53:44	And I was just my jaw was dropping like
[1005] 53:48	I couldn't believe it. It was just like
[1006] 53:50	Heiser, didn't you check with anyone
[1007] 53:52	before saying this? Of course he didn't.
[1008] 53:56	>> By Bible Bible scholars never check with
[1009] 53:58	Egyptologists. I don't know why they're
[1010] 54:00	so proud that they they feel so proud
[1011] 54:02	they don't do this, but but it was so
[1012] 54:06	bad. So bad. I mean, that's that was
[1013] 54:08	first of all, that was the tomb of Wreck
[1014] 54:09	Marray.
[1015] 54:11	Second of all, Benny Hassan is a place,
[1016] 54:13	not a person,
[1017] 54:15	even though it sounds like a person's
[1018] 54:16	name. Third was that tomb dates to mid
[1019] 54:20	15th century. So, it's it's it's in the
[1020] 54:23	ballpark of of the um Israelite uh
[1021] 54:28	captivity. So, um, yeah, he was wrong on
[1022] 54:32	all counts. All counts.
[1023] 54:35	But those are the mistakes that Heiser
[1024] 54:36	makes and he frequently makes them
[1025] 54:38	because he just doesn't know the Egyp.
[1026] 54:40	He didn't know the Egyptian material.
[1027] 54:42	But,
[1028] 54:47	uh, Annie Gone Wild asks, "Do you think
[1029] 54:49	Heiser's position was affected by early
[1030] 54:51	Exodus supporters?" It was affected by
[1031] 54:53	David R.
[1032] 54:55	Okay. That early Exodus supporter. Now,
[1033] 54:59	here's the history of Heiser.
[1034] 55:02	He was a participant
[1035] 55:06	in the
[1036] 55:09	chronology
[1037] 55:10	um what's it called? The chronology
[1038] 55:12	forum that David R used to put on for
[1039] 55:16	early career academics.
[1040] 55:21	So before Piser got his PhD, he
[1041] 55:25	participated in this chronology forum
[1042] 55:29	sponsored by David R and got his first
[1043] 55:32	publication credits by David R.
[1044] 55:37	So Heiser was beholdened to David R.
[1045] 55:43	And
[1046] 55:45	um I've seen this before where early
[1047] 55:47	academics will, you know, they'll get
[1048] 55:50	their first publication credit
[1049] 55:53	through some sort of benefactor
[1050] 55:56	and are very reticent after that to bite
[1051] 56:00	the hand that feed them.
[1052] 56:02	So,
[1053] 56:04	um,
[1054] 56:09	so, um,
[1055] 56:11	yeah.
[1056] 56:14	Um,
[1057] 56:19	so that's that's why he's he was always
[1058] 56:21	beholden to them and that's why he's he
[1059] 56:25	never sort of I don't think critically
[1060] 56:28	evaluated the Exodus positions very
[1061] 56:31	well.
[1062] 56:33	And it's just,
[1063] 56:35	yeah, it was not a good thing. Not a
[1064] 56:36	good thing at all. And I think young
[1065] 56:38	academics really need to be careful who
[1066] 56:41	they take charity from because there's
[1067] 56:44	always strings attached.
[1068] 56:46	All right, moving on here.
[1069] 56:54	Okay, next one here is from AJ Higgins
[1070] 56:56	for $5. Thank you very much for the
[1071] 56:57	super chat.
[1072] 56:59	Uh what's the difference between
[1073] 57:00	biblical studies and theology in
[1074] 57:02	academia?
[1075] 57:05	Uh that's a good question. Uh biblical
[1076] 57:08	studies is um is a general purpose field
[1077] 57:12	where all sorts of topics are covered.
[1078] 57:15	Theology is the study of doctrine and
[1079] 57:18	dogma. Okay. So a theology degree will
[1080] 57:23	what makes you qualified to study
[1081] 57:26	basically various forms of doctrine,
[1082] 57:28	dogma, systematic theologies, that sort
[1083] 57:30	of thing. Whereas biblical studies can
[1084] 57:33	be more diverse. It can cover stuff such
[1085] 57:34	as archaeology,
[1086] 57:36	uh critical theory,
[1087] 57:39	um
[1088] 57:41	all sorts of stuff that you wouldn't
[1089] 57:43	even think is biblical studies, um
[1090] 57:47	uh gender studies within the Bible, that
[1091] 57:50	sort of thing. So it's it's biblical
[1092] 57:52	studies tends to be very very broad.
[1093] 58:00	>> Yeah. And biblical studies typically
[1094] 58:03	typically stays away from stuff like
[1095] 58:05	ethics, theology, that sort of thing. So
[1096] 58:09	hope that helps. Thank you very much for
[1097] 58:11	that super chat. Really appreciate it.
[1098] 58:13	But that's sort of the dividing line.
[1099] 58:14	One studies doctrine, the other one
[1100] 58:16	studies everything else. So, hope that
[1101] 58:20	helps.
[1102] 58:34	Coer asks, um, did Egypt ever gain new
[1103] 58:38	kingdom levels of power in the Iron Age
[1104] 58:40	or first millennium BC? Yes, it did. It
[1105] 58:44	did so briefly during the 25th dynasty.
[1106] 58:48	Um in the 25th dynasty bas this is
[1107] 58:52	basically the Nubian dynasty. They did
[1108] 58:56	move things um
[1109] 59:00	uh they were able to conquer all the way
[1110] 59:01	up into into Syria.
[1111] 59:04	And that's probably and it was very
[1112] 59:06	brief. It was very very brief uh during
[1113] 59:08	the 25th dynasty cuz they soon ran
[1114] 59:13	head-to-head against the Assyrians and
[1115] 59:15	the Assyrians basically drove the 25th
[1116] 59:18	dynasty all the way back to Kush. Um it
[1117] 59:21	just did not last long. But they did
[1118] 59:24	they did have probably the longest reach
[1119] 59:27	at that point that they had since the
[1120] 59:29	New Kingdom. So,
[1121] 59:54	next one here
[1122] 59:57	is from
[1123] 1:00:01	Um
[1124] 1:00:04	uh I think it's Nino KR.
[1125] 1:00:09	Uh hey doc uh he says in the book of
[1126] 1:00:12	Exodus what would have happened had
[1127] 1:00:14	Romy's II allowed the Israelites to
[1128] 1:00:16	worship three days in the wilderness
[1129] 1:00:18	instead and what was the ultimate
[1130] 1:00:20	outcome or purpose of this request?
[1131] 1:00:24	Okay.
[1132] 1:00:26	Um,
[1133] 1:00:28	the ultimate purpose of that request
[1134] 1:00:32	was to
[1135] 1:00:34	worship in a way that they were out of
[1136] 1:00:37	reach.
[1137] 1:00:40	Here's the thing with being out three
[1138] 1:00:42	days.
[1139] 1:00:44	If you're go three days, it becomes
[1140] 1:00:47	virtually impossible to track you down.
[1141] 1:00:51	So, it's a trust exercise.
[1142] 1:00:55	So by asking Pharaoh to let them go
[1143] 1:00:58	three days in the wilderness,
[1144] 1:01:02	he's basically Moses is bas God's
[1145] 1:01:05	basically telling Moses, you got to
[1146] 1:01:07	trust us to come back.
[1147] 1:01:10	Let's go. We may come back, we may not.
[1148] 1:01:13	You got to trust us.
[1149] 1:01:16	So
[1150] 1:01:19	that's that's the issue there.
[1151] 1:01:22	So,
[1152] 1:01:35	so yeah,
[1153] 1:01:37	>> it's making it
[1154] 1:01:39	>> Yeah, it's making it obvious.
[1155] 1:01:42	>> And when you consider
[1156] 1:01:44	they didn't get a two day
[1157] 1:01:47	two days off each week.
[1158] 1:01:49	>> Yeah.
[1159] 1:01:49	>> They got a half day off. Yeah, they got
[1160] 1:01:51	a half day off.
[1161] 1:01:53	>> That's like asking for rest.
[1162] 1:01:57	>> Well, I mean it's three days travel out.
[1163] 1:01:59	>> I know.
[1164] 1:02:00	>> So,
[1165] 1:02:01	>> but still
[1166] 1:02:03	they're asking for six resp.
[1167] 1:02:08	>> Yeah.
[1168] 1:02:08	>> So, that's six half days.
[1169] 1:02:11	>> Yeah, it is six half days. Yeah.
[1170] 1:02:14	>> Each way.
[1171] 1:02:15	>> Each way.
[1172] 1:02:16	>> Yeah. like asking for actually 12.
[1173] 1:02:21	>> Yeah,
[1174] 1:02:21	>> it's a lot of time.
[1175] 1:02:24	>> Uh, Dark Blood goes, "Was it dishonest
[1176] 1:02:27	for Moses to leave out the by the way,
[1177] 1:02:29	we won't be returning to Egypt afterward
[1178] 1:02:31	part?" Well, you know, others had asked
[1179] 1:02:33	that, too.
[1180] 1:02:35	You know, the workers at DRL Medina
[1181] 1:02:37	decided to do a festival for seven days,
[1182] 1:02:39	three days out, get drunk and sloshed
[1183] 1:02:43	and eat for a day and then three days
[1184] 1:02:45	back in.
[1185] 1:02:46	You know, it was the sort it was the
[1186] 1:02:49	sort of request you made when you didn't
[1187] 1:02:51	want Pharaoh coming in and monitoring
[1188] 1:02:55	you as you did your festival.
[1189] 1:02:59	And it had been done before. Okay? It
[1190] 1:03:02	had been done with special permission.
[1191] 1:03:05	But there was that sort of reciprocal
[1192] 1:03:08	trust agreement that you would return.
[1193] 1:03:11	Now in the case of Dera Medina, they
[1194] 1:03:13	just went up into the into the hillside.
[1195] 1:03:15	They're not going anywhere.
[1196] 1:03:17	Okay.
[1197] 1:03:18	>> Well, they were recommended
[1198] 1:03:21	that the guy helping them said,
[1199] 1:03:25	>> "Well, no, no, that that's a different
[1200] 1:03:26	incident." But okay, that's a different
[1201] 1:03:29	incident. But there was there was a time
[1202] 1:03:31	when the guys at Dar Medina wanted to
[1203] 1:03:33	celebrate the festival of Aman Hototeep
[1204] 1:03:35	the first. They went up in the hills.
[1205] 1:03:38	They got drunk. They ate goats.
[1206] 1:03:40	Whatever. That's what they did. They got
[1207] 1:03:42	absolutely hammered up there. And then
[1208] 1:03:44	they came back. Okay.
[1209] 1:03:48	But you know, their only way to go was
[1210] 1:03:51	the western desert and no one wants to
[1211] 1:03:54	go out in the Sahara. So they would have
[1212] 1:03:56	come back anyway. the dark.
[1213] 1:03:59	>> It's a fair question. Yeah. Yeah. You
[1214] 1:04:03	know, it's possible that they could
[1215] 1:04:04	have, you know, not returned. That was a
[1216] 1:04:08	possible thing. Which is why
[1217] 1:04:10	>> was it
[1218] 1:04:15	by the way?
[1219] 1:04:17	>> There's an implication there that that
[1220] 1:04:19	was a possibility.
[1221] 1:04:21	Okay. He wasn't fooling anyone by
[1222] 1:04:23	leaving that out.
[1223] 1:04:26	Okay. No one um no one would have just
[1224] 1:04:31	you know they would have just
[1225] 1:04:34	Tony G beer goats. What could go wrong?
[1226] 1:04:40	Exactly. What could go wrong?
[1227] 1:04:42	>> Yeah. Frat parties have been going on
[1228] 1:04:44	for centuries.
[1229] 1:04:44	>> Frat parties for centuries. Yeah.
[1230] 1:04:50	Yeah. So, uh
[1231] 1:04:54	All right. Next one here.
[1232] 1:05:04	Next one here is from farmhouse
[1233] 1:05:05	theologian for 15 Australian. Thank you
[1234] 1:05:07	so much for that super chat. Tired and
[1235] 1:05:10	haven't slept. Yeah. No, I haven't slept
[1236] 1:05:12	and I am exhausted. Sounds like the
[1237] 1:05:14	perfect time to review a popular
[1238] 1:05:16	YouTuber's take on the Exodus.
[1239] 1:05:19	Blessings. I look forward to your new
[1240] 1:05:22	book. Well, we uh we hope you enjoy it.
[1241] 1:05:33	Yeah, it is good to see her here.
[1242] 1:05:40	All right, next one here
[1243] 1:05:43	is also from farmhouse theologian for 15
[1244] 1:05:45	Australian. Thank you again.
[1245] 1:05:48	Uh, she goes, "I haven't gotten many
[1246] 1:05:50	questions, but I have had it on my heart
[1247] 1:05:52	to support your ministry lately. Thank
[1248] 1:05:54	you so much. We can definitely use your
[1249] 1:05:56	support, and we really appreciate it.
[1250] 1:05:58	I'm not well off, but I pray for you
[1251] 1:06:00	both regularly, and I share your channel
[1252] 1:06:01	with interested people." Excellent.
[1253] 1:06:03	Thank you so very much. We really
[1254] 1:06:05	appreciate it, and we we understand that
[1255] 1:06:08	this is a
[1256] 1:06:10	sacrificial giving, so we appreciate it
[1257] 1:06:12	so very much.
[1258] 1:06:17	Uh, next one is a member uh comment from
[1259] 1:06:20	mama.
[1260] 1:06:22	Everyone folk smash the like button and
[1261] 1:06:24	I pray Doc and Mrs. F uh producer get
[1262] 1:06:28	good deep sleep as soon as the live is
[1263] 1:06:30	over. We appreciate your diligence, but
[1264] 1:06:32	48 hours without sleep, that's scary. Uh
[1265] 1:06:35	yeah, and you can you everyone can tell
[1266] 1:06:37	I'm kind of bouncy because of it.
[1267] 1:06:47	All right, we got um uh from Iron Knight
[1268] 1:06:51	uh says, "Hey, David, this is a prayer
[1269] 1:06:54	request. Please pray for my mom
[1270] 1:06:56	boyfriend whose mom passed uh way today
[1271] 1:07:00	and is affecting him badly." Okay. Um we
[1272] 1:07:04	will definitely keep you in uh the
[1273] 1:07:06	person in our prayers.
[1274] 1:07:09	Uh he adds um I know I can ask for
[1275] 1:07:11	prayer requests elsewhere but we got the
[1276] 1:07:13	news today so I didn't have time to
[1277] 1:07:15	think about it. Sorry D also included on
[1278] 1:07:18	our discord prayer uh where a um prayer
[1279] 1:07:20	channel where a lot of our um um a lot
[1280] 1:07:25	of our subscribers uh check for prayers.
[1281] 1:07:28	So do include it there too.
[1282] 1:07:31	But yeah we'll keep you in our prayers.
[1283] 1:07:38	Yeah. Losing a mother in a family is not
[1284] 1:07:40	easy.
[1285] 1:07:45	All right, next. Move on here.
[1286] 1:07:49	I want to thank Jack Ray for gifting the
[1287] 1:07:52	channel 20 Egypt and the Bible
[1288] 1:07:53	memberships. Thank you so much for
[1289] 1:07:55	supporting the channel and being
[1290] 1:07:56	generous to uh the subscribers here. We
[1291] 1:07:59	really, really appreciate it. And thank
[1292] 1:08:00	you so very much.
[1293] 1:08:26	Uh, Dark Blade here asks, "Is anyone of
[1294] 1:08:30	power in Egypt known to have died around
[1295] 1:08:32	the summer of 1264 BC, shortly before
[1296] 1:08:36	Moses's return?"
[1297] 1:08:38	Shortly before Well, here's here's the
[1298] 1:08:41	problem with this. It does say all of
[1299] 1:08:44	them
[1300] 1:08:47	question.
[1301] 1:08:51	>> Oh, anyone in power? Okay. Um, we don't
[1302] 1:08:56	have death dates in Egypt.
[1303] 1:09:00	So, uh, Egypt was not great on its vital
[1304] 1:09:04	statistics.
[1305] 1:09:06	Uh we don't have a lot of indication of
[1306] 1:09:10	who died before or who died after.
[1307] 1:09:14	Um
[1308] 1:09:17	we do know that there was a vizier that
[1309] 1:09:20	died around this time.
[1310] 1:09:22	Uh the vizier of upper Egypt, I think
[1311] 1:09:25	his name was Paser died around this
[1312] 1:09:28	time. Either 1263 or 1264. We're not
[1313] 1:09:32	sure when, but he died around that time.
[1314] 1:09:35	So, uh, we that's one we do know that
[1315] 1:09:39	died around that time, but exactly what
[1316] 1:09:43	what year he died, we don't know because
[1317] 1:09:44	again, they didn't keep those records.
[1318] 1:09:47	Um, so
[1319] 1:09:50	it's really hard for us to keep track of
[1320] 1:09:53	vital statistics in Egypt because of
[1321] 1:09:54	that.
[1322] 1:10:10	Okay, we got a super chat here from Open
[1323] 1:10:12	Your Eyes for $10. Thank you for the
[1324] 1:10:14	super chat.
[1325] 1:10:16	How should Christians understand God's
[1326] 1:10:18	sovereignty?
[1327] 1:10:20	Is he orchestrating all natural
[1328] 1:10:22	processes and events, including
[1329] 1:10:24	senseless uh tragedies, down to the
[1330] 1:10:26	smallest uh molecule? No, I don't think
[1331] 1:10:29	I don't think that's what's happening
[1332] 1:10:31	here. Um,
[1333] 1:10:34	here's
[1334] 1:10:35	I think this is uh we we talked a little
[1335] 1:10:37	bit earlier about the Westminster
[1336] 1:10:39	confession
[1337] 1:10:40	and I think the Westminster confession
[1338] 1:10:42	is a very very good statement on God's
[1339] 1:10:45	sovereignty that there are two kinds of
[1340] 1:10:48	sovereignty a primary and secondary
[1341] 1:10:51	sovereignty. Okay. Um
[1342] 1:10:56	in his in the case of say primary
[1343] 1:10:58	sovereignty,
[1344] 1:11:01	God dictates what is his absolute will.
[1345] 1:11:05	Okay? And that he does control
[1346] 1:11:08	absolutely.
[1347] 1:11:10	But there's also a secondary sovereignty
[1348] 1:11:13	too which is sometimes called his
[1349] 1:11:15	permissive will. God permits things to
[1350] 1:11:18	happen even though he's not directly
[1351] 1:11:21	responsible. He allows it to take place.
[1352] 1:11:25	So
[1353] 1:11:27	God's not necessarily controlling every
[1354] 1:11:30	molecule under his sovereignty, but he
[1355] 1:11:34	is allowing
[1356] 1:11:36	molecules to be shifted and moved around
[1357] 1:11:39	and things done to them as part of his
[1358] 1:11:42	permissive will.
[1359] 1:11:46	So
[1360] 1:11:48	yeah, uh Genesis 1 would be example of
[1361] 1:11:51	primary sovereignty
[1362] 1:11:53	whereas say um
[1363] 1:11:56	God allowing a demon to torment Saul
[1364] 1:12:00	would be secondary sovereignty. Calling
[1365] 1:12:03	for a demon to voluntarily go down and
[1366] 1:12:05	torment Saul.
[1367] 1:12:08	So that would be an example of of
[1368] 1:12:10	secondary sovereignty.
[1369] 1:12:18	So, um, I hope that helps. Thank you
[1370] 1:12:21	very much for the super chat. Really
[1371] 1:12:22	appreciate it. But that's that's that's
[1372] 1:12:24	what I think we should I think again the
[1373] 1:12:26	best the best statement on this has been
[1374] 1:12:28	the Westminster confession. They seem to
[1375] 1:12:31	have taken a lot of care to think about
[1376] 1:12:33	this and uh, you know, primary and
[1377] 1:12:36	secondary causes here. So, you know,
[1378] 1:12:38	God's sovereignty does ex I mean,
[1379] 1:12:41	absolutely does extend to the primary
[1380] 1:12:43	causes, but the secondary causes, you
[1381] 1:12:46	know, that's that's what he permits, but
[1382] 1:12:48	doesn't directly cause himself. So, hope
[1383] 1:12:52	that helps. Thank you for the super
[1384] 1:12:53	chat. Really appreciate it.
