[0] 0:00	all right [Music]
[572] 1:08:33	right I I hate this defense I hate this defense you want to trigger me oh boy okay now
[573] 1:08:40	I'm triggered I have heard this defense from Catholic
[574] 1:08:47	um theologians and apologists which is and it bugs me this one bugs
[575] 1:08:54	the snot out of me um and I I don't have it in for Catholics
[576] 1:09:01	okay I want to make sure I'm not this is this is not this is not something that
[577] 1:09:07	I mean I could I can throw Eastern Orthodox into this this pot too I can throw some some Protestants to this pot too
[578] 1:09:14	but whenever I hear someone make the excuse that
[579] 1:09:20	uh historical error is actually creative license
[580] 1:09:26	it it bugs me it absolutely
[581] 1:09:31	it's a pet peeve it's a real pet peeve you know
[582] 1:09:43	no I've heard this I've heard this one before I have heard this I have heard Bergs
[583] 1:09:48	must say this or when he was when Bergman was talking um on pints with Aquinas
[584] 1:09:55	you know and they asked him about all the historical errors in the Apocrypha he goes oh it's just creative it's just
[585] 1:10:02	the creativity of the authors but we don't find that creativity in the
[586] 1:10:07	rest of scripture but we're finding it in the Apocrypha oh I mean
[587] 1:10:13	what huh um
[588] 1:10:18	no they did they weren't creative in that way and it could they had ways to be
[589] 1:10:24	creative but that's not how they were creative in the ancient world you know unless they were trying to
[590] 1:10:30	voice some sort of
[591] 1:10:36	I say this yeah pseudopigrapha or form of kind of deception in the writing
[592] 1:10:50	yeah I mean it might not the paper might not be mouthwash says I don't think this particular paper is defending its
[593] 1:10:56	inspiration yep might not be I don't know but I have it just heard it said so often
[594] 1:11:03	I've heard it said so often that this is just creative license and I just think that's hand waving
[595] 1:11:10	I just think that's hand waving and I just it bothers me every time I hear it every time I hear it
[596] 1:11:19	you know
[597] 1:11:28	uh Christian Salon says I think it's a double standard when Protestants talk about historical errors introduce the
[598] 1:11:35	Skeptics and Scholars say the rest of the Bible has errors well you know what here's the difference though
[599] 1:11:40	and we can show that the rest of the Bible doesn't have errors not in the way that the Skeptics and
[600] 1:11:46	Scholars are saying just because they're saying both have errors doesn't mean they're right in
[601] 1:11:52	both cases I don't think that's a double standard if you can point out error in one and
[602] 1:11:58	you can basically say okay one has error one doesn't
[603] 1:12:03	I think that's a that's a strong strong comparison that's not a double standard
[604] 1:12:09	it's applying the same standard of both texts do we find Historical I mean look if we
[605] 1:12:15	have historical errors in in the Bible yeah we should we should basically you know examine those and critically
[606] 1:12:21	evaluate them if we find Historical errors in the Dural Canon we should
[607] 1:12:29	examine them and critically evaluate them also I mean we don't we should not apply say
[608] 1:12:36	you know that that critical evaluation of the Bible and then turn off our
[609] 1:12:42	brains for the deuteral Canon that's not how this works
[610] 1:12:51	so I I guess that's why it bothers me is because it's applying one standard to
[611] 1:12:58	the recognized Canon of scripture and then applying a completely different standard
[612] 1:13:05	to the deutero Canon and again I'm not sort of bragging just
[613] 1:13:10	on the deuterol cannon I'm bragging on the method it's the method that bothers me
[614] 1:13:19	so you know this is if you apply the same methodology to
[615] 1:13:25	both oh wait fair enough fair enough but if you're applying different
[616] 1:13:31	methodologies to both sets of text then yeah
[617] 1:13:38	I've I've got an issue with that methodologically and to be internally
[618] 1:13:43	consistent we have to apply the same standard across the board
[619] 1:13:55	so anyway I'm going to leave it here at this point but it's just as I said this is just one
[620] 1:14:01	of those things that where we encounter a historical error in the duteral Canon
[621] 1:14:08	again Euro Cannon you want to read it great I
[622] 1:14:13	think it's worth reading you want to read book of Max would be fantastic I think I think more people should read Maccabees I think most
[623] 1:14:20	people more people should read the Apocrypha I am fully in support of reading the Apocrypha
[624] 1:14:25	I think it's it was literature in the days of the Apostles I think it went
[625] 1:14:31	into their their um um
[626] 1:14:37	thinking it's part of their culture fantastic you know but they also read other things
[627] 1:14:44	too I mean also read Plato's Republic you should read the Republic you should read the Timaeus and the
[628] 1:14:50	gorgeous these are also pieces of literature that the apostolic fathers read
[629] 1:14:58	you know read the um Iliad some of them had read The Iliad
[630] 1:15:04	okay this is all part of the cultural milieu of the first century we should be reading their literature too
[631] 1:15:11	but don't turn off our brains as we do it okay so that's it we're gonna end the matter
[632] 1:15:18	here um mouthwash asks uh do you remember which video berksma
[633] 1:15:23	said this yes I do it's his it's the most recent one where he takes the
[634] 1:15:28	questions and answers for about two hours um as I said last I talked about this
[635] 1:15:35	the video last week um he had done he had done like a two-hour
[636] 1:15:41	session with uh pints with Aquinas so
[637] 1:15:46	um yeah it was kind of a mixed bag honestly but um
[638] 1:15:51	but he did say that in during that video so I'll leave that for you to look up
[639] 1:15:58	all right let's go to the next Super Chat
[640] 1:16:18	we've got okay next
[641] 1:16:25	uh now seeing a lot of new members thank you again jack Ray for the
[642] 1:16:33	um the the memberships you're giving we really appreciate that they just gave another five uh uh
[643] 1:16:39	memberships
[644] 1:16:45	okay Kwame Ado 007 two dollars is the serpent a try to
[645] 1:16:52	um Pepe which is another name for Apophis in any way uh no
[646] 1:16:57	different serpents different Legends different let's let's explain what the lead two legends are okay so
[647] 1:17:05	uh the serpent here is the nakash of the serpent in the garden in Genesis two and
[648] 1:17:11	three where this serpent deceives mankind to sin and Fall From Grace okay
[649] 1:17:21	uh The Legend Of A pompous is the serpent of the daily solar cycle of Egyptian
[650] 1:17:28	myth so essentially you know raw in his solar boat rides
[651] 1:17:35	across the sky during the day and then at night he does battle with the serpent of
[652] 1:17:40	Pappas who's trying to eat the Sun and then the Cat Goddess bastet kills
[653] 1:17:48	the serpent beheads it and array regenerates to be reborn as a son
[654] 1:17:56	in the next day yeah the cats always kill the snakes
[655] 1:18:02	cats hate snakes even back then [Laughter]
[656] 1:18:10	so uh Apophis enters into Egyptian myth around the Middle Kingdom it's not actually that older as old as much of
[657] 1:18:19	the as most of the other say Ray myth
[658] 1:18:25	so it enters in fairly late so it comes in around the Middle Kingdom
[659] 1:18:31	we're not exactly sure why it came into Egyptian myth the way it did
[660] 1:18:37	but it does seem to be related in any way to the serpent of Genesis
[661] 1:18:45	so anyway I hope that helped thank you very much for the Super Chat very much appreciate it
[662] 1:18:58	okay
[663] 1:19:17	all right I'll take this one here this is actually a good it's a non-super
[664] 1:19:22	chip but it's a good question for Mr Rich b-o-b why do people just
[665] 1:19:28	assume dogs were unclean in the Old Testament when there is no reason to believe it I mean work dogs popular in
[666] 1:19:34	Egypt too okay uh there is actually one reason to
[667] 1:19:39	believe it um the reason to believe that dogs weren't
[668] 1:19:46	clean was because they were scavengers in the ancient world dogs are
[669] 1:19:53	in Egypt the dog was domesticated and it was refined over thousands of years
[670] 1:20:02	to be man's best friend and Kanan the dog was a scavenger that
[671] 1:20:08	lived on the outskirts of towns and they essentially
[672] 1:20:15	ate garbage they were around the dumps they hung
[673] 1:20:20	around the garbage dumps they hung on the edges of town um they were not man's best friend
[674] 1:20:27	they were vicious uh you can kind of see this still in
[675] 1:20:33	Egypt today where around certain towns uh feral dogs
[676] 1:20:39	will hang on the outskirts uh not they
[677] 1:20:45	I used to tell my students my students used to ask me you know have you ever seen snakes and scorpions when you were
[678] 1:20:50	in Egypt and frankly I've never seen one of either I've never encountered snake and I've
[679] 1:20:56	never encountered a scorpion in Egypt but I've encountered packs of dogs
[680] 1:21:03	and I'll tell you what those packs of dogs are freaky scary
[681] 1:21:12	when I did my night photography at Abu simbel
[682] 1:21:20	I could hear the chirping of the crocodiles in Lake Nassar and I can see the little eyes in the water looking at me okay
[683] 1:21:27	so I know the crocodile's there but what was more unsettling
[684] 1:21:34	was the packs of 40 50 dogs that were
[685] 1:21:39	running around the area where I was taking photographs and they were fighting each other for
[686] 1:21:46	food they were they were attacking each other trying to establish their dominance in their territory
[687] 1:21:52	um yeah pretty scary pretty I mean I visited the Temple of moot now this is
[688] 1:21:59	a temple that's open to the public okay I go to the Temple of mood this is this
[689] 1:22:04	is on in near the the premise is a Karnak Temple
[690] 1:22:10	and you know you buy a ticket and you go in just like any other Temple
[691] 1:22:17	and the first thing I entered into the temple there's like 20 Mastiffs
[692] 1:22:24	20 Mastiffs sitting in the sanctuary
[693] 1:22:31	my producer said she wasn't happy when I told her that story and you've got clothes and they they
[694] 1:22:36	started barking at you it started barking it's like okay I'm
[695] 1:22:43	not gonna take on 20 Mastiffs no thank you I'm I'm not doing it I mean
[696] 1:22:51	I I love doing egyptology but I don't love it that much
[697] 1:22:56	uh fortunately the character the attendance did drive them out but dang
[698] 1:23:01	yo there there's a the dogs there are just unbelievable
[699] 1:23:14	um there are there are instances where they were the cleanup crew
[700] 1:23:19	okay so a dog under the master's table is a cleanup crew as a scavenger
[701] 1:23:29	yeah oh yeah it's it's definitely an insult yeah it's it's definitely an insult
[702] 1:23:37	a 1 000 clever boy says dogs are used throughout the Bible as an insult again it's because they're scavengers
[703] 1:23:42	they eat unclean things you know they're eating Corpses
[704] 1:23:49	uh this is one of the things about dogs too is they were not discriminate about what
[705] 1:23:54	they ate so they would also go into tombs
[706] 1:24:00	you know tombs that have not been properly secured any dead bodies
[707] 1:24:06	uh this is one of the reasons why when Jezebel Jezebel's thrown out of the Tower
[708] 1:24:14	and all they find of her you know she's left she hits the pavement and dies there and
[709] 1:24:22	they leave her there for a while and all the dogs have left of her is a hand
[710] 1:24:29	that's all that's left of her
[711] 1:24:34	yeah yeah exactly BC they ate Jezebel exactly
[712] 1:24:40	as horrifying as that sounds that's that's sort of that's that's what dogs are in in Canaan
[713] 1:24:46	so they're like hyenas I mean they're Wild
[714] 1:24:54	so
[715] 1:25:04	uh 922 let me find it
[716] 1:25:12	uh talifa comb asks would the ancient Israelites have kept any pets at all would cats or bunnies been being be
[717] 1:25:18	considered unclean yes they'd be considered unclean uh pets were not encouraged in ancient Israel
[718] 1:25:27	they cats were not were not considered we're
[719] 1:25:33	not something a good Israelite kept and bunnies are definitely unclean
[720] 1:26:00	um Lego David asks when were dogs first used as pets in Canaan with the Romans
[721] 1:26:07	okay uh they were first used in Kane and when the Romans came
[722] 1:26:13	uh the thing is that the Romans had domesticated it had it had a form of
[723] 1:26:19	domesticated dog that they would use in their Legions so essentially the Romans brought
[724] 1:26:28	domesticated dogs to Canaan while
[725] 1:26:34	while dogs were on the outskirts of Israel in canine towns in in cities in Canaan they were not encouraged to be
[726] 1:26:41	kept as pets the Romans changed that
[727] 1:26:46	the Romans bought a form of the domesticated dog that was basically useful as a guard dog
[728] 1:26:52	and Romans had guard dogs they had trained animal handlers
[729] 1:26:58	um these were working dogs though okay we have to understand that too they weren't really pets
[730] 1:27:04	poor working dogs they were part of the rank and file of of the army
[731] 1:27:11	like police dogs yeah absolutely police or army dogs yeah that's exactly what they were
[732] 1:27:17	you know
[733] 1:27:22	so you know that's that's sort of the origin of that's when they started really using
[734] 1:27:28	um dogs as sort of um
[735] 1:27:34	pets scare quotes [Laughter]
[736] 1:27:49	uh talithakum says uh at Lego Dave it seems like the list of unclean animals
[737] 1:27:55	was a lot longer than the list of clean animals yes it was yep
[738] 1:28:03	and Lego David also asks though not to me is it true that the candidates ate dogs
[739] 1:28:09	yes the they did and it's disgusting ugh
[740] 1:28:14	yeah yeah the Canaanites ate dogs cats
[741] 1:28:19	um horses mules no horses Horsemen taste good but cat and dog meat wow nasty
[742] 1:28:28	nasty [Laughter]
[743] 1:28:36	yeah those the Canaanites would eat anything I mean they really would you know anything that walked around
[744] 1:28:41	they would eat disgusting
[745] 1:28:47	yeah but cat is particularly nasty
[746] 1:28:53	um cat has apparently a very nasty flavor
[747] 1:28:58	good for the cats no I have I have not I have not had that
[748] 1:29:07	I've only read accounts of that uh there was actually to be honest there
[749] 1:29:12	was a place in Florida that
[750] 1:29:18	served lion and tiger Burgers legally sourced
[751] 1:29:23	the yearly sourced but that's what that was what was on their menu was lion and Cat lion and
[752] 1:29:31	tiger burgers if
[753] 1:29:37	so you know there's enough people who in North America who've had cat meat um
[754] 1:29:43	Jack Ray of course Ford a lot of people have had cougar jerky
[755] 1:29:50	and some have even gotten uh trichinosis from it
[756] 1:29:57	hahaha so yeah there's been a lot of people there's a lot of people in North America that have tried
[757] 1:30:03	uh uh cat so you don't need to ask I mean ask a few
[758] 1:30:11	people and eventually you'll find somebody who's who's tried cat meat and it's just like
[759] 1:30:16	dog dogs not nearly as bad as cat as from from all the reports I've heard
[760] 1:30:23	um people don't go out of their way to eat dog because it's still not a great tasting meat
[761] 1:30:29	but um
[762] 1:30:36	uh I'll take this one here
[763] 1:30:41	uh rap uh Lego David asks rabbits were also banned along with pigs for the
[764] 1:30:47	Israelites to to eat it what was wrong with them in particular uh it was the
[765] 1:30:52	fact that they chewed the cud D um but were not hooved animals okay
[766] 1:31:01	so basically in the classification system of clean and unclean animals if
[767] 1:31:06	it chews the cud which rabbits do they just don't do it the same way that
[768] 1:31:11	cows do it but they do chew a cud it has to have hooves instead of toes
[769] 1:31:18	and rabbits have toes and they're very very cute
[770] 1:31:25	so that's what's wrong with them in particular is is they they they don't
[771] 1:31:31	have a hooves so if they were hooved animal and there was there was a weird attempt
[772] 1:31:38	we would attempt some time ago well um I I heard this news story some
[773] 1:31:44	time ago where um Israelis were trying to breed a type of rabbit that had Hooves instead of
[774] 1:31:52	toes and just just a weird thing to do just so
[775] 1:31:58	that they could could get around the lot so they could eat rabbit and
[776] 1:32:04	gosh what a weird thing to do just weird but okay
[777] 1:32:12	oh boy
[778] 1:32:17	patui says you'll get vitamin A poisoning from eating some dog of those dog breeds yeah you will you'll also get
[779] 1:32:23	uh a kind of quasiacore from eating rabbits called
[780] 1:32:29	um rabbit starvation see one of the things is that rabbits don't have complete protein
[781] 1:32:36	most people don't know this that rabbits don't have all the amino acids that you need to survive
[782] 1:32:42	so people who have a long-term diet of rabbit will often starve to death
[783] 1:32:47	so it's a very interesting phenomena
[784] 1:32:56	okay we're gonna end that little Rabbit Trail right about there and get back to the super chats
[785] 1:33:06	okay so let's go back up
[786] 1:33:19	um
[787] 1:33:32	we're at 8 28 I think is where we left off
[788] 1:33:46	okay I think we're getting close
[789] 1:33:55	oh maybe I got some
[790] 1:34:00	okay I know where I am
[791] 1:34:06	all right next one here is from David Bond for five dollars thank you for the Super Chat
[792] 1:34:11	do you have an opinion on the concept of objective inference I was reading about
[793] 1:34:16	Charles Pierce when learning about the limitations of AI and induction
[794] 1:34:24	yeah I kind of figure you meant abductive okay yeah
[795] 1:34:31	um I have an issue with it when you're here's the thing
[796] 1:34:39	abductive inference has its use and the use is in hypothesis generation
[797] 1:34:46	okay abductive inference because it has a I mean
[798] 1:34:54	if you're going to ask a research question you're pretty much doing it on the basis
[799] 1:35:00	of you've got a little collection of data
[800] 1:35:07	and that little collection of data is going to infer something bigger
[801] 1:35:15	okay so it's useful in hypothesis generation
[802] 1:35:25	but it's a really horrible use as an
[803] 1:35:31	argument now a little to to get right down to this
[804] 1:35:39	is comes down to the problem of validity
[805] 1:35:45	basically uh for something to be valid an argument to
[806] 1:35:51	be valid the conclusions have to follow from the premises
[807] 1:35:56	okay bad premises should lead to an invalid
[808] 1:36:02	conclusion okay so a poorly structured argument should
[809] 1:36:08	could not give you a valid result
[810] 1:36:13	the problem with abductive inference when used as an argument
[811] 1:36:21	is that too often leads to confirmation bias and that's the reason is because you're
[812] 1:36:29	trying to put together a [Music] sort of a minimal facts case to anything
[813] 1:36:38	it's not an induction um
[814] 1:36:45	an abductive argument is just basically you you gather the facts to say okay
[815] 1:36:51	you've got a plausible case that's that's can lead to
[816] 1:37:00	um basically making the statement that okay I've got a I got a little case here
[817] 1:37:07	You've Got to Now prove me wrong so it sort of shifts the burden of proof and I think that's a very problematic
[818] 1:37:14	for abductive reasoning so the idea that you're taking some only
[819] 1:37:20	facts that prove your case and making an argument out of it and saying prove me wrong bro
[820] 1:37:29	that's methodologically backwards it's methodologically backwards
[821] 1:37:36	because the burden proof rests with a guy making the claims okay
[822] 1:37:42	abductive reasoning sort of flips that on its head and it goes I got a small set of facts
[823] 1:37:49	okay prove me wrong well
[824] 1:37:54	then you've got to go down each fact and then say okay this is not correct
[825] 1:38:00	this is not correct this is not correct this is not correct and it basically focuses the burden of
[826] 1:38:06	of proof on the guy making the objection so it's not actually proving anything
[827] 1:38:13	it's not like you have an induction a huge mass of data and with an inductive argument as
[828] 1:38:20	opposed to an abductive argument an abductive inference takes a minimal set
[829] 1:38:26	of facts basically a small subset of what you need to get there to the prove me wrong
[830] 1:38:33	bro an induction takes as much data The Good the Bad the
[831] 1:38:39	Ugly everything takes it and says given all the facts
[832] 1:38:46	the case is better than not that's a sound argument
[833] 1:38:52	and in an induction an inductive argument is methodologically valid
[834] 1:39:00	got a bunch of data the good your facts in your favor outweigh the ones against you
[835] 1:39:06	okay you've got a probability case there with abductive inferences you don't need
[836] 1:39:13	that to make your argument you just say oh I have some some facts that sort of
[837] 1:39:19	sort of help me out prove me wrong bro now you are into confirmation bias
[838] 1:39:29	so here's what I think about it I think you need it an abductive influence is is
[839] 1:39:36	completely valued valid for generating a hypothesis it's completely unsuitable for proving a
[840] 1:39:45	hypothesis and this is where sort of the methodologies get mixed up
[841] 1:39:50	you need abductive uh inferences for generating your your initial
[842] 1:39:55	research question but that alone won't prove your research question so there's a difference between
[843] 1:40:02	proving something and generating that initial idea
[844] 1:40:07	so for for generating the your initial idea abduction is no problem
[845] 1:40:14	we do it all the time that's how we sort of intuitively figure out that there's some
[846] 1:40:20	concept might have legs but you have to use a more rigorous methodology to support that conclusion
[847] 1:40:28	so that support that hypothesis so anyway I hope that helps thank you
[848] 1:40:33	very much the Super Chat very much appreciate it um I have given this some thought because I know in Exodus studies
[849] 1:40:40	I get abductive inferences all the time so there's a lot of people out there
[850] 1:40:46	that are using that method of logic and it's just very problematic it's very
[851] 1:40:52	very problematic so thank you for the Super Chat and I hope that helped
[852] 1:41:03	okay uh BC for five dollars Australian thank you very much Super Chat
[853] 1:41:12	and he asks do you think the pool at Bethesda was really miraculous
[854] 1:41:17	did Angels really Stir the Water seems kind of superstitious well
[855] 1:41:27	um healing pools like this were not uncommon in the ancient world
[856] 1:41:34	they were it was a kind of mineral spa
[857] 1:41:39	so what would happen is there would be some sort of
[858] 1:41:47	if it was a a pool that had say a heating deck like a lot of
[859] 1:41:52	um say Roman Spas had there would be
[860] 1:42:00	a place where the fire was built and that would heat up the pool and at
[861] 1:42:05	some point when the pool started to boil then people would get in and you know find relief for their ills
[862] 1:42:11	oh so it's not a completely superstitious
[863] 1:42:18	thing but the question is
[864] 1:42:25	how how effective was it long term now there were as I said there was a lot
[865] 1:42:31	of healing Spas all over the Mediterranean so this was not something unique to
[866] 1:42:36	Bethesda there was one in
[867] 1:42:43	um Asia Minor that the Apostle John used to frequent
[868] 1:42:53	so uh again you know
[869] 1:42:58	if you're arthritic I'll tell you what if you're arthritic soaking in a hot tub is
[870] 1:43:04	is therapy
[871] 1:43:10	so then how much is this is nature versus how much of this is divine that's more the decimal of the question here
[872] 1:43:18	so did it lead to people being cured of paralysis I don't know
[873] 1:43:30	David Bond not superstitious just a little stitches
[874] 1:43:44	BC ads a moderate level addition [Laughter]
[875] 1:43:50	but yeah mineral spas were common some were natural some weren't Bethesda I'm not sure if it was a natural one or a
[876] 1:43:57	man-made one uh it's probably a natural one
[877] 1:44:02	so and again it boils down to they made a pool or found a pool which had some
[878] 1:44:09	sort of hydrothermal effects so uh
[879] 1:44:15	did Angels come and touch people maybe maybe not who knows it's hard to say
[880] 1:44:22	because you weren't there and neither was I so
[881] 1:44:30	but um uh you know you just
[882] 1:44:36	you can't know for certain but people did believe it and people did go to
[883] 1:44:41	Healing Spas all over the Mediterranean very they were very common there were no hospitals
[884] 1:44:48	there are no hospitals no people had to find relief for their ills somehow
[885] 1:44:55	so you know you know I don't blame them
[886] 1:45:01	and then given the the difference between no relief and at least some you know a nice a nice hot pool
[887] 1:45:08	I can see where the pool would be very attractive you know I can see where that'd be attractive
[888] 1:45:14	I get that I get that so anyway thank
[889] 1:45:22	you yeah hot tubs were was my producer points out hot tubs were big in the 70s and 80s
[890] 1:45:28	yeah they're still I mean if you are if you as I say if you are
[891] 1:45:34	yeah go to any Resort oh uh local to well it's not really local but in the
[892] 1:45:39	interior British Columbia here there's a hot spring you know Harrison Hot Springs people go there for not just for vacation and
[893] 1:45:47	Resort and I guess it was more it was that was more popular in the 70s but people still go there it's still an
[894] 1:45:53	active Hot Spring but people still go there for um for treating their ills you know hot
[895] 1:46:01	mud baths same deal I mean the whole idea of immersing yourself in hot mud
[896] 1:46:09	um doesn't seem to really uh you know thrill me but you know some
[897] 1:46:17	people swear by it uh Paul Thompson says treat the symptoms
[898] 1:46:23	even if you don't get cured yeah yeah absolutely and there's nothing wrong with treating the symptoms
[899] 1:46:30	especially if you don't have a if you're not living in a day and age of Medicine that doesn't make it any less valid
[900] 1:46:37	now the whole idea of a you know a cure from paralysis might be a little hopeful here but
[901] 1:46:43	again you know that's what they believed and was it true maybe maybe not but people
[902] 1:46:51	did find relief in it so it wouldn't let me put this away a pool
[903] 1:46:56	like this would not have the reputation it does if something wasn't there okay
[904] 1:47:04	you know it's a stagnant I mean they're not just going to some dirty cistern
[905] 1:47:13	some slimy algae covered system uh cistern and plunking themselves in
[906] 1:47:19	the water and going oh wow this feels so great okay
[907] 1:47:26	so it had to have some effect for this to have been considered
[908] 1:47:32	to be considered you know a to be have any validity at all any sort of healing
[909] 1:47:39	properties at all so whether it was by her uh thermal
[910] 1:47:45	vents or through a man-made um porch we don't know okay but
[911] 1:47:53	they believed it and the Roman World believed it
[912] 1:47:58	it was well believed across the Roman world so
[913] 1:48:04	anyway thank you very much for the Super Chat I hope that helped um and very much appreciate the the
[914] 1:48:09	Super Chat
[915] 1:48:26	yeah there Paul Thompson said there's uh some truth in Legends yeah there is
[916] 1:48:31	we don't know exactly what the truth is but uh there is some truth in Legends and some
[917] 1:48:38	things gain a reputation for a reason
[918] 1:48:46	okay the next Super Chat here is from David Bond and for five of us thank you very much
[919] 1:48:52	for the Super Chat thoughts on Steve Collins location for Sodom and Gomorrah I know you've said
[920] 1:49:00	before you but do you think the meteor burst is legit no I don't
[921] 1:49:07	um I've got I've got several issues with Steve Collins saw location for Sodom and Gomorrah okay
[922] 1:49:13	uh in fact I got many issues with it to say it's some issues is probably an
[923] 1:49:18	understatement uh the meteor burst article
[924] 1:49:26	I'm surprised it did not get retracted it should have it should have gotten
[925] 1:49:31	retracted for um tinkering with the data
[926] 1:49:38	they took a image from another researcher and they doctored it
[927] 1:49:45	they changed the data of the of the image so that alone should have gotten them a
[928] 1:49:51	retraction uh David Lego David is Steve Collins the
[929] 1:49:57	same as telehaman yes it is this is Telemann this is in a little
[930] 1:50:03	tell um North on the north side of the Dead Sea
[931] 1:50:11	on the Jordan side of the river okay
[932] 1:50:17	so that's where it's that's where he located it I've got I've got a lot of problems with
[933] 1:50:24	that with that site as far as it it's I saw Steve uh try to read some
[934] 1:50:31	stratigraphy uh in a video and he had
[935] 1:50:38	he had a destruction layer at the bottom of his his strata and he goes he and he's telling us that's
[936] 1:50:44	that's the late bronze strata where you know or the middle bronze strata where Soda gets destroyed
[937] 1:50:51	and there's a there's three feet of mud and then there's another destruction there above that and he says oh this is the same same destruction layer
[938] 1:50:59	and I'm thinking yeah that's not how you read strata that's not how this works
[939] 1:51:04	it's not a destruction layer and then some mud and then another destruction there that's that's not how you read strata
[940] 1:51:12	I've got issues with the fact that he's never published a result he's never published a
[941] 1:51:19	interim report a site report is published nothing on this
[942] 1:51:24	he's been digging there for 20 years and produced no literature
[943] 1:51:30	I have an issue with the fact that he will only give his data to those who agree with him
[944] 1:51:38	well if you're skeptical about the results you want to check his data
[945] 1:51:43	you're not going to get your hands on that data unless you pretty much agree with him already I think that's very problematic
[946] 1:51:53	uh the carbon dating of the site basically says that
[947] 1:52:00	um it should be the the destruction it was in 1650 BC
[948] 1:52:06	that's not contemporary with Abraham that's contemporary with Joseph that's a huge problem
[949] 1:52:15	the the way he conducts the archaeological excavation is problematic on it from a
[950] 1:52:21	legal stance he lets his excavators come and take pots home with them
[951] 1:52:27	big no no one Jordan you can't Jordan's kind of like Egypt here you're not allowed to take anything home
[952] 1:52:34	anything up from human development has to stay in the country so
[953] 1:52:40	um the fact he allows this Behavior I think is bad behavior it's bad behavior
[954] 1:52:48	uh let's see what else uh the destruction there that he claims was
[955] 1:52:55	worse than any other site is is nonsense we find destructions at both megiddo and
[956] 1:53:02	Geezer that are even worse now if you could even compare this to destruction layer at Jericho City 4.
[957] 1:53:09	and all those destruction layers are much much worse than what you find at uh Telegram
[958] 1:53:25	so there's anecdotes and the other thing
[959] 1:53:31	too is there's a lot of he has tells a lot of anecdotes of the site that again are just not supported by
[960] 1:53:40	a proper excavation report there's no excavation reports
[961] 1:53:46	there's basically nothing is basically nothing except that one article that one article about the
[962] 1:53:51	meteor burst and frankly
[963] 1:53:57	there were no atmospheric scientists that were on that who co-wrote that paper
[964] 1:54:05	you had a couple of technicians you know unqualified technicians
[965] 1:54:13	so there's a lot of problems with his site
[966] 1:54:18	the site the methodology the publication record the chronology
[967] 1:54:25	um the history of the area the so-called sulfur balls which we find all over the region which are part of
[968] 1:54:32	bioreactants there's just it's even in the wrong location it's
[969] 1:54:38	even even the wrong location because during the war of Kings
[970] 1:54:45	um the um amorphil of shinar was actually
[971] 1:54:52	camped out at Gaza and he cuts along this the sub along the
[972] 1:54:58	Negev to to get to Sodom so and then they Retreat the kings of
[973] 1:55:06	Sodom and Gomorrah Retreat into the tar pits at Jordan now we know where those
[974] 1:55:12	tarpits are if you draw a triangle basically from the top of the Dead Sea
[975] 1:55:18	to the bottom of the Dead Sea and then go Inland enjoyed him for the point and at that point you'll find those Tar Pits
[976] 1:55:27	okay so we know where those Tar Pits are and so
[977] 1:55:35	if you're going to get a retreat into those those Tar Pits it almost demands
[978] 1:55:43	a southern site a site south of the Dead Sea
[979] 1:55:49	for for Sodom because otherwise you would have to
[980] 1:55:56	um the Coalition would have to go all the way up to the Jordan River
[981] 1:56:01	you know I'll pass the um
[982] 1:56:09	the C what was called now um not the Dead Sea the other one
[983] 1:56:14	um the one North in Northern Israel he had circumvented and crossed the Fords
[984] 1:56:21	you know across the forwards and then come back down and it's a very circuitous route it's not a it's not a
[985] 1:56:28	direct route to get to to um any City on on the east side of the
[986] 1:56:33	Jordan so there's a lot a lot wrong with this
[987] 1:56:42	and I I think it's very troublesome
[988] 1:56:48	that a lot of people have just sort of grabbed on to this and go oh we've discovered Sodom and Gomorrah
[989] 1:56:55	when a lot of biblical archaeologists have come out and said wait wait wait wait wait hold it
[990] 1:57:00	oh dear hold the hold the reins here the data isn't fitting
[991] 1:57:06	the data is not good data the site is not being responsibly conducted
[992] 1:57:12	yeah okay oh I mean I I again I heard this
[993] 1:57:19	repeated by burgsma twice in the last two weeks
[994] 1:57:24	I heard him you know repeat this all the stuff on say pints with Aquinas and then I heard him do it on eyepiece interview
[995] 1:57:32	and it's like wow this just went off the rails
[996] 1:57:40	Jack Ray bad data bad yeah very bad data a very very bad data
[997] 1:57:50	so uh again I would not I would not use this as as
[998] 1:57:56	evidence for Solomon doesn't fit the time span
[999] 1:58:01	it's the strativity is not being responsibly read or probably cataloged
[1000] 1:58:07	we don't even know what the state of the recording is there okay nothing's published
[1001] 1:58:14	so anyway uh thank you very much for the Super Chat very much appreciate and I hope
[1002] 1:58:19	that helped
[1003] 1:58:30	uh Lego David asks what do you think is the best possible site for Sodom I can't say I think it's just it hasn't been
[1004] 1:58:37	discovered yet I would again put it in the southern tip of the Dead Sea that's where I would
[1005] 1:58:45	place it so that's where I would place it I think as again we know where the Tar Pits are we
[1006] 1:58:51	know we know where Gaza is because we know where these they play
[1007] 1:58:56	other places are we pretty much have to conclude that it was
[1008] 1:59:03	in the southern southern tip of the Dead Sea where exactly not sure
[1009] 1:59:14	David Bond yeah some say it on IP yeah there was there were some points
[1010] 1:59:20	when you saw IP looking up really uncomfortable when when he was talking
[1011] 1:59:25	because you know it he had come on to talk about the
