[0] 0:00	all right
[568] 1:05:07	my mother the the one thing I actually really loved as a scholar and academic
[569] 1:05:14	is writing books I love writing books if I had my druthers I do nothing but write books I think writing books is
[570] 1:05:21	fantastic uh but he's there's also the the the warning here and excessive devotion
[571] 1:05:29	is wearying to the body and the idea is here Devotion to books
[572] 1:05:36	basically much study wears the body now if you've ever been to grad school you know this is exactly what this is
[573] 1:05:43	this is why students when they study hard get the munchies okay I mean you basically are reading books
[574] 1:05:50	and eating potato chips and probably packing on the weight too uh but that's because that's because
[575] 1:05:57	your brain gets um gets tired your ATP receptors in your brain
[576] 1:06:04	basically consume energy as you read and the more intense of the study the
[577] 1:06:10	more energy your brain consumes you know they've done some studies that suggest that you know people who really study
[578] 1:06:16	hard for like a final exam are burning as many calories as a marathon runner
[579] 1:06:23	not in the same way but but because the organ of your body that
[580] 1:06:30	consumes the most calories is your brain at least as far as I best recall
[581] 1:06:35	so this is this is intellectual work does come with a price
[582] 1:06:41	and that's what he what they're what the preacher here is warning us of
[583] 1:06:46	not a sin it's not a Slam against intellectualism it's basically saying hey okay yeah you
[584] 1:06:53	could keep writing books forever you can also study yourself to fatigue
[585] 1:06:58	so there is there there are there are ways to meet um ameliorate this you know you
[586] 1:07:05	take your Sabbath you you you rest you don't read all the time
[587] 1:07:12	you do other things you go out and get some exercise you know there's there's ways you can combat this so you know there's not one solution to
[588] 1:07:19	this you know the fact is when I used to when I you one of the things I used to do is I used to play video games because
[589] 1:07:26	it's mindless I still play video games when I after doing a really hard amount of studying
[590] 1:07:31	is okay yeah my brain's tired technically from some star field
[591] 1:07:38	or Fallout or Skyrim so
[592] 1:07:44	uh you know you have to do what what you what you find relaxing and Jack ready
[593] 1:07:49	hey Jack Ray thank you very much for for uh giving me a license to Starfield I've
[594] 1:07:54	been really enjoying the game been really enjoying the game um it is it is it's nothing Innovative
[595] 1:08:01	for people who know the Bethesda games but I'm loving it I'm actually loving
[596] 1:08:06	the game because it's more Bethesda and I love Bethesda games
[597] 1:08:14	Okay so uh that's what he means here by
[598] 1:08:19	um by in the Ecclesiastes 12 12. but you know that's
[599] 1:08:26	um that's what um
[600] 1:08:43	there okay so that's what he means this is not
[601] 1:08:48	again not a condemnation of scholarship ease this guy's a scholar he's studying himself he's teaching
[602] 1:08:55	and he's a wise knowledgeable person you can't get that information any other way so I hope that helped thank you very
[603] 1:09:01	much for the Super Chat very much appreciate and um thank you for the question
[604] 1:09:16	okay next one here is from Warrior of the most high thank you for the uh question
[605] 1:09:22	what did obelisks represent in Egyptian culture and religion and do they imitate
[606] 1:09:27	alien Tech as AA says I don't know who it is orange and Aliens okay ancient aliens uh
[607] 1:09:35	thanks to Jack Curry I can send this chat
[608] 1:09:44	okay they are basically a type of an obelisk is a type of pyramid on a pillar
[609] 1:09:54	they are representative of sun worship they're the icon of some worship so so
[610] 1:10:00	that's what they are and the earliest of these is actually found in Dynasty five
[611] 1:10:06	Sun temples so what they would do is a sun Temple
[612] 1:10:12	was done by Dynasty five Kings and they would make these sort of platforms for sun worship
[613] 1:10:17	and then they have a raised platform and then they would put Obelisk on that that on that raised platform
[614] 1:10:24	and from that it would make a kind of a sundial they
[615] 1:10:30	didn't keep Time by it but they would trace the shadow of the Obelisk as the
[616] 1:10:36	Sun moved across the sky and they did this to coordinate their Sun worship
[617] 1:10:42	Okay so um so it's basically the symbol of sun
[618] 1:10:48	solar worship usually to the God Amen Ray but it could be say atunre also or
[619] 1:10:55	or any other Sun Cults any sun cult could potentially use an obelisk but there's there's basically symbols of
[620] 1:11:02	solar worship so that's what they are and they're essentially a pyramid on a pillar at a
[621] 1:11:08	very sharp angle too sharper the better so that's what they represented to Egyptian
[622] 1:11:15	culture and religion oh they're not alien Tech house if they are some of the worst
[623] 1:11:21	alien Tech ever um
[624] 1:11:26	Bronze Age rocket ship could be
[625] 1:11:38	yeah no oh there's no there's no Tech in those things
[626] 1:11:43	but they are some of the largest stones that have ever been moved in Egypt I mean they are very very large so
[627] 1:11:50	you know there is that and that alone is very interesting but it's all done by Bronze Age Technology not by alien Tech
[628] 1:11:58	so anyway thank you very much for the question very much appreciate I hope that helped
[629] 1:12:10	okay
[630] 1:12:22	next question here from Anthony rugier uh for uh five dollars thank you very
[631] 1:12:29	much for the Super Chat what do you think about ancient population estimate for for Israel
[632] 1:12:36	decently accurate due to the detailed surveys and Archeology just as
[633] 1:12:41	inaccurate as others it's just as inaccurate as others um
[634] 1:12:46	one of the things I will say about say the population estimates at least as far as what you find and say the Book of
[635] 1:12:52	Numbers is it doesn't seem to it's it's not a
[636] 1:13:00	numerical account it does seem to be more of a clan
[637] 1:13:06	account ing of Clans of unspecified numbers
[638] 1:13:13	um I Heard Richard has just recently say that these were um squads
[639] 1:13:18	military squads um I think it's just uh Clan is just as reasonable an explanation here and I
[640] 1:13:23	think yeah Hess would agree with that he wouldn't have a problem with that so it's not meant we are told we are
[641] 1:13:29	told that the Israelites were the smallest of the
[642] 1:13:35	Nations entering the promised land when they entered the promised land so they were surrounded all by larger Nations
[643] 1:13:42	so we do have enough of them that they did
[644] 1:13:48	make a impact on the archaeological context so we do find eventually in the
[645] 1:13:54	mid 12th century BC we do find Semitic four-room houses which is indicative of Israelite uh villages we do find a
[646] 1:14:03	change in the final remains going from say donkey and lion and dog carcasses to
[647] 1:14:10	goats and sheep and Cattle so basically a shift from non-kosher to
[648] 1:14:16	kosher food so
[649] 1:14:22	um it's hard to give a good firm estimate for for Israel during that time but
[650] 1:14:28	it is it is true that they did seem to completely occupy the Judean Foothills
[651] 1:14:34	however so so they occupy the hash Bond they occupy the Judean Foothills
[652] 1:14:40	and um the the whole the whole idea that that
[653] 1:14:46	that that that thousands is remains very controversial it means very
[654] 1:14:51	controversial and you even see this even mentioned in in halot which is the the Hebrew the most important Hebrew
[655] 1:14:58	dictionary they they even um describe this as military groups or
[656] 1:15:04	Clans or um or thousands potentially
[657] 1:15:10	so you can't take that thousand as a necessarily a literal reading
[658] 1:15:15	and I think that's that's important and I think it's very important
[659] 1:15:20	so I'm still not sure exactly how to read those passages yet I've been thinking it
[660] 1:15:27	through and considering the possibilities and there's a lot of possibilities there's been a lot of proposed solutions to this problem
[661] 1:15:33	the the issue is we don't exactly know which solution is correct
[662] 1:15:39	you do have you do have the idea of there being Chiefs
[663] 1:15:44	um Rave Warriors you do have the idea of it being Clans like I I will probably end up taking
[664] 1:15:53	um you also have the literal reading too that it's thousands you have the idea that it's a numeric estimate but it's a
[665] 1:16:01	hyperbole because of its military context which we do see in military documents
[666] 1:16:10	um the one of the most famous is for example um
[667] 1:16:15	um Alexander the Great's uh going up against a million man Persian army yeah
[668] 1:16:20	really okay so there's a lot of potential
[669] 1:16:27	explanations for this we just don't know which is the right one yet
[670] 1:16:32	so I think there's I think there's going to be some more work done on this um you know I might do some work on this
[671] 1:16:38	at some point I think I think there's I think there's a potential this for this to be
[672] 1:16:46	um to be assessed in a better stronger way
[673] 1:16:51	so anyway um I think we're talking about populations in the tens of thousands that's one
[674] 1:16:58	thing we're talking about in all seriousness so that's what I think is the say the early population of the
[675] 1:17:03	conquest after that you know the population will grow at normal rates
[676] 1:17:10	so anyway I hope that helped thank you very much for the Super Chat very much appreciated
[677] 1:17:17	all right mouthwash for five dollars hi Dr Folk I have three questions regarding
[678] 1:17:22	to your claim that amarthel can be identified as Hammurabi in your date a date frame uh Abraham below okay
[679] 1:17:33	one I've heard it said that against this identification that the West Semitic name uh begins with an iron amarapi not
[680] 1:17:41	with the aleph in and Amber fell okay one of the things is uh when you talk
[681] 1:17:47	about this um amarapi does begin with an ion but there's also
[682] 1:17:54	um Semitic switching here okay the thing is with an i in um amarabi the West Semitic version of
[683] 1:18:01	this okay when it comes into certain alphabetic scripts like you Garrett becomes a round h
[684] 1:18:09	okay hey I hate okay that hate when
[685] 1:18:16	um you know when it comes into Hebrew also converts into the aleph okay so
[686] 1:18:23	that guttural exchange is known okay and when you're dealing with with
[687] 1:18:29	gutturals that is that's something that can be interchanged quite easily so
[688] 1:18:34	that's not a huge issue okay so that's your answer to the first question
[689] 1:18:40	yeah your second question you say in submitic language is the
[690] 1:18:46	final L letter often change as it does which is why there is an out of place limit in our Phil can you explain this
[691] 1:18:53	yes absolutely um Hebrew is a one is a language that abhors a final vowel
[692] 1:19:01	because uh final vowels are often used for
[693] 1:19:07	um the suffixes okay so if you want to add a a suffix on the
[694] 1:19:14	end of it like like like you know his whatever it will put a vowel at the end
[695] 1:19:20	of the verb you know so this is this is often how
[696] 1:19:25	predominal suffixes are done in Hebrew all sorts of suffixes are done like this in Hebrew so so this is how they use
[697] 1:19:33	pronouns so take possessive pronouns okay
[698] 1:19:39	so to to to circumvent this in languages where you transliterate
[699] 1:19:48	um um foreign names foreign words into Hebrew
[700] 1:19:55	if it ends with a vowel they will often stick another consonant on the end
[701] 1:20:01	sometimes it's a name sometimes it's a noon sometimes it's a llamide you know
[702] 1:20:06	something that it could be still pronounced and identifiable without because the name is amarapi
[703] 1:20:15	okay it's amarapi it ends in a vowel so they have to put a a consonant on the
[704] 1:20:22	end again Hebrew abhors a final vowel when
[705] 1:20:28	it's not a pronoun so
[706] 1:20:34	that's why the Llama here okay so I hope that answers that question you said he had a third one here
[707] 1:20:43	why do you believe this identification is better than amaru Apple okay or Amaro
[708] 1:20:49	PL suggestions made by other Scholars uh time is is like for example the time
[709] 1:20:54	constraints is you know of those other identifications is not good it's very poor
[710] 1:21:01	uh it's you're you're putting it into a context with you with those suggestions
[711] 1:21:07	that would make no sense uh chronologically so I don't think those are great
[712] 1:21:14	suggestions um I mean Amber Apple may be but
[713] 1:21:22	uh you're also now dealing with extra consonants okay
[714] 1:21:28	okay so uh this is it's not it's not as simple as I mean especially I'm a PL I
[715] 1:21:34	mean I'm with PL is you're not gonna have um
[716] 1:21:39	that the T and the r is not going to transliterate it just isn't going to happen okay that is just not going to
[717] 1:21:47	happen okay and even our uphill
[718] 1:21:52	is not going to transliterate without the extra insertions of other gutturals
[719] 1:22:00	so it's not it looks good in English it looks absolutely fine in English it's
[720] 1:22:06	not going to do so well when you actually take it from Acadian into West Semitic
[721] 1:22:11	so and as I said again the chronology is
[722] 1:22:17	not going to work chronology is just plain not going to work so anyway uh thank you very much for the
[723] 1:22:23	uh Super Chat and the questions and I hope that helped
[724] 1:22:31	okay let's get back here I guess the next one here is from Jesse
[725] 1:22:37	Stone or 499 thank you for the Super Chat any recommendations for someone wanting
[726] 1:22:43	to get deep into the study of ancient chronology books tools important Asian sources okay
[727] 1:22:49	oh no
[728] 1:22:58	here's here's one of the things um one of the book projects we want to do is a textbook on chronology
[729] 1:23:04	because there isn't any there are a few small books on this
[730] 1:23:10	um uh Warburton and uh one other guy uh did
[731] 1:23:17	a book on called ancient Egyptian chronology that was pretty good that was
[732] 1:23:23	a good book in its day although it's now dated too okay uh so much has changed in chronology in
[733] 1:23:29	the last 10 years it's not even funny okay the whole discipline has pretty
[734] 1:23:34	much been thrown on its head um and not not in a bad way but in the
[735] 1:23:42	fact that it's become such an advanced field um doing chronologies by hand these days
[736] 1:23:48	is just not done anymore because it's just we've seen that Technologies by hand are
[737] 1:23:54	just error riddled with errors riddled with errors
[738] 1:23:59	but unfortunately nobody's written a good textbook on this
[739] 1:24:05	so as far as tools um no good freeware tools yet
[740] 1:24:13	um I had to make my own tools and most chronologists end up doing this is having to make their own tools
[741] 1:24:20	um uh like for example I had to make the groundhog test laboratory to do
[742] 1:24:26	chronologies I know another researcher in the field uh Ethan Levy has done his
[743] 1:24:31	own software to do chronologies he's doing a lot smaller scale than I am though right so he's not I'm trying to
[744] 1:24:38	cover the whole chronology of the ancient near East he's just trying to cover the chronology of say
[745] 1:24:45	um archaeological assemblages basically really small isolated sets of data
[746] 1:24:52	so um but yeah the computer has become the
[747] 1:24:58	most important tool for the monochronologist bar none uh because a big chronology requires
[748] 1:25:06	hundreds of thousands of calculations you have you got you know thousands of calculations just to calculate the
[749] 1:25:12	chronology and then you've got thousands of chronologies you needed to validate it
[750] 1:25:18	we have discovered things about chronology that 10 years ago were thought to be impossible
[751] 1:25:24	such as can you eliminate some chronologies from being seriously
[752] 1:25:29	considered you know because there had been up to 2016 was with my software my software
[753] 1:25:35	was the first program that was actually able to validate a chronology
[754] 1:25:42	as far as important ancient sources there's a lot of them uh the most important sources come from
[755] 1:25:48	the Mesopotamian material so example uh
[756] 1:25:53	you would want to consult things such as say the Mesopotamian Chronicles
[757] 1:26:00	um the um it's called now um the eponym lists
[758] 1:26:06	the Mari letters the amarna letters there's a lot of tablets out there
[759] 1:26:13	um you're you're basically combing and sifting through tons and tons and tons
[760] 1:26:18	of data now this would be one of the things that I think would be very very interesting
[761] 1:26:24	too if somebody did a source book for chronology in the same way like they
[762] 1:26:31	did uh like like Hollow and younger did hit or context of scripture
[763] 1:26:37	they did this this series called the context of scripture or they took the various sources of the
[764] 1:26:43	ancient near East and put them in to a
[765] 1:26:49	a single Source book edited Source book that could be used for for that purpose
[766] 1:26:56	um I think there could there's a great potential to do say a source book
[767] 1:27:01	for chronology but it it'll be it'll be it'd be a big
[768] 1:27:07	book just like say the context of scripture so
[769] 1:27:13	so yeah I think I think there's a lot of of stuff that right now you're gonna have to do say onesie twosy books
[770] 1:27:19	basically as you get them um I I have uh several books I have like
[771] 1:27:25	on my shelf here just like the Mari Chronicles uh in the bedroom I have a big bookshelf of of stuff called the
[772] 1:27:33	Mesopotamian Chronicles um but I think it was ah
[773] 1:27:41	oh can't remember at the top of hit who the editor was but um us I know the Sasson was was uh was of the Mario
[774] 1:27:48	letters and there's some some synchronisms in there but yeah you you have to sort of comb
[775] 1:27:55	through things you know you'll be reading a journal and you'll go oh hey that's a synchronism I can use that
[776] 1:28:02	you know this is why we did the recent um uh
[777] 1:28:09	uh members content on the recent uh publication of the date list of uh
[778] 1:28:15	um date list of Hammurabi because it contains a synchronism it has a beautiful synchronism for the conquest
[779] 1:28:21	of Mari absolutely beautiful so
[780] 1:28:26	so you know things like that you're going to go through journals you're going to subscribe to journals and books by books and all that to actually do
[781] 1:28:32	this work if that's what you want to do but again uh a lot has changed a lot has
[782] 1:28:37	changed in the practice of chronology a lot has changed it's no longer the same field it was 10 years ago
[783] 1:28:43	and it's it's just moving that rapidly so anyway I hope that helped thank you
[784] 1:28:49	very much the Super Chat very much appreciate it
[785] 1:28:55	hey
[786] 1:29:09	okay and
[787] 1:29:15	uh transatlantic Whirlwind for 4.99 thank you for the Super Chat how do you understand timing of Esther
[788] 1:29:22	II five to seven commentators seem to have hold two views on who was taken captive
[789] 1:29:29	all right let's take a quick look at this been a long time since I've looked at
[790] 1:29:34	Esther so Esther chapter two
[791] 1:29:40	five to seven asked here
[792] 1:29:48	now there was a Jew in Susa the capital whose name was um Mordecai it's the more guys the name
[793] 1:29:55	of the of the Jew not the capital uh ear son of shimmy son of Kish a
[794] 1:30:01	benjamite who had been taken captive into Exile from Jerusalem with the captives who had
[795] 1:30:09	been exiled with jeconiah king of Judah Boom the king of Babylon had exiled okay
[796] 1:30:15	and he was bringing up hadasha that is Esther his uncle's daughter
[797] 1:30:22	or she had neither Fame nor mother father nor mother now the young lady was
[798] 1:30:27	beautiful a form and face and when her father had and her mother died Mordecai took her as his own daughter okay
[799] 1:30:38	um the the captives I know it's going to be
[800] 1:30:45	talking about captives in general here so verse five again uh there was a June
[801] 1:30:50	uh insusa name was mordecaier sanosh
[802] 1:30:58	now what we know one of the things we know is um we're talking about here is that Mordecai
[803] 1:31:05	this is in the Persian Empire during artaxerxes uh the first uh Xerxes
[804] 1:31:11	the first I believe um so what we have here is
[805] 1:31:19	um is he himself was born in Babylon he was Mordecai was born in Babylon he's
[806] 1:31:25	about 60 at this point so it's either his father or his grandfather who was
[807] 1:31:30	taken captive we're not exactly sure which one honestly
[808] 1:31:36	so um
[809] 1:31:42	so anyway we don't know for sure who the captive was who was the original
[810] 1:31:48	captive here from the line of Mordecai but we just know at this point murukai is in a 60s he's in the 60s
[811] 1:31:55	he was born in Babylon because this is after the Babylonian exile which was 70
[812] 1:32:00	years okay so he's he's been there a long time
[813] 1:32:08	he's going to either his father's grandfather in all likelihood so anyway I hope that helped uh and I
[814] 1:32:14	don't have an opinion on this one way or the other so I'd probably have to look into this more to find out to to Really sort of
[815] 1:32:21	come down on an opinion on this so anyways thank you very much for the Super Chat very much appreciate it and I hope that helped
[816] 1:32:34	all right and your opponents come Rafi for ten dollars thank you very much for the Super Chat
[817] 1:32:39	Kevin Thompson beyond the fundamentals says quote Christ's life not his death is what saves no passage says Christ
[818] 1:32:48	died to save anyone uses Romans 5 12 and 1st Corinthians 15
[819] 1:32:55	17 as a reference felt weird thoughts yeah it's it's heresy
[820] 1:33:04	it's heresy it's simple answers it's a terracy yeah
[821] 1:33:12	um uh
[822] 1:33:17	this is the whole thing is the whole crucifixion thing is the reenactment of
[823] 1:33:23	the Passover Lamb Passover Lamb had to die to cover over
[824] 1:33:29	the sins of Israel when the spirit the angel of death passed over
[825] 1:33:35	that's the typological ACT that is echoed in the life of basically
[826] 1:33:41	Christ is the anti-type of now let's use here let's take a look
[827] 1:33:46	here at his passages and we will sort of tease them out here
[828] 1:33:53	we'll start here with Romans
[829] 1:33:59	5 verse 10. okay
[830] 1:34:07	now uh we'll start at verse eight here but God demonstrates his own love
[831] 1:34:12	towards us in that while we were yet sinners Christ died for us
[832] 1:34:20	um wait a minute if if Christ saves through his life
[833] 1:34:27	then he would have saved us by living for us
[834] 1:34:33	okay it's the death much more than now then having been
[835] 1:34:40	justified by his blood atonement there it is
[836] 1:34:45	we shall be saved from the wrath of God through him
[837] 1:34:50	well if there's if that's not a good passage for penal atonement I don't know what is
[838] 1:34:58	verse 10 here for if we were enemies we were reconciled to God through the death
[839] 1:35:03	of his son much more having been reconciled we shall be saved by his life
[840] 1:35:08	okay so here's what we have here is was something called proof texting
[841] 1:35:15	you basically sound bite something out of context and then misapply it
[842] 1:35:23	uh text out of context is a pretext for a proof text
[843] 1:35:29	he's basically proof texting this okay so the context makes it clear that it is
[844] 1:35:35	the death of Jesus Christ that does save okay
[845] 1:35:41	but once we have been reconciled and that reconciliation is what saves us
[846] 1:35:49	that's the silliest that's the part that saves us is the reconciliation and that's done through the death of of the
[847] 1:35:55	of the Father's son of Jesus Christ so having once been reconciled so in the
[848] 1:36:02	post salvation state
[849] 1:36:08	we are preserved by his life now here's one of the things we have to
[850] 1:36:13	be careful of when we look at a passage like this saved has two meanings
[851] 1:36:18	we see this sometimes being used in some of the gospels and the Epistles okay
[852] 1:36:25	um we have um save meaning to basically save you
[853] 1:36:31	whatever is is possibly causing you harm we also have preservation as in to
[854] 1:36:40	um you save your strawberries by turning them into Jam okay okay
[855] 1:36:47	different meanings same word works the same way in the Greek
[856] 1:36:52	okay so he's using the word save in two ways and
[857] 1:36:58	in two different meanings okay and Paul does this sometimes he does this sometimes
[858] 1:37:04	so he's using it in one way that we are reconciled through the death of his son
[859] 1:37:10	much more having been reconciled we will be preserved by his life
[860] 1:37:17	okay but yet earlier in verse 9 he's using saved from the Wrath so he's using it in
[861] 1:37:24	that first definition and then later on using it in a different way
[862] 1:37:30	so
[863] 1:37:40	okay uh I will take that but um make sure I save my place here
[864] 1:37:51	okay
[865] 1:37:57	um sorry I think what he was getting at was that it wasn't his death by itself it was a
[866] 1:38:05	life that made his death worldly sacrifice because he was faithful to death
[867] 1:38:10	um no no uh
[868] 1:38:16	it's not that his wife made him worthy of death where a maid his death a worthy
[869] 1:38:22	sacrifice it's his identity okay it's his identity that he's God in
[870] 1:38:27	human flesh he's his he is the monogamous the unique
[871] 1:38:33	the only begotten son any man who just has a I mean look if if
[872] 1:38:40	it just came to somebody who lived a life without sin you could sacrifice a baby
[873] 1:38:45	and be done with it as horrifying as that sounds that's all you'd have to do you wouldn't
[874] 1:38:51	need Christ you could just sacrifice children so
[875] 1:39:04	you know Paul uh patui says here Paul also mocks the rulers of the world for the mistake of crucifying the Lord Of
[876] 1:39:11	Glory and that's what it is these it's not that his life made his sacrifice
[877] 1:39:16	efficacious it's his identity and it's through his identity that he
[878] 1:39:21	lives the sinless life
[879] 1:39:26	which strongly implies and continue goes on which strongly implies that the death of the Lord Of Glory was at least part
[880] 1:39:32	of the thing that saves is absolutely it it's absolutely
[881] 1:39:38	it it's it's the identity of Jesus Christ you know then the church fathers
[882] 1:39:44	recognize this you know it was when you look at at the um writings of the church fathers
[883] 1:39:50	they're not so much interested in say Christ's sinless life although they do
[884] 1:39:56	mention it they think they're looking at more who is the person of Jesus as he appears in
[885] 1:40:03	the Old Testament that's what they're interested in that's what they care about
[886] 1:40:10	so and this is why we have the Creeds written as in the way they are is because it's not that they are that it's
[887] 1:40:18	you know yes the sinless life is important you know without a sinless life you wouldn't have a sufficient an
[888] 1:40:23	unblemished lap but you have to have the unblemished lamb
[889] 1:40:29	be God and human flesh so you know there's there's that sort of
[890] 1:40:35	thing here and you just have to um be cognizant of that that that's
[891] 1:40:41	what's going on here so anyway uh that's the Romans 5 10
[892] 1:40:47	passage so he's proof texting I think the the 510 Passage
[893] 1:40:52	um the First Corinthians 15 17 passage is
[894] 1:41:01	again let's just go back a bit here
[895] 1:41:07	uh verse 13 but if there's no resurrection of the Dead not even Christ has been raised and if Christ has not
[896] 1:41:13	been raised then our preaching is in vain your faith is also in vain uh 15 here moreover we are even found to
[897] 1:41:21	be false Witnesses of God because we have witnessed against God that he raised Christ whom he did not raise in
[898] 1:41:27	fact the dead are not raised for if the dead are not raised not even Christ has
[899] 1:41:32	been raised and if Christ has not been raised your faith is worthless and you are still in your sins
[900] 1:41:38	then those also who have fallen asleep in Christ have perished okay again I'm not sure what he's thriving at
[901] 1:41:46	here uh oh sorry verse 19 probably if we have hoped in Christ in this life only we are
[902] 1:41:52	only of all men to most to be pitied okay so again
[903] 1:41:59	I don't get his argument here I don't think that works because
[904] 1:42:05	um again it's um Thompson I mean he says as Christ's
[905] 1:42:10	life not his death uh First Corinthians 15 doesn't seem to address that it's
[906] 1:42:16	more uh the the whole thing is about his crucifixion and Resurrection from the
[907] 1:42:22	dead okay and the whole argument of are the Red Dead Resurrected
[908] 1:42:30	so um and and Paul's making a statement here if Christ has not been raised
[909] 1:42:38	which would predict predicate on his life you know then then death has not been conquered if Christ has not been
[910] 1:42:44	raised from the dead so yeah I think he's wrong here I think
[911] 1:42:49	he's wrong here and I think it's I think what he's what he's saying here is heretical I think what he's saying is for radical
[912] 1:42:55	so anyway that's not having heard His Thoughts firsthand based only upon this
[913] 1:43:01	Super Chat that's what I would surmise okay so anyway thank you very much for the Super Chat very much appreciate and
[914] 1:43:06	I hope that helped foreign
[915] 1:43:16	sorry for five dollars Australian thank you for the Super Chat Proverbs 16 33 were random
[916] 1:43:23	deterministics considered a legitimate method for inquiring of the Lord are they still valid if we phrase the
[917] 1:43:30	questions well oh ah let's take that one an interesting
[918] 1:43:36	question proverbs
[919] 1:43:45	16. verse
[920] 1:43:50	33.
[921] 1:43:57	okay uh we'll take the couplet the full couplet here he who is slow to anger is better than
[922] 1:44:04	the mighty he who rules his Spirit then he who captures the city the lot is cast
[923] 1:44:09	into the lap but every decision is from the Lord all right
[924] 1:44:15	now it is true that the ancient Israelites did use random deterministics
[925] 1:44:22	and what you mean here is probably that they used say devices that could try to Divine
[926] 1:44:30	the will of God like the Irma these are a set of
[927] 1:44:37	to put it but like 20-sided Dragon dice with Hebrew letters on it in all likelihood
[928] 1:44:44	and they were used to spell out a word and that would give basically the
[929] 1:44:51	direction for what decisions they should take okay
[930] 1:44:58	so that is going to be uh
[931] 1:45:03	a consideration here that they would draw Lots
[932] 1:45:10	when say for example um it's called now um when the replacement
[933] 1:45:17	for Judas Iscariot was done and the apostles chose Matthias it was
[934] 1:45:23	done by lot so they had two two suitable candidates
[935] 1:45:30	and they replaced his office by drawing Lots
[936] 1:45:35	and that seems to be one of those random deterministics they would also say put a fleece out and if there was Dew on
[937] 1:45:43	it they would get one answer if it was dry they got another answer
[938] 1:45:48	so they did this they did this and there are many many examples of this
[939] 1:45:56	in the in the Bible but there's there's also um
[940] 1:46:02	it's also very cautious as to what constitutes as
[941] 1:46:07	um a legitimate methods here now today we wouldn't use those same
[942] 1:46:12	methods because we have say the Holy Spirit guiding us directly now a lot of
[943] 1:46:18	these deterministics were used because the Holy Spirit had not been released from the
[944] 1:46:26	um the holy of holies okay oh this kind of Glory that dwelled in
[945] 1:46:32	the temple the Holy Spirit was not yet um
[946] 1:46:37	available to be in dwell in the hearts of of all men okay
[947] 1:46:45	so we had not yet received the comforter so the much of the of these random
[948] 1:46:51	deterministics has been replaced by the instruct instruction of the Holy Spirit
[949] 1:46:57	and if you look through the Acts of the Apostles you see this where the holy spirit is guiding he's
[950] 1:47:04	instructing he's teaching he's Illuminating he's doing all these things
[951] 1:47:10	so I don't think they're still valid as a method they were done as I said
[952] 1:47:16	as a substitution for not yet Having the Holy Spirit today we have the Holy Spirit
[953] 1:47:22	so we don't need them anymore and we shouldn't be using them anymore because again they're a substitute
[954] 1:47:28	they're a second best to what the Holy Spirit actually gives us
[955] 1:47:34	so anyway I hope that helped thank you very much for the Super Chat very much appreciate it
[956] 1:47:55	all right the next Super Chat here is from transatlantic Whirlwind for 199 thank you for the Super Chat
[957] 1:48:01	what view do you take on petite authorship oh I take a very conservative
[958] 1:48:08	supplementary hypothesis Okay now what's a supplementary hypothesis
[959] 1:48:14	the supplementary hypothesis says that there were core documents of the
[960] 1:48:19	pentateuch that had been written that were later on
[961] 1:48:24	updated for grammar had some connecting text between the pages
[962] 1:48:30	few addendums added little bits here and there but the court documents are essentially
[963] 1:48:37	from its original or text or original author now supplementary hypothesis tend
[964] 1:48:42	to take two strains you got both a kind of a liberal and you got a conservative supplementary hypothesis
[965] 1:48:48	a liberal view of this is not much different than a documentary hypothesis which says that the pentateical
[966] 1:48:53	documents your text are Babylonian and it the uh
[967] 1:49:01	pentateuch is then the formation of the final editing of those Babylonian documents
[968] 1:49:07	The View I hold a more conservative view of the supplementary hypothesis is that the whole core documents come
[969] 1:49:13	from Moses it gives those documents to Joshua who then takes them and then starts
[970] 1:49:21	editing them you know having a continuous text there that is pieced
[971] 1:49:26	together using these documents so that's the view I typically take because there's there are some some texts that
[972] 1:49:33	in the pentateuch that are definitely not Mosaic okay definitely not mosaic
[973] 1:49:39	like for example the death of Moses is one um things there there's also statements
[974] 1:49:44	in there like uh Israel had no king in those days that's obviously something that's
[975] 1:49:49	written after the conquest
[976] 1:49:55	as probably a piece of editorial class and there's also some editorial glosses too that also look like they've been
[977] 1:50:00	added to as well so that's my take on
[978] 1:50:06	um the authorship of the pentateuch I think the core documents were done by Moses I think they're pasted together by
[979] 1:50:12	later editors um the grammars updated to classical
[980] 1:50:17	Hebrew standards and then it sort of becomes ossified at that point so
[981] 1:50:24	so anyway I hope that helped thank you very much for the Super Chat very much appreciated
[982] 1:50:33	um yes asks the supplemental question here
[983] 1:50:40	does any book hold view you say and defend it oh there's been some peer-reviewed articles on this uh
[984] 1:50:46	Benjamin kilcourse is is a person who holds this View are you find this view more often in
[985] 1:50:53	European scholarship so European scholarship tends to hold
[986] 1:50:58	this to a much greater extent than say American scholarship which is still very much in love with documentary hypothesis
[987] 1:51:04	but over in Europe you find a lot more supplementary hypothesis these days
[988] 1:51:11	but I know Benjamin kilcore has done work on this so that's who I'd refer you to I don't
[989] 1:51:16	know if he's written a book on it I know he's written some peer-reviewed articles though so anyway I hope that helped thank you very much for the Super Chat very much
[990] 1:51:23	appreciate it
[991] 1:51:36	okay
[992] 1:51:46	next Super Chat here is from Tom wanchek uh Brent strong who I love I love I love
[993] 1:51:52	his work says Bible in total is better seen as a poetic work rather than a fundamentally story though it contains
[994] 1:52:00	true history story thoughts um he's got a point
