[0] 0:08	well there you
[769] 39:47	for me please yeah I can take Charlie
[770] 39:49	out Charlie Charlie
[771] 39:52	[Laughter]
[772] 39:54	no so
[773] 39:58	your next your next one your next
[774] 40:01	Patrick what do you
[775] 40:05	do Mary will consider that these are
[776] 40:10	obviously very high reasoning
[777] 40:11	intelligent
[778] 40:14	individuals but we're not IG in at
[779] 40:16	peasants they they they uneducated they
[780] 40:20	didn't like for I and
[781] 40:23	so she puts her book Away
[782] 40:28	and
[783] 40:29	says
[784] 40:34	uh I'm trying to stay in character and
[785] 40:36	not be
[786] 40:37	me so hard I okay uh she will say it is
[787] 40:43	our duty to come to you we have given
[788] 40:46	our lives over to the cause of telling
[789] 40:48	you about Jesus Christ the only son of
[790] 40:51	God and we are willing to do whatever it
[791] 40:56	takes to tell you this truth our lives
[792] 41:00	are forfeit we know this we came here
[793] 41:03	knowing this all that we hope for is
[794] 41:06	that you will be saved from your sins
[795] 41:09	and be able to uh repent repent of them
[796] 41:13	and and turn to this savior that you've
[797] 41:16	never heard about and we don't want you
[798] 41:19	to die in your
[799] 41:21	sins why should I
[800] 41:23	listen I've never heard about this God
[801] 41:26	who is he
[802] 41:28	have you ever heard of The
[803] 41:31	Exodus sound a lot like
[804] 41:35	Pharaoh he is the god who made
[805] 41:38	everything that you
[806] 41:40	see and he is the only
[807] 41:46	God so the there's lots of gods out
[808] 41:49	there doesn't your own scriptures say
[809] 41:52	this no many lords many
[810] 41:58	my God is the god of God see this you be
[811] 42:03	[Laughter]
[812] 42:05	quiet so so they they just said do not
[813] 42:09	your Apostle Paul say this so so what
[814] 42:14	okay DM above the
[815] 42:17	table you said Patrick hasn't been there
[816] 42:21	yet Patrick has not been here okay but
[817] 42:25	we're all Patrick
[818] 42:28	uhhuh I'm just I'm trying to remember
[819] 42:30	when the book of Kel's was begun I don't
[820] 42:32	think it was pre 900 whatever ad no it
[821] 42:36	wasn't
[822] 42:38	okay
[823] 42:40	okay can we I'm just trying to I'm just
[824] 42:42	trying sorry I'm probably playing this
[825] 42:45	way too literal and straight my bad your
[826] 42:47	your your pck becomes a heretic
[827] 42:52	oh well at least two Heretics one
[828] 42:55	atheist one convert
[829] 42:58	one indifferent one p
[830] 43:00	one all right
[831] 43:03	hey it's your chance to evangelize the
[832] 43:07	natives so say will you allow us to live
[833] 43:10	among you and serve
[834] 43:12	you uh for the even for the remainder of
[835] 43:16	our days if
[836] 43:17	necessary oh your days may be a lot
[837] 43:20	shorter than you think they don't like
[838] 43:23	serpant I
[839] 43:30	so will they allow us to live among
[840] 43:34	them you're living among Among Us right
[841] 43:37	now aren't you live
[842] 43:41	among and serve them is there anything
[843] 43:44	that we could do to help them right
[844] 43:49	now there might be might be a task but
[845] 43:53	we want to know where we can trust you
[846] 43:57	that is very
[847] 43:59	fair
[848] 44:01	well give him my rosary and say this is
[849] 44:05	a peace
[850] 44:07	offering I hold it
[851] 44:10	sacred I'll let you hold on to it what
[852] 44:12	are you
[853] 44:17	doing sorry what was
[854] 44:20	that do we have like Rosary or anything
[855] 44:23	like that anything that we can offer
[856] 44:26	Mary has a small wooden
[857] 44:30	cross um it's it and she has come to
[858] 44:34	think of it she's got her well you got
[859] 44:35	to you got to be the one giving the
[860] 44:37	message you're the cleric so it's not my
[861] 44:40	turn apparently not your turn
[862] 44:43	okay this is all on uh Leroy right now
[863] 44:47	so what what can we what would show you
[864] 44:52	trust in us what can we do to gain trust
[865] 44:55	we supposed to tell you that
[866] 45:01	all right on you you got some strange
[867] 45:07	ideas
[868] 45:09	however you managed to convert this one
[869] 45:14	all right Chum let's do
[870] 45:15	this I I I you I'm not quite convinced
[871] 45:20	that I can trust you but will to give
[872] 45:22	you a little little room Patrick
[873] 45:29	one
[874] 45:32	coners at your turn to
[875] 45:36	evangelize oh
[876] 45:39	no I'm not sure how many
[877] 45:42	rounds I don't really think it matters
[878] 45:45	what you say it's like it's like speed
[879] 45:48	dating but a we have a quarter of them
[880] 45:51	so let do you have anyone that's
[881] 45:54	suffering from a physical injury
[882] 45:58	oh yes may I see this person I would
[883] 46:01	like to pray for them okay uh Brothers
[884] 46:05	we do not need to see them to pray for
[885] 46:09	them uh yes but I do need to see them to
[886] 46:12	cast uh cureight wounds on him uh
[887] 46:15	ah no this sickness is more serious than
[888] 46:19	that uh
[889] 46:22	oh
[890] 46:24	so how H how about
[891] 46:27	let's say we we we light the
[892] 46:30	bonfire no we don't light the bonfire
[893] 46:33	how about we bring we bring a
[894] 46:36	sacrifice to the bonfire and you call
[895] 46:39	upon your
[896] 46:40	Gods bring them the B light the fire
[897] 46:43	give them the barrel and then after you
[898] 46:48	fail give them the wine we call Upon Our
[899] 46:53	God how about this how about you call on
[900] 46:56	your God first and then we'll call it
[901] 46:59	ours would you like calling Elijah come
[902] 47:03	on and I I give
[903] 47:06	them first but it's
[904] 47:09	Guinness
[905] 47:14	Irish tempting tempting can I roll
[906] 47:18	persuasion you go first can I write
[907] 47:21	persuasion a little liquid
[908] 47:25	persuasion can I WR
[909] 47:27	can I hold
[910] 47:30	persuasion you can try
[911] 47:35	okay I got a
[912] 47:37	16 you still go first all
[913] 47:43	right this is hurting my
[914] 47:46	cheeks all right can I cast
[915] 47:50	ourg which is a spell that tells me if I
[916] 47:53	go forward with this if it end well
[917] 47:58	you can try I cast
[918] 48:01	ARG I don't know how to pronounce it all
[919] 48:04	right let's see if it
[920] 48:06	suceeds well basically it
[921] 48:09	says you seek Divine oh okay well that's
[922] 48:12	great
[923] 48:14	um you know my throat 30% you fail 30%
[924] 48:19	chance oh okay you
[925] 48:22	know I actually you know first why would
[926] 48:25	I Slaughter an
[927] 48:27	animal you know like I don't want to
[928] 48:30	take away you said God could put that
[929] 48:32	that pirate on fire yeah but like
[930] 48:36	there's like there's there's not a bunch
[931] 48:38	of profits of bail you know like the
[932] 48:40	atmosphere I'm just not feeling you
[933] 48:43	cannot do it I'm not saying I can I'm
[934] 48:47	just saying you know the
[935] 48:50	weather and like my back hurts from
[936] 48:54	rowing so you're losing me man
[937] 49:00	you know like I'm not Paul or Patrick
[938] 49:04	I'm
[939] 49:06	taharka you're making me question
[940] 49:08	everything
[941] 49:19	now you see like sometimes God performs
[942] 49:24	a miracle sometimes God wants you to be
[943] 49:26	the Mir Miracle I'm trying to help you
[944] 49:28	help me help you you know so can we go
[945] 49:32	back to plan A where I like heal
[946] 49:35	someone because I can really I'm I'm
[947] 49:37	really a
[948] 49:39	Healer
[949] 49:41	Pock my God Can Make It Go on
[950] 49:46	fire so prove
[951] 49:48	it okay pck I'm not Patrick the little
[952] 49:53	man walks up to the to the to the p
[953] 49:57	pulls out a couple of
[954] 50:01	stones I didn't know we could
[955] 50:04	cheat God it's in the
[956] 50:06	Rocks that's literally what I just said
[957] 50:10	though all right now it's my turn oh no
[958] 50:14	no no now now we do the
[959] 50:17	roll how you're
[960] 50:21	confered he remains a
[961] 50:24	pagan shocker I didn't lose it shocking
[962] 50:28	totally
[963] 50:30	shocking Mary who has no
[964] 50:34	filter just take beer Mary's turn now
[965] 50:38	you can get warmed by the fire you
[966] 50:41	guys see that was my plan all along
[967] 50:45	guys it's starting to look like one is
[968] 50:48	GNA be roasting on it though but we have
[969] 50:52	will go ahead and go to the fire she
[970] 50:54	figures she'll warm up if nothing
[971] 50:57	else you know and she puts her hands out
[972] 51:02	and and says I'm so glad you had this
[973] 51:05	set up it's like the Lord provided ahead
[974] 51:08	of time knowing we would be
[975] 51:10	cold and thank you for lighting this
[976] 51:14	fire we are so appreciative and I'm
[977] 51:17	sorry that we've come here and made such
[978] 51:19	a a a a mockery of our belief breakfast
[979] 51:24	of sorry I didn't hear that a pig's
[980] 51:27	breakfast of it yes we actually don't
[981] 51:31	eat pigs it's kind of like a kosher
[982] 51:35	thing anyway you're a
[983] 51:38	judaizer no not at all in any case thank
[984] 51:42	you for listening to us poor
[985] 51:46	fools fools
[986] 51:49	indeed I'm actually half full on my
[987] 51:52	dad's side I think let's see how Mama's
[988] 51:55	final
[989] 51:57	um evulation Pitch went
[990] 52:02	here a surprise surprise another remains
[991] 52:06	of pagan Oh I thought you gonna say
[992] 52:10	heretic I would have been three for
[993] 52:12	three for
[994] 52:13	heretic but you got one
[995] 52:16	convert we got one convert no you got
[996] 52:19	two no mama got one and and hyack got
[997] 52:23	one we have two Heretics one ath
[998] 52:27	three pagans and one
[999] 52:29	convert yeah and a
[1000] 52:32	mess and a mess yeah you bot this
[1001] 52:37	guy I have water in my ears
[1002] 52:41	Locus hey
[1003] 52:43	stack your final pitch of the of
[1004] 52:47	evangelizing your religion to the
[1005] 52:50	natives what you say Patrick
[1006] 52:57	I still don't get the Patrick joke I've
[1007] 52:59	been trying to puzzle it out in my
[1008] 53:01	head I've never converted people this
[1009] 53:04	quickly
[1010] 53:05	[Laughter]
[1011] 53:09	before but I take my the one convert I
[1012] 53:13	have and uh take him down to baptize
[1013] 53:19	him
[1014] 53:23	why why
[1015] 53:27	have you we haven't explained that
[1016] 53:29	part he was converted already so there
[1017] 53:32	we
[1018] 53:33	go say he's listening all right so uh do
[1019] 53:37	we have the wine or the beer in that
[1020] 53:42	Barrel yeah you got the beer in the
[1021] 53:44	barrel so these Patricks do know about
[1022] 53:49	beer can we offer that to them as uh uh
[1023] 53:54	in exchange to warmer
[1024] 53:58	believe and exchange to warm ourselves
[1025] 54:01	by the
[1026] 54:03	[Laughter]
[1027] 54:05	S you you a
[1028] 54:09	simonist I don't know where these things
[1029] 54:11	come from I don't know what that term is
[1030] 54:13	simony you you don't know about
[1031] 54:16	simony paying for the gospel yeah yes
[1032] 54:20	it's where you you buy positions in the
[1033] 54:23	church
[1034] 54:24	priestcraft oh
[1035] 54:27	P you call it PR we call it simony
[1036] 54:31	pck so they obviously know so much about
[1037] 54:35	the
[1038] 54:36	church that they they've already made a
[1039] 54:38	decision
[1040] 54:40	right we've made no
[1041] 54:42	decision we have not seen a missionary
[1042] 54:45	in
[1043] 54:48	decades what about the people that
[1044] 54:49	charlam
[1045] 54:51	said they were
[1046] 54:53	tasty they weren't missionaries though
[1047] 54:56	they missionaries no diplomats oh
[1048] 55:01	lovely so I asked them about their
[1049] 55:06	beliefs we believe the gods are in the
[1050] 55:09	Rocks they're in the Hills they're in
[1051] 55:11	the
[1052] 55:16	Moss okay
[1053] 55:18	this I don't
[1054] 55:20	know I don't know well let's see what
[1055] 55:24	your ignorance has got in you here
[1056] 55:27	dead creative Evangelistic pitch of I
[1057] 55:31	don't
[1058] 55:32	know I I've never you got another
[1059] 55:37	Pagan all
[1060] 55:39	right really that didn't convert them is
[1061] 55:42	a shocker
[1062] 55:43	[Laughter]
[1063] 55:47	shocking okay toar of the small your
[1064] 55:51	final guys guys
[1065] 55:54	guys hear me out
[1066] 55:57	[Laughter]
[1067] 56:00	M transformed into a cat
[1068] 56:03	again see a miracle shap shifter shap
[1069] 56:07	shifter
[1070] 56:11	possessed
[1071] 56:13	so she's used to snuggling with me at
[1072] 56:15	this hour Our God our God is a god of
[1073] 56:20	love and he told us that people will
[1074] 56:22	know where he is by the way we love one
[1075] 56:25	another Patrick and and I I saw uh
[1076] 56:30	and and the way that we we we show our
[1077] 56:34	love so would you grace us with the
[1078] 56:37	opportunity to show you our love by
[1079] 56:41	answering my friend Leroy Patrick's
[1080] 56:44	question of if there's any way we can
[1081] 56:46	help you or serve
[1082] 56:48	you you couldn't even show me how to
[1083] 56:50	make a fire well you know people are you
[1084] 56:54	it it was a pop quiz
[1085] 56:57	uh you know didn't didn't study my
[1086] 56:59	intelligence is low so how can we serve
[1087] 57:04	you I want you to serve us I mean
[1088] 57:08	there's only one way to find out even we
[1089] 57:10	Patricks have our standards so so you
[1090] 57:13	said your Gods right were like The Rock
[1091] 57:15	in the hills and stuff like that right
[1092] 57:18	no at least they do useful things well
[1093] 57:20	so like like so like where did they come
[1094] 57:24	from so
[1095] 57:27	the Rocks so like but before they were
[1096] 57:30	rocks like what were they so there's
[1097] 57:32	this principle by the philosopher AR the
[1098] 57:35	unmoved Mover yeah but like so like have
[1099] 57:38	you heard of like Rey like how he comes
[1100] 57:41	from like the water so like in order for
[1101] 57:44	a God to really be a god there's the
[1102] 57:46	principle of n of like contingency right
[1103] 57:49	so your God has to be
[1104] 57:53	noncontingent but if they're rocks and
[1105] 57:55	stuff then they're made from creation
[1106] 57:57	like from matter but like like matter
[1107] 58:00	like ex like came into being so that
[1108] 58:02	means they can't really be Gods right so
[1109] 58:05	your God needs
[1110] 58:07	materialism well that's the problem
[1111] 58:09	because you're a materialist so like
[1112] 58:10	your God needs God your God needs a God
[1113] 58:14	right and that's my God and I'm trying
[1114] 58:16	to I'm trying to help you out need Gods
[1115] 58:19	yeah that's my God so you you what you
[1116] 58:22	need to do is God is a rock well no but
[1117] 58:25	my God made the rocks and he made the
[1118] 58:28	hill he no no he's not is's on I'm not
[1119] 58:32	I'm not an aunist all right like I I I
[1120] 58:35	don't do that what I do that's pantheism
[1121] 58:38	Patrick what I'm telling you is that my
[1122] 58:40	God made the Rocks that's your God and
[1123] 58:43	the hills that are your God and the Moss
[1124] 58:45	like you know what I
[1125] 58:47	mean so so like you know got here know
[1126] 58:52	what I
[1127] 58:53	mean mean I'm trying to I'm just trying
[1128] 58:56	to put it down for you
[1129] 58:58	right
[1130] 59:00	that that your
[1131] 59:04	Gods your gods are contingent right
[1132] 59:08	right but you see my God my gods come
[1133] 59:11	from rocks yeah but like come from Gods
[1134] 59:15	yeah but like they didn't always
[1135] 59:18	exist yeah but like like time's a line
[1136] 59:22	right because if it's infinite right
[1137] 59:24	then it like wouldn't like today would
[1138] 59:26	exist right so let me explain like
[1139] 59:29	you're
[1140] 59:30	God eternity Patrick yeah it's
[1141] 59:33	fallacious it's actually fallacious it
[1142] 59:35	doesn't make any logical sense so trust
[1143] 59:38	me I'm a Seminary Student I know these
[1144] 59:40	things right I'm broke in my pockets but
[1145] 59:43	not in my brain so I just
[1146] 59:47	think there there there are a lot of
[1147] 59:49	like missing it's not even funny there
[1148] 59:52	are a lot of inconsistencies in your
[1149] 59:54	religion think
[1150] 59:58	it's not my spiritual gift
[1151] 1:00:02	okay my gift is giving and I'm here to
[1152] 1:00:05	give you the gospel right so uh repent
[1153] 1:00:08	and accept Jesus as your lord and
[1154] 1:00:10	savior all right well let's see how well
[1155] 1:00:14	Patrick was convinced
[1156] 1:00:19	here
[1157] 1:00:20	oo another Pagan
[1158] 1:00:24	Patrick there they started
[1159] 1:00:28	pagans so your gospel messages were
[1160] 1:00:31	completely
[1161] 1:00:33	ineffective two Heretics one
[1162] 1:00:37	atheist five pagans and one
[1163] 1:00:41	convert well you know what there are 90
[1164] 1:00:44	99 angels in heaven that are cheering
[1165] 1:00:47	for that one convert oh yes and and and
[1166] 1:00:52	10 Patricks that are enjoying the fire
[1167] 1:00:56	well you know we're still
[1168] 1:00:59	coldy Mary went over to the
[1169] 1:01:01	[Laughter]
[1170] 1:01:04	fire now there's one Patrick
[1171] 1:01:08	left
[1172] 1:01:10	oh let's see if he's open-minded is he
[1173] 1:01:13	the saint because we need
[1174] 1:01:17	him but this Patrick has sent a
[1175] 1:01:20	message oh no he sent a message we don't
[1176] 1:01:25	need you to do a
[1177] 1:01:27	favor just a little itty bitty
[1178] 1:01:31	favor ready for the shoe to
[1179] 1:01:34	[Laughter]
[1180] 1:01:38	drop we've got the problem here in this
[1181] 1:01:43	Village I asked about that but
[1182] 1:01:48	okay now you tell I wanted to see if you
[1183] 1:01:50	had anything to offer first I have the
[1184] 1:01:53	gospel I mean we want to see if you have
[1185] 1:01:56	anything at all to offer before we throw
[1186] 1:01:59	your lives away we had
[1187] 1:02:02	beer a very very small Casa
[1188] 1:02:07	beer
[1189] 1:02:10	sorry Shipwrecked sharing scaring my God
[1190] 1:02:14	tells me to share what about your God Mr
[1191] 1:02:16	Rockman a lack of planning
[1192] 1:02:19	Patrick that's a lack of
[1193] 1:02:23	planning it's driving me crazy czy how
[1194] 1:02:26	they all call each other Patrick and
[1195] 1:02:28	they're calling us Patrick
[1196] 1:02:32	and listen talking about Pat from one
[1197] 1:02:35	Patrick to another brain is buzzing from
[1198] 1:02:38	one Patrick to another how can we serve
[1199] 1:02:40	you by
[1200] 1:02:42	dying what well you said said we're
[1201] 1:02:45	gonna throw our lives away if that
[1202] 1:02:47	convinces you of the love that I have
[1203] 1:02:49	for you then so be it because I know my
[1204] 1:02:51	eternity is
[1205] 1:02:53	secured it shows me your low
[1206] 1:02:56	intelligence that's for
[1207] 1:02:58	sure that
[1208] 1:03:01	too okay well there's a cave up on on
[1209] 1:03:05	the Glenn is there a velocir rabbit in
[1210] 1:03:09	it what a velocir rabbit I don't know I
[1211] 1:03:12	heard about it one
[1212] 1:03:13	time killed my
[1213] 1:03:16	brother killed your brother
[1214] 1:03:22	[Laughter]
[1215] 1:03:29	we just need you to take care of a
[1216] 1:03:31	little problem out on the
[1217] 1:03:33	Glenn cave out
[1218] 1:03:36	there
[1219] 1:03:37	and there's a snake in
[1220] 1:03:41	there now we don't see many snakes
[1221] 1:03:46	anymore but why's not here yet the
[1222] 1:03:51	course who's the saint what's the saint
[1223] 1:03:54	thing
[1224] 1:03:57	um it's like a title that you get when
[1225] 1:04:00	you join this really cool club called
[1226] 1:04:05	Catholicism are they any better at
[1227] 1:04:07	making fires Patrick oh way better bro
[1228] 1:04:11	you see that dude Teresa she'd be
[1229] 1:04:14	killing
[1230] 1:04:18	it well you guys have not been good at
[1231] 1:04:21	making fires or converts we're new to
[1232] 1:04:24	this anything else
[1233] 1:04:27	we just graduated um so where's the
[1234] 1:04:31	snake so you have no transferable skills
[1235] 1:04:35	Patrick you see it was a technical
[1236] 1:04:37	college it was a community college
[1237] 1:04:41	um it it was also an associates in
[1238] 1:04:44	science so we really can't progress much
[1239] 1:04:45	further in our field uh so that's why
[1240] 1:04:48	they they they sent us to get real life
[1241] 1:04:50	experience so where's the
[1242] 1:04:51	snake snakes on the Glenn Patrick all
[1243] 1:04:55	right
[1244] 1:04:56	go slay the
[1245] 1:04:58	snake all right let's go convert the
[1246] 1:05:01	snake for it she's been
[1247] 1:05:05	warming
[1248] 1:05:06	refuse
[1249] 1:05:09	go so you guys to
[1250] 1:05:14	you if this will do a service to you
[1251] 1:05:17	then at least we can help you in this
[1252] 1:05:20	regard and perhaps another time we'll be
[1253] 1:05:24	able to more coherently share the good
[1254] 1:05:28	news with you that we meant to
[1255] 1:05:31	Bear talk a lot
[1256] 1:05:39	Patrick you don't say anything Patrick
[1257] 1:05:42	but you talk a
[1258] 1:05:44	lot yeah I get that from my
[1259] 1:05:48	mom let's go get that snake all right
[1260] 1:05:52	we're we're I guess we're heading over
[1261] 1:05:55	scale up up the uh the hill dry onto the
[1262] 1:05:59	heath oh no no no this is this is this
[1263] 1:06:01	is Ireland it's not dry but like we left
[1264] 1:06:05	coming down and you're all kind of wet
[1265] 1:06:08	yeah again
[1266] 1:06:11	it's so you come I'm used to
[1267] 1:06:14	it you come up on the heath and you see
[1268] 1:06:18	kind of this
[1269] 1:06:21	hole hole in the middle of the Heath
[1270] 1:06:26	okay okay
[1271] 1:06:29	and there's a few Twigs in front of it
[1272] 1:06:33	and one of the Patricks says it's in
[1273] 1:06:36	there and he runs
[1274] 1:06:42	away hey Patrick wait I had a question
[1275] 1:06:46	and I cast command stop oh he's gone
[1276] 1:06:50	he's so God never mind thank you for the
[1277] 1:06:53	help
[1278] 1:06:56	LGE I say can anyone cast
[1279] 1:07:00	light uh I think I have a lantern but
[1280] 1:07:07	what Mary wants to do is take her
[1281] 1:07:09	walking stick and just rattle it around
[1282] 1:07:12	inside of
[1283] 1:07:14	the you rally you R your snake you rally
[1284] 1:07:18	your staff inside the
[1285] 1:07:20	hole nothing
[1286] 1:07:22	happens okay
[1287] 1:07:27	okay rock to throw in the
[1288] 1:07:31	hole how big is your turn you you you've
[1289] 1:07:34	rattled your staff it's not your turn
[1290] 1:07:36	all
[1291] 1:07:39	right and say serpent come
[1292] 1:07:43	forth you're right now in a dark
[1293] 1:07:47	hole oh we are in the hole
[1294] 1:07:51	okay no they the other two haven't gone
[1295] 1:07:53	the hole
[1296] 1:07:56	just just you've gone into the hole why
[1297] 1:07:59	did I go in the hole why did you go into
[1298] 1:08:02	the
[1299] 1:08:03	hole I just said call dark in the hole
[1300] 1:08:06	dude you're gonna die like your
[1301] 1:08:09	brother I know tahara get back here um
[1302] 1:08:15	so I went
[1303] 1:08:17	outside um I take um I take the beer and
[1304] 1:08:22	I find like I look for a stick and I
[1305] 1:08:23	take a beer I take the beer and I like
[1306] 1:08:26	pour it on the end of it and I try to
[1307] 1:08:27	light a
[1308] 1:08:28	fire so that we have a torch what that
[1309] 1:08:32	won't work isn't it flammable you just
[1310] 1:08:36	wasted the beer the beer's gone no it's
[1311] 1:08:40	okay they didn't like
[1312] 1:08:43	GIS
[1313] 1:08:44	Tak hey Mama oh sorry hey Mary could you
[1314] 1:08:49	um could you help me light a
[1315] 1:08:53	fire ion I spill the
[1316] 1:08:56	beer DM I can't remember if I put a
[1317] 1:08:59	Tinder Box in my uh list oh that's the
[1318] 1:09:02	second page isn't it
[1319] 1:09:04	okay
[1320] 1:09:11	uh okay I have a te I have a tea making
[1321] 1:09:15	kit for one which I can only assume
[1322] 1:09:17	would include a Tinder
[1323] 1:09:19	Box so I'll take out my Flint yeah Flint
[1324] 1:09:23	flint and steel and oh where's the
[1325] 1:09:26	Tinder Box yeah te making kit it would
[1326] 1:09:29	be in the tea making kit for one in
[1327] 1:09:31	other words it's like a small pot a
[1328] 1:09:34	small cup you know tea and like a little
[1329] 1:09:38	tinner box all right sorry you open the
[1330] 1:09:42	Tinder Box and is it not water
[1331] 1:09:48	locked it's water
[1332] 1:09:52	logged well the Flint and the steel
[1333] 1:09:54	should still work so we need something
[1334] 1:09:57	not wet I should have prepared light in
[1335] 1:10:02	Ireland are there any
[1336] 1:10:06	trees are there any all right M you've
[1337] 1:10:09	had your turn it's now Leroy's
[1338] 1:10:13	turn bat in the who's in the hole in the
[1339] 1:10:17	dark all right I get out of the hole out
[1340] 1:10:21	of the
[1341] 1:10:22	dark and uh are there any trees nearby
[1342] 1:10:27	no it's a
[1343] 1:10:29	heath okay it's a bog you're in the
[1344] 1:10:36	Bog uh all right no no wisps then right
[1345] 1:10:40	no
[1346] 1:10:44	whis usually depend on those a
[1347] 1:10:48	lot um inventory yeah I guess I would
[1348] 1:10:53	just start sparking rocks a glimpse a
[1349] 1:10:56	brief
[1350] 1:10:58	Glimpse there's no rocks
[1351] 1:11:01	either it's a
[1352] 1:11:03	b there's no rocks there's no there's no
[1353] 1:11:07	rocks in the cave uh we have to walk by
[1354] 1:11:10	faith yeah that's what I was about to
[1355] 1:11:12	say okay use a stick walking
[1356] 1:11:15	stick walk Walking okay so Leroy walks
[1357] 1:11:18	my face
[1358] 1:11:23	toara all right can I perception to see
[1359] 1:11:26	what's around me that I could use for
[1360] 1:11:28	light oh
[1361] 1:11:33	yeah ready for everyone's ready for the
[1362] 1:11:35	third
[1363] 1:11:37	nine even better
[1364] 1:11:42	Five Guys everything is wet you see I
[1365] 1:11:45	walk I walk by faith not by sight and I
[1366] 1:11:48	follow Leroy but like five feet behind
[1367] 1:11:52	him Leroy have a habit of going going in
[1368] 1:11:55	caves
[1369] 1:11:57	alone so leori and Tara are now in the
[1370] 1:12:01	cave in the Bog on the
[1371] 1:12:04	heath in the
[1372] 1:12:06	[Laughter]
[1373] 1:12:09	valyo Mary good
[1374] 1:12:15	song Mary doesn't bow to peer pressure
[1375] 1:12:17	very easily at all ever so she's she's
[1376] 1:12:22	right by the hole but she thinks this is
[1377] 1:12:26	probably a trap
[1378] 1:12:28	and she doesn't really walk by faith
[1379] 1:12:31	that's not the way she
[1380] 1:12:32	works it just isn't low
[1381] 1:12:36	faith and you wonder why your your
[1382] 1:12:39	messages don't
[1383] 1:12:41	resonate well that's the
[1384] 1:12:46	character so she's she is just by the
[1385] 1:12:50	entrance waiting to see anything comes
[1386] 1:12:53	out listening
[1387] 1:12:56	that's you don't hear
[1388] 1:13:00	anything oh is there an
[1389] 1:13:03	echo there's no Echo oh man could have
[1390] 1:13:07	we could have synchronized you're you're
[1391] 1:13:09	in you're in a cave in a peep Boog on a
[1392] 1:13:13	heath in the
[1393] 1:13:16	valyo in the
[1394] 1:13:18	valyo is there a s on a plane on a train
[1395] 1:13:21	in a lane
[1396] 1:13:23	like it it sounds like the is there a
[1397] 1:13:27	log at the bottom
[1398] 1:13:28	[Music]
[1399] 1:13:30	of sounds like the worm in the asteroid
[1400] 1:13:33	in Star Wars
[1401] 1:13:35	like sounds like we're in the mouth of
[1402] 1:13:39	something you're not in the mouth of
[1403] 1:13:41	something except the cave okay all right
[1404] 1:13:44	is the Cave the
[1405] 1:13:46	snake no no y it's a cave sorry guys
[1406] 1:13:52	Octavius I cast
[1407] 1:13:55	perception
[1408] 1:13:58	to
[1409] 1:14:00	identify anything in the in the cave is
[1410] 1:14:03	anyone an
[1411] 1:14:05	elf
[1412] 1:14:06	there's you you detect that the walls of
[1413] 1:14:09	the cave are made of
[1414] 1:14:13	Pete okay like the Apostle we got Pete
[1415] 1:14:17	like like spum Pete so Patrick
[1416] 1:14:21	Pete we start teaching
[1417] 1:14:25	we just start teaching in the dark then
[1418] 1:14:28	you start teaching in the
[1419] 1:14:31	dark it's good nothing
[1420] 1:14:34	happens okay okay
[1421] 1:14:39	now oh there it is oh lucky
[1422] 1:14:43	mama what about me you start seeing
[1423] 1:14:48	something coming towards you that's
[1424] 1:14:50	looking kind of
[1425] 1:14:52	snaky ah snake
[1426] 1:14:55	I will yell into the mouth of the cave I
[1427] 1:14:58	think he wasn't at home come on out
[1428] 1:15:01	guys what I think she GNA go deeper
[1429] 1:15:05	snake
[1430] 1:15:08	incoming you see a very very big snake
[1431] 1:15:14	coming towards
[1432] 1:15:16	you okay uh in fact he's about 10 feet
[1433] 1:15:22	long okay she's got those in the
[1434] 1:15:25	Everglades all the time she has her iron
[1435] 1:15:27	tipped walking stick at the
[1436] 1:15:30	ready and she's got her stance and she's
[1437] 1:15:34	just kind of watching it it's about 20
[1438] 1:15:37	feet away from you okay so is it my turn
[1439] 1:15:41	yet I'm also hoping the guys will come
[1440] 1:15:43	out right well P stack says he's gone
[1441] 1:15:46	back into the cave um what's your turn
[1442] 1:15:52	uh I'm G to be like hey I think Mama I
[1443] 1:15:54	mean said
[1444] 1:15:56	something uh let's go see if she found
[1445] 1:15:59	fire and I walk
[1446] 1:16:02	out get out here hello oh that's a snake
[1447] 1:16:08	hello would you like to learn about our
[1448] 1:16:10	Lord and Savior Jesus Christ as the
[1449] 1:16:12	snake
[1450] 1:16:14	approaches it's an Alaskan bu
[1451] 1:16:18	worm snake is not interested but you
[1452] 1:16:21	know something strange about this
[1453] 1:16:23	snake suddenly Wings pop out of both
[1454] 1:16:27	sides and it begins to fly guys I don't
[1455] 1:16:30	think that's a
[1456] 1:16:32	snake I think we're dealing with a
[1457] 1:16:34	seraphim
[1458] 1:16:37	here no this is a Urus I read this book
[1459] 1:16:42	spe Critter spe Critter have you heard
[1460] 1:16:44	about have you heard about Dr Faulk not
[1461] 1:16:47	the sports guy I can get you an
[1462] 1:16:50	autograph for his
[1463] 1:16:52	book all right that's no Moon said Mary
[1464] 1:16:56	is grabbing her holy
[1465] 1:16:58	symbol because she's a
[1466] 1:17:02	good and she's holding her holy symbol
[1467] 1:17:04	out toward the
[1468] 1:17:07	like we might be on the same side I
[1469] 1:17:10	don't know does it look
[1470] 1:17:13	intelligent uh it's not Terri doesn't
[1471] 1:17:16	look all that intelligent okay so it
[1472] 1:17:19	looks like an animal we can test the
[1473] 1:17:22	spirits Brothers Let's test the spirits
[1474] 1:17:25	do we still have any beer that those are
