[0] 0:19	Oh,
[1195] 1:06:19	didn't actually learn that language.
[1196] 1:06:21	Acadian the Hunigard is is probably it's
[1197] 1:06:24	a thorough reference grammar. Okay.
[1198] 1:06:30	A thorough reference grammar. It's got
[1199] 1:06:32	the kitchen sink in Hunogards,
[1200] 1:06:35	but the uh Zandervan is probably more
[1201] 1:06:37	approachable and easier to to learn
[1202] 1:06:39	Aadian from. So that would probably um
[1203] 1:06:45	is probably not wrong here. That whole
[1204] 1:06:47	series is that whole language series
[1205] 1:06:50	from Aadian is um written on the from
[1206] 1:06:53	the perspective of approachability. So
[1207] 1:06:56	hope that helps. Thank you for the super
[1208] 1:06:58	chat. Really appreciate it.
[1209] 1:07:06	Okay, next one here is from
[1210] 1:07:13	uh BC4YT for $5 Australian. Thank you
[1211] 1:07:16	very much for the super chat. Just
[1212] 1:07:18	bought the reoquery of the dead audio
[1213] 1:07:21	book on Google Play. Oh yeah, it's all
[1214] 1:07:23	coming together.
[1215] 1:07:25	You're the second person now who's
[1216] 1:07:27	bought it.
[1217] 1:07:31	[laughter]
[1218] 1:07:33	Oh dear.
[1219] 1:07:36	Um yeah, not many people have have
[1220] 1:07:39	bought the audio book. So, we are at
[1221] 1:07:42	this point seriously questioning if
[1222] 1:07:44	we're ever going to do the an audiobook
[1223] 1:07:45	again because it was so much work to do.
[1224] 1:07:56	So, uh Oh,
[1225] 1:07:59	yeah. Uh we're taking a bath on on the
[1226] 1:08:02	production time of the audio book. Um,
[1227] 1:08:05	[laughter]
[1228] 1:08:09	is it on? Uh,
[1229] 1:08:13	evil is on. [laughter]
[1230] 1:08:17	Uh, it's supposed to be, but I haven't
[1231] 1:08:20	checked. Yeah, it's supposed to be on on
[1232] 1:08:23	Amazon, but I have not checked to see
[1233] 1:08:25	it.
[1234] 1:08:30	Uh, Timmy, wait, did you narrate it?
[1235] 1:08:32	Yes, I did. Uh I could not afford a
[1236] 1:08:36	proper voice actor to do it and we
[1237] 1:08:39	really did it to sort of get it out
[1238] 1:08:41	there.
[1239] 1:08:44	Yeah. I'm I'm glad we didn't spend money
[1240] 1:08:46	on a on a
[1241] 1:08:50	proper narrator cuz
[1242] 1:08:56	[laughter]
[1243] 1:09:03	Uh, Francis Dobs, books always seem to
[1244] 1:09:06	do far better than audio books. Yeah,
[1245] 1:09:09	they they do. Um, I mean, our books have
[1246] 1:09:12	done a lot better than the audio books.
[1247] 1:09:15	Um, so, uh,
[1248] 1:09:21	PC for YD. It's like two long It's like
[1249] 1:09:25	two streams long. laugh out loud.
[1250] 1:09:29	[laughter]
[1251] 1:09:31	It's 9 hours. It's 9 hours. So, yeah,
[1252] 1:09:33	about two streams long.
[1253] 1:09:37	Uh, but the editing is really takes a
[1254] 1:09:40	lot of work. It it it took
[1255] 1:09:43	it really took about 40 hours to
[1256] 1:09:46	produce.
[1257] 1:09:47	So
[1258] 1:09:53	Tim here, I'm not sure I want to hear
[1259] 1:09:55	both fiction and non-fiction in the same
[1260] 1:09:57	voice of Dr. Faulk.
[1261] 1:10:02	Well, I mean, we we when we when we
[1262] 1:10:04	costed it out,
[1263] 1:10:07	uh the price for a for a narrator was
[1264] 1:10:10	$350 to $400
[1265] 1:10:13	a finished hour. So, if you multip that
[1266] 1:10:16	pie that by nine or 10, you're looking
[1267] 1:10:19	at three three or four grand for that.
[1268] 1:10:22	It's just like you got to make it worth
[1269] 1:10:25	it if if if you're going to use a
[1270] 1:10:26	professional um voice actor. So, you
[1271] 1:10:30	know, we do know that a lot of people
[1272] 1:10:32	don't like AI voices, though. So,
[1273] 1:10:36	so we didn't use an AI voice.
[1274] 1:10:43	So,
[1275] 1:10:47	Timmy, yeah, ain't worth it. No, it's
[1276] 1:10:49	totally not worth it. It's totally not
[1277] 1:10:50	worth it unless your book is well known,
[1278] 1:10:53	big enough, and all that. But we had a
[1279] 1:10:55	lot of people ask us. We had a lot of
[1280] 1:10:58	people ask us to do an audio book. A lot
[1281] 1:11:02	of people more people asked us than
[1282] 1:11:04	bought it.
[1283] 1:11:06	A lot seems to be
[1284] 1:11:08	>> That seems to be the general rule. Okay.
[1285] 1:11:20	David Sush to to read it. Oh, that'd be
[1286] 1:11:23	so cool if he read it.
[1287] 1:11:26	He um
[1288] 1:11:29	he's um
[1289] 1:11:32	he's a British uh he's a he's an actor.
[1290] 1:11:34	Uh he did the NIV uh audio book.
[1291] 1:11:40	Um, great melodic voice. He was also on
[1292] 1:11:44	um, Wing Commander.
[1293] 1:11:47	He also was a actor on Wing Commander.
[1294] 1:11:50	Most people don't know that.
[1295] 1:11:54	Yeah, he did the Hercules Perau actor.
[1296] 1:11:56	Yeah, he's most famous for Hercules
[1297] 1:11:58	Perau.
[1298] 1:11:59	>> Oh,
[1299] 1:12:02	yeah. He played Hercules Perau.
[1300] 1:12:04	>> Oh.
[1301] 1:12:05	>> Oh, yeah. Yeah, she knows him from
[1302] 1:12:07	Hercules Perau. I know him from Wing
[1303] 1:12:09	Commander. [laughter]
[1304] 1:12:17	CPM versus DOS. Love Wing Commander. Oh,
[1305] 1:12:20	it's totally cheesy. It's totally
[1306] 1:12:22	cheesy.
[1307] 1:12:24	[laughter]
[1308] 1:12:27	He's a fascinating guy though. Yeah. Uh
[1309] 1:12:29	he became a Christian at 40 says BC4YT.
[1310] 1:12:32	Yeah. Yeah. Um
[1311] 1:12:36	so yeah, I mean great actor, great voice
[1312] 1:12:38	actor.
[1313] 1:12:42	Yeah, brilliant, brilliant actor
[1314] 1:12:45	and just he has one of those voices that
[1315] 1:12:47	just, you know, can melt butter.
[1316] 1:12:52	So,
[1317] 1:12:55	yeah.
[1318] 1:13:04	Okay. So, so yeah. Um, thank you very
[1319] 1:13:07	much for buying uh the audiobook. We
[1320] 1:13:10	appreciate that. Um,
[1321] 1:13:14	but again,
[1322] 1:13:16	we would if if people want more audio
[1323] 1:13:19	books in the on in the future, they got
[1324] 1:13:21	to support this one essentially because
[1325] 1:13:23	we are using this as our test case. So,
[1326] 1:13:30	uh,
[1327] 1:13:32	says AI voices are shockingly good now.
[1328] 1:13:34	Yeah, they are. I will admit. I read
[1329] 1:13:36	Michael A. Williams book on narcissism
[1330] 1:13:38	via TETS and an AI voice. It can
[1331] 1:13:41	transition smoothly even Greek Latin
[1332] 1:13:43	accepts excerpts and remain contre
[1333] 1:13:47	comprehensible. Yeah, when I did the um
[1334] 1:13:49	I did the uh used AI for the voices of
[1335] 1:13:52	the book trailer and the reason why was
[1336] 1:13:54	because I didn't want to wake she was
[1337] 1:13:56	sleeping so I didn't want to wake her up
[1338] 1:13:59	with recording my own voice. So for the
[1339] 1:14:02	for the uh book trailer, I used an AI
[1340] 1:14:04	voice. Worked great. They AI voices have
[1341] 1:14:08	come a long long ways. Uh like things
[1342] 1:14:12	like 11 labs
[1343] 1:14:21	cap. How many sales would count as a
[1344] 1:14:23	success?
[1345] 1:14:24	Uh, I would say if we had
[1346] 1:14:28	um 20% of the book sales that we have,
[1347] 1:14:31	then we would consider that probably a a
[1348] 1:14:34	reasonable success.
[1349] 1:14:36	So, um, we've sold about 200 copies of
[1350] 1:14:40	the book. So, given that we've sold 200
[1351] 1:14:43	copies, that would be about, I guess, 40
[1352] 1:14:45	copies
[1353] 1:14:47	of of the the um the audio book. So,
[1354] 1:14:57	CPM versus DOSS. The only thing I I I
[1355] 1:15:01	really felt AI improved. Uh I can get
[1356] 1:15:04	audio books of books that it would have
[1357] 1:15:06	never get one. Yeah, that's true. Yeah.
[1358] 1:15:15	Uh BC4YT
[1359] 1:15:17	audiobook was $10 US. What What's your
[1360] 1:15:20	cut? Uh, surprisingly, I get the largest
[1361] 1:15:23	cut from my from the audio books. I get
[1362] 1:15:25	$4.
[1363] 1:15:28	So, that's actually really good compared
[1364] 1:15:31	to my other books. Okay.
[1365] 1:15:34	>> Yeah.
[1366] 1:15:36	>> Yeah. I get I get I get $4.
[1367] 1:15:41	So,
[1368] 1:15:43	yeah, it's not great, but it's better.
[1369] 1:15:46	Much better.
[1370] 1:15:49	EPM and DOS a whole four dollars.
[1371] 1:15:52	>> Yeah. [laughter]
[1372] 1:15:53	>> Yeah.
[1373] 1:15:54	Well, considering that um
[1374] 1:15:58	that on um
[1375] 1:16:02	the uh the hard cover I get $1.90
[1376] 1:16:08	on the soft cover
[1377] 1:16:11	soft cover I get $210.
[1378] 1:16:15	and the audio book or sorry the uh the
[1379] 1:16:18	ebook I get 75 cents.
[1380] 1:16:22	So
[1381] 1:16:24	um
[1382] 1:16:26	uh which is why one of the reasons
[1383] 1:16:28	actually uh we want to get more people
[1384] 1:16:30	reading the ebook.
[1385] 1:16:32	So uh we've actually put the ebook on
[1386] 1:16:34	sale right now. We've dropped it to half
[1387] 1:16:37	price. So if you want to get the ebook
[1388] 1:16:39	right now, it's a great time to do so.
[1389] 1:16:41	We know things are tight for people at
[1390] 1:16:43	the moment. So, if you want to buy the
[1391] 1:16:45	ebook, uh I think it's gone on on sale
[1392] 1:16:48	for $2.99 everywhere. So,
[1393] 1:16:57	BC4YT, so audiobook, we pay less and you
[1394] 1:17:00	get more. Yes.
[1395] 1:17:02	Yes, I get more. And that's the most of
[1396] 1:17:06	that is because Amazon does not take its
[1397] 1:17:08	evil cut from that. Uh the the audio
[1398] 1:17:11	version on Amazon does take a big cut,
[1399] 1:17:16	but that cut is sort of isolated to
[1400] 1:17:20	Amazon,
[1401] 1:17:24	but they don't take as big a cut as they
[1402] 1:17:26	normally do.
[1403] 1:17:35	Yeah. Uh, Kiara says correctly, other
[1404] 1:17:38	platforms use Amazon as their base
[1405] 1:17:40	price. Yes, they do.
[1406] 1:17:42	So,
[1407] 1:17:45	you just can't win with Amazon. It's
[1408] 1:17:48	just really awful.
[1409] 1:17:56	Okay, so,
[1410] 1:17:58	uh, thank you again for buying the audio
[1411] 1:18:01	book. It's nice to know that somebody
[1412] 1:18:03	bought it. [laughter]
[1413] 1:18:08	Scam Amazon. Yeah, Scam Amazon.
[1414] 1:18:11	Okay, so let's move on the next one
[1415] 1:18:13	here.
[1416] 1:18:16	I think we'll take another three at
[1417] 1:18:18	questions here.
[1418] 1:18:25	Okay, how do we know Genesis 10 is
[1419] 1:18:29	ethnography?
[1420] 1:18:30	We know it's ethnography because
[1421] 1:18:34	it's
[1422] 1:18:36	um the comparisons are are moral um
[1423] 1:18:41	moral how I say moral uh comparisons
[1424] 1:18:44	than they are genealogical ones like
[1425] 1:18:47	let's take a look through let's just
[1426] 1:18:49	take a walk through Genesis 10 here and
[1427] 1:18:51	you'll see as soon as we start walking
[1428] 1:18:53	through it. Okay. So, Genesis 10.
[1429] 1:18:57	Now, these are the records of the gen
[1430] 1:19:00	generations. This is a toadote. And a
[1431] 1:19:02	toadote is is more than just a
[1432] 1:19:04	genealogy. It's it's the result of
[1433] 1:19:07	Shem, Ham, and [ __ ] The sons of Noah.
[1434] 1:19:10	The sons of [ __ ] were Goomer and Magog,
[1435] 1:19:13	Madai, and Javan, Tubel, Michelle, and
[1436] 1:19:15	Teras. And the sons of Goomemer were
[1437] 1:19:18	Ashkanaz, Rifa, and Togmar.
[1438] 1:19:22	We go down here and the sons of Jan were
[1439] 1:19:25	Alish and Tarses Kim and Danim.
[1440] 1:19:29	Now
[1441] 1:19:31	where we see the ethnography really come
[1442] 1:19:34	out here is when we hit verse six. And
[1443] 1:19:37	the sons of Ham were Kush, Mitzim, Put
[1444] 1:19:42	and Canaan.
[1445] 1:19:44	Now this is this is sort of intimating
[1446] 1:19:46	here that Ham
[1447] 1:19:48	Ham's son were their descendants were
[1448] 1:19:53	basically Kush
[1449] 1:19:56	maybe Kish depends we're not sure which
[1450] 1:19:59	one exactly here but either Kish or Kush
[1451] 1:20:01	but Egypt
[1452] 1:20:03	put is punt so that's the area south of
[1453] 1:20:07	Egypt
[1454] 1:20:08	and Canaan
[1455] 1:20:13	and And the sons of of Kush were uh Seba
[1456] 1:20:17	and Havala. Now that's Sheba. That's
[1457] 1:20:20	across the the the ocean there. So going
[1458] 1:20:24	from say Ethiopia and Sudan over to the
[1459] 1:20:28	um over to the Saudi Peninsula.
[1460] 1:20:32	Okay. So there isn't really a
[1461] 1:20:36	genealogical relationship there.
[1462] 1:20:40	uh uh Sheba and Dan.
[1463] 1:20:44	Okay. Now, Dan
[1464] 1:20:46	is probably not actually near Shibba.
[1465] 1:20:49	It's probably uh that Hittite state
[1466] 1:20:51	north of say Damascus.
[1467] 1:20:55	So, now you're starting to get a
[1468] 1:20:59	an idea. Uh
[1469] 1:21:02	Kush became father of Nimrod. Now, we
[1470] 1:21:05	know Nimrod is an aggregated character.
[1471] 1:21:09	It's a it's one of those those
[1472] 1:21:11	characters in the Bible that's um has
[1473] 1:21:14	been um it's a composite of of many
[1474] 1:21:18	different rulers and many different
[1475] 1:21:20	people.
[1476] 1:21:22	Uh the beginning of his kingdom was
[1477] 1:21:23	Babel and Eric and Akad and Ka
[1478] 1:21:27	in the land of Shannar and Shinar that
[1479] 1:21:29	is Mesopotamia.
[1480] 1:21:32	But Babel and and Akad and Kan were not
[1481] 1:21:35	formed in the same time.
[1482] 1:21:38	Though we know Nimrod here is a
[1483] 1:21:39	composite character.
[1484] 1:21:44	And from the land he went forth into
[1485] 1:21:46	Assyria and built Nineveh and Raboth uh
[1486] 1:21:49	Rahoboth and Kalah.
[1487] 1:21:53	And Mitz Ryam, this is Egypt
[1488] 1:21:57	became the father of Lida Ludim. Lydia,
[1489] 1:22:02	Ananim, Lahabim, and Nafuim.
[1490] 1:22:07	This is
[1491] 1:22:10	um if I recall correctly, that's Cyprus.
[1492] 1:22:16	Okay.
[1493] 1:22:17	Uh and I might not recalling that
[1494] 1:22:19	correctly. Uh Patreim.
[1495] 1:22:23	Okay. Um Kushim
[1496] 1:22:27	and Captorim.
[1497] 1:22:30	Okay. So, it's it's it's
[1498] 1:22:33	ascribing Philistine
[1499] 1:22:36	sea peoples to being a descendant of of
[1500] 1:22:41	the guy who founded Egypt. Now, we know
[1501] 1:22:44	that's not correct.
[1502] 1:22:46	We know that those peoples came from say
[1503] 1:22:49	the sea peoples of Greece and Turkey.
[1504] 1:22:52	Okay. So we do know because of this we
[1505] 1:22:55	can figure out that this is not talking
[1506] 1:22:58	about say a genealogical descent but a
[1507] 1:23:02	ethnographic descent.
[1508] 1:23:05	So
[1509] 1:23:17	uh Tim asks didn't you have some fancy
[1510] 1:23:18	German word for this type of composite
[1511] 1:23:20	character? I called it a literary
[1512] 1:23:22	amalgamation. That's what I called it.
[1513] 1:23:26	Um,
[1514] 1:23:28	and we do see literary amalgamations
[1515] 1:23:30	such as the uh
[1516] 1:23:33	the so-called oppression pharaoh. It's
[1517] 1:23:35	literary amalgamation. It's not one
[1518] 1:23:36	person, but yeah, they they did use a
[1519] 1:23:39	literary amalgamations quite a bit in
[1520] 1:23:41	the text.
[1521] 1:23:43	Um, and Kanan became the father. Verse
[1522] 1:23:46	15, and Kanan became the father of
[1523] 1:23:47	Siden. It's verse born. and Heth Heath,
[1524] 1:23:50	that's Hittites.
[1525] 1:23:53	So, um, Hittites are not really related
[1526] 1:23:57	to Canaanites,
[1527] 1:23:58	the Jebusite, the Amorite, the Gegosite,
[1528] 1:24:02	the Hivite, the Arite, the Sinite, etc.
[1529] 1:24:05	Okay,
[1530] 1:24:07	Amorites are really
[1531] 1:24:10	they might have gotten their start in in
[1532] 1:24:12	northern Canaan, but they migrated and
[1533] 1:24:14	came back. So
[1534] 1:24:16	um is this really that they got their
[1535] 1:24:19	their descendency from Kanan? It's
[1536] 1:24:21	that's a debatable point.
[1537] 1:24:23	So one has to be really really careful
[1538] 1:24:26	when we start talking about Genesis 10
[1539] 1:24:29	that you do not confuse this for
[1540] 1:24:32	genealogy. It's not talking genealogy.
[1541] 1:24:34	It's talking ethnography.
[1542] 1:24:37	Yeah. Hittites are indo-uropeans.
[1543] 1:24:40	Exactly. So if the Hittites are are
[1544] 1:24:42	Indo-Uropeans, they're not Semites.
[1545] 1:24:46	They're not from the line of Shem.
[1546] 1:24:48	They're from the line of Japth.
[1547] 1:24:51	So So
[1548] 1:24:55	um that's why we we this is how we know
[1549] 1:24:59	that when we look at Genesis 10, we're
[1550] 1:25:01	not dealing with genealogy. We're
[1551] 1:25:03	dealing with ethnography.
[1552] 1:25:06	So they're they're making this is made
[1553] 1:25:08	making a moral determination as to
[1554] 1:25:10	descent.
[1555] 1:25:13	It's kind of like saying um all you
[1556] 1:25:16	people are are are children of Satan.
[1557] 1:25:19	Okay. It's not saying that you're
[1558] 1:25:21	directly from the loins of Satan
[1559] 1:25:23	himself. Okay. [laughter]
[1560] 1:25:24	What it's saying is morally you're
[1561] 1:25:27	acting like Satan.
[1562] 1:25:31	So it's the same deal. It's it's the
[1563] 1:25:35	same deal. It's saying that these these
[1564] 1:25:37	these nations aren't necessarily related
[1565] 1:25:39	to them, but they're acting like them.
[1566] 1:25:48	[laughter]
[1567] 1:25:48	Timmy, you're can call someone a
[1568] 1:25:51	heathen. Yeah. Well, yeah. From the
[1569] 1:25:53	heath. That doesn't mean they're
[1570] 1:25:55	actually from the heath,
[1571] 1:26:00	but they're acting like they came from
[1572] 1:26:02	the Heath.
[1573] 1:26:05	>> [laughter]
[1574] 1:26:05	>> Were you Were you raised in a barn, son?
[1575] 1:26:10	Well, no, not really. Most people aren't
[1576] 1:26:12	raised in a barn,
[1577] 1:26:14	but some sure act like they do.
[1578] 1:26:17	Some people are raised in a barn.
[1579] 1:26:19	[laughter]
[1580] 1:26:25	Timmy are my wife sometimes calls me a
[1581] 1:26:27	heathen. [laughter]
[1582] 1:26:35	H lovely, lovely.
[1583] 1:26:38	Okay. So, uh so yeah, that's how we know
[1584] 1:26:42	that Genesis 10 is ethnography because
[1585] 1:26:45	the if if we treat this like genealogy,
[1586] 1:26:48	it doesn't work.
[1587] 1:26:50	So you you can't treat this like
[1588] 1:26:51	genealogy. You have to treat it like
[1589] 1:26:53	ethnography.
[1590] 1:26:55	So, this is why I always say be careful
[1591] 1:26:57	when you use Genesis 10 to try to prove
[1592] 1:27:00	ethnic descent because we know that this
[1593] 1:27:03	is not an ethnic descent text. It's a
[1594] 1:27:06	total note. It's a it's a result it's a
[1595] 1:27:09	result of of what became of these
[1596] 1:27:11	people, but it's not necessarily
[1597] 1:27:15	inferring direct descent. So,
[1598] 1:27:24	slammer. I am not even going to try to
[1599] 1:27:27	pronounce that.
[1600] 1:27:31	[laughter]
[1601] 1:27:34	That's too much German for me.
[1602] 1:27:37	Okay, next one.
[1603] 1:27:42	Uh, if ethnography isn't genealogy, how
[1604] 1:27:46	do we know Israelites are Shemmites?
[1605] 1:27:50	Well, we know that because they're
[1606] 1:27:52	Amorites and Amorites were Semites.
[1607] 1:27:55	Okay.
[1608] 1:27:57	Now,
[1609] 1:27:59	um,
[1610] 1:28:01	Semites are it's it's it's not it is a a
[1611] 1:28:05	dis a a a people group, but it's also a
[1612] 1:28:09	language group. Okay.
[1613] 1:28:12	And we do know that Amorites were
[1614] 1:28:15	Semitic people, a Semitic people. They
[1615] 1:28:18	probably did get their start in Canaan
[1616] 1:28:20	during the early Bronze Age, moved out
[1617] 1:28:23	of Canaan,
[1618] 1:28:25	occupied much of Mesopotamia,
[1619] 1:28:28	and then came back to Canaan and
[1620] 1:28:31	traveled down into into Egypt. Amorites
[1621] 1:28:35	really got around,
[1622] 1:28:38	but they are Semitic people
[1623] 1:28:41	and and Israelites are
[1624] 1:28:44	are would be Shemmites
[1625] 1:28:48	because Amorites are are are Shemmites
[1626] 1:28:51	in that in that sort of at least in the
[1627] 1:28:54	linguistic if not the um genealogical
[1628] 1:28:58	sense as well. So
[1629] 1:29:06	all right let's move on the next one
[1630] 1:29:08	here
[1631] 1:29:12	thoughts on on yoga taichi meditation
[1632] 1:29:16	and other eastern practices. I've heard
[1633] 1:29:19	a lot of weird spiritual anecdotes.
[1634] 1:29:22	Okay.
[1635] 1:29:24	Um
[1636] 1:29:27	I it would be remiss of me to say that
[1637] 1:29:29	you can treat all of these as one and
[1638] 1:29:31	the same.
[1639] 1:29:34	So
[1640] 1:29:36	we're not going to treat this with a
[1641] 1:29:38	broad brush.
[1642] 1:29:40	We kind of got to treat these a little
[1643] 1:29:42	differently. Oops.
[1644] 1:29:47	Uh yoga is not the same as Tai Chi and
[1645] 1:29:49	it's not the same as meditation.
[1646] 1:29:51	Um,
[1647] 1:29:54	yoga is a form of meditation. It's a
[1648] 1:29:57	form of a physicalist meditation. It's
[1649] 1:30:00	uses physical exercise and stretching as
[1650] 1:30:04	a meditative act. Okay. So in that
[1651] 1:30:08	respect, yoga is very very much an
[1652] 1:30:11	eastern meditative practice and I think
[1653] 1:30:15	it is an inherently dangerous practice.
[1654] 1:30:18	Okay.
[1655] 1:30:20	Now,
[1656] 1:30:23	um there's a western meditation too that
[1657] 1:30:27	is perfectly acceptable, perfectly fine.
[1658] 1:30:31	Um, but I think it's one of those things
[1659] 1:30:34	that you need instruction on how to do
[1660] 1:30:37	it correctly because we in the west do
[1661] 1:30:39	more of of um most of what we consider
[1662] 1:30:44	meditation in the west has taken on that
[1663] 1:30:46	eastern flavor.
[1664] 1:30:48	And um yoga can can be very very
[1665] 1:30:53	dangerous
[1666] 1:30:54	if
[1667] 1:30:56	um and I'm not just talking I'm I'm not
[1668] 1:30:58	talking about the stretching. Stretching
[1669] 1:30:59	is not dangerous.
[1670] 1:31:01	The meditative practice is dangerous.
[1671] 1:31:06	Most of the what what's what's taught in
[1672] 1:31:08	the west as far as yoga is basically the
[1673] 1:31:11	stretching without the meditation.
[1674] 1:31:13	And stretching is fine.
[1675] 1:31:17	Okay.
[1676] 1:31:18	Now,
[1677] 1:31:20	now we have to talk about taichi because
[1678] 1:31:23	taichi is different again.
[1679] 1:31:27	Um
[1680] 1:31:30	uh I practice Tai Chi. Okay. Um but I
[1681] 1:31:35	practiced a combat form of Tai Chi.
[1682] 1:31:39	Uh there's no meditation in the Taichi.
[1683] 1:31:41	I do. [laughter]
[1684] 1:31:45	Okay. So, um
[1685] 1:31:49	uh yeah, you would never know that I I I
[1686] 1:31:53	practice Taichi, but I do practice
[1687] 1:31:54	Taichi. Okay. It's uh uh but I I use um
[1688] 1:32:00	it's a combat style. It doesn't doesn't
[1689] 1:32:03	use meditation. It's not meant to be
[1690] 1:32:05	meditative.
[1691] 1:32:07	Um it's relaxing. I'll say that. It's
[1692] 1:32:10	very relaxing.
[1693] 1:32:12	Um,
[1694] 1:32:18	where else is this? Um,
[1695] 1:32:23	Lraviva,
[1696] 1:32:24	Lurus Viva says, "Isn't Tai Chi a slow
[1697] 1:32:27	kung fu?" They're related, but they're
[1698] 1:32:29	not the same.
[1699] 1:32:31	Um, kung fu is very different. They're
[1700] 1:32:34	not They're not quite the same. uh
[1701] 1:32:37	taichi sort of split off for shellin but
[1702] 1:32:41	it isn't the same practice. Okay. So
[1703] 1:32:56	[laughter]
[1704] 1:32:57	>> dark plate. Do you still move your limbs
[1705] 1:32:59	at a speed of 10 miles per year?
[1706] 1:33:02	Sometimes depends how stiff I feel in
[1707] 1:33:04	the morning.
[1708] 1:33:12	Perun Ryan comb are you going to spill
[1709] 1:33:15	the tai chi [laughter]
[1710] 1:33:26	oh Merv Monson what about fenue uh fenue
[1711] 1:33:29	is a is a dowist practice um it's it's
[1712] 1:33:35	That was decorative practice. Uh
[1713] 1:33:39	it is
[1714] 1:33:40	>> yeah it's balancing energies. It is
[1715] 1:33:42	religious. So you're organizing your
[1716] 1:33:45	home after religious system. So I
[1717] 1:33:48	wouldn't do that either. Um but
[1718] 1:33:54	um
[1719] 1:33:58	um but as I said, I I've practiced Tai
[1720] 1:34:01	Chi. Um, I practice a chen style
[1721] 1:34:05	chen. It's a chen style is a combat form
[1722] 1:34:08	of tai chi. It doesn't doesn't
[1723] 1:34:11	necessarily involve any meditation.
[1724] 1:34:13	Well, you can do meditation with it, but
[1725] 1:34:16	you don't have to. I never did.
[1726] 1:34:19	Um, I I sort of use Tai Chi to sort of
[1727] 1:34:21	keep up my uh jiu-jitsu
[1728] 1:34:24	um suppleness. So,
[1729] 1:34:39	Um, Dark Blade, I'm not policing those
[1730] 1:34:41	mispronunciations because almost
[1731] 1:34:43	everyone in the West pronounces those
[1732] 1:34:44	terms the way Faulk does. Yeah. And
[1733] 1:34:47	frankly,
[1734] 1:34:49	pronunciation policing gets annoying. It
[1735] 1:34:52	really does.
[1736] 1:34:55	So
[1737] 1:35:02	um Patoui says in premon societies it
[1738] 1:35:04	was hard for anything not to have a
[1739] 1:35:06	religious spiritual in someone's mind.
[1740] 1:35:09	Yeah true.
[1741] 1:35:18	PC4 YT ABR C Faulk is a pagan. He drinks
[1742] 1:35:22	Tai Chioo. [laughter]
[1743] 1:35:33	Uh, Scott Warin says, "Tai Chichi
[1744] 1:35:34	involving locking of joints can be
[1745] 1:35:36	impressive. I saw geriatric San
[1746] 1:35:39	Francisco humble a mugger.
[1747] 1:35:41	I saw a guy,
[1748] 1:35:44	a practicer of Tai Chi,
[1749] 1:35:49	break a break a kung fu fighter's wrist
[1750] 1:35:54	with a block.
[1751] 1:35:56	And it was just like one of those, you
[1752] 1:35:59	know, where where the fist came and
[1753] 1:36:00	just, you know, the guy just puts his
[1754] 1:36:01	hand out like this, broke his fracture
[1755] 1:36:03	to the guy's wrist.
[1756] 1:36:06	>> Yeah, it's really underrated. As a
[1757] 1:36:08	combat martial artist is extremely
[1758] 1:36:10	underrated.
[1759] 1:36:12	Um the style I do also has weapons like
[1760] 1:36:15	sword.
[1761] 1:36:17	Um there's sword forms as well.
[1762] 1:36:21	So
[1763] 1:36:30	never going to paint the same way again.
[1764] 1:36:33	Oh, that's for sure. [laughter]
[1765] 1:36:39	So, here's going to get get to the
[1766] 1:36:41	overall advice here, which is I would
[1767] 1:36:44	avoid
[1768] 1:36:46	uh yoga
[1769] 1:36:49	as a general rule. Um, yoga that's been
[1770] 1:36:53	so westernized that it's taken out
[1771] 1:36:55	spiritual aspect is probably safe,
[1772] 1:37:00	but at that point, why wouldn't you just
[1773] 1:37:02	do a normal stretching routine?
[1774] 1:37:04	Um, meditation I would stay away from
[1775] 1:37:07	completely. It is a gateway to the
[1776] 1:37:09	spiritual and I would stay out of that.
[1777] 1:37:13	Uh, Tai Chi depends on the style. Like
[1778] 1:37:16	like any martial art, some of it is some
[1779] 1:37:20	Tai Chi is completely safe. Um, other
[1780] 1:37:24	forms of Taichi are just the meditation.
[1781] 1:37:26	The meditative styles stay away from
[1782] 1:37:28	those. the ones that have no meditation
[1783] 1:37:30	in them or at least where it's not
[1784] 1:37:32	emphasized or demanded. Yeah, feel free
[1785] 1:37:36	to use your discretion there. Okay.
[1786] 1:37:39	Is Pilates okay? [laughter]
[1787] 1:37:46	The the pricing of Pilates, I think, is
[1788] 1:37:48	a crime. It's a sin to pay that much for
[1789] 1:37:52	[laughter]
[1790] 1:37:55	Have you seen the prices of Pilates
[1791] 1:37:57	instruction? Whoa.
[1792] 1:38:02	[laughter]
[1793] 1:38:10	I mean, I got away with uh really really
[1794] 1:38:12	inexpensive Taichi instruction. So, for
[1795] 1:38:14	me, it was like a total deal cuz I
[1796] 1:38:16	learned it when I was on the uh on the
[1797] 1:38:19	campus of the University of Liverpool
[1798] 1:38:23	in my Slack year, and it cost me like
[1799] 1:38:25	$30 for an entire year of Tai Chi. It
[1800] 1:38:29	was a steal.
[1801] 1:38:31	Absolute steal.
[1802] 1:38:36	I guess it's 30 British pounds, but same
[1803] 1:38:37	thing.
[1804] 1:38:45	What up? [laughter]
[1805] 1:38:47	I'm supporting the heterodox by getting
[1806] 1:38:49	a YMCA membership.
[1807] 1:38:55	Hey, everyone knows it's fun to be in
[1808] 1:38:57	the YMCA.
[1809] 1:39:05	Uh guys, Octavius asked the question,
