[0] 0:00	a [Music]
[668] 1:18:01	attend okay so if you're a good Jewish man you were expected to go to this
[669] 1:18:08	thing his brother said to him depart from here and go to J Judea that your
[670] 1:18:15	disciples Also may behold your Works which you are doing for no one does
[671] 1:18:21	anything in secret when he himself seeks to be known publicly if you do these things show
[672] 1:18:28	yourself to the world verse 5 for not even his brothers were believing him his
[673] 1:18:34	brothers were setting him up we yeah we thought we had family
[674] 1:18:44	problems okay his brothers were setting him
[675] 1:18:49	up okay so his his his life is being threatened verse one his brothers were
[676] 1:18:57	setting him up in verse 5 fantastic
[677] 1:19:04	[Laughter] fantastic lovely lovely what great
[678] 1:19:14	family with family like that you don't really need enemies okay verse
[679] 1:19:21	six Jesus said to to them my time is not yet at hand but your time is always
[680] 1:19:30	opportune the world cannot hate you but it hates me because I testify of it that
[681] 1:19:37	its Deeds were evil go up to your To The Feast
[682] 1:19:43	yourselves I do not go up to this Feast because my time has not yet fully come
[683] 1:19:49	all right now that's that's the thing here now uh textually there's two text
[684] 1:19:55	variants for this passage um one says UK which is um um I
[685] 1:20:03	do not go up to this Feast but there's also a text variance that says uh oo and
[686] 1:20:10	oo means I will not yet go up to this Feast because my time is not fully come
[687] 1:20:18	we don't know which of these early text variants is correct but even if the former is the correct variant the
[688] 1:20:25	context would tell us that this is not a absolute prohibition that he's not going to go but that he's he's he's not going
[689] 1:20:33	to go on their timing okay and he says this here my
[690] 1:20:39	time is not yet fully come verse 9 and having said these things he stayed in
[691] 1:20:44	Galilee but when his brothers had gone up to the feast he himself also went up
[692] 1:20:51	not publicly as it were but as it were in secret
[693] 1:20:57	okay verse 11 the Jews therefore were seeking him at the feast were saying where is
[694] 1:21:03	he and there was much verse 12 because there was much grumbling
[695] 1:21:08	amongst them so here's what's going on he's expected to attend this Feast as
[696] 1:21:14	a good Jewish man okay his brother set him up but he doesn't take the bait he's not
[697] 1:21:22	taking the bait and this is a multi-day feast so his brothers arrive at day
[698] 1:21:29	one but this is a 7-Day Feast Christ lingers a day or two and then goes so
[699] 1:21:36	when his brothers show up and they recognize his brothers because this is a setup they're asking where's where's
[700] 1:21:41	where's Jesus because they want to get his hands on him so they want to get his hands on him
[701] 1:21:48	to kill him before his time so he's basically saying if I go
[702] 1:21:57	it's not going to be at your request I'm not going to do it because you say so so that's what he's telling his
[703] 1:22:03	brothers is essentially that he's not saying that he's not going to go he's just saying I'm not going to go
[704] 1:22:10	just because you say so it's a different it's not a lie it's
[705] 1:22:16	basically saying that yeah if I go it's not because you're going to tell me to
[706] 1:22:25	because God's going to tell me too
[707] 1:22:30	so dark blade so his own bro Bros were in the conspiracy a oh yeah oh yeah they
[708] 1:22:36	were in the conspiracy it's why he didn't trust them he didn't try us his own
[709] 1:22:50	Brothers yeah for those of you who have have rotten siblings yeah Jesus went through it
[710] 1:22:56	[Laughter] too be encouraged be a good cheer for Christ
[711] 1:23:03	has overcome his [Laughter]
[712] 1:23:13	siblings yeah so um so that that's what's going on here they're after his
[713] 1:23:19	life his brothers are in on it he basically tells his brothers if I go
[714] 1:23:24	it's not going to be because of you say so and then he goes he waits a day or two and then goes on his own own
[715] 1:23:33	initiative so it's not a lie he's just telling them I'm not going to do it just
[716] 1:23:38	you because you say it so I hope that helped thank you very much for the Super Chat very much
[717] 1:23:47	appreciate okay uh next Super Chat here 18 mines
[718] 1:23:53	for $499 what's a reasonable daily budget for food clothes and souvenirs in
[719] 1:23:58	Egypt okay um that's hard to
[720] 1:24:04	say um I I'm not sure
[721] 1:24:13	uh clothes you're not going to be buying too many there I wouldn't buy clothes in
[722] 1:24:19	Egypt um all you're going to get in Egypt is is sort of these kitchy uh novelty shirts there um unless you go to
[723] 1:24:27	a tailor and you're probably not going to have time for a tailor uh if you want to buy belts great
[724] 1:24:33	place to buy belts they'll make them right there for you okay so I I would recommend if you
[725] 1:24:39	want to get a belt yeah get a belt there um I don't know what the prices of of things are because inflation has kind of
[726] 1:24:45	gone a little bit wacky there um but at the time I was buying a belt
[727] 1:24:53	for I I think I paid my for my last belt um 200 Egyptian
[728] 1:25:00	pounds which is was about 20 bucks which was a great price for what I got so
[729] 1:25:09	um a lot of it's going to be depend on what you want to buy okay food um food
[730] 1:25:16	can be had relatively cheap um 100 pound will usually get
[731] 1:25:22	you uh at least it used to I don't know what the prices are now uh let me just look this up let me
[732] 1:25:31	look up the Big Mac price the Big Mac [Laughter]
[733] 1:25:36	index because frankly uh the Big Mac index tells you a whole lot about how an
[734] 1:25:41	economy is doing price of a
[735] 1:25:49	Big Mac in Egypt
[736] 1:25:59	okay uh currently the Big Mac in Egypt yeah by the way if you've never heard
[737] 1:26:05	the Big Mac index uh it's actually um a really reliable way of of
[738] 1:26:13	gauging the economy okay a Big Mac in Egypt currently costs
[739] 1:26:20	78 Egyptian pounds which is 412 uh $412 us this is a 50% increase from
[740] 1:26:29	the previous price of 52 Egyption pounds which is
[741] 1:26:35	$274 okay so you can probably get a decent if you have
[742] 1:26:42	say if you budget yourself maybe 50 bucks 100 bucks a
[743] 1:26:48	day uh us okay 50 to $100 US convert
[744] 1:26:54	into Egyptian pounds that should be more than enough to cover your daily expenses
[745] 1:26:59	for the most part now some of the food is covered by the tour I don't know
[746] 1:27:04	exactly how much but as I recall I believe that breakfast and dinner is
[747] 1:27:09	covered by the tour I believe it's usually usually tours cover that it's
[748] 1:27:15	your lunch you usually have to pay for okay so and that's because usually
[749] 1:27:22	oftentimes lunches are not done by the tour itself it's usually us there's
[750] 1:27:27	usually a nearby restaurant that you order
[751] 1:27:37	from yeah it in the case of breakfasts and dinners they're often covered by the
[752] 1:27:44	tour because it's usually a standardized buffet or something like that um there are times though when like
[753] 1:27:52	uh some of your food will not be covered like for example if we skip out to the Tuten common M uh restaurant that won't
[754] 1:28:01	be covered if we go to the alahia alley restaurant where they serve camel that
[755] 1:28:06	won't be covered so do have have some spending money on you for for
[756] 1:28:12	incidentals David's for David's Insider
[757] 1:28:18	knowledge as my producer just said the
[758] 1:28:28	equivalent ah yeah I I don't know uh according to
[759] 1:28:36	wise voter 123 countries that's a majority don't have McDonald's as of 2023 I don't know what would be the
[760] 1:28:43	equivalent of McDonald's uh for those countries that don't have it I just
[761] 1:28:48	happen to be in countries where almost all of them do have McDonald's of some kind
[762] 1:28:59	so so I do say that um you know it is a reliable measure when you can when when
[763] 1:29:07	it's available but it does tell you too that inflation has things have doubled in
[764] 1:29:13	price in in Egypt roughly from the Big Mac index
[765] 1:29:20	so hey back do you eat camel I do it's
[766] 1:29:28	delicious um yeah don't do it the way that I I'll say this don't eat camel the
[767] 1:29:34	way the the best food show ever did okay that's the worst way to eat
[768] 1:29:42	camel uh but um you eat um but there's a one particular restaurant in luxer that
[769] 1:29:49	serves camel ANS very good very good
[770] 1:29:54	um it was a chef's specialty Chef's specialty um it was absolutely delicious
[771] 1:30:00	yeah but he also said too that you had to use a very young camel if it's a fully grown camel don't eat it too tough
[772] 1:30:08	your shoes first eat your shoes first okay yeah yeah what what what that what
[773] 1:30:15	Sunny bought on that best food show ever wasn't a young
[774] 1:30:21	camel okay was not a young camel so
[775] 1:30:31	uh nasty
[776] 1:30:36	nasty although he claimed it taste good I I doubt
[777] 1:30:42	[Laughter] it uh dark Blade the 2004 Mac Big Mac
[778] 1:30:48	index for Switzerland was $8 us yeah yeah doesn't surprise me
[779] 1:30:57	um as far as
[780] 1:31:06	souvenirs oh yeah yeah McDonald's has become expensive in Vancouver and we don't eat it at McDonald's ever because
[781] 1:31:13	it's too costly uh as far as souvenirs there's
[782] 1:31:20	lots of inexpensive souvenirs like scarves scarves you can have uh for 50
[783] 1:31:27	uh 100b which is5 to $10 um you know there's there's there's
[784] 1:31:33	lots of available um uh souvenirs you can get postcards
[785] 1:31:40	you can get um carved scarabs that look like
[786] 1:31:46	crap they look awful absolutely awful uh coffee cups knickknacks little statues
[787] 1:31:54	of deities that were are made of plastic um there there's all sorts of little knickknacks you can get in in Egypt um
[788] 1:32:02	Alabaster carved bowls um so yeah there's there's a lot of fun little knick-knacks you can get
[789] 1:32:08	there so for souvenirs yeah you can um Sky's almost the limit on the souvenirs
[790] 1:32:15	um the food um again have some cash on there for food I probably wouldn't buy clothing
[791] 1:32:22	there except for belts belts are fantastic belts and
[792] 1:32:28	scarves uh in fact I would recommend that everyone buys a scarf or at least
[793] 1:32:33	has one with them it's useful for so much stuff it isn't even
[794] 1:32:40	funny it's the one fashion accessory I would say you should get always get in Egypt always buy a scarf or at least
[795] 1:32:48	have one on you when you arrive um I'll probably be binging one
[796] 1:32:53	when I ared just to have one on hand uh just in case I don't get to a
[797] 1:32:58	vendor uh first because it is it is so
[798] 1:33:06	useful well here's the thing about the belts too Jack s says yeah belts are a
[799] 1:33:12	cinch the thing about belts too in Egypt is they're they're generally 100% cow
[800] 1:33:20	leather they last forever I mean I'm I'm wearing a belt right now
[801] 1:33:25	from Egypt my first the first belt I ever bought from Egypt I'm wearing it right now
[802] 1:33:36	and and that belt is still still lasts it's still it's still going you know I
[803] 1:33:42	bought that in 2013 that belt is now 12 years old you know just buy try to buy a
[804] 1:33:48	belt in the US or Canada that lasts 12 years good luck good luck
[805] 1:33:58	oh Scott whon says scarf Compass hookah an Egyptian stand encased in a locally
[806] 1:34:04	made traditional sand clock uh traditional sand clocks you're
[807] 1:34:09	not going to find too many of um uh hookas you can buy you can buy
[808] 1:34:16	hookas there um they're uh they're commonly available they're fairly
[809] 1:34:22	expensive though um if you're going to buy a hookah it's probably going to set you
[810] 1:34:29	back $50 $100 um and a hookah is basically for
[811] 1:34:37	those who don't know it's a it's a water pipe it's a water pipe it's a water pipe used to um
[812] 1:34:47	to smoke tobacco or um they'll they they'll put other things in it like mint
[813] 1:34:54	um um spices or herbs
[814] 1:34:59	um um I've never bought a hook of there okay it's not something I'm interested in I have bought however a incense
[815] 1:35:08	burner or an essential oil bur um let me just dust this off
[816] 1:35:14	here shows you how often I use this I'll show you one of the things I
[817] 1:35:21	have bought there and I actually really like these might buy another
[818] 1:35:27	one um need a good wash is what it needs but
[819] 1:35:33	this will do right is a I've got this this is one of the things I bought um I
[820] 1:35:39	guess in 2019 U this is a uh essential oil burner okay and what
[821] 1:35:48	you do is you put a bit of uh essential oil into the first capsule up here and
[822] 1:35:53	then you put put a little tea candle in the bottom and it basically heats up essential oils so you makes your whole
[823] 1:36:00	room smell nice okay and I think this one I think I bought this for I think I
[824] 1:36:07	paid 80 Egyptian pounds $8 for this um but you can get these at
[825] 1:36:14	perfumeries okay and there's these places all over egyp where you can buy perfume okay you can buy perfume
[826] 1:36:21	essential oils um the perfumes I think are actually really really
[827] 1:36:27	nice um especially the Blue Lotus ones really it's a really nice
[828] 1:36:33	scent um so
[829] 1:36:38	um so you can buy other styles of uh perfume uh essential oil burners too but
[830] 1:36:44	that's a really nice one I like it
[831] 1:36:49	uh compasses don't buy compass in Egypt um if you're going to get a compass and
[832] 1:36:55	I do recommend a compass I always carry a compass when I go travel
[833] 1:37:01	abroad
[834] 1:37:08	um yeah I buy when I buy a compass
[835] 1:37:13	should do this cuz I actually always this is not an Egypt specific
[836] 1:37:19	thing um this but this this is something I always carry when I travel
[837] 1:37:26	abroad like for example sometimes I have to know east to west and the cell phone's not working correctly to show me
[838] 1:37:32	east to west so I still carry a magnetic compass okay
[839] 1:37:38	now this is a very special kind of compass just kind of taking a little
[840] 1:37:46	beating here looks like all right uh this is a sunto global needle Compass
[841] 1:37:52	okay and and it works everywhere in the world at least
[842] 1:37:59	in theory so but there's some places where a regular standard Compass won't
[843] 1:38:06	work okay and you got to be very very careful of this because what's happened
[844] 1:38:13	in some places like they used to do do this this was a horrible thing that happened to some
[845] 1:38:19	missionaries missionaries in hot zones were sometimes given bugout kits
[846] 1:38:24	okay now a bugout kit is when they give you a compass a kit to survive let's say you
[847] 1:38:31	have to get into a plane and you got to go and you land in a foreign country and you're just dropped off in the middle of nowhere and you have to find your way
[848] 1:38:37	out okay in Equatorial regions a normal
[849] 1:38:43	Compass won't work because of the magnetic pull will take the needle and bump into the
[850] 1:38:51	case so some missionary had to got these bugout kits and got dropped into these
[851] 1:38:59	equatorial regions and couldn't find their way out with a compass because the compass wouldn't work because they
[852] 1:39:06	didn't understand the way compasses work this is a compass with a global
[853] 1:39:11	needle it will work anywhere in the world except for except I think in the extreme polar
[854] 1:39:18	regions so um this is one of those things that I highly recommend getting if you've got
[855] 1:39:25	the got the uh money to do so I would highly suggest it it's you know and I as
[856] 1:39:33	I say I take this thing on every trip I go just because I just never know if my
[857] 1:39:39	phone is going to show me the right um
[858] 1:39:46	um right direction of north or south so you know that saved me a lot of
[859] 1:39:52	time a lot of time and I like the brand too sunto
[860] 1:40:00	makes a great Compass this video is not sponsored by sunto um should
[861] 1:40:13	be but yeah they're great compasses um but once you get it learn how to use it
[862] 1:40:19	learn how to use a compass because you never know when it's going to be useful because there's there's the there's
[863] 1:40:25	times when you just like land at an airport and you have to find out which way's North to find out where where the
[864] 1:40:30	Caps uh taxi cabs are okay you pull out your cell phone you get a no service
[865] 1:40:37	warning and it won't tell you where you are you go the GPS won't even
[866] 1:40:43	work you can't actually rely on cell phones to tell you which way's North and which ways
[867] 1:40:51	south but a compass will a magnetic compass always will uh but in some regions of the
[868] 1:40:59	world a a compass with a global needle is a
[869] 1:41:05	must and well we I think in Egypt you don't need a global needle it's nice to have anyway just in
[870] 1:41:12	case all right
[871] 1:41:25	yeah yeah yeah like like for example if I went to
[872] 1:41:31	Sudan okay uh for an excavation which is
[873] 1:41:36	possible because there were Egyptian temples in Sudan a global needle would be a must in
[874] 1:41:44	Sudan you're actually far enough South where where um that becomes starts the
[875] 1:41:52	the idea that a normal magnetic compass isn't going to work down there is going to become an
[876] 1:41:58	issue so I wouldn't buy compasses in Egypt compasses in Egypt are just
[877] 1:42:03	probably not not not something you would want scarfs yes hookas if you're into
[878] 1:42:10	that thing sure um sand clocks I don't think you're
[879] 1:42:16	going to get too many of honestly I I've I haven't seen very many sand clocks in Egypt um but glass work but the glass
[880] 1:42:25	work uh glass work's great um I understand that like for example the little perfume jars some of them are you
[881] 1:42:31	can get a lot of them there um they tend a lot of them tend to be imported now but they do still some people do still
[882] 1:42:38	do local glass work there uh I think it's up on the shelf or
[883] 1:42:45	somewhere yeah but um okay
[884] 1:42:50	but but yeah you can get nice perfume bottles there highly recommend the
[885] 1:42:56	perfumes as I said the perfumes are great the scarves are great um but
[886] 1:43:03	um is it up there okay uh we'll show you one of the
[887] 1:43:11	perfume bottles we got it doesn't
[888] 1:43:16	everything this thing off
[889] 1:43:29	okay dusting this thing off prior to showing
[890] 1:43:40	it okay yeah well I only have two hands all right uh this was uh a perfume
[891] 1:43:46	bottle I bought for Kiara in Egypt Yep this is a very pretty little
[892] 1:43:52	perfume bottle and you can get these uh all sorts of these and it's got a perfume do
[893] 1:43:59	Dober so um something that will definitely impress the
[894] 1:44:05	ladies so so yeah it's a it's a you can get these in all sorts of shapes and sizes
[895] 1:44:11	and colors and all that so um absolutely this these are these are wonderful gifts
[896] 1:44:17	and souvenirs from Egypt okay so hope that helps thank you for the question
[897] 1:44:23	and the followup very much appreciated okay 18 Ministries for 199
[898] 1:44:28	thank you for the Super Chat did everyone write
[899] 1:44:37	today well I definitely did editing today
[900] 1:44:44	uh yep I did editing today on um my second book um again if you haven't uh
[901] 1:44:51	already ordered a copy of the First book please do so Shameless plug but yeah today I uh did some
[902] 1:44:59	editing uh line editing on the second book and uh yeah uh if if you don't
[903] 1:45:07	write edit and if you're not writing and you're not editing what are you
[904] 1:45:13	[Laughter]
[905] 1:45:20	doing um I wrote a report does that
[906] 1:45:25	count I think he means creative writing we and that's one of the things
[907] 1:45:30	we talk about here is writing to engage the culture now you can engage the culture
[908] 1:45:35	probably with a report but how many people are going to read it and that's the thing is that I think
[909] 1:45:43	that uh one of the things we need to do as say um people who want to impact the
[910] 1:45:50	culture for Christ is impacted on their terms so yeah all the theology in the world is
[911] 1:45:55	great but it's think of it this way learning theology learning about the
[912] 1:46:01	Bible that's going to be like an iceberg when you engage the culture that's going
[913] 1:46:07	to be what's under the water what people are going to see is your storytelling above the
[914] 1:46:13	water so I highly recommend creative writing highly recommend this as a way
[915] 1:46:21	of engaging people engaging culture culture and this is what people resonate
[916] 1:46:27	with people resonate with stories so you know you it would be wise
[917] 1:46:33	to Leverage What resonates with The Human
[918] 1:46:38	Condition so yeah that's why I think it's important for people to write fiction and to publish it and if you
[919] 1:46:47	don't publish it no one sees it
[920] 1:46:56	Jack Ray genre card
[921] 1:47:03	engage all right and the final Super Chat here is uh or not the final super
[922] 1:47:08	chat but the next one here is from Jack Ray for $2 he says the right stuff
[923] 1:47:14	absolutely right with W yeah so
[924] 1:47:21	definitely you know if if you really want to engage the culture do so through the Arts and we don't say just not just
[925] 1:47:29	not just writing here or fiction but painting sculpture uh
[926] 1:47:35	drama video all those those sort of creative Endeavors can go into altering the
[927] 1:47:44	culture you know even something like jewelry making can be used to engage the culture you know like for example the
[928] 1:47:51	the current Press Secretary of of the president of the United States has a great big cross that she
[929] 1:47:57	wears you know that's a form of Engagement and somebody had to make that
[930] 1:48:04	cross ah probably
[931] 1:48:13	yeah another time another time but but yeah I mean we've had it happen we've
[932] 1:48:19	had it happen where we've done something creative and then somebody would come up to us and and you know resonate with
[933] 1:48:28	with what we're saying because we did it in Creative manner so whatever you decide to however
[934] 1:48:36	you decide to express yourself creatively understand that it's going to affect the culture because you are the
[935] 1:48:44	culture you are the culture you're the producer of the culture and he who produces the culture
[936] 1:48:50	controls the culture which is why it's important to continue
[937] 1:48:56	making culture mysterious fungus video games
[938] 1:49:01	yeah absolutely we're making a video game I should say my my producer here is
[939] 1:49:07	making a video game so yeah video games will affect the
[940] 1:49:12	culture absolutely if you program video games
[941] 1:49:19	absolutely if you write video games program them do the art for video games and publish them you are affecting the
[942] 1:49:26	culture because you are engaging and putting content into the culture again
[943] 1:49:32	there's a we haven't published that video yet
[944] 1:49:40	[Laughter]
[945] 1:49:46	oops oh they probably heard that my producer just sort of spilled
[946] 1:49:52	the be um she said you know if uh if you're confused between Christian art and art
[947] 1:49:59	that's Christian go see the video and I just had to tell her well we haven't published that video yet it's in the can it hasn't been released
[948] 1:50:06	yet she goes
[949] 1:50:12	oops The Vault said I made a video game Cool the serious funus says wait your
[950] 1:50:17	producer is making a game that's cool I'm trying to learn programming yeah that's
[951] 1:50:24	yep serious Fus Fulk spoilers
[952] 1:50:30	yep BC I heard
[953] 1:50:39	[Laughter] nothing but yes my my producer is making
[954] 1:50:46	a video game we hope to get it out in um in quarter one of this year so we are we
[955] 1:50:52	are trying desperately to get it finished so um so uh we are
[956] 1:51:02	um um we are working hard to get that
[957] 1:51:08	done uh simble mine says also Dr folk have you played or heard of the faith
[958] 1:51:15	the Unholy Trinity it's an amazing game and actually made by Christian but it's not preachy or cringe instead it's
[959] 1:51:21	absolutely amazing I haven't heard it and I haven't played it but I hope I mean that's the thing you know this is
[960] 1:51:29	the way you can engage the culture is through these these entertainments and
[961] 1:51:34	it shouldn't be preachy and it shouldn't be cringe this is what I think is very
[962] 1:51:39	this is one of the things I think that is defines good art art that is Christian and there's
[963] 1:51:46	going to be a video coming out on this very soon okay we we we have we have thought about this and this is a topic
[964] 1:51:53	that's often discussed at at Bible colleges that still teach the Arts which
[965] 1:51:58	aren't too many unfortunately but what's the difference between art that's Christian versus Christian
[966] 1:52:05	art one of the differences one's kind of cringe and preachy the other one
[967] 1:52:11	isn't and I think if you've done your job right as an
[968] 1:52:17	artist you're producing work that's that people can resonate
[969] 1:52:23	with because it's not preachy or cringe and this is one of the things that I've really sort of I don't like it
[970] 1:52:32	myself you know I don't watch a lot of Christian Media honestly I don't watch Christian movies
[971] 1:52:40	I don't read Christian books and I don't like that media
[972] 1:52:46	because it does get preachy and cringe and the problem with with
[973] 1:52:54	basically giving a message versus preaching
[974] 1:53:00	is there's not a natural outflow there's not an natural outflow it doesn't come
[975] 1:53:05	out of the characters you know it's it's sort of an
[976] 1:53:11	unnatural um just intrusion into the story
[977] 1:53:22	says a lot of Christian Media feels like it was not made by Christians in my honest opinion
[978] 1:53:30	um yeah I think I've I I I've had like this problem with some of uh like for example the God is uh God is Not Dead
[979] 1:53:38	videos you know where it's like okay um he has this dying experience
[980] 1:53:45	where he comes to the Lord after an automobile accident after being a
[981] 1:53:51	vehement atheist the entire
[982] 1:53:56	run yeah yeah it's it it wasn't true to character wasn't true to character and I
[983] 1:54:03	think that's was my problem with it is again it it didn't play to the
[984] 1:54:10	character it would have been lot more compelling honestly if he had died an
[985] 1:54:18	atheist and then somebody around him said
[986] 1:54:23	okay I can't live like that uh I got to find Jesus because I
[987] 1:54:28	can't live like my friend did no that would have made more
[988] 1:54:34	sense plot-wise would have made a lot more sense I mean you want a a a
[989] 1:54:45	very um it's more uh Christmas car mhm that
[990] 1:54:51	visited by ghost yeah and his Bo comes
[991] 1:54:56	back and says hey look I'm not happy in the afterlife this is going to happen to
[992] 1:55:02	you that's exactly what the rich man wanted to do he wanted to come back and
[993] 1:55:09	tell yeah yeah like uh my producer said you know A Christmas
[994] 1:55:14	Carol uh I mean the guy was the guy who wrote was a b dirt bag but Christmas
[995] 1:55:20	Carol did express some Christian themes in it
[996] 1:55:25	okay so um you know the whole idea of
[997] 1:55:30	you know guy Scrooge being visited by three ghosts you know one was his former
[998] 1:55:35	boss who came back and basically told him hey you don't want the afterlife that I
[999] 1:55:41	have okay so you know there's ways to do this in that that is appropriate for
[1000] 1:55:48	your characters and it's more important I think to show a Christian world
[1001] 1:55:56	view while you want to show the Christian world view but not necessarily A
[1002] 1:56:03	repentance narrative a conversion
[1003] 1:56:08	narrative because here's the thing with most media it takes a long time like with people in most situations
[1004] 1:56:16	take a long time to reach a conversion point oh
[1005] 1:56:24	min oh yeah like for example um I I heard a statistic that said that if you
[1006] 1:56:30	introduce a Jehovah's Witness to the gospel for the first
[1007] 1:56:35	time it takes seven years if if they come to the faith at
[1008] 1:56:42	all it'll be after about seven years so that gives you some idea of how
[1009] 1:56:47	long these things can take so to try to cram that into a story
[1010] 1:56:55	a movie a three-hour movie if you're being super generous at the run time 90
[1011] 1:57:01	minute more like it there is a point to Christian movies
[1012] 1:57:12	like you're trying to in it
[1013] 1:57:17	historic yeah yeah well the the whole idea of of historical Christian films is
[1014] 1:57:24	a little different where you're trying to to um portray a
[1015] 1:57:29	Christian um life as it were you know a Christian
[1016] 1:57:34	like biography um that's a little different than say um say fiction where you're
[1017] 1:57:43	trying to force an A A Certain
[1018] 1:57:49	outcome don't have a large no hallar movies don't have a large audience but
[1019] 1:57:54	we won't get into that because it's debatable whether they're Christian at
[1020] 1:58:02	all but yeah it's it's really important if you write Christian Media that you
[1021] 1:58:07	don't do it in a cringe manner it does no one no one is is actually helped by
[1022] 1:58:12	it if anything it acts only as a hedge protection and that's it and that's
[1023] 1:58:18	really that doesn't edify it doesn't educate and it doesn't
[1024] 1:58:24	evangelize and that's sort of that's sort of your your three sort of Hallmarks here of what you want from a
[1025] 1:58:32	good Christian world viw media edify
[1026] 1:58:38	educate H what was it I forgot the 30 here but um but there's a lot of B
[1027] 1:58:45	basically you want to to to make it so it it's a natural outcome of your media
[1028] 1:58:51	and setting in your characters
[1029] 1:58:59	so um we need to do better in this field I think I think this is something where we
[1030] 1:59:05	need to do better but I'm also hopeful too because we've also had are in a
[1031] 1:59:10	place now in the media genre right now we're we have an
[1032] 1:59:19	unprecedented opportunity too anyone to day can
[1033] 1:59:25	self-publish without the stigma of self-publication and we can actually and
[1034] 1:59:30	this is one of the things I think is really important um to stress
[1035] 1:59:36	too is that 10 years ago if you had self-published it would be a black stain
[1036] 1:59:42	on your reputation no one would read your stuff this is one of the things we can
[1037] 1:59:47	thank wokeness for wokeness has destroyed the publishing industry
[1038] 1:59:53	wokeness has made the publishing industry incredulous it's really tarnished the
[1039] 1:59:59	reputation of the publishing industry the publishing industry has gone to complete garbage because of
[1040] 2:00:07	wokeness so this has opened the door to
[1041] 2:00:13	self-publishing opportunities in an unprecedented way you can get distribution now through
[1042] 2:00:20	self-publishing that you couldn't dream of 10 years ago you can be a bestseller now as a
[1043] 2:00:27	self-published author you know maybe not in the same way as somebody with a huge
[1044] 2:00:32	PR budget but most Publishers aren't putting money into PR budgets
[1045] 2:00:39	anyway you know so so you know there's an opportunity
[1046] 2:00:46	here there's an opportunity now and we don't know how long that door is going to stay open
[1047] 2:00:52	so if you are going to get involved with producing media
[1048] 2:00:58	that affects the culture this is the time to do it it it's never been a better time
[1049] 2:01:05	never been a better time
[1050] 2:01:15	okay so we'll take the next Super Chat here
[1051] 2:01:22	next Super Chat here it's flipping down here all right want to thank Jack Ray
[1052] 2:01:29	for uh gifting the channel um 10 ancient Egypt and the Bible memberships thank you so much for your support we really
[1053] 2:01:35	appreciate it
[1054] 2:01:53	see there was something else I saw I saw here back way back here just didn't
[1055] 2:02:07	sit I did see something here um
[1056] 2:02:40	okay could have I saw in the comment I wanted
[1057] 2:02:50	to do one more scan for if I see it I see it if I don't I
[1058] 2:03:06	don't ah wom to Tom apologetics I'm going to take this comment here it happened early on I love the tunes on
[1059] 2:03:13	this channel thank you we make them ourselves all the music on this channel has been made by the loss of rabbit
[1060] 2:03:20	which is me uh one of the Arts that I do also engage in is music composition and
[1061] 2:03:27	Arrangement so all the all the uh all the music on this channel has
[1062] 2:03:34	been done by us how we get around the whole um copyright music issue too
[1063] 2:03:44	so there's another example of our tomb of our um artistic engagement is through
[1064] 2:03:55	music all right now let's get back to the super chats but I did saw that earlier and I did want to take
[1065] 2:04:01	that all right um and we just have to get dosman here for $2 and he says
[1066] 2:04:09	everyone should pre-order relic of the Dead thank you for the plug we much appreciate and thank you for the Super
[1067] 2:04:16	Chat okay next one here's from Jack Ray um for $10 he says at Christian
[1068] 2:04:24	Theology and apologetics the stream IP and Dr Faulk respond to the number of isra is have the Exodus and Conquest
[1069] 2:04:32	been debed around the 1 hour 8 Minute Mark okay there you go there's the
[1070] 2:04:37	answer to your question thank you Jack
[1071] 2:04:43	okay uh Mama for uh $5 what was your very first job add to
[1072] 2:04:52	the Uncle Dave o of course he lore please oh my very first
[1073] 2:05:02	job uh no it was not the packing plant
[1074] 2:05:08	um know my very first I
[1075] 2:05:16	mean it was my first job with a company that I worked at a
[1076] 2:05:22	um depends what you mean by job um I was a
[1077] 2:05:28	babysitter my very first job was as a babysitter there was this couple who
[1078] 2:05:35	needed a um babysitter who had first a certification because their youngest
[1079] 2:05:42	child had a lot of health problems so my first job was actually uh
[1080] 2:05:50	and it was actually a fairly regular job it was like every Saturday for like
[1081] 2:05:55	almost a year um I was like
[1082] 2:06:04	17 no 17 yeah
[1083] 2:06:12	yeah yeah of course David has first aid certification
[1084] 2:06:23	oh yes I don't have it anymore by the way I used to but I don't
[1085] 2:06:34	anymore yeah that was my first job was being a babysitter uh my second job was working
[1086] 2:06:40	at a packing plant called uh Western Greenhouse Growers and it was basically I did I
[1087] 2:06:48	that was my summer job uh when I went to college was I basically worked on the uh assembly line
[1088] 2:06:58	um packing tomatoes cucumbers and bell
[1089] 2:07:04	peppers uh I learned so much about bell peppers and peppers in general during that my my time at that place it was
[1090] 2:07:10	just not even funny tomatoes were boring Tomatoes were boring Tomatoes were all the
[1091] 2:07:16	same so um but I did I did did I learned so much
[1092] 2:07:24	about bell peppers it wasn't even funny um yeah uh you know I I at that
[1093] 2:07:32	point I had never seen anything but a red and a green pepper
[1094] 2:07:37	before um but um they were doing exotic Peppers Peppers you couldn't get in the
[1095] 2:07:43	grocery store at the time you know at that time you couldn't get say the um
[1096] 2:07:48	now nowadays you can get the orange and the yellow peppers in in um Stores um
[1097] 2:07:56	grocery stores but back then you couldn't but they they had um see they had purple peppers they had
