[0] 0:17	Hey
[730] 41:09	All right, here's an example of
[731] 41:11	stylistic variation.
[732] 41:14	archaeological mystery.
[733] 41:19	A book talking about children becoming
[734] 41:21	adults,
[735] 41:24	a space marine Eldridge horror novel.
[736] 41:32	Book five is going to be a stylistic or
[737] 41:35	sorry, a um survival tale.
[738] 41:39	Book six is probably going to be a
[739] 41:40	comedy.
[740] 41:44	Okay. All six of those books could not
[741] 41:47	have been written by the same author,
[742] 41:49	obviously,
[743] 41:52	cuz there's stylistic differences.
[744] 42:04	It's so stupid on its face. The fact we
[745] 42:07	even have to do studies to show this,
[746] 42:10	it's
[747] 42:12	I mean with it just sort of lacks all
[748] 42:15	common sense, you know,
[749] 42:20	like
[750] 42:28	so it's like bubble trouble space marine
[751] 42:31	Eldrich horror. Hockey smokes. I need to
[752] 42:35	speed read the speedrun the first two
[753] 42:37	books. Yeah.
[754] 42:43	Ryan Conap. Is there a historical Dr.
[755] 42:46	Faulk?
[756] 42:47	>> There's a hysterical.
[757] 42:48	>> There's a hysterical Dr. Faulk. I don't
[758] 42:51	know about a historical one.
[759] 43:00	I mean, what this is what this comes
[760] 43:01	down to is a poverty of the imagination.
[761] 43:04	It really does. Um, it's it's a poverty
[762] 43:08	of the of the imagination. It's um you
[763] 43:11	know, oh you know, Dr. folk, you know,
[764] 43:13	he can't I mean, who who could possibly
[765] 43:15	have five uh five degrees, you know, uh
[766] 43:20	uh and and and be a licensed radio
[767] 43:23	operator um and
[768] 43:26	>> an artist
[769] 43:27	>> and an artist and a and a novelist and a
[770] 43:31	foodie and
[771] 43:33	worked on supercomputers and won book
[772] 43:36	awards and done all these things.
[773] 43:42	No such person's possible. Come on.
[774] 43:51	You got to be kidding me.
[775] 43:57	Hilarious. Dr. Faulk.
[776] 44:05	>> Raging Smurf. Dude, David confirmed.
[777] 44:10	IC says Dr. Fault is pseudoigraphy.
[778] 44:18	Brian Cohen kept Dr. Folks become all
[779] 44:20	things to all people.
[780] 44:22	>> Did you see
[781] 44:25	a thousand years maybe dig up the
[782] 44:27	manuscript?
[783] 44:30	>> See, uh K Lurker says in a thousand
[784] 44:33	years maybe they'll dig up the
[785] 44:35	manuscript and then come to a consensus
[786] 44:37	that Dr. Folk is actually an
[787] 44:39	amalgamation of writers who never knew
[788] 44:41	each other. Composing your books from
[789] 44:44	imagined sources
[790] 44:53	reading spur. We've got four falcon
[791] 44:55	sources.
[792] 44:57	Oh, go for bro. Go for 16. Double it.
[793] 45:01	Triple it. That's what that's what the
[794] 45:02	documentary hypothesis does. It's not
[795] 45:05	just D anymore. It's like D2, D3, D5.
[796] 45:09	>> Like bomb papa. Imagine horror and
[797] 45:12	comedy existing in the same universe.
[798] 45:15	>> Bomb papa. Imagine horror and comedy
[799] 45:18	existing in the same universe.
[800] 45:25	Bubble trouble. Someone who draws chibi
[801] 45:28	art can't also draw Eldrich horrors.
[802] 45:31	They're two completely different styles.
[803] 45:36	than me.
[804] 45:38	Yeah. But that's that's the poverty of
[805] 45:42	this ideology.
[806] 45:44	It is the idea that this this is too
[807] 45:46	complicated. It's it's there's there's
[808] 45:51	there's things that, you know, conflict
[809] 45:53	and contra or seem to contradict
[810] 45:56	um without any sort of a acknowledgement
[811] 45:59	that it could be because of literary
[812] 46:01	effect. It could be because of of that
[813] 46:05	the information is nuanced or complex or
[814] 46:08	it could be a limitation of the language
[815] 46:11	or any any aspect of of writing
[816] 46:16	virtuosity.
[817] 46:19	So
[818] 46:21	um it's just it's it's a failure of the
[819] 46:25	imagination of the scholars to to
[820] 46:30	accept that more people can do that
[821] 46:33	people can do more than one thing.
[822] 46:42	Oh, scholars can be very limited, very
[823] 46:44	parochial, very limited. And they do
[824] 46:48	have a presentist idea often that we are
[825] 46:52	so sophisticated now and people back
[826] 46:54	then were so primitive.
[827] 46:56	>> No, the only thing that
[828] 46:57	>> it's very condescending.
[829] 47:00	>> Your real dividing line is electricity.
[830] 47:03	>> Technology is different.
[831] 47:04	>> Yeah.
[832] 47:05	>> Humanity.
[833] 47:07	>> Yeah. Technology differs, but humanity
[834] 47:09	is the same.
[835] 47:12	AJ Higgins, I can imagine books being
[836] 47:17	written about the Fulian Corpus and the
[837] 47:19	mysterious Alphasaurus.
[838] 47:34	Good times. Good times.
[839] 47:38	Okay, let's kind of move on here.
[840] 47:56	Common lurker says CS Lewis had a had a
[841] 47:59	great essay about this.
[842] 48:05	Yeah, he did.
[843] 48:12	Uh, Mars says, "Uh, Dr. Faulk, how do
[844] 48:15	you you respond to claims that the
[845] 48:17	reason we see a lot of Egyptian
[846] 48:19	knowledge contained in Exodus is because
[847] 48:21	of Egyptian influence in Canaan at the
[848] 48:23	time?
[849] 48:25	We don't see this in other Canite
[850] 48:27	sources.
[851] 48:29	We don't we don't see this in the
[852] 48:31	Eucharistic sources. We don't see this
[853] 48:33	in
[854] 48:35	um
[855] 48:37	in say um Moabitete sources. We don't
[856] 48:41	see this in other sources.
[857] 48:44	Uh the closest we get is Imperial
[858] 48:46	Aramaic.
[859] 48:49	But that's because there was a trading
[860] 48:50	relationship with Imperial Aramaic, but
[861] 48:54	it's not even close to what we see in
[862] 48:56	Exodus.
[863] 48:58	So,
[864] 49:01	in the places where we should see a lot
[865] 49:03	of Egyptian influence, we don't. Cuz
[866] 49:06	here's here's the thing. Egyptians
[867] 49:08	really didn't teach people their
[868] 49:10	language.
[869] 49:12	They just they they there are cultures
[870] 49:16	out there that were um culturally
[871] 49:19	imperialistic
[872] 49:20	like the Persians,
[873] 49:23	like the um like the Mesopotamians. When
[874] 49:26	the Mesopotamians came coming into the
[875] 49:27	place, they started inculturating the
[876] 49:31	the area for
[877] 49:34	um
[878] 49:37	uh for their empire because most most
[879] 49:40	most imperial organizations
[880] 49:43	do see inculturation
[881] 49:46	as part of the imperial agenda.
[882] 49:49	Egyptians didn't see it this way.
[883] 49:53	Egyptians just wanted the loot. They
[884] 49:56	weren't there to civilize the natives.
[885] 49:58	They didn't care about that.
[886] 50:02	They just wanted the loot. They wanted
[887] 50:04	collected efficiently and they wanted
[888] 50:06	sent home. That's what they cared about.
[889] 50:11	So,
[890] 50:14	um there was no never um I mean the fact
[891] 50:17	is teaching Egyptian writing is
[892] 50:20	difficult.
[893] 50:22	Okay. It took it took a huge investment
[894] 50:26	for Egyptians to educate their own
[895] 50:29	on how to write.
[896] 50:32	You didn't just learn to write as as a
[897] 50:35	peasant.
[898] 50:37	There was no one to teach you to write
[899] 50:38	as a peasant. If you're a farmer, you
[900] 50:41	never learn to write.
[901] 50:43	If you were a slave, you probably never
[902] 50:45	learned to write.
[903] 50:47	If you were a merchant or a craftsman,
[904] 50:51	you may have learned to write.
[905] 50:54	But scribes, they had to go to school.
[906] 50:59	School is expensive, as anyone who's
[907] 51:02	paid their uh property taxes knows.
[908] 51:05	Okay?
[909] 51:08	So, the Egyptians having a language that
[910] 51:10	was difficult to teach didn't teach it
[911] 51:13	to foreigners.
[912] 51:16	they learn the local language instead.
[913] 51:18	It was a lot easier to send scribes out
[914] 51:22	to the local area,
[915] 51:24	have them learn the local language, and
[916] 51:27	then it converse in the local language.
[917] 51:30	So,
[918] 51:34	so it's just one of those things where
[919] 51:39	give us your stuff. All the Egyptian may
[920] 51:42	>> Yeah.
[921] 51:44	Ryan Conf. So, aside from tribute,
[922] 51:47	people under Egyptian rule really
[923] 51:48	weren't affected by Egypt itself. No,
[924] 51:51	no, it wasn't. I mean, they didn't
[925] 51:53	practice um mummification there. There's
[926] 51:55	no materials to do mummification.
[927] 51:59	So, what knowledge, what use is that
[928] 52:01	knowledge in Canaan?
[929] 52:04	You have to bring Natron. You have to
[930] 52:06	have a source of Natron to do
[931] 52:07	mummification.
[932] 52:09	Israel didn't have that.
[933] 52:12	um you know the whole chain of gold
[934] 52:16	would they have ever even seen that that
[935] 52:19	wouldn't have ever been a a custom
[936] 52:21	bestowed upon people in um in Canaan. So
[937] 52:28	a lot of these things that that are
[938] 52:30	talked about in Exodus and even in
[939] 52:31	Genesis were stuff that people in Canaan
[940] 52:36	would have had no familiarity with at
[941] 52:38	all.
[942] 52:40	You know, the whole idea of of having a
[943] 52:43	70day period of mourning before the
[944] 52:47	burial,
[945] 52:49	unheard of in Canaan.
[946] 52:52	In Canaan, if you had a corpse that was
[947] 52:55	outside for more than a day or two. Ooh.
[948] 53:00	Ooh. Things got nasty.
[949] 53:04	You really want a corpse as buried as
[950] 53:07	quick as possible in Canaan.
[951] 53:11	So,
[952] 53:17	raging Smurf, give us your stuff. All
[953] 53:20	the Egyptian they needed to know. Bomb
[954] 53:22	papa smash and grab didn't come with a
[955] 53:25	language course. No, it doesn't.
[956] 53:28	But that's what they did was it was
[957] 53:29	basically smash and grab
[958] 53:32	and they had garrison cities there that
[959] 53:34	were there to um essentially make sure
[960] 53:39	the tribute kept flowing.
[961] 53:50	Jack Ray says ancient Egypt practicing
[962] 53:52	separation of concerns for 5,000 years
[963] 53:56	and going. Yeah, pretty much. Yeah. Give
[964] 54:01	us your stuff. That that's that's that's
[965] 54:04	their that's why they were there. They
[966] 54:07	weren't there to create an empire.
[967] 54:10	In fact, they couldn't care less about
[968] 54:12	empires. Empires were expensive.
[969] 54:16	Empires required management
[970] 54:19	and training.
[971] 54:26	Their purpose in can was entirely
[972] 54:28	economic.
[973] 54:38	Uh Mars uh says, "Thank you uh Dr. Faulk
[974] 54:42	for your response. What about garrison
[975] 54:43	troops stationed in Canaan in Egypt
[976] 54:45	garrison towns and Egyptian relics found
[977] 54:48	in Canaan?" Um there are some Egyptian
[978] 54:52	relics found in Canaan. uh mostly at the
[979] 54:54	garrison towns. Um some of the troops,
[980] 54:58	the troops stationed in those garrison
[981] 55:00	towns, many of them were Egyptian. Um
[982] 55:04	interestingly enough though,
[983] 55:07	correspondence wasn't done in Egyptian.
[984] 55:10	Um cuz we have some some correspondence
[985] 55:14	from Garrison Towns
[986] 55:16	uh in the Amarna letters. So even with
[987] 55:19	those
[988] 55:21	um
[989] 55:23	the correspondence was done in Acadium.
[990] 55:27	So it's it's interesting to see that
[991] 55:29	even say uh between garrison towns and
[992] 55:33	Egypt the correspondence back and forth
[993] 55:35	was not in Egyptian. It was generally on
[994] 55:38	kaoiform tablets.
[995] 55:44	So,
[996] 55:50	uh, Ryan Con Camp, were any, uh, those
[997] 55:52	garrison towns mentioned in the Bible?
[998] 55:55	Yes, there were. There are some
[999] 55:57	mentioned in the Bible. Um,
[1000] 56:02	um, let's see, what was the is it Bian?
[1001] 56:05	It's either Bian or B she. I can't
[1002] 56:07	remember which one was the garrison
[1003] 56:08	town. One of those two was was a
[1004] 56:09	garrison town.
[1005] 56:12	So yeah, you you do find them you do
[1006] 56:14	find garrison towns mentioned in the
[1007] 56:16	Bible. U most of them are actually on
[1008] 56:18	the coastal plane. So those wouldn't be
[1009] 56:21	mentioned, but there are a handful of
[1010] 56:23	them in the chafa and Judea that were
[1011] 56:26	mentioned. So So those are those are
[1012] 56:29	definitely were mentioned,
[1013] 56:33	but as I said, most of the garrison
[1014] 56:35	towns are in are in um are in the
[1015] 56:38	coastal plane.
[1016] 56:41	Okay, moving on.
[1017] 56:49	Uh, ICS, have any borrowings from
[1018] 56:51	ancient Egyptian comparable to those
[1019] 56:53	that Nunan identified etmologically in
[1020] 56:56	Exodus been documented in the same way
[1021] 56:57	in Genesis? Oh, yes. Oh, yeah. You
[1022] 56:59	there's there are several um um Egyptian
[1023] 57:03	borrowings in Genesis. So, it isn't it
[1024] 57:06	isn't just Exodus, it's Genesis as well.
[1025] 57:09	Um, but after Genesis and Exodus, it
[1026] 57:12	kind of drops off a bit. So, you don't
[1027] 57:14	find many in Deuteronomy. You don't find
[1028] 57:16	many in Leviticus, but you do you do
[1029] 57:18	find you do find still some in Leviticus
[1030] 57:21	and Deuteronomy, but it it's a lot less
[1031] 57:24	at that point.
[1032] 57:26	But Genesis definitely has them too. Um,
[1033] 57:30	there are uh several uh cities that are
[1034] 57:33	mentioned in Genesis that are from from
[1035] 57:35	Egyptian borrowings. There is like for
[1036] 57:38	example the city of an which is Yanu.
[1037] 57:42	Uh we do find um
[1038] 57:46	uh the word linen uh which is a which
[1039] 57:50	was a sesh which is an Egyptian loan
[1040] 57:52	word and that that particular um uh
[1041] 57:56	etmology of of linen is Egyptian. So so
[1042] 58:00	we do find some of that in Genesis
[1043] 58:03	as well as Exodus. So it's not just
[1044] 58:06	Exodus.
[1045] 58:07	So, I hope that helps.
[1046] 58:11	Okay, next question here is from Jack
[1047] 58:12	Ray or just to say not question. Uh,
[1048] 58:15	thanking Jack Ray here for 10 gifting
[1049] 58:18	the channel, 10 ancient Egypt and the
[1050] 58:20	Bible memberships. Thank you so very
[1051] 58:22	much for your generosity towards the
[1052] 58:24	channel. We really, really appreciate it
[1053] 58:26	and we couldn't do this without you. So,
[1054] 58:28	thank you so very much.
[1055] 58:34	Next one here.
[1056] 58:37	Uh, serial bowl asks,
[1057] 58:41	um,
[1058] 58:46	how different is your view of the exodus
[1059] 58:49	from Hoffmeer's view and Kitchen's view?
[1060] 58:54	Um, virtually the same.
[1061] 58:59	>> Three days.
[1062] 59:01	We're all three evidentialists and we're
[1063] 59:02	all tied to the hip. Okay.
[1064] 59:06	Um Hoffmire's view comes from kitchen.
[1065] 59:09	My view comes from kitchen and Hoffmire.
[1066] 59:12	Okay.
[1067] 59:16	So we're we're all fruit from the same
[1068] 59:19	tree.
[1069] 59:21	So
[1070] 59:26	now we're going to uh uh differ on
[1071] 59:28	details. Our details are going to
[1072] 59:31	differ. Okay? So details are going to
[1073] 59:34	differ, but the general view is going to
[1074] 59:37	be the same.
[1075] 59:39	So like for example, um I have a very I
[1076] 59:41	have a slightly different view on say
[1077] 59:44	autonism. My view on autonism is
[1078] 59:46	different than Hoffmeers.
[1079] 59:49	Um,
[1080] 59:51	my dating is a little different than
[1081] 59:53	Kitchens.
[1082] 59:55	I should say Late Kitchen. I'm I think I
[1083] 59:58	think Early Kitchen had it dead on. Late
[1084] 1:00:01	Kitchen didn't I think he actually um he
[1085] 1:00:05	was he wasn't his later dating wasn't as
[1086] 1:00:08	good as his earlier dating. So,
[1087] 1:00:11	raging smurf synoptic problem
[1088] 1:00:13	Egyptologist edition,
[1089] 1:00:17	I suppose. So,
[1090] 1:00:20	so um
[1091] 1:00:23	now um
[1092] 1:00:27	uh we do have to keep a couple things in
[1093] 1:00:30	mind though.
[1094] 1:00:32	Um
[1095] 1:00:34	there were some differences. There are
[1096] 1:00:36	going to be some differences too because
[1097] 1:00:38	we were trained slightly different.
[1098] 1:00:40	Okay.
[1099] 1:00:42	Um
[1100] 1:00:45	in uh in case of um of um
[1101] 1:00:51	of Hawthm,
[1102] 1:00:53	he basically picked up Kitchen's view
[1103] 1:00:54	through his books. Okay.
[1104] 1:00:58	Uh so he picked up kitchens views from
[1105] 1:01:00	his books
[1106] 1:01:01	and uh
[1107] 1:01:04	but Hoffmeer learned his his he he
[1108] 1:01:07	learned under Redford and Harrison.
[1109] 1:01:10	Okay. Now in my particular case
[1110] 1:01:14	I was taught directly by Hoffmeer and by
[1111] 1:01:18	Kitchen.
[1112] 1:01:19	Okay. So I think I'm the only guy who
[1113] 1:01:23	has ever taught by both. In fact, I know
[1114] 1:01:25	I'm the only guy who's ever taught by
[1115] 1:01:28	both.
[1116] 1:01:30	So,
[1117] 1:01:33	so, um,
[1118] 1:01:38	um, so,
[1119] 1:01:46	so that's, uh, that's basically where
[1120] 1:01:49	we're sort of kind of how our views sort
[1121] 1:01:51	of dovetail with each other. We're
[1122] 1:01:54	similar, but we're we're all unique
[1123] 1:01:55	individuals. And that's one of the
[1124] 1:01:57	things though that that
[1125] 1:02:00	um
[1126] 1:02:02	that Hoffmmer kind of taught was that um
[1127] 1:02:06	you follow the evidence wherever it
[1128] 1:02:07	leads.
[1129] 1:02:09	So he's an evidentialist. I'm an
[1130] 1:02:11	evidentialist
[1131] 1:02:12	and that's something that we sort of
[1132] 1:02:15	like hold fast to. So that's why our
[1133] 1:02:18	views sometimes differ.
[1134] 1:02:21	Okay, moving on here.
[1135] 1:02:43	Okay. Uh, I answered this already
[1136] 1:02:45	indirectly through the other question by
[1137] 1:02:47	Raging Smurf. Any idea if there's any
[1138] 1:02:49	actual good sources to try to falsify
[1139] 1:02:51	the hypothetical Torah sources or stuff
[1140] 1:02:53	with pastoral style differences? Again,
[1141] 1:02:55	I would go I mean, here's the thing.
[1142] 1:02:57	You're you're trying to defeat a
[1143] 1:03:01	a
[1144] 1:03:02	hypothetical
[1145] 1:03:05	Okay.
[1146] 1:03:06	Well,
[1147] 1:03:08	the hypothetical is a problem all by
[1148] 1:03:10	itself. Whenever you use hypothetical
[1149] 1:03:12	sources,
[1150] 1:03:14	uh you're using sources that don't
[1151] 1:03:16	exist. How do you defeat something that
[1152] 1:03:18	doesn't exist?
[1153] 1:03:20	It's it's it's it's almost a silly
[1154] 1:03:23	exploit.
[1155] 1:03:24	But there we go.
[1156] 1:03:27	But again, I would recommend Joshua
[1157] 1:03:29	Burman's book on this. You know, B
[1158] 1:03:31	basically says that their ideas that
[1159] 1:03:34	these sorts of things aren't possible
[1160] 1:03:36	are possible. Like one of the things
[1161] 1:03:37	that they'll say is that well you have
[1162] 1:03:42	two different sources because you have
[1163] 1:03:45	the Exodus source um and then you have
[1164] 1:03:47	the song of the sea which is poetry.
[1165] 1:03:50	Can't have poetry and pose in the same
[1166] 1:03:52	book because because no author is is is
[1167] 1:03:56	capable of doing poetry and pros.
[1168] 1:04:04	I might not be able to do poetry and
[1169] 1:04:05	pose but other people are.
[1170] 1:04:10	And the fact is that uh Burman points to
[1171] 1:04:13	many sources
[1172] 1:04:15	that have both poetry and pros in the
[1173] 1:04:18	same inscription.
[1174] 1:04:22	Like the MPA steel has poetry and pose.
[1175] 1:04:27	The battle of Kadesh has poetry and
[1176] 1:04:30	pros.
[1177] 1:04:32	The um
[1178] 1:04:35	Ottomos the third accounts often have
[1179] 1:04:38	poetry and pros. So eh
[1180] 1:04:43	so again it's it's you're you're trying
[1181] 1:04:46	you're you're swatting at things that
[1182] 1:04:48	that aren't even
[1183] 1:04:51	say real here. So, you know, you're
[1184] 1:04:55	going to you're going to have to show
[1185] 1:04:56	that, you know, the counterfactuals
[1186] 1:05:00	here. So, and so, so when you um the
[1187] 1:05:04	other one, Kilcore, Benjamin Kilcore,
[1188] 1:05:06	that's the other one. That's what I was
[1189] 1:05:08	trying to to remain uh remember earlier.
[1190] 1:05:11	He does a lot of work on this as well.
[1191] 1:05:14	So, if you want to if you want uh the
[1192] 1:05:16	other really good work on this, Benjamin
[1193] 1:05:18	Kilcore.
[1194] 1:05:20	So, uh, said, um,
[1195] 1:05:23	um, Joshua Burman and, uh, Benjamin
[1196] 1:05:26	Kilkor. So, hope that helps. Thank you
[1197] 1:05:28	for the question.
[1198] 1:05:38	>> Uh, Andrew Meisner asks, "Are biblical
[1199] 1:05:40	scholars more hostile to outside experts
[1200] 1:05:42	commenting on their field matters
[1201] 1:05:44	compared to scholars in other fields?"
[1202] 1:05:47	Uh,
[1203] 1:05:50	I wouldn't say they're more hostile.
[1204] 1:05:52	There are there are other there are
[1205] 1:05:54	other um groups
[1206] 1:05:57	other experts in fields that are very
[1207] 1:05:59	hostile. Uh like uh what was it called
[1208] 1:06:02	now? Um
[1209] 1:06:05	um
[1210] 1:06:07	he there there's a certain specialty
[1211] 1:06:09	that that um
[1212] 1:06:12	is heloclimatologists
[1213] 1:06:15	people who do um
[1214] 1:06:19	do solar weather basically this is a
[1215] 1:06:22	special he helocclimatologists these are
[1216] 1:06:24	these are people who specialize on the
[1217] 1:06:28	climate of the sun okay really That's
[1218] 1:06:32	their their their their incredibly niche
[1219] 1:06:35	specialty.
[1220] 1:06:38	They get really aggro when astronomers
[1221] 1:06:41	talk about the sun.
[1222] 1:06:44	Really aggro.
[1223] 1:06:48	Okay.
[1224] 1:06:51	Um, so this is not something that's
[1225] 1:06:53	combined to biblical scholarship,
[1226] 1:06:56	but if you get something that's sort of
[1227] 1:06:58	very intently focused,
[1228] 1:07:01	if you've got say other generalists who
[1229] 1:07:04	commented on it, the specialists will
[1230] 1:07:07	get a little more upset than say this
[1231] 1:07:11	the generalists. And it's not that the
[1232] 1:07:13	generalists are necessarily wrong.
[1233] 1:07:17	It's that the generalists are intruding
[1234] 1:07:19	upon the specialists.
[1235] 1:07:23	And biblical scholarship is really a
[1236] 1:07:28	secondary literature specialty.
[1237] 1:07:33	So when you get a generalist
[1238] 1:07:36	talking about something in the Bible,
[1239] 1:07:40	that can twist their pants in a knot.
[1240] 1:07:44	So,
[1241] 1:07:46	so it's I wouldn't say it's more hostile
[1242] 1:07:49	necessarily because there are other
[1243] 1:07:50	fields where you do see this, but it it
[1244] 1:07:53	it it's more indicative of the nature of
[1245] 1:07:56	their field that you see this sort of
[1246] 1:07:58	hedge protection. Okay.
[1247] 1:08:02	In more general fields, this is this is
[1248] 1:08:05	less the case.
[1249] 1:08:11	So in in a field like Egyptology, which
[1250] 1:08:13	tends to be more a generalist field,
[1251] 1:08:17	you do see Egyptologists sort of less
[1252] 1:08:19	concerned about all the garbage that's
[1253] 1:08:22	said about Egypt
[1254] 1:08:24	um than you'd see about say from
[1255] 1:08:27	biblical scholarship who get really
[1256] 1:08:29	uptight about this.
[1257] 1:08:32	So
[1258] 1:08:34	So anyway, I hope that helps. Thank you
[1259] 1:08:35	for the question.
[1260] 1:08:47	Milo Mortimer. She asks,
[1261] 1:08:50	"Is Pierre Goule doomed to have the
[1262] 1:08:52	short end of the banana?"
[1263] 1:08:59	Is that just a way of saying short end
[1264] 1:09:01	of the stick?
[1265] 1:09:03	Okay.
[1266] 1:09:06	Yeah. Oh, bones. Okay. They're shorter
[1267] 1:09:08	than a boom. Okay. But that banana.
[1268] 1:09:10	Okay. I see what I I see what you've
[1269] 1:09:12	done. I I I I see what you've done,
[1270] 1:09:14	Milo.
[1271] 1:09:17	Very clever. Very clever. Too clever. I
[1272] 1:09:21	didn't catch it.
[1273] 1:09:26	Uh yeah, I think he is. I think he's
[1274] 1:09:28	going to get the short end of the
[1275] 1:09:29	banana.
[1276] 1:09:31	I'm not saying how. saying how. But
[1277] 1:09:36	yeah, he's probably gonna get the short
[1278] 1:09:37	end and the banana.
[1279] 1:09:42	H
[1280] 1:09:49	science search party says banana.
[1281] 1:09:53	Oh, okay. This comes out of the very
[1282] 1:09:56	first book
[1283] 1:09:59	which is
[1284] 1:10:02	reoquaryy of the dead. Okay.
[1285] 1:10:06	When they dig up skeletons, they are
[1286] 1:10:09	told to refer to this to the bones as
[1287] 1:10:11	bananas.
[1288] 1:10:13	Okay. This is something that's actually
[1289] 1:10:17	done.
[1290] 1:10:18	Okay.
[1291] 1:10:21	In Israel, if you do an excavation
[1292] 1:10:25	and you happen to find the find bones on
[1293] 1:10:27	the site and you have to talk about it
[1294] 1:10:30	in public, you know, in maybe at a cafe
[1295] 1:10:33	somewhere with your colleagues,
[1296] 1:10:36	you refer to the bones as bananas.
[1297] 1:10:41	And the reason why is if somebody
[1298] 1:10:43	overhears
[1299] 1:10:44	you talking about bones instead of
[1300] 1:10:47	bananas,
[1301] 1:10:49	uh the religious authorities can shut
[1302] 1:10:50	down your dig. They can shut down your
[1303] 1:10:53	dig
[1304] 1:10:54	and it will at that point go over years
[1305] 1:10:58	of religious examination
[1306] 1:11:01	uh to see if those guys are really
[1307] 1:11:04	really if they're Israelites or
[1308] 1:11:06	Philistines.
[1309] 1:11:08	So,
[1310] 1:11:20	uh, yeah, the the banana thing is real.
[1311] 1:11:31	Uh, Milo, she says, "Well, that's
[1312] 1:11:32	unfortunate because I see myself in
[1313] 1:11:34	him." Oh.
[1314] 1:11:39	Um,
[1315] 1:11:40	well, you don't have to end up like
[1316] 1:11:42	that, okay?
[1317] 1:11:45	Um, you'll be fine. You'll be fine. Just
[1318] 1:11:49	get some nice juicy grants from an oil
[1319] 1:11:51	company and and you'll do fine.
[1320] 1:11:56	You know, paleontology is a good gig.
[1321] 1:11:59	It's a really good gig if you're
[1322] 1:12:01	connected to an oil company.
[1323] 1:12:03	I mean that's what ends up happening to
[1324] 1:12:04	most paleontologists is they end up
[1325] 1:12:06	working for big oil
[1326] 1:12:09	because uh they always are looking for
[1327] 1:12:13	new deposits.
[1328] 1:12:16	So and how do you find new deposits is
[1329] 1:12:18	you find new fossils.
[1330] 1:12:20	So,
[1331] 1:12:28	so anyway, uh yeah, um
[1332] 1:12:33	it I don't think it ends up it's I don't
[1333] 1:12:35	think it's going to end well for for for
[1334] 1:12:38	Pierre, but
[1335] 1:12:40	Oh, I'm getting a dirty look from Alpha
[1336] 1:12:42	Raider. Dirty look from Alpha Reader.
[1337] 1:12:49	Sunset happily ever after.
[1338] 1:12:52	>> Alpha reader says Pier needs to ride off
[1339] 1:12:54	into the sunset and have a happily ever
[1340] 1:12:56	after.
[1341] 1:13:01	Well, I won't say what happens in book
[1342] 1:13:04	six, okay?
[1343] 1:13:08	But I already know what his fate's going
[1344] 1:13:09	to be in book six. It's not his final
[1345] 1:13:11	fate.
[1346] 1:13:29	Milo, she says,
[1347] 1:13:32	"Uh, Peter Chin is going to destroy my
[1348] 1:13:34	evidence for life on other planets."
[1349] 1:13:37	Um,
[1350] 1:13:40	he does a pretty good job of it.
[1351] 1:13:43	Mama says, "Respect the alpha.
[1352] 1:13:47	I'm the Zeta reader.
[1353] 1:13:48	>> CPM versus D. I'm the Zeta reader.
[1354] 1:13:50	That'd be the Omega reader. Zeta's in
[1355] 1:13:53	the middle of the alphabet.
[1356] 1:13:56	>> He could be a Zeta.
[1357] 1:13:58	>> He could be a Zeta. We don't have a
[1358] 1:13:59	position for Oh, Bri. Oh, no. Brian
[1359] 1:14:02	Chin. Okay. Uh, is that like a
[1360] 1:14:05	combination of of Brian and Chin?
[1361] 1:14:08	I don't know.
[1362] 1:14:10	very young.
[1363] 1:14:18	Okie dokie.
[1364] 1:14:22	Let's get back to the questions here.
[1365] 1:14:29	Serial bowl. Why is the account of Balum
[1366] 1:14:32	and the dear Allah inscription so
[1367] 1:14:34	different from the book of Numbers? Uh
[1368] 1:14:36	several reasons. One, they're separated
[1369] 1:14:38	by 700 years.
[1370] 1:14:40	Uh, two, he was a actually a Moabitete
[1371] 1:14:44	prophet. So, the Moabites have their own
[1372] 1:14:46	view of of um who Balam was and what he
[1373] 1:14:51	did.
[1374] 1:14:52	So, but it's really interesting that the
[1375] 1:14:57	Moabites had, you know, recorded Balum
[1376] 1:15:01	son of Peor. That's incredible. Just
[1377] 1:15:04	that that reference there is just really
[1378] 1:15:06	amazing.
[1379] 1:15:08	Um the fact that the the mythology of
[1380] 1:15:11	Balum of uh son of Peor has developed in
[1381] 1:15:14	the 700 intervening years is is actually
[1382] 1:15:18	quite remarkable. So incredibly
[1383] 1:15:22	interesting.
[1384] 1:15:28	Jack Ray. Maybe Pierre stumbles on some
[1385] 1:15:30	rando dude that somehow keeps showing up
[1386] 1:15:33	at the right time to keep him alive or
[1387] 1:15:35	just hand him the equivalent that to
[1388] 1:15:38	that critical screwdriver he needs to
[1389] 1:15:40	save the day. He isn't Doctor Who.
[1390] 1:15:44	Unfortunately,
[1391] 1:15:46	be pretty cool if he did. You just use
[1392] 1:15:49	that Sonic screwdriver whenever you need
[1393] 1:15:51	it.
[1394] 1:15:54	But he's not Doctor Who
[1395] 1:15:57	mama. Oh no.
[1396] 1:16:04	Mila Mortimer. Brian Young plus Peter
[1397] 1:16:06	Chin. Oh yeah, that would not be a good
[1398] 1:16:09	combination.
[1399] 1:16:14	Stupidity and arrogance would not be not
[1400] 1:16:17	a great combination.
[1401] 1:16:29	Uh Ryan get asked is Peor of um Balum
[1402] 1:16:33	son of Peor and the Balaporior related?
