[0] 0:03	okay uh
[730] 1:19:15	I don't think that affects his Precision per se his position is more in line with abrs
[731] 1:19:22	which is a strict early date of The Exodus High chronologies kind of position
[732] 1:19:27	you know almond hotep II um
[733] 1:19:36	so you know we got yeah I don't think there's any relation specifically with cranny and roll
[734] 1:19:45	he's much more in line with ABR so that's sort of my take on this
[735] 1:19:52	and you go you guys want to chime in yeah I was just reading the other day a
[736] 1:19:57	letter by David raw written uh to Tim mahaney however you say his name saying
[737] 1:20:05	that he didn't represent his position correctly in the latest movie I think
[738] 1:20:11	it's on the location of the Sinai and and uh he goes with the Sinai Peninsula
[739] 1:20:18	you know to mahini goes with the whole Arabia thing and uh he was complaining
[740] 1:20:23	that he wasn't actually reading the Bible correctly uh him not being a
[741] 1:20:29	Christian and Tim mahini being a Christian and he was right on that one because he points out to all those names
[742] 1:20:35	um and they're close by Egypt in the land of egyptom and so on and they just
[743] 1:20:41	moved them all the way uh to the other side of the Sinai Peninsula and I found
[744] 1:20:49	it funny that now he's complaining they're not representing his view views correctly
[745] 1:20:55	oh surprise surprise yeah uh we also had another Super Chat
[746] 1:21:01	earlier on where somebody asked me to uh talk about the 450 years in Acts 13.
[747] 1:21:09	he said his reference in his Super Chat was to acts 13 20.
[748] 1:21:16	uh but that seems to be the period from uh
[749] 1:21:22	there just seem to be some inconsistency here over what exactly is being talked
[750] 1:21:27	about as to the 450 years and this is the problem of Acts for 13.
[751] 1:21:33	the we're not exactly sure when those 450 Years start there is definitely
[752] 1:21:40	debate and textual variance involved so this is a very difficult verse to pin
[753] 1:21:46	down and you know Titus even brought this up
[754] 1:21:51	in the debate you know when I challenged him on this it was just like well there's variance
[755] 1:21:57	I wouldn't pin a a use this as a Crux of my my argument
[756] 1:22:02	yeah okay why'd you bring it up yeah that text is not clear whether it
[757] 1:22:08	refers from The Exodus to Abraham or from The Exodus to Samuel David and most
[758] 1:22:16	most uh New Testament uh translations go from Exodus to Abraham yeah and I take
[759] 1:22:23	that view also I take that view too yeah yeah so that was a bad move on him to
[760] 1:22:32	mention it especially when you have something that's very debatable and within the Deep debate most people go
[761] 1:22:39	with the other interpretation not yours yeah well anytime you've got a position
[762] 1:22:45	where there's an alternate point of view you got to be very very careful
[763] 1:22:51	especially if you're using it as a proof text because the whole point of this is
[764] 1:22:57	you're trying to make a case you're trying to build a case for your position
[765] 1:23:04	yeah so if you're doing it on dodgy data then that's always going to be a problem
[766] 1:23:10	now candy has tried to circumvent this in the past
[767] 1:23:16	by saying yeah each point I'm making is dodgy
[768] 1:23:22	but you take them all together and suddenly
[769] 1:23:28	they're less dodgy when taken all together
[770] 1:23:34	ah eh so much no that's that yeah that's so much no you
[771] 1:23:41	know you take a you take a pile of trash and you they'll have
[772] 1:23:46	something more than a pile of trash foreign
[773] 1:23:52	yeah I don't get how that works to be fair I think I think I'm I'm a
[774] 1:24:02	suspect how it oh one might ache go bad
[775] 1:24:07	by like accusing Occam's razor it'd be like oh like like my explanations like
[776] 1:24:14	the simplest explanation of all these different points but I get what you're getting at as well
[777] 1:24:20	this is the just Gallop argument you just put a lot of arguments and
[778] 1:24:26	information and it should stick I think the problem with the early daters is
[779] 1:24:31	they don't debate others and they just talk within each other so the schools I went through were early
[780] 1:24:39	dating schools and I heard all the arguments I know them
[781] 1:24:44	um I grew up with them as a 19 year old you don't know better until you grow older and you start studying it and you
[782] 1:24:52	see the arguments not sticking and then you see the variance within whether the
[783] 1:24:58	numbers are different in the masoretic and the Septuagint and so on and I was
[784] 1:25:03	hearing arguments like this one and it'll make some of you laugh the reason
[785] 1:25:09	uh a lot of early dators go with 430 years I know some might not take you literal
[786] 1:25:15	and so on they go with 430 years uh in Egypt is because
[787] 1:25:21	Joseph shaved he couldn't have been during the hick sauce because he was asked to shave and
[788] 1:25:28	the hexas had beards what yeah
[789] 1:25:36	so I'll make the point there are the difference in the Maserati you have 430
[790] 1:25:41	in the septuagen you have 215 in Egypt and
[791] 1:25:47	they were saying that it couldn't have been during the hexas Joseph couldn't have entered uh Egypt during the hexas
[792] 1:25:54	because he was asked to shave when he was taken out of the prison going to the fair
[793] 1:25:59	it's not like you're staying in one of the dirtiest places and you're going before the strongest man in the country
[794] 1:26:05	and you need to look nice in your beard is probably Dusty and has all kinds of
[795] 1:26:10	stuff in it lice and so on and you have to shave
[796] 1:26:17	makes sense oh boy that's bad yeah that's that's I mean I
[797] 1:26:24	I know all the art grew up with them and um that's bad they don't debate they need to debate
[798] 1:26:32	more and they need to see that there's something different out there and their views can be challenged
[799] 1:26:41	well this is my first time I've debated an early data
[800] 1:26:47	you're 1-0 bro oh boy the first time I debate did a formal
[801] 1:26:54	debate against an early dater was with Douglas petrovich and David roll at the same time
[802] 1:27:01	that is aggravating Douglas petrovich will never engage anything you say ever
[803] 1:27:08	he'll just assert it and double down on that assertion you know you know you'll say okay what
[804] 1:27:17	about pool offices we got cesium and agatronity that shows that the site is is is you know 13th you know century
[805] 1:27:26	and he'll go well what about the Celtic cycle dating
[806] 1:27:33	wait I asked you a question can you answer it what about the solving cycle
[807] 1:27:40	yeah no one uses it anymore but it's just but that's what you're dealing with
[808] 1:27:45	you're dealing with that constant assertion and doubling down
[809] 1:27:52	so you can't engage you just can't engage because you won't engage
[810] 1:27:58	yeah well engage you know um James Hoffmeyer experienced the same
[811] 1:28:06	uh problem with Charles ayling when he debated him in San Diego
[812] 1:28:12	you know alien kept doubling down on on what his beliefs
[813] 1:28:20	and you know him was trying to get him to the point where he was just you know he was trying to get him to say okay you
[814] 1:28:28	know you're the one who's redacting to text you're the one who's changing the content of the text
[815] 1:28:33	not the late date position and it was a real fight getting ailing to go
[816] 1:28:40	there I think where the debate got a little
[817] 1:28:47	bit heated um just a little like near the end when you
[818] 1:28:54	were talking about you can't read a research paper with with archaeological digs
[819] 1:29:00	because that that's bad that was baffling to me that uh
[820] 1:29:06	you know like you said you don't date you don't date something at the end you know during its destruction
[821] 1:29:14	um no you don't put the discretion at the beginning of the strata yeah yeah
[822] 1:29:21	like did is he being deliberately
[823] 1:29:27	I don't know you can't make that it's it's like saying two plus two is five like that's that's how bad the mistake
[824] 1:29:32	is you can't you can't make that mistake is there a reason why
[825] 1:29:38	is that no choice but was that miscommunication there on his part he's
[826] 1:29:43	got no choice let's say he's pressed he's pressed to believe that yeah that's
[827] 1:29:49	what he's pressed to believe that you see if he doesn't put that destruction there at the beginning of
[828] 1:29:55	the late blonde strata then he can't make a case for an early
[829] 1:30:02	Exodus day uh the early conquest at hatsor
[830] 1:30:07	foreign he has to do that if he wants to keep the position
[831] 1:30:15	but if he if he so if he took your recommendation with them like an earlier
[832] 1:30:21	um uh I think his name was Tim when he spoke about chronological
[833] 1:30:26	alignments does then the chronology match with El hofmeyer slash late date you know for
[834] 1:30:35	the Exodus well he never contested the late bronze destruction layer
[835] 1:30:42	he wrathfully recognized that that later destruction layer was late bronze 2 2B
[836] 1:30:49	but they think they think during Deborah it's not Deborah
[837] 1:30:55	the problem is that that uh strata three strata two destruction
[838] 1:31:02	there all the research Reports say Sir out of three
[839] 1:31:07	because they put them at the end of strata
[840] 1:31:12	which happens to be that that strata three is Middle bronze 2B
[841] 1:31:18	strata is late bronze one because because you see that
[842] 1:31:24	I kind of felt bad for him because he didn't push back
[843] 1:31:31	on you know when you were pointing out look this is this is the positioning and all that with this with the strata
[844] 1:31:37	and he ends the debate uh by saying you know like when Sean says
[845] 1:31:44	how can you get in touch with you and blah blah and he's like oh you know I didn't know this he's at Biola and he's
[846] 1:31:51	he's like a what an assistant professor or something or teacher he's an adjunct right
[847] 1:31:57	and um here I'm thinking to myself oh my gosh if any of the students were to watch
[848] 1:32:03	that it's like this simple misalignment due to a certain you know bias I suppose
[849] 1:32:10	and like that that to me was that that that completely just
[850] 1:32:17	that's all um further conversation or further the debate should just have ended the
[851] 1:32:23	um right well there are several points in this
[852] 1:32:29	debate where it was it was a dumpster fire
[853] 1:32:37	yeah I mean you could I mean you did not hold back okay
[854] 1:32:42	[Laughter] I mean the judge's 11 thing was just a
[855] 1:32:48	dumpster fire yeah Sean's face is just like once you
[856] 1:32:54	actually broke that down showing how we contrast you know like
[857] 1:33:02	the judges 11 thing was was bad the name of romsey's was bad
[858] 1:33:08	the strata interpretation was bad there were three really sort of low
[859] 1:33:13	points of that debate coping
[860] 1:33:21	yeah that both of you believe in an actual Exodus you know who ended somehow
[861] 1:33:26	at least with something that is in common to both of yous I'm a mediator
[862] 1:33:31	myself so that I would have pointed to that well he didn't give us Sean didn't give
[863] 1:33:36	us any any opportunity for opening remarks it was just
[864] 1:33:41	here's a here's an archaeologist works at Biola here's an egyptologist talk about the Bible
[865] 1:33:49	I got some carrot cake for the party
[866] 1:33:56	speaking of food absolute bad news I'm all out of popcorn [Laughter]
[867] 1:34:04	I'm down to a quarter of my popcorn all these like the seed things or
[868] 1:34:11	whatever they're called
[869] 1:34:17	a little bit about Judges 11. sure
[870] 1:34:22	um just a reminder if you're not participating please drop out so we can add someone else in I just have people
[871] 1:34:28	here I actually got to leave here in a minute but actually I have a question um it's kind of related but you know
[872] 1:34:33	there's debate about the word suf in Hebrew about it being an Egyptian LW or loanword and everything and that's it
[873] 1:34:40	but I was going to say I was just about to say and I think it is too but um I
[874] 1:34:45	was reading through Paul um you know and there's you know some debate about it being to see at the end which seems the
[875] 1:34:51	mo the least probable to me um and then a lot of uh early daters
[876] 1:34:58	usually use that as maybe the uh the Gulf of Aqaba to prop up the the Red Sea
[877] 1:35:04	argument instead of the Sea Breeze argument so I didn't know um your thoughts on actually it not being okay
[878] 1:35:11	so okay here's my thought on this is it's confusing early Hebrew with
[879] 1:35:18	middle Hebrew it's a confusion it's a it's it's taking
[880] 1:35:24	it's it's taking a um it's taking us in chronic approach
[881] 1:35:31	okay or a diatonic approach you know you're just taking the whole uh history of Hebrew and compressing it
[882] 1:35:40	you know this is the problem say Strong's Concordance is it takes doesn't doesn't it doesn't
[883] 1:35:46	differentiate between what's early Hebrew what's middle Hebrew what's lay Hebrew oh by the way Jeff manners ancient
[884] 1:35:52	Hebrew language has change over time you know in the case of sooth in say the
[885] 1:35:59	pentateuch there's no question it means reads we have the yamsuf but we also have suf
[886] 1:36:07	up here twice in Exodus 2. as reads you know uh Moses's mother
[887] 1:36:15	makes a basket out of soof okay those are reeds yeah and then she
[888] 1:36:21	places the basket among the soup reads yeah
[889] 1:36:28	it's only layer in the eight uh eighth seventh century that we start seeing
[890] 1:36:33	that that soup change to self okay okay so it's a later reading and I
[891] 1:36:41	guess they have to say that they have to say that too because to fit the uh the DH um when it comes to yeah if it's the
[892] 1:36:47	Hebrew because it fits yeah okay all right guys are prefers so
[893] 1:36:54	yeah yeah hyzer is a second temple period guy though yeah wait what Heiser
[894] 1:37:03	yeah if you listen to his podcast you would hear him saying yeah I'm soft instead of
[895] 1:37:09	oh no he's no I'm pretty sure he holds sea of reeds like The Bitter Lake that
[896] 1:37:15	location up there Heiser is very
[897] 1:37:20	um iffy about his Exodus views I'm gonna be right out there
[898] 1:37:25	Hyder was really influenced by rolls Forum on new chronology
[899] 1:37:34	distance Kaiser was yeah I know he's distanced himself a little bit
[900] 1:37:39	but he's still he's still in Coal he was still inculcated in that I still give
[901] 1:37:46	gives David roll say well you know maybe David rolls right
[902] 1:37:52	I listen to him he's presenting them
[903] 1:37:57	um he kind of agrees that somewhere in his past he no thought about it but he
[904] 1:38:05	doesn't really support for example yeah for example he held to the Jebel at laws like if you go
[905] 1:38:11	back in his blog like back in what 2009 or something he held to the a lot as like a possible
[906] 1:38:17	candidate and then
[907] 1:38:24	and some of the names he's been working on and his now the thing is Heiser has
[908] 1:38:30	actually mentioned your work David he's he's actually mentioned your work by name he's like and David's excellent
[909] 1:38:37	work with respect to the Ark of the Covenant and the furniture stuff and because his latest
[910] 1:38:43	this is outside his naked Bible podcast of this is in his awakened School of Theology course
[911] 1:38:50	he um he's actually referenced her work and he's he's aware of basically your
[912] 1:38:56	work in this area and he's because of the five years book that came out with half a mile you know
[913] 1:39:02	um as a contributor that has practically sealed the deal as far as
[914] 1:39:08	your and hofmeyer's chronological aspects like he's he's basically now sold I'm not known I just wanna I just
[915] 1:39:15	want to like well maybe I'm not up to date on what his current views are yeah you know here's the thing I mostly agree
[916] 1:39:21	with him on most items there's just a few things here and there that I do disagree with him on
[917] 1:39:26	all right guys I gotta go though all right take care good to have you here yep hey buddy
[918] 1:39:31	well I think I think to but more so on your point David with with uh heiser's
[919] 1:39:37	Exodus views that so putting aside the chronology yeah he does then go into
[920] 1:39:42	as typical of Heiser you know there's like Niche little study areas and and it's it's speculative like it's you know
[921] 1:39:50	so um like you know we're talking about things like you know the golden calf and
[922] 1:39:56	will find some odd little paper discussing them
[923] 1:40:01	and yeah and in fact I think that's like during your um your Q A's I've sent you super chats
[924] 1:40:08	because I said and studies he's raised and I've clarified with you and you've also because I'm in the middle here and
[925] 1:40:15	you've clarified yes or no studies and yeah
[926] 1:40:23	hey look who it is um
[927] 1:40:28	good side it's good to see you to Target your highest donor right
[928] 1:40:40	creation or Microsoft oh yeah I was saying that um you know I'm kind of kind of shy so I'll kind of make this a
[929] 1:40:46	little faster one duck um I heard from like um what he said
[930] 1:40:51	about taking the four the 480 years and then you made up a good case about
[931] 1:40:58	like the tempo dedication and about how like um I think it's like Mesopotamia they use a multiple of 60 or something
[932] 1:41:04	yeah 60 and 12. yeah to get 720. yeah so it was kind of odd for like Titus
[933] 1:41:10	Kennedy to not like take that like um the 480 to be um you know um symbolic too because I know
[934] 1:41:17	like if you get like 480 and then divided by 12 a symbolic number you also get 40 like an idiom right
[935] 1:41:24	but what I found really sort of slippery about about titus's uh response to this was his exact almost
[936] 1:41:33	wait a minute it's either exact or it's not you're either pregnant or you're not
[937] 1:41:40	yeah
[938] 1:41:46	he's arguing he's trying to argue for exact numbers here then he goes exact almost
[939] 1:41:53	what what am I hearing here are going to be like 579 instead of like
[940] 1:42:00	four uh sorry 479 instead of 480 pretty much yeah yeah yeah no I noticed that
[941] 1:42:07	he's argument yeah he said he said that yeah he said
[942] 1:42:13	the 479 and hence the he's thinking exact which is the biblical figure and then the
[943] 1:42:19	almost which is the you know the secular dating I suppose or some sort of like granular like I don't
[944] 1:42:26	know scientific dating or something and yeah you consider the variance in the
[945] 1:42:33	septuaginten a lot of early daters don't really give too much appreciation
[946] 1:42:39	to the Septra gen10 they just consider it saying yeah well the masoretic got
[947] 1:42:45	has the right numbers and so he was trying to say you get 440 or 480
[948] 1:42:52	somewhere in between maybe that's what he was trying to make well but it wasn't
[949] 1:42:58	clear well when you look at say the 400 year Stila
[950] 1:43:04	it's talks about a 400th year fourth month fourth day
[951] 1:43:11	okay when it gets right down to that sort of granularity it's either exact or it's
[952] 1:43:16	not you know you don't you only even have a year regular movie or you've got a day
[953] 1:43:23	of wrinkle rope so the idea that you know when you've
[954] 1:43:29	got a temple that's off by 50 years you know and you go right down to the date you know they're not trying to be exact
[955] 1:43:35	at that point it's numerological dated it's four four
[956] 1:43:41	but didn't they say that or like you know Sean was confused he was like oh
[957] 1:43:46	you know it's it's close and then Dr Faulk you asked him you were like wait what is actually your view then he said
[958] 1:43:52	oh I mean like completely literally like doesn't that kind of contradict
[959] 1:43:59	like the whole whatever things going on here Sean was throwing Titus a lifeline
[960] 1:44:07	twice yeah he saved him twice with the ammonites he
[961] 1:44:13	was heading for it I mean now my rights for him uh he was heading back to the mri's he wanted to do it twice in at
[962] 1:44:21	least once I saw Sean stopping him just not letting him get embarrassed more
[963] 1:44:27	yeah yeah he was he was throwing ties at a lifeline and ties through it back
[964] 1:44:35	okay that's what happened that was what was happening there
[965] 1:44:41	but I happen to know that most of these early dators believed an exact dating
[966] 1:44:49	exact numbers they don't they don't buy approximates
[967] 1:44:55	there's very very few early days that believe that this was 479 years
[968] 1:45:00	approximately almost all of them believe that is 479 exactly right down to the year
[969] 1:45:09	Gregorian calendar this is tripling argument the because he
[970] 1:45:16	says 479 full years and it's in the 480th year
[971] 1:45:22	first king six has second month it doesn't have fourth month they could
[972] 1:45:28	have argued with that saying well well he doesn't go we know four four he goes with second month uh and so they just
[973] 1:45:36	want to go with what's full years and subtract one year out of those 480.
[974] 1:45:41	mm-hmm that makes sense yeah
[975] 1:45:47	so I got a question about just the the mood of like you know approaches in the debate so
[976] 1:45:53	um uh so I've noticed like a lot of people like more in the comments section and
[977] 1:45:59	the live chat of the actual video where um you know people were saying uh Dr
[978] 1:46:04	Falk he's so harsh he's he's not like you know being a good Christian or whatever
[979] 1:46:10	um and like I'm a big fan of yours like I've watched almost like all your videos like I know like you're not like just
[980] 1:46:16	trying to win something yeah whatever
[981] 1:46:25	what your pastor didn't tell you has watched all of my videos oh my gosh somebody has
[982] 1:46:32	started I watch most of them
[983] 1:46:38	but at least listen to Red Letter day [Laughter]
[984] 1:46:44	um but anyway so I was just gonna say that like like I know you're not trying to like just win a debate so I just wanted to get your comments like
[985] 1:46:51	um I don't know maybe uh just like you know what your thoughts on that
[986] 1:46:56	hmm well I entered into this bait with the
[987] 1:47:01	idea that I was going to be focus on the arguments
[988] 1:47:07	be conciliatory be as diplomatic as possible
[989] 1:47:12	but there's a there's a point where you know when you're when your opponent
[990] 1:47:18	crosses the Rubicon that you really can't be anymore
[991] 1:47:24	when you have to sort of shift your gears from okay this is not too high intellectual
[992] 1:47:31	interlocutors trying to discuss basically similar ideas
[993] 1:47:38	that your opponent doesn't know what he's talking about doesn't know what he's doing is completely incompetent
[994] 1:47:46	and then you're kind of stuck with okay do I let people think he's competent in
[995] 1:47:52	spite of his incompetence or do you expose that for the sake of
[996] 1:47:58	the edification of the body and that's a tough choice to make that's
[997] 1:48:05	a really really tough choice to make because you do risk coming off looking mean
[998] 1:48:11	you do risk coming off looking condescending but
[999] 1:48:17	at that point you have to say Okay what is the greater imperative here
[1000] 1:48:22	to expose what are bad ideas
[1001] 1:48:28	Bad Teachers incompetent teachers or do you let them continue doing what
[1002] 1:48:35	they're doing without any comment at all at least if you expose the bad ideas and
[1003] 1:48:42	suppose the incompetence then at least then everybody knows and
[1004] 1:48:48	then they can make their choices from there
[1005] 1:48:53	it's not it's not a decision I took lightly it's not a decision I had made going into this
[1006] 1:49:01	it was a decision I made because of what I started hearing
[1007] 1:49:07	really really it's a decision I made right at the judge's 11 point
[1008] 1:49:19	s is 11. can we go into it sure
[1009] 1:49:26	I was uh I was reading through the text uh and trying to see your arguments
[1010] 1:49:34	and uh what I've noticed is that the moabites are mentioned quite a lot in
[1011] 1:49:40	the text as well so you have the ammonites and you also have the mall bytes mentioned a lot now
[1012] 1:49:47	we know that the ammonites and the moabites and the [ __ ] and the
[1013] 1:49:53	amalekites and the midianites or what we call the ketamites the easterners right
[1014] 1:50:00	and uh they shared uh the same blood coming from Abraham sort of and um some
[1015] 1:50:08	of them did but go on yeah sort of and uh they probably shared some cultural
[1016] 1:50:14	common background um at least for a while
[1017] 1:50:19	and the moabites and the ammonites were Neighbors and find them earlier in in judges
[1018] 1:50:28	working together against the Israelites you find you find all these people the
[1019] 1:50:34	amalekites [ __ ] moabites and ammonites at times working and the
[1020] 1:50:39	midianites but that's more rare you find them one the other and especially given that they had a
[1021] 1:50:46	bigger enemy a stronger enemy couldn't this be a case of the ammonites
[1022] 1:50:52	working with your moabites you know having a treaty to fight against the
[1023] 1:50:59	um Israelites on the Eastern Bank of Jordan
[1024] 1:51:05	it's possible we just don't have any evidence for that we have no evidence for that
[1025] 1:51:12	so yes it's very very possible that they could have that could have been some
[1026] 1:51:18	sort of cooperation between Ammon and Moab but we don't have the specific evidence for
[1027] 1:51:26	that well the text to text is is really specific as regard to am an ex asserting
[1028] 1:51:34	its ancestral claim over the lands of the heshbana and the Armin
[1029] 1:51:39	but in the claim he also mentions Ballack son of zippoor King of Moab
[1030] 1:51:47	okay that's prologue okay now now in that prologue is taking a famous historical figure
[1031] 1:51:55	and he's basically saying you know are you better than balak's son of zippor
[1032] 1:52:02	are you better than him did balik struggle or control uh uh
[1033] 1:52:10	strive against Israel that's basically that's posturing
[1034] 1:52:17	that's that's jephthah telling the king of the son of Ammon hey you better are you better than this famous King this
[1035] 1:52:24	famous did this famous King scared to go against the might of Israel
[1036] 1:52:33	it's a problem for his argument I mean here I'm saying japheth's
[1037] 1:52:39	argument because the answer is I mean it's a rhetorical question we have the interrogative marker in there
[1038] 1:52:46	so it's a rhetorical question he's basically saying that no not even balik
[1039] 1:52:53	uh son of support dare to go up against us when the fact is he did and lost badly
[1040] 1:53:02	so that doesn't infer a an alliance between Moab and Ammon
[1041] 1:53:09	but it does basically saying that a regional power maybe greater than Ammon
[1042] 1:53:16	didn't even dare to come up against Israel because when you look at say the kingdoms of Ammon
[1043] 1:53:22	and the kingdom was a MOAB Moab is a much greater kingdom yes for sure
[1044] 1:53:28	so I mean Japan is trying to to make a ploy here that really doesn't work because he
[1045] 1:53:35	doesn't understand the history this is his last message basically there
[1046] 1:53:41	are like three exchanges diplomatic so to speak between that yeah and then the
[1047] 1:53:46	second one he said whoever was that sent by Jaffa
[1048] 1:53:52	Israel did not take the land of Moab and the land of the sons of Ammon
[1049] 1:53:57	so to whom I mean the message he's saying we didn't take the land of Moab
[1050] 1:54:02	we didn't take the land of Ammon now it was only speaking to the ammonites why
[1051] 1:54:08	is he mentioning the moabites as well okay he didn't take the uh land of Moab
[1052] 1:54:15	because he didn't the Israelites never entered the animal up they went around it he didn't take the lead of Ammon because
[1053] 1:54:23	it was already occupied by the amorites okay yeah I agree he's taking the land
[1054] 1:54:30	of the amorites which the amorites took from the
[1055] 1:54:36	ammonites
[1056] 1:54:41	and this is what this whole dispute is about Israel took the land of the abraits
[1057] 1:54:47	which the amorites took from the ammonites so the sons of Ammon are asserting an
[1058] 1:54:53	ancestral plane they're basically saying the ammonites are saying to the Israelites
[1059] 1:54:59	hey amales took her land you took their land we want that back
[1060] 1:55:08	yeah so is this really what's going on in the passage here
[1061] 1:55:13	yeah I still think that the F of the fact that the more bites I just
[1062] 1:55:19	mentioned so many times it might have to do with their involvement somehow
[1063] 1:55:25	well there's no direct connection to that but there isn't it's possible but is it possible but there isn't isn't a
[1064] 1:55:32	direct we we have to deal with the text we're given now if we find some extra
[1065] 1:55:38	um some extra biblical evidence that allows us to inform that that
[1066] 1:55:43	conversation to say hey maybe they were involved hey I'm up for it I don't think it would change much
[1067] 1:55:49	but right now all we have is basically this is a struggle between
[1068] 1:55:55	kepta and the ammonites that's what we got right now the ammonites were closer though
[1069] 1:56:01	moabites were further away so yeah when when you look at the geography uh
[1070] 1:56:07	on the on the um Eastern Jordan you know you're gonna have that that
[1071] 1:56:13	that heshbun and the Arnon on the North and then beneath that the kingdom of Ammon and then beneath that uh the
[1072] 1:56:20	kingdom of Moab yeah
[1073] 1:56:26	David just to clarify on this uh with respect to judges 11. so how does
[1074] 1:56:31	this then connect to the early verse later like what what's that what why are we discussing ammonite amorites
[1075] 1:56:40	uh confusion I suppose with you know it goes down to verse 26 300 years where
[1076] 1:56:47	japheth said you know for 300 years Israel has occupied the kashbon and the
[1077] 1:56:54	RNN you know why didn't you take back the land in this time
[1078] 1:56:59	they date the uh jephthah to around say 1100 BC they add 300 years and they get
[1079] 1:57:06	1400 BC and then what what what about the other
[1080] 1:57:11	47 years or something or 46 years they say close enough
[1081] 1:57:20	it's approximation yeah okay Dr Fox
[1082] 1:57:28	go for it what you're gonna finish oh this is their second go-to Passage
[1083] 1:57:35	you know when you when you when you listen to how the early daters do their polemic
[1084] 1:57:43	they almost to a to a fault um follow a specific pattern
[1085] 1:57:50	of what verses and texts they do start with first king six one
[1086] 1:57:59	then they move to judges 11. then they moved to First Chronicles chapter six
[1087] 1:58:05	then they moved to Acts 13.
[1088] 1:58:10	then they moved to the center of
[1089] 1:58:17	them and once they they've gone through that there's nothing else they can do they're done at that point and there's
[1090] 1:58:24	also the Ezekiel I forgot the chapter about the Jubilee I release that's
[1091] 1:58:29	probably that's part of the center of rubber yeah Ezekiel 40 verse one exactly yeah that's
[1092] 1:58:35	that's part of that Center Alum argument I don't know how somebody can reference
[1093] 1:58:41	Center Olam when they obviously get it so wrong but I mean I understand the Jews okay it's
[1094] 1:58:49	in their blood their rabbinical line and so on whatever they they have with that but Christians I really don't don't see
[1095] 1:58:56	the need for that it's a last it's a last-ditch effort
[1096] 1:59:04	and they will they'll really pump up the center alone they'll say oh the tell mud that's that's really accurate in every
[1097] 1:59:09	way you know the Jews were really really conscientious about recording history
[1098] 1:59:14	exactly as it was they loved Jesus so much oh yeah
[1099] 1:59:20	it's pretty crazy I mean it's really crazy from both historical and religious point of view but that's how desperate
[1100] 1:59:27	they are to retain this this Theory I think it's a partially a methodology
[1101] 1:59:33	problem too because it's like all right we have we have to take the literal view of the Bible and then anything after
[1102] 1:59:40	that it's just we're just looking for possibilities it's not even though much about evidence it's just as long as it's
[1103] 1:59:46	possible that we could have it at this day then we should use that and that's where we where you get like you know
[1104] 1:59:52	weird points and debates and it's like Well why'd you bring it up it's possible
[1105] 1:59:57	because they're treating it like a hill to die on like this is the be-all and end-all
[1106] 2:00:02	from all eternity past God expected it to be on Before 40 and 46 days
[1107] 2:00:09	well this is the past problem with plausibility arguments yes
[1108] 2:00:14	you know I mean you've got various arguments in in logical discourse you
[1109] 2:00:19	got deductive arguments no you know conclusion Falls from premises you've got inductive arguments where
[1110] 2:00:27	you're compiling a bunch of data and then making a probability assessment but then you've got these plausibility
[1111] 2:00:34	arguments where you're taking a pile of loosely related facts
[1112] 2:00:41	and then saying well it's plausible the problem with plausibility arguments is it shifts the burden of proof
[1113] 2:00:48	you're taking the burden of proof and you're saying well now you've got to prove it's not plausible
[1114] 2:00:55	that's a lot harder to fight against so they're lowering the bar the
[1115] 2:01:01	evidential bar to make the contention more defendable
[1116] 2:01:10	it's a really sneaky way of doing things but it is an argument that's often used
[1117] 2:01:17	but wait doesn't James hofmeyer are like
[1118] 2:01:23	do something similar with the Exodus where he mainly focuses on on the plausibility of of The Exodus and not
[1119] 2:01:30	like probability yeah yeah I mean I haven't read a whole lot uh from him but uh is like
[1120] 2:01:40	hey what makes it it bad in one instance and good in another
[1121] 2:01:47	well him hofmeyer is really um is really sort of
[1122] 2:01:54	working um basically adding to kitchens probability analysis
[1123] 2:02:01	okay okay so kitchen takes a really inductive
[1124] 2:02:07	approach to uh sir yeah an inductive approach which is basically compiling all this data
[1125] 2:02:13	and then say what is most probable and it's just doing the same thing
[1126] 2:02:21	I mean Hoffmeyer is just doing the same thing as kitchen here it's just compiling all this ton of data
[1127] 2:02:26	and then basically say what is probable in this case now a probability argument here's the
[1128] 2:02:33	thing here's the here's the here's the thing about a probability argument you might have to modify your
[1129] 2:02:41	initial thesis to fit basically say well
[1130] 2:02:46	the data is pointing a little different so you might have to adjust your thesis
[1131] 2:02:51	to accommodate the data that's a good thing you should do that you should follow data wherever it goes
[1132] 2:03:01	it's not just saying you've got these random facts that have little or no
[1133] 2:03:08	um interpretive weight and here's sort of the difference
[1134] 2:03:14	between say what kitchen does and what Kennedy does kitchen goes okay we've got these these
[1135] 2:03:21	this this pile of of archaeological evidence and textual evidence
[1136] 2:03:27	that points to certain features that lead to the conclusion of aramicide
[1137] 2:03:33	Exodus and if you hold these features you're
[1138] 2:03:39	sort of bound you're you're compelled to hold two around a side Exodus
[1139] 2:03:47	there's Expo what's it called explanatory Force
[1140] 2:03:53	all the premises need to have explanatory Force if you don't have explanatory Force you
[1141] 2:04:01	don't have good premises okay the Splunk your apprentices the
[1142] 2:04:07	stronger your conclusion this is what's true of any inductive argument an inductive argument is only
[1143] 2:04:13	as good as its premises the problem with a holistic argument
[1144] 2:04:20	is your premises don't need explanatory Force they just need to show
[1145] 2:04:27	it's vaguely possible plausible foreign
[1146] 2:04:33	titus's case he takes this a little farther to say well we don't need
