[0] 0:00	a
[465] 56:33	much okay but yeah going outside can do wonders sometimes I will definitely
[466] 56:39	admit to that you know if you've got a camera go out and take some photographs don't have to be good photographs you
[467] 56:47	know just getting out and just focusing your mind on something else can can do
[468] 56:52	wonders for getting you back into Focus on your work
[469] 57:03	okay uh Jonathan Walker says uh here in
[470] 57:08	Texas someone in in the heavens is playing with the temperature dial back and forth yeah we've had a couple we
[471] 57:15	we've had a cold week we've had we've had a snow dump this week so yeah we've kind of been
[472] 57:21	like hemmed in by snow uh the worst part of the worst part of having snow here is that the garbage
[473] 57:28	trucks don't deliver um uh don't pick up your trash
[474] 57:33	so your trash tends to um uh sort of accumulate in your
[475] 57:39	apartment when it snows here so that kind of sucks now the other thing is here the
[476] 57:46	couriers don't deliver either when it snows and I'm I'm have some packages that I really desperately need to get so
[477] 57:54	um hopefully um pray for the couriers that they deliver that that could be a bigger
[478] 58:02	problem for me in the moment okay so um but yeah there's a lot of ways you can
[479] 58:07	you can motivate yourself uh if you feel burned out again just a slight change in
[480] 58:13	what your routine is can help dramatically okay dosman for $2 thank
[481] 58:20	you for the Super Chat I need a rundown of the lobster chili recipe
[482] 58:28	o okay well um I will give credit where credit is due here uh this was my
[483] 58:34	producers idea and the thing is about chili rules
[484] 58:41	in this was done for chili contest and the thing about chili rules for chili
[485] 58:47	contests is they can have essentially a chili is defined as meat with chilies
[486] 58:56	okay or Chili Peppers okay you can add certain you can add fruits like tomato
[487] 59:03	that that's permitted but you can't add filler so carbohyd any carbohydrate is
[488] 59:11	is not permitted so no pasta no beans okay so as as long as uh as you follow
[489] 59:20	those rules you could make a Bonafide chili
[490] 59:26	and what we did was made an orange chili and what we did was we started with
[491] 59:31	lobster meat because we had that cheap at the time so we added uh to Lobster we added
[492] 59:39	um we cooked it in um a combination of guava guava juice
[493] 59:48	pineapple um orange bell pepper and habanero more of the sweet PE yeah more
[494] 59:55	of the sweet peppers the sweetest yeah just a little bit of hob
[495] 1:00:00	and arrow to give it a kick okay uh no beans no oh no no no no no
[496] 1:00:09	you can never have never have beans in a if you're going to enter a chili
[497] 1:00:15	contest you cannot run you cannot actually compete if you have beans in your chili
[498] 1:00:22	that's an absolute disqualification beans
[499] 1:00:28	rice church church chili cookoffs are a little different CU they Flex the rules
[500] 1:00:33	on you but uh if you're doing an official
[501] 1:00:39	say chili competition yeah the rules are pretty pretty strict Nevada they had
[502] 1:00:47	that National oh yeah we yeah we we attended the national competition at
[503] 1:00:53	Topaz Lake in Nevada yeah the topaz like chili cook off was an annual event it
[504] 1:00:58	was it was fun oh that was a lot of fun balonus monk beans and chili are
[505] 1:01:06	sacrilege absolutely oh yeah yeah they are an
[506] 1:01:12	absolute TBD who puts rice in chili uh I found out once um I judged uh
[507] 1:01:23	a church I attended once had yeah I was a judge at a chili cook off
[508] 1:01:32	once and um it was a bunch of church ladies doing their chili and they all
[509] 1:01:38	had filler in their chilies okay and they were pretty bad okay I
[510] 1:01:44	I'll be straight up these chilies were awful
[511] 1:01:52	um uh but one of them had rice one of them had rice and it was so gummy and
[512] 1:02:01	sticky it was awful awful she was sooud oh she was so proud
[513] 1:02:07	of this chili so proud her secret ingredient was
[514] 1:02:14	rice oh yuck
[515] 1:02:21	disgusting that sounds hor it it was horrid cuz cuz what happens in
[516] 1:02:28	rice if you put rice in chili is it goes to glue it
[517] 1:02:35	dissolves and you can't believe how bad it
[518] 1:02:47	[Music]
[519] 1:02:52	is your be yeah AJ hens says judging my app
[520] 1:02:58	Appalachian Heritage are you now sorry beans and chili soup with cornbread is
[521] 1:03:05	delectable okay but that's a regional thing that's a regional thing that's not um once you've got that you're
[522] 1:03:12	you've really turned that into its own thing it's not really chilly
[523] 1:03:20	anymore still a bubble machine
[524] 1:03:26	I ate glue as a child I still eat it in food form as an adult hey rice rice can make a perfectly
[525] 1:03:34	good glue H yeah if you're doing your art oh yeah Art Rice makes an excellent
[526] 1:03:41	glue in fact one of the things if if you're if you do like sword crafts um one of the things with uh
[527] 1:03:49	sword handle uh Japanese sword handles is before they're
[528] 1:03:54	wrapped they actually make a paste out of rice use that as glue between the two
[529] 1:04:01	halves of the sword handle and just clamp it together and then they wrap
[530] 1:04:07	it um yeah um you can do all sorts of crazy things with rice rice is one of
[531] 1:04:13	those weird things um rice rice is one of the most
[532] 1:04:19	versatile Foods out there for non- food purposes I mean you could turn it into
[533] 1:04:25	alcohol um you can you know you can ferment rice to make sake or
[534] 1:04:33	soou or um or MGI you know those are
[535] 1:04:38	various uh Liquors made of rice you can use it to make fuel it
[536] 1:04:44	burns really well uh you can use it to make noodles
[537] 1:04:49	you can use this glue um one of the most Innovative
[538] 1:04:55	things uh um that I've ever applications of of rice I've seen and i' I've done
[539] 1:05:01	this myself like you don't have if let's say you don't have a Butcher Block You've Got knives and you don't have a
[540] 1:05:07	butcher block oh you can put have a canister fill it up with rice and put
[541] 1:05:12	your knives in it and it'll keep your knives rust free and it won't dull your
[542] 1:05:20	knives the other thing that I found was really a good use of rice is if you have
[543] 1:05:28	pastels like the you know the pastel is kind of a an artist crayon uh it's usually made of a a earth
[544] 1:05:36	binder of some kind in a pigment and one of the things you notice if you have a box of
[545] 1:05:42	pastels is they go gray because they rub against each other and the color color
[546] 1:05:50	um bleeds off of one pastel onto the other and you can't can't tell what
[547] 1:05:56	color your pastels are anymore because because they they're covered all covered
[548] 1:06:02	in the same ugly gray film okay well if you take those pastels and here's one of
[549] 1:06:08	the tricks I had as a as a as a gooded artist was I would buy people's old
[550] 1:06:15	pastels for cheap like a buck for this box of gray dirty pastels put them in
[551] 1:06:23	rice cover the whole thing and rice shake it up and it
[552] 1:06:29	cleans that gray film right off the pastel and then you keep those pastels
[553] 1:06:34	and rice and they'll always stay true to the color they won't form that grain film
[554] 1:06:41	anymore so uh it's one of the best little tips art tips and it uses rice so
[555] 1:06:48	rice is really versatile stuff but it does not belong in
[556] 1:06:54	chili ew yuck okay
[557] 1:07:01	so uh that's our sort of rabbit hole into chili and rice and chili and oh
[558] 1:07:12	yuck for lobster chili for lobster chili yeah yeah for for um Lobster chili what
[559] 1:07:20	you would use is um guava or papaya or
[560] 1:07:26	or a pineapple and then orange uh orange bell peppers and a little bit of
[561] 1:07:33	habanero okay dark blade rice and chili off the omit yes
[562] 1:07:39	definitely
[563] 1:07:47	okay M price asks Dr Fulk what Poes
[564] 1:07:52	haven't you had motorcycle repair I've never done my motorcycle repair never
[565] 1:07:58	owned a
[566] 1:08:04	motorcycle okay next Super Chat here is from
[567] 1:08:11	Christian Reed for $10 thank you for the Super Chat what are some of the issues
[568] 1:08:16	Topics in Old Testament scholar that would make an impactful dissertation I'm currently trying to decide on a proposal
[569] 1:08:23	for a PhD in biblical studies with OT
[570] 1:08:28	concentration there's a lot there's a lot you can do uh here's what I would
[571] 1:08:35	say uh narrow your topic down to something
[572] 1:08:41	that's manageable don't listen to the don't listen to the guys who say you need a super broad topic no narrow this thing
[573] 1:08:49	down to something really specific second of all read the literature kind yeah um I
[574] 1:08:59	would say this um if you know who you want to study with see what he's
[575] 1:09:05	studying see what he's studying read his papers find out what he's interested in
[576] 1:09:13	okay cuz cuz that's if you're if you
[577] 1:09:19	are you should be looking for an advisor before you look for a topic that's the
[578] 1:09:24	one of the things I would recommend don't start by looking for a topic get to know the people that you want to
[579] 1:09:31	study under read their papers see what they
[580] 1:09:36	do and because because that's who you're going to be working with you're going to be working with this guy for up to 9 10
[581] 1:09:42	years okay so to do that you really do
[582] 1:09:48	need to understand who you're working with so that would be the first step is
[583] 1:09:55	get to know who your adviser could be okay then once you know and and make
[584] 1:10:03	make sure he knows who you are
[585] 1:10:10	way well yeah you can you can do that too which is find the Gap um literature
[586] 1:10:15	and find out where the gaps are in the literature that's also possible but make sure that whoever you're
[587] 1:10:21	applying to knows who you are you know Reach Out to them talk to them get a key
[588] 1:10:30	uh insight into their interests yeah and if they go to those
[589] 1:10:35	if they go to conferences go to those conferences meet them in person if they're out of school you're
[590] 1:10:41	already at the advice I gave you yeah you never thought of it
[591] 1:10:50	yeah so um so definitely that's what I would recommend here is get to know the
[592] 1:10:56	person you're going to be studying under more than a topic now if you find a
[593] 1:11:02	person that interests you but he doesn't he doesn't like the stuff you're interested in go find somebody else go
[594] 1:11:09	find somebody who more aligns with your interests okay
[595] 1:11:16	so I hope that helps but again don't start with a topic start with a
[596] 1:11:23	person see who's out on the field see whose work you like see if they're
[597] 1:11:28	available to study they might not be available to study too we got to be
[598] 1:11:33	aware of that as well um I occasionally still get people
[599] 1:11:39	who ask me if I would supervise their disertation and I have to tell them no I'm not affiliated with the school so I
[600] 1:11:48	can't not really appropriate to supervise your
[601] 1:11:53	dissertation so you know it's one of those things where you have to have it has to be you know the right kind of
[602] 1:11:59	person at the right time in their career too you know look for look for early career guys people who are who are just
[603] 1:12:06	starting out so
[604] 1:12:12	um so that's what I would recommend here is is look for the person more than the
[605] 1:12:19	topic if you read the guy's work and his topic interests his his work interests
[606] 1:12:24	you then pursue a relationship with them then once it sort of becomes clear that
[607] 1:12:32	he might want you as a student then you can then start thinking
[608] 1:12:38	about a topic because here's one of the things is you might start talking the guy and he has no interest in
[609] 1:12:43	you I've encountered that where you know somebody got your
[610] 1:12:52	PhD yeah we heard about a lot more about that once
[611] 1:12:57	I yeah once I became a peer you know there are you do hear
[612] 1:13:04	stories after you finish about students who come up and the professor's just not
[613] 1:13:11	interested just not interested in working with a student so it's kind of got to be a two-way relationship there
[614] 1:13:19	so that's the thing here is you have to establish a relationship before you establish a topic
[615] 1:13:26	and talk to them about a topic talk to them about a topic and
[616] 1:13:32	you'll get you'll get you'll get a pretty good impression fast whether or
[617] 1:13:37	not they're interested in working with you that's I think really an interesting thing cuz it's like okay you can try
[618] 1:13:45	your best to have a relationship with some of these guys and some of these guys don't want one they don't want one with
[619] 1:13:50	you and you got to kind of have a thick skin about that
[620] 1:13:59	because you know you've worked sometimes really hard to read his work you like his work you're impressed with his work
[621] 1:14:05	you really want to study under them they're not and you're not what they're looking for
[622] 1:14:14	so so again just keep that in mind as you do this start with relationship then
[623] 1:14:21	advance to topic okay once it's clear they want to work with you okay so I
[624] 1:14:28	hope that helps thank you very much for the Super Chat very much
[625] 1:14:34	appreciated Messianic tmid for $10 thank you for the Super Chat is there any
[626] 1:14:40	mention of Atlantis or tho and The Emerald Tablets in Egyptian records are hieroglyphs no
[627] 1:14:47	none none this is not something you find in Egyptian myth or in Egyptian records
[628] 1:14:53	there's no mention of Atlantis in Egyptian records and there's no mention of The Emerald Tablets The Emerald
[629] 1:15:00	Tablets is an Islamic an 8th 9th century ad Islamic myth okay it's not to be
[630] 1:15:07	found anywhere in Egyptian texts period so this is all made up all made
[631] 1:15:15	up okay uh we do find Atlantis in Greek
[632] 1:15:21	philosophy like Plato mentions him but mentions it but the Emerald Tablets
[633] 1:15:27	no you don't find that you do not find that at all in ancient records you only
[634] 1:15:33	find that in medieval Islamic myth all right so hope that helps thank you for
[635] 1:15:40	the Super Chat very much
[636] 1:15:46	appreciated camel record uh the camela part says I did a research on Atlantis and it really seems Plato made it up for
[637] 1:15:52	allegorical purposes it's possible yeah
[638] 1:16:00	possible dark blade one person on Tik Tok claimed the Bible was plagiarized from The Emerald Tablets I think that
[639] 1:16:06	was Billy Carson he claim that oh
[640] 1:16:14	[Laughter] [Music] boy yeah whoever claimed it was
[641] 1:16:20	incredible
[642] 1:16:27	oh sure you can play claim all sorts of things you can claim the moon was made of cheese doesn't make it
[643] 1:16:36	credible oh yeah okay we can believe that there's a rabbit in the moon making Mochi that we can
[644] 1:16:42	believe but cheese come
[645] 1:16:53	on yeah um you see people on Tik Tok playing all
[646] 1:16:58	sorts of crazy stuff and it's not credible none of it none of that stuff is
[647] 1:17:06	credible
[648] 1:17:12	okay okay next one here uh I'm going to take this non Super Chat next so I think
[649] 1:17:18	it's an interesting question uh alanzo myy religion he asks
[650] 1:17:25	when we are engaging the culture how do we write a fictional character who is both LGBT plus and Christian my instinct
[651] 1:17:32	is to lay the issue aside but concerned about sending the wrong message
[652] 1:17:39	okay first of all I am not opposed to writing characters that are LGBT okay
[653] 1:17:47	plus all right uh I don't there's all sorts of characters in
[654] 1:17:52	this world so I I have no opposition to writing that and there are people in
[655] 1:17:59	this world who claim to be LGBT plus and Christian
[656] 1:18:06	okay the tension here is going to be reconciling the two because that's the
[657] 1:18:13	that's the tension in real life the historic Christian faith is not
[658] 1:18:20	exactly compatible with the lifestyle
[659] 1:18:26	so because it's not compatible with the lifestyle there's always
[660] 1:18:33	this give and take shove One Way shove one other so if I was writing such a
[661] 1:18:39	character in a fictional setting I would try to express that conflict what's that
[662] 1:18:46	internal conflict how does that make them behave how does that make them react to
[663] 1:18:53	others now I would also recommend too that if you before writing such a character you do your
[664] 1:19:00	research okay now
[665] 1:19:06	in my case I happen to know a lot about
[666] 1:19:11	this topic because I worked with these people for three years okay if you work
[667] 1:19:17	in the furniture industry if you're a married man you're
[668] 1:19:23	probably the only married man in the store or the chain of
[669] 1:19:30	stores okay so um so you do encounter this
[670] 1:19:37	frequently in among those who who uh work in the Furniture and
[671] 1:19:45	Design
[672] 1:19:50	Arena yeah you do it emically yeah exactly my producer says anytime you write a academic paper or you know
[673] 1:19:58	research a topic you try to write about it in an emic fashion from through their
[674] 1:20:04	eyes okay now sometimes you have to do it from an EIC view from the outside too okay and both those those imic and etics
[675] 1:20:11	um you don't write no you don't you you that's the one thing you want to avoid here is you want to avoid writing a
[676] 1:20:19	caricature okay that's something you really really
[677] 1:20:24	want to avoid okay no matter what no matter no matter what character you
[678] 1:20:30	write and this is going to be always always a problem with writing characters
[679] 1:20:35	that are not like you and a good author is able to write characters not like
[680] 1:20:42	you okay um my producer and I had this discussion this morning just this
[681] 1:20:49	morning the biggest challenge a writer faces is writing a about the opposite
[682] 1:20:56	sex you know it's a challenge for men to write about women it's a challenge for
[683] 1:21:02	women to write about men they both get it wrong often it's very very challenging to
[684] 1:21:10	do writing about people that are not like you it's challenging to write people who
[685] 1:21:17	are in other cultures if you have no experience of those cultures okay
[686] 1:21:25	it's very challenging to write about people of different sexual preferences if you aren't familiar with
[687] 1:21:33	them personally okay you have to do your research and you have to do it with
[688] 1:21:40	sensitivity and respect now in that framework of doing
[689] 1:21:46	it with sensitivity and respect there's still truth and the truth
[690] 1:21:53	is traditional Christianity is going to conflict with
[691] 1:21:59	that lifestyle and that's would be and and you see it among those who try to
[692] 1:22:05	reconcile the two and don't necessarily do it well often times they end up saying okay
[693] 1:22:12	I can change my theology but I can't change my behavior often times like nine times out
[694] 1:22:19	of 10 that's where sort of it lands is I can change the religion easier than I can change the
[695] 1:22:25	behavior or my sensibilities regarding the behavior okay
[696] 1:22:32	so this is one of those things where if you write on this topic you've got to do
[697] 1:22:38	your research you got to do it with respect and you have to really engage
[698] 1:22:44	the internal struggles that they have and that would be the angle that I would take so that's how I would write a
[699] 1:22:52	fictional character who is of the that persuasion but again I don't think it's
[700] 1:22:59	wrong to write about them I think I think if anything you can show a lot of
[701] 1:23:05	Truth through writing about them you know we talked earlier about death is
[702] 1:23:11	separation you know there's other types of Separation
[703] 1:23:16	too and here's and the and a character like this would make a great foil for
[704] 1:23:22	expressing that separation separation between one's lifestyle and
[705] 1:23:27	one's family separation between one's lifestyle and one's God you know and you
[706] 1:23:34	know that that's something that you could really really easily leverage here
[707] 1:23:39	so there's fertile ground for doing this but again do your
[708] 1:23:49	research um you know do it with sensitivity and respect and
[709] 1:23:55	try to capture and Engage The Struggle that they face okay that inner tension
[710] 1:24:02	between trying to hold to a faith that is disapproves of that lifestyle with
[711] 1:24:08	the lifestyle itself okay and if you do that well you can have a fully formed
[712] 1:24:15	fully rounded character that conveys truth okay so I hope that helps thank
[713] 1:24:22	you for the question very good question and a really appreciate
[714] 1:24:28	it okay keeps learning asks another question here uh which is also very
[715] 1:24:34	interesting is it a stretch to interpret the death of the chief Baker and the
[716] 1:24:39	restoration of the cup Bayer Genesis 40 as foreshadowing the death of Jesus body
[717] 1:24:44	of Jesus and the giving of life of the blood of Jesus it's a very christocentric
[718] 1:24:52	interpretation okay now we can't say for sure but there's
[719] 1:25:00	two ways of looking at this okay there's the what's sometimes called
[720] 1:25:06	the christocentric view and the Christo teic view okay now and there different ways of
[721] 1:25:14	looking at Old Testament texts The christocentric View basically
[722] 1:25:20	says you're starting from the New Testament and you're looking back back into the Old Testament and everything in
[723] 1:25:26	the Old Testament primarily talks about Christ and nothing else you start with
[724] 1:25:33	that interpretation you start with the interpretation that it talks about Christ so then when you interpret the
[725] 1:25:40	chief Baker and the cup Bearer you're going to think oh the sacrifice of Christ on the
[726] 1:25:45	cross it's a very christocentric interpretation of Genesis 40
[727] 1:25:52	okay but it's not the only interpret ation the other view is the Chic
[728] 1:25:58	interpretation where you start off with the Old Testament in its original
[729] 1:26:05	context and you say okay what we have here is two guys that were arrested one
[730] 1:26:13	is you know thinking that his dream is going to get him killed and it doesn't
[731] 1:26:20	and the other one who thinks oh maybe I can get my dream exonerated too and it does
[732] 1:26:27	so and then you would you would look at that and you say oh okay yeah those two
[733] 1:26:32	dreams they match say the way interpretation was done dream interpretation was done during the time
[734] 1:26:38	of Egypt so that would be where we' start and then we would later on advance to a
[735] 1:26:46	christocentric view okay
[736] 1:26:52	so uh Emily to death says how did the original heers understand it they would understand it more from its contextual
[737] 1:27:00	original context so it's really not until the
[738] 1:27:05	Christian era where you start getting a christocentric view and that sort of makes sense
[739] 1:27:15	okay so this is always going to be this is always going to be a tension here
[740] 1:27:21	between hermeneutical philosophies do you start with a christocentric view or
[741] 1:27:26	do you start with a CH cisic view now it doesn't neither of these views say
[742] 1:27:34	eliminates Christ in the Old Testament both of them accept that view it's just which view has Priority
[743] 1:27:41	First which one do you start with okay now I tend to lead towards more Christa
[744] 1:27:47	ilic interpretations than christocentric interpretations but I also know people like Jeremy green who focuses first on
[745] 1:27:56	Christ Centric and then well if he ever gets around to it
[746] 1:28:04	Christa um this is one of the things I have found with a lot of people who have placed the emphasis on christocentrism
[747] 1:28:11	is they'll talk about Christ continuously like um Beal GK
[748] 1:28:18	Beal he'll wax eloquently like I I still still mad about this okay still mad
[749] 1:28:26	about his book called The Temple um cuz I thought I was buying a book that was
[750] 1:28:32	going to talk about the Jewish temple well it was 800 pages of GK Beal
[751] 1:28:40	talking about christocentric view of the symbols of the Old
[752] 1:28:46	Testament he never got to the symbols themselves he never talked about the history of the temple or the Ark of the
[753] 1:28:53	Covenant or the Tabernacle or anything he said he was going to talk about it was all talking about
[754] 1:29:00	Christ okay that's a very christocentric view a very parochial christocentric
[755] 1:29:07	view but he never got to the the original context of those
[756] 1:29:13	symbols so um dark
[757] 1:29:21	blade what would a christocentric interpret ation of Noah getting blackout drunk look like I'm not touching that
[758] 1:29:31	man the New Testament guys hate me enough [Laughter]
[759] 1:29:40	okay yeah it would be yeah but but christocentric would
[760] 1:29:47	require a how do you interpret that as
[761] 1:29:52	Christ yeah that it's the opposite end people who
[762] 1:29:58	need forgiveness but that's not a christocentric view yeah that's christop
[763] 1:30:06	B okay so um yeah there's there's limits there are there are limits to to the
[764] 1:30:13	Christo like or christocentric view that's all I'll
[765] 1:30:20	say and I think what would happen is you'd get some guys who um like for
[766] 1:30:27	example let's actually take that one a little expand on that a little more I think what what the christcentric guys
[767] 1:30:32	would say about say for example um uh the uh interpretation Noah getting
[768] 1:30:40	black out drunk or uh let's say the um
[769] 1:30:45	the sexual assault of Tamar okay is it's a presentation of the
[770] 1:30:52	depravity of man basically setting up the need for a
[771] 1:30:58	savior okay so that's what I think they would how they would respond there okay
[772] 1:31:04	is is that would it it it shows you the reality of who man is so that shows that
[773] 1:31:11	it needs a Christ so I think that's how they would seriously treat
[774] 1:31:20	that okay
[775] 1:31:25	next Super Chat here is from at Ministries for $49.99
[776] 1:31:31	well thank you very much for that generous Super Chat really appreciate it oh is it going to be
[777] 1:31:38	this Dr Fulk you said you won't cave to financial pressure okay um I wouldn't unless I'd
[778] 1:31:48	voluntarily do it anyway well here's a test for you you either talk more about your Dopey book
[779] 1:31:56	or you are a poopy face the choice is
[780] 1:32:01	yours this was my Dino budget for the week God bless and don't forget to
[781] 1:32:09	write um should I talk about my book he did pay the Super Chat and it's
[782] 1:32:16	something I would talk about all right well we got an
[783] 1:32:21	update we finally got the proof the hard cover proof
[784] 1:32:27	ooh ah oops dropping it e that pretty
[785] 1:32:33	now one of the things about the hard cover which you won't find on the soft cover of the ebook is it's got a secret
[786] 1:32:41	artwork I open up the dust jacket here got a dust jacket because it's a
[787] 1:32:47	hard cover inside is a second cover with different artwork than on the
[788] 1:32:55	other one oo so take off the dust jacket for a moment
[789] 1:33:02	you see different artwork that you would find on the hard cover so uh when we
[790] 1:33:10	found out that uh that the the printer could do this it was like oh this would
[791] 1:33:16	be nice really nice so and they did a really fantastic
[792] 1:33:25	job of of the printing I mean really nice I
[793] 1:33:32	mean I don't know if you can see that without blinding you but the font is
[794] 1:33:38	easy to read um they types set it really nice uh
[795] 1:33:43	the print quality is just beautifully done uh the paper is cream color so it's
[796] 1:33:50	really easy on the eyes yeah it's a it's a they they did a really really nice job on this so I'm
[797] 1:33:58	very very happy with the proof so uh what font is it uh the font was
[798] 1:34:08	palentino um it's not a font that you use See Much Anymore um Papyrus font no
[799] 1:34:15	no not
[800] 1:34:21	Papyrus screenshot I have sneak preview okay one page
[801] 1:34:29	good no we will never do anything in Papyrus oh gosh that's an ugly
[802] 1:34:37	font Papyrus font is is worse than comic Sands really it is the the the font that
[803] 1:34:45	the Abomination font that makes desolate terrible
[804] 1:34:52	font but yeah we used a palentino for a font um we did try some
[805] 1:34:57	others like we tried Adobe Klan didn't like it not for this particular book it
[806] 1:35:04	just didn't seem to to convey it we also tried uh
[807] 1:35:10	Georgia uh and also Bookman ITC so we tried a variety of
[808] 1:35:15	fonts and because it is a science fiction but we did want to give it a
[809] 1:35:21	both that that futuristic look and kind of a a
[810] 1:35:28	um um with a little sort of classical taste on top of it and we also wanted to
[811] 1:35:36	make it super easy to read okay that was really high on the priority list is
[812] 1:35:42	making it so you could read it easily so
[813] 1:35:49	uh um
[814] 1:35:54	um so yeah it was um when we when we when we finally
[815] 1:35:59	settled on palentino it was like okay this is a beautiful font beautiful font for this
[816] 1:36:06	book where the most high uh palentino is a nice one yeah it
[817] 1:36:12	is yeah it's it's it's a very nice font uh
[818] 1:36:23	yeah we appreciate everyone who's pre-ordered the book um that also help
[819] 1:36:29	yeah yeah it does it does matter it does matter because by by pre-ordering the
[820] 1:36:34	book you bump up the um the um ranking
[821] 1:36:40	and on Amazon people see the ranking and they are more inclined to buy if they see that the ranking for the book is
[822] 1:36:49	um um above zero
[823] 1:36:54	EV above I guess it's above uh 10 million guess it's 10 million that's the
[824] 1:37:00	bottom ranking on Amazon but answering LDS the irony that the
[825] 1:37:06	egyptologist hates Papyrus font oh it's such a horrible font it's
[826] 1:37:13	ugly suppos to be um dark blade would you rather write
[827] 1:37:21	your plagues book in the Papyrus type face or accept a sponsorship from patterns of evidence I'll accept the
[828] 1:37:29	sponsorship I hate Papyrus that much
[829] 1:37:34	um um it's a it's an ugly font even if it didn't have the
[830] 1:37:39	distressing and and it Papyrus is supposed to be a brush type font with
[831] 1:37:47	distressing and it's just on its own an ugly font
[832] 1:37:53	ugly ugly
[833] 1:38:01	font well I mean I mean I did a little bit of graphic design when um when I was
[834] 1:38:08	working as a grad student and uh I was doing this for a church where I would
[835] 1:38:14	design their um brochures and their literature and all of that and um
[836] 1:38:24	I just hated Papyrus font just absolutely hated
[837] 1:38:34	it okay uh
[838] 1:38:42	can oh
[839] 1:38:48	okay brush off the bunny here um my producer recommend recommends this book
[840] 1:38:54	for graphic design if anyone is interested in learning the fundamentals okay this is one we have been um using
[841] 1:39:01	for a number of years it's on its fourth or fifth edition now but we've been
[842] 1:39:07	using it since like the second edition very good book very good book if you want to learn the basics of graphic
[843] 1:39:13	design this is an excellent book right take it back
[844] 1:39:20	right okay uh K part says Georgia and Cambria have been my go-to so far
[845] 1:39:25	Cambria is nice and so is Georgia but for this this particular
[846] 1:39:31	project palentino was basically the one that resonated with
[847] 1:39:37	us Emily tesu says the paperback just entered my price range on Amazon Australia going to pre-order awesome
[848] 1:39:44	thank you again um and once you guys do read it please leave a review because um if
[849] 1:39:53	you leave a review people will buy according to reviews reviews
[850] 1:40:01	matter okay D I need to admit I might have
[851] 1:40:06	ordered may have ordered pre-ordered the paperback and the ebook laugh out loud
[852] 1:40:13	well thank you okay
[853] 1:40:30	uh that's hard to say hard to say
[854] 1:40:35	um so anyway mama says off to order the hard
[855] 1:40:42	cover for my first born lovely lovely okay
[856] 1:40:53	oh yeah if if we meet you in person ever and uh you happen to have a book with you we'll sign it we have autographed
[857] 1:40:59	books before um like for example at etss you know um after I gave my lecture last
[858] 1:41:05	time at etss I had a guy come up to me and ask me to um autograph their uh Arc
[859] 1:41:11	of the Covenant book in it Egyptian context so we do do that we do autograph
[860] 1:41:18	books okay
[861] 1:41:24	worry of the most high uh says only the ebook is Affordable in India yeah you know that's that's something that at
[862] 1:41:32	least with ebooks it is Affordable and frankly we probably get a larger amount
[863] 1:41:37	of money off the ebook than we do in most other books at least a percentage wise so yeah we we encourage people to
[864] 1:41:45	buy the ebook too if you if that's something you like but you don't get the cool extra art with the ebook just
[865] 1:41:54	saying Okay so let's move on here uh per 18 Ministries we did talk
[866] 1:42:01	about this so uh there we
[867] 1:42:06	go okay 18 Ministries uh 4499 thank you very much for the Super Chat he goes I'm
[868] 1:42:12	sorry for your loss Heaven's Tri Heaven triumphs that he is now home yes yes he
[869] 1:42:18	does and he is alive in Christ and praise the Lord for that he who has
[870] 1:42:24	overcome death so um we're really really appreciate that we have a Lord that can
[871] 1:42:30	do that there is hope Beyond
[872] 1:42:36	sorrow Jonathan Walker for $5 thank you for the Super Chat and the question is if God doesn't
[873] 1:42:43	change his mind how do we understand him regretting creation of man uh Genesis
[874] 1:42:50	66-7 okay let's take bring that up and we'll talk about that because we are this is talking
[875] 1:42:58	about the affections of God and what does that mean all right
[876] 1:43:05	so Genesis 6: 6 to7 and the Lord was sorry that he made man on the earth and
[877] 1:43:12	he was grieved in his heart and the Lord said I will blot out man whom I have
[878] 1:43:17	created off from the face of the Earth from man to animals to creeping things to the birds of the the sky for I am
[879] 1:43:24	sorry that I have made them okay this is one of the big paradoxes of
[880] 1:43:31	of um of God is how can God who does not
[881] 1:43:38	change that's one of the fundamentals of God is he does not change he is the same
[882] 1:43:45	yesterday today and tomorrow humans
[883] 1:43:51	change we get happy we get sad we get angry we get
[884] 1:43:57	depressed we get belligerent you know we
[885] 1:44:02	change constantly God doesn't change so how is it then that
[886] 1:44:10	God's um affections are expressed in emotional terms right the way this works
[887] 1:44:20	is that God has the same reaction to
[888] 1:44:26	sin but his Essence changes in position okay
[889] 1:44:34	so what happens is when God is close to
[890] 1:44:41	us he can become angry because he's in the presence of our
[891] 1:44:47	sin what God does to amarate that to repent away from that anger is draw away
[892] 1:44:56	from it his Essence draws away from it so because his Essence draws away from
[893] 1:45:04	it he can he can give Humanity some some
[894] 1:45:10	distance some slack okay he's no less angry at sin but he's now not close to
[895] 1:45:16	it okay so because God Before the Flood
[896] 1:45:22	was close to mankind it says God walked with
[897] 1:45:27	Enoch God is still hanging around Earth
[898] 1:45:33	okay yeah exactly Michael price his nature doesn't change his position can
[899] 1:45:39	and that's exactly what it is okay so when he's regretting making
[900] 1:45:46	Humanity it's because he's close to to mankind at that point
[901] 1:45:53	so he can change his God can change his position and this is also one of the
[902] 1:45:58	problems with say an imminent conception of deity as well an imminent conception of deity cannot change its
[903] 1:46:05	position because it's everywhere Only a transcended God can
[904] 1:46:10	change his position so because God is transcendent
[905] 1:46:17	he can change his position he can he can um you know move away from
