[0] 0:07	do [Music]
[476] 51:30	can ever do is try to write a book
[477] 51:36	that both appeals to a lay person and a scholar at the same time it's it's it's one of the hardest tasks any author can
[478] 51:44	ever do and uh we're kind of pleased that we have actually been so successful with
[479] 51:50	this because most of the time when you try this it doesn't work out well
[480] 51:55	so anyway thank you very much for the super chat thank you for buying the book very much appreciate it
[481] 52:02	okay
[482] 52:07	and uh 499 super chat from logan and barzee thank you very much
[483] 52:12	uh i know you've dealt with the issue of the 600 000 before but what
[484] 52:18	specific view do you tend to side with that best explains the large numbers
[485] 52:23	oh i'm still in sort of the camp where i
[486] 52:30	don't think we have enough evidence yet um
[487] 52:35	i still want to see more evidence on this um
[488] 52:40	and which is why i haven't actually taken a lot of sights on this now as i said before in in previous um questions
[489] 52:47	on this that the ancient documents across the ancient
[490] 52:54	near east do have inflated numbers when it comes to persons involved whether it's a military conflict whether it's a
[491] 53:00	siege of a city this just seems to be the normal way of of relaying
[492] 53:06	events in ancient times was to inflate the numbers of populations
[493] 53:12	we don't know why and that is going to be the sort of the
[494] 53:19	the um sticky wicket of this is we don't know why they're doing this
[495] 53:25	if we knew why they were doing this we might be able to see how they were doing this
[496] 53:32	so it's it's very difficult for me to comment on that much further now
[497] 53:38	the the idea that aleph represents um a clan
[498] 53:44	or a um [Music] an army yeah that does have credibility i mean
[499] 53:50	that that explanation is definitely credible does it explain the 50s though because
[500] 53:56	some of these these um numbers also have are say precise down to the the term 50.
[501] 54:05	if you if some bright scholar someday finds an explanation for the term 50
[502] 54:10	then we have it then we have the explanation
[503] 54:16	uh but i'm i'm also um i'm also humble enough before the text to say that
[504] 54:21	um that sometimes even i don't know what's going on
[505] 54:27	in the bible here but all i can say too is i can't dismiss the account either
[506] 54:33	because it is such a common occurrence in
[507] 54:38	ancient documents so
[508] 54:43	um i'm actually going to take a supplemental question that just came up because i think that actually helps this
[509] 54:50	a bit so uh let's see here but anyway i want to thank you for the
[510] 54:56	super chat and um very much appreciate it but i'm going to actually take this as
[511] 55:02	well because it sort of dovetails on this which is mr rich bob
[512] 55:08	um how do we know that they were inflated could it not be that there simply isn't much evidence of larger
[513] 55:14	populations okay uh part of the problem is say
[514] 55:20	the size of the cities involved uh the um city of avarice was 250
[515] 55:32	hectares a middle kingdom semitic settlement like lahoon
[516] 55:39	which is well documented and the um the demographics are well known
[517] 55:45	uh averages at about 800 persons per hectare
[518] 55:51	so with 250 hectares you you've got it's a tell there's a limitation of space
[519] 55:58	you are confined on the tell by the rising and falling of the river you can't grow your population beyond
[520] 56:05	say the high water level so you are limited to that 250 hectare
[521] 56:12	space um
[522] 56:17	so you know simple math will tell you that the population of a virus could not
[523] 56:23	be larger than say the low six figures
[524] 56:30	so that is is is just one of those things that you know you're just just not going
[525] 56:37	to get past is that that the limitation of the geography of a virus
[526] 56:43	limits the population to less than two hundred thousand
[527] 56:48	now you can say you can say that um you know when they're going through the uh the um the
[528] 56:56	land of egypt as they as they um leave say through uh sukkot and pithom they
[529] 57:02	might be picking up another fifty thousand at sukkot another fifty thousand at pithom which seems to be a reasonable size for
[530] 57:09	for um um pithom and then they go through piha he
[531] 57:15	road and there's a bunch of towns towns around pihaji road in that say south of um the
[532] 57:23	paluziak estuary that may have held um israel or sorry um semitic peoples as
[533] 57:30	well that might have joined in the exodus as well so i i i think that it might cap out at
[534] 57:39	six hundred thousand the problem is how are we going to read that six hundred thousand
[535] 57:45	like for example um it when it talks about the six hundred thousand it talks about six hundred
[536] 57:51	thousand gabor but then which are basically you know fighting people people who can fight
[537] 57:58	at least in the early semitic text later on it means men but there is another another um um
[538] 58:05	passage that does you know take into account the the the uh the uh
[539] 58:12	oh the becca say the the the birth the redemption tax which was applied to those age 20 and
[540] 58:19	older and the text came out to um six hundred thousand people both male and female
[541] 58:26	and i think what's what's going on here is there's a misreading of the text in in some respects
[542] 58:31	that say it takes that six hundred thousand and says okay it's just six thousand hundred thousand men
[543] 58:38	this is where i think the inflation comes in is through interpretation so you get six hundred thousand men
[544] 58:45	of fighting age that's ages twenty to 60.
[545] 58:50	and then you've got uh 600 000 women and then you add 40 for your children
[546] 58:57	and your your senior citizens and this is how people get the 2 million figure
[547] 59:03	and i think that that figure is wrong that figure is inflated
[548] 59:08	now the 600 000 also might be inflated and and the only reason i say it might
[549] 59:14	be inflated is because we do have say documents from the ancient eries
[550] 59:20	that also do the same thing so it so there's there is a sort of a
[551] 59:27	contextual issue here cultural context where where it doesn't
[552] 59:34	matter what the actual count is that that you know says the society at large did this
[553] 59:41	and again we don't know why it's gonna take somebody doing a phd dissertation on this to sort of
[554] 59:49	untangle it all to do the proper or um contextual work of bronze age documents
[555] 59:56	to sort of figure it out so anyway um
[556] 1:00:01	thank you very much for the question and the follow-up so we are going to take um
[557] 1:00:08	uh more here so let's go uh we're out of we're at the end of the super chats and we're going
[558] 1:00:13	to take some more non-super chats um so
[559] 1:00:23	i did see one other comment though uh mr rich bob's follow-up thank you i
[560] 1:00:28	didn't think of land size yeah you know one doesn't you know but this is this is why geography is so
[561] 1:00:34	important as we study these issues you know it's not just enough to study the history we have to say the geography too
[562] 1:00:40	because the two are hand and glove they're they're tied to each other
[563] 1:00:45	when i think of x amount in city y i tend to think actually x amount in city
[564] 1:00:50	y and it's neighboring towns and wildernesses yeah the whole area was surrounded by fields
[565] 1:00:57	so you know um and but this is how this is how uh cities in the ancient world
[566] 1:01:02	worked was you did have an urban area and then the entire surrounding area was
[567] 1:01:07	agricultural okay so let's start answering some other
[568] 1:01:14	questions here um
[569] 1:01:23	good take actually you know i saw this question that uh mr rich bob gave earlier and while i don't often answer
[570] 1:01:30	uh the same question uh or questions from the same person twice here um this was actually kind of
[571] 1:01:36	interesting uh jewish myth holes the first set of the ten commandments was on blue
[572] 1:01:42	sapphire and the second on laugh lapis makes sense given the blue strand on
[573] 1:01:48	their teat seats uh yeah i could never have uh i never wore a tt myself i could not ever uh
[574] 1:01:55	um bring myself to do that um are blue sapphire lapis egyptian symbols
[575] 1:02:01	what for um now they aren't they aren't actually egyptian symbols
[576] 1:02:08	although they're highly highly priced stones the lapis uh we have to be a little careful here
[577] 1:02:13	that because blue sapphire is not extant in ancient egypt uh well uh egypt had a word for sapphire
[578] 1:02:21	saphir um it it clearly is not say corundum which is what we would call modern
[579] 1:02:28	sapphire today um the egyptians don't seem to have had a source
[580] 1:02:34	for sapphire and i believe the close if if my mineralogy serves me well i
[581] 1:02:41	believe the closest source of corundum is actually in india
[582] 1:02:48	so i i don't believe the egyptians had blue sapphire at the time
[583] 1:02:54	uh lapis was actually an import from afghanistan now the egyptians did import
[584] 1:03:02	lapis from time to time however uh moses would not have had that
[585] 1:03:07	available to him on mount sinai a mount sinai lacks the mineralogy for both
[586] 1:03:12	sapphire and lapis uh it was probably a kind of
[587] 1:03:18	granite or limestone um either one is possible given the
[588] 1:03:24	geology of the region and both would have been perfectly ideal
[589] 1:03:29	to put ten commandments on it um so
[590] 1:03:35	besides lapis does not actually come in large enough sections to make tablets generally
[591] 1:03:40	most lapis is extremely small extremely fragmentary occasionally you find turquoise that
[592] 1:03:47	will have sheets that size but it's very rare it's very very rare so anyway it's a great question and
[593] 1:03:56	i i worked as a jeweler for many years so for me these sort of questions are
[594] 1:04:02	very very interesting i i do enjoy these questions a lot okay
[595] 1:04:08	so let's take a another
[596] 1:04:14	i'm gonna take this one uh white girl with instagram black screen uh j p e d question
[597] 1:04:20	j source uses anthropomorphic language and primitive theology of a tribal national god
[598] 1:04:26	emp has a transcendent you universal uh how is this to be explained
[599] 1:04:33	virtuosity of the author that's how it's explained
[600] 1:04:40	um i i one of the things i find really sort
[601] 1:04:46	of disconcerting about the documentary hypothesis is the idea that
[602] 1:04:52	an author a change in sort of tone of usage
[603] 1:04:57	of um of anthropomorphic versus
[604] 1:05:03	um nationalistic uh depictions of god indicates different
[605] 1:05:08	authors uh i really don't see this um this is one of those things that's
[606] 1:05:14	sort of in the eye of the beholder uh the critic sees this this is for this
[607] 1:05:19	is what he finds i don't think you need to explain this
[608] 1:05:26	i think they need to explain this to us i think the burden of proof is on them
[609] 1:05:33	to show us that anthropomorphic language versus primitive theology
[610] 1:05:39	equals a different author it's not on the burden of proof it's not on us
[611] 1:05:44	to explain why it's the same author the burden of proof is on the critic
[612] 1:05:52	to show why this has to be the case and the fact is when we take a look at
[613] 1:05:58	say documents like the ridic the tablets at uh you garrett
[614] 1:06:04	which sort of demonstrate the same sort of things but are not the same author or so not
[615] 1:06:12	different authors the critic really then has to explain well then why is it it not true for you
[616] 1:06:20	garrett but true for the bible the burden of proof is not on us
[617] 1:06:26	the burden of proof is on them but they put forth this this this this
[618] 1:06:33	hypothesis and they they claim it as absolute truth
[619] 1:06:41	and yet they still haven't proved the case
[620] 1:06:46	so um
[621] 1:06:51	it's um it's it's really it's really incredulous it's really incredulous
[622] 1:06:58	so anyway thank you very much for the question very much appreciate it okay
[623] 1:07:04	let's uh i did see another super chat just come on from carlo for five dollars thank you very much
[624] 1:07:12	uh oh wait uh i did see um are you stretched i'll get back to you rg
[625] 1:07:18	strategy in just a moment here so uh for carlo thank you very much for the
[626] 1:07:23	super chat for five dollars uh which scholars give the best arguments for unity of flood story and
[627] 1:07:30	joseph's story contra mainstream source uh critics um john walton i think does a really
[628] 1:07:36	good job of this uh honestly um i don't agree with everything walton says but i agree with
[629] 1:07:41	a lot of walton says um john walton and i sort of come at
[630] 1:07:48	this with a sort of a similar approach which is we're taking these stories in their historical and um
[631] 1:07:56	literary context and then say you know
[632] 1:08:02	looking at the the comparisons and contrasts and then you know
[633] 1:08:07	coming up with our interpretations so i i would here recommend uh john walton
[634] 1:08:13	um i think i think his his idea for the unity of say the pentateuch and my my
[635] 1:08:19	idea about the unity of the pentateuch is more or less
[636] 1:08:24	that these were stories that were say may have been oral in the past but were ultimately committed to paper
[637] 1:08:31	um during moses wandering in in the wilderness and i think that seems to be
[638] 1:08:36	very very um apparent
[639] 1:08:42	because of the amount of say egyptian words we find in in genesis
[640] 1:08:49	so uh when i look and we we discussed one today you know when it talks about abraham and
[641] 1:08:56	um you know visiting pharaoh well pharaoh is an 18th dynasty term
[642] 1:09:01	it's an 18th dynasty term so it's very very clear that
[643] 1:09:07	the that the genesis account was actually put to pen
[644] 1:09:15	during roughly the 14th century bc at least at least its source documents were
[645] 1:09:22	so and that alone that idea alone goes against more mainstream source critics
[646] 1:09:28	so anyway thank you very much for the super chat very much appreciated
[647] 1:09:34	okay i did crg strategies here
[648] 1:09:40	okay rg strategy for five dollars thank you very much for the super chat my five
[649] 1:09:45	dollars should be laugh out well thank you i appreciate it uh your
[650] 1:09:51	generosity and the generosity of all the super chatters do help us keep going it's it is a major source of income for
[651] 1:09:58	us so we really really appreciate every super chat that donates to this channel
[652] 1:10:04	we really can't do it without your help there's a pc games dev developer
[653] 1:10:10	that you might like builders of egypt and pharaoh a new era okay
[654] 1:10:17	um you'll have to tell me what game he's building his mods for but um very very much appreciate that
[655] 1:10:23	um it's it's nice to know that um what we the work we're doing on
[656] 1:10:28	ancient egypt not only goes to the community of faith but actually helps game developers get good history too
[657] 1:10:36	you know because frankly one of the things that i think is really really important to realize is that
[658] 1:10:43	culture catechizes most people get their morality
[659] 1:10:50	from popular culture it it it's completely true
[660] 1:10:56	that that popular culture teaches morality more than our churches
[661] 1:11:03	do and it's especially now since we since we we are now in a position
[662] 1:11:09	that say the minority of people attend church these days so their greatest influence is actually
[663] 1:11:16	in culture and that's where um that's where most people are getting their source of morality and their
[664] 1:11:22	source of truth is from popular culture social media and i think this is really really it's
[665] 1:11:29	really really important that we are able to to um reach out
[666] 1:11:35	to the content creators people who are creating the culture
[667] 1:11:41	who are who are say supplementing the culture that like like mod builders
[668] 1:11:48	and basically be able to to show them you know this is real history
[669] 1:11:55	what we what we what we are talking about here yes we are talking about ancient
[670] 1:12:01	documents but these ancient documents are written in the historical context of their time and they are relating the
[671] 1:12:08	events of their time as they see it so um i really appreciate what you're doing
[672] 1:12:15	and basically bringing our work to game developers as well because i think
[673] 1:12:20	it's really really important it's one way we can actually extend what
[674] 1:12:25	we do to the culture at large so thank you very much for the super chat and the comment i really appreciate it
[675] 1:12:37	uh linguist ammo for five dollars thank you very much for the super chat uh just a comment but what is funny
[676] 1:12:44	about uh the documentary hypothesis is that joel baden in his book the composition
[677] 1:12:51	of the pentateuch uh and he goes supplement resurrects this
[678] 1:12:58	yeah i know um one of the issues i've had with baden
[679] 1:13:05	i mean baden loves documentary hypothesis i mean he he drank that yeah i mean he swallowed that kool-aid
[680] 1:13:13	oh it gulped it down when he when he drank it um
[681] 1:13:19	one of the issues i have with baden and and everyone actually who to subscribe to the documentary hypothesis
[682] 1:13:26	like for example you can take the ten plagues of egypt take just the ten plagues of egypt
[683] 1:13:33	and you compare driver friedman martin knows and joel baden
[684] 1:13:40	and each one of them will ascribe different sources
[685] 1:13:46	for all 10 plagues there's no consistency across the board
[686] 1:13:53	what that tells me prima facie that what that tells me just right off the bat is
[687] 1:14:01	if ever nobody can agree for these sources that are supposed to
[688] 1:14:07	be self-apparent then there's nothing scientific about
[689] 1:14:12	this this is not a science this is a subjective art
[690] 1:14:19	with emphasis on subjective it's emotion and feeling and impression
[691] 1:14:26	that's giving them this value this this analysis
[692] 1:14:31	not actually anything objective nothing that you can
[693] 1:14:37	i mean you know getting sort of a straight sort of objective answer
[694] 1:14:43	for uh out of the documentary hypothesis is like nailing jello to a wall you know it just won't stay
[695] 1:14:50	you know and and they basically keep trying to nail the jello to the wall and
[696] 1:14:57	you know every time they do this they come up with a different result
[697] 1:15:03	you know if i had a computer program let's just say a straight
[698] 1:15:09	deterministic computer program you know algorithmic program you know
[699] 1:15:14	uh with no and no randomness or chaos you know programmed into it
[700] 1:15:21	and i ran that program and got one result ran again get a different result
[701] 1:15:26	ran it again get a different result and i keep repeating i keep different results different results different
[702] 1:15:31	result every time i would say of that program that it had a bug that it was defective
[703] 1:15:40	because it is not operating according to deterministic parameters
[704] 1:15:45	it's there's not the science there the documentary hypothesis has a bug
[705] 1:15:53	it's got a serious bug it's got serious inadequacies and there have been lots of authors that
[706] 1:15:59	have written about this um in the past you had guys like um um
[707] 1:16:07	oh um what's this name now um
[708] 1:16:13	i can't remember it at the moment but you got guys like kilcore and joshua and berman in recent times who have also
[709] 1:16:19	written on this um you know there's been it's had lots of critics the documentary hypothesis
[710] 1:16:25	has had lots of critics it's dead in europe and just refuses to die in north america and it really should
[711] 1:16:32	so anyway thank you very much for the super chat very much appreciate it
[712] 1:16:37	okay uh cheese one uh thank you very much uh for the five dollars australian very
[713] 1:16:43	much appreciated uh sorry for layman's question don't be sorry for that you're giving me a super
[714] 1:16:49	chat i'll i'll take layman's questions all day for as long as i get super chats
[715] 1:16:55	but wanting to support you and it's fun
[716] 1:17:02	well i'm glad you're enjoying it one of the things we really do want to try to strive to do on this channel is to make
[717] 1:17:09	um education entertaining we we do try this um and we got a big big surprise coming
[718] 1:17:16	up for um the next popcorn video too so uh because we do as i said want to make
[719] 1:17:23	this fun okay uh why couldn't ancients whip up their
[720] 1:17:29	own box i'm no tradie but in a pinch [Laughter]
[721] 1:17:40	i'm not sure about the question do you understand that question
[722] 1:17:45	nope um uh uh
[723] 1:17:51	i'm glad you i'm glad you're supporting the channel i just don't understand the question
[724] 1:17:59	so um if you have if you want to rephrase the question down below um we'll take it again
[725] 1:18:06	but i'm i'm sorry i just don't understand the question but uh thank you very much uh unless you
[726] 1:18:13	mean game box but i appreciate the super chat thank you very much and thank you for the
[727] 1:18:19	question even if we didn't understand it but again put it down below and we'll look for it and uh try to answer it
[728] 1:18:28	okay uh 501 mobius for 27 well thank you very much for that very generous super chat
[729] 1:18:34	very much appreciated uh do you have any information on the senate game i'm currently coding the
[730] 1:18:41	game and would use your translations of names or rules okay
[731] 1:18:49	this is one of the most now um
[732] 1:18:55	wow here's the thing about senate we don't have the rules
[733] 1:19:03	uh i wish we did uh
[734] 1:19:09	there have been various people who have tried to revive the game of senate um
[735] 1:19:17	um but we don't the rules were never written down we don't know how the
[736] 1:19:22	egyptians played it um there's been there's a modern version of senate that's being played today
[737] 1:19:29	but it's based upon a reconstruction that we don't exactly that's that's
[738] 1:19:34	that's more guesswork than scholarship so it's like well we received the board
[739] 1:19:41	today we don't know how to play it and we're just going to guess how to play it that's sort of modern senate rules
[740] 1:19:46	we don't actually have the rules so um as much as i'd love to give you
[741] 1:19:52	the rules and give you the translations of the names such um if there's egyptian words on the senate
[742] 1:19:58	board i can easily translate those for you that's that's no problem but we don't have the rules
[743] 1:20:05	i wish we did um it'd be really really cool to learn how to play it uh but we just don't have that
[744] 1:20:12	so um i'd love to be able to do that and especially given that you're coding a game an electronic version of the game
[745] 1:20:18	would be lots of fun i admit lots and lots of fun to to play this game electronically
[746] 1:20:24	so um i'm sorry i couldn't be more help here but that we just don't have that
[747] 1:20:30	the best you could probably do is use say the reconstructed rules that are being used right now
[748] 1:20:36	um until we find something more or or more authoritative
[749] 1:20:41	so anyway thank you very much for the super chat um uh i look forward to seeing your game
[750] 1:20:48	um and it's good to see you here tonight uh you haven't been on for a while so we appreciate you having you on again i
[751] 1:20:54	know it's very late for you but um again really appreciate it and um
[752] 1:21:00	it is a good question it's a great question but sometimes great questions don't have answers
[753] 1:21:07	okay um let's see i think i saw
[754] 1:21:14	uh what did i see no there was i did see uh that um
[755] 1:21:21	chief one there um he clarified
[756] 1:21:26	his question
[757] 1:21:32	tradesman [Music] ah okay
[758] 1:21:39	okay um this is the clarification to the question in the earlier super chat
[759] 1:21:46	i'm sure i could make a box without being a trained tradesperson but your book outlines that a basic box was only
[760] 1:21:52	for the wealthy yes it was um but it wasn't just because of uh of
[761] 1:21:58	training it was because that uh wood was a scarce
[762] 1:22:04	rare and valuable commodity that's the reason we have to understand that in in ancient
[763] 1:22:10	egypt trees were uncommon uh most trees got uh cut down used for
[764] 1:22:17	funerary furniture coffins etc wood was expensive and valuable in egypt
[765] 1:22:23	so um it it's not the reason why the basic box was only for the wealthy was just
[766] 1:22:30	because wood was only for the wealthy uh think of it kind of today you know if
[767] 1:22:36	you go and buy a silver box your your typical poor person doesn't
[768] 1:22:42	own a lot of silver because it's an expensive material so it doesn't matter how much how how
[769] 1:22:48	how um competent the craftsmanship is or or whether or not a a lay person could make
[770] 1:22:54	it if they can't get the materials in the first place because they're expensive
[771] 1:23:00	then that limits one's ability to actually be able to do the craftsmanship
[772] 1:23:07	so that's that's the reason why
[773] 1:23:13	um that's why these boxes were only for the wealthy it it wasn't about training
[774] 1:23:19	although training did play a huge portion in this too
[775] 1:23:25	uh and that's some of that is become because of
[776] 1:23:31	um wood was given to craftsmen who could conserve the wood as they did it
[777] 1:23:39	because you didn't give a large piece of wood to just to a nobody it was too precious
[778] 1:23:45	you gave your large pieces of wood to craftsmen who could do many separate items out of it
[779] 1:23:52	your typical trained uh tradesperson in egypt jury or your furniture builder in egypt
[780] 1:23:59	could take a take a log and and build lots of different pieces of furniture
[781] 1:24:05	out of it not just one there was no waste the egyptians did not waste wood at all
[782] 1:24:11	even little scraps were turned into inlays
[783] 1:24:17	so you know this was as much an exercise an exercise in conserving materials as it
[784] 1:24:24	was in building so anyway i hope that answers your question thank you very much for
[785] 1:24:30	restating the question because we do want to answer your questions very much appreciate it
[786] 1:24:36	okay
[787] 1:24:44	uh tony g for 4.99 uh thank you very much for the super chat did moses have a second wife
[788] 1:24:50	or is zipra the cushite in numbers 12 1
[789] 1:24:56	and why did aaron and miram speak against moses because of her okay
[790] 1:25:02	um my opinion of this is that zipra is not the same woman as the
[791] 1:25:09	cushite in numbers 12 1. i think what we have here is a second
[792] 1:25:14	unnamed wife um zipra was a midianite she's not a cushite
[793] 1:25:21	pure and simple the two are tribally unrelated and i don't think there's any way you
[794] 1:25:27	can even confuse a midianite with a cushite um somebody from egypt would have never
[795] 1:25:33	confused the two ah they don't they look nothing alike
[796] 1:25:39	push heights and midi knights nothing alike so i i i don't think numbers 12 1 is
[797] 1:25:46	talking about zipper now the question is what became of zipper we don't really
[798] 1:25:53	know is it possible that uh moses was widowed and then remarried yes that's that's
[799] 1:26:00	entirely possible that he was widowed and then remarried um
[800] 1:26:06	there's some um there is some idiosyncrasies uh against
[801] 1:26:12	in numbers 12 as to uh aaron and miriam speaking against moses
[802] 1:26:18	here uh because of her um there is the text uh will talks about
[803] 1:26:25	you know how um miriam entered into the the tabernacle
[804] 1:26:32	of the tent of meeting in the tabernacle and that was a definite no-no that was a definite no-no
[805] 1:26:38	there does seem to be here an element of not that the miriam and aram speaking against
[806] 1:26:46	moses because of her was a pretense for another matter
[807] 1:26:51	and that pretense seems to be who is allowed in the tempt of meeting
[808] 1:26:57	aaron as a consecrated priest wouldn't it wouldn't be no problem for him to enter into the tent of meeting
[809] 1:27:04	but miriam was a woman and women were not allowed in the tenta meeting
[810] 1:27:10	in in the tabernacle so you know you've got to take that into
[811] 1:27:15	account as we we talk about this is was there an attempt here by
[812] 1:27:21	by miriam and aaron to sort of democratize uh or over democratize israelite
[813] 1:27:28	religion by allowing not just ironic priests into the tabernacle
[814] 1:27:35	so i i think there's there's a lot here that's there's a lot of moving parts to this passage that i think really do need
[815] 1:27:41	to be fleshed out here but i i i think in in the case of zipra
[816] 1:27:47	i don't think she's the cushite in numbers twelve one the the the two tribal groups are distinct they're
[817] 1:27:53	distinct they're well known that um that midian and kush
[818] 1:27:58	weren't you know not even close they're not even close to each other
[819] 1:28:03	uh kush is in uh upper egypt midian is on the
[820] 1:28:09	the closest would be the eastern side of the sinai peninsula going into edom and into saudi arabia
[821] 1:28:16	so yeah no they're not the same person so any thank you very much for the super
[822] 1:28:22	chat very much appreciated okay a sentinel apologized
[823] 1:28:29	for two dollars australian thank you very much for the super chat daddy i'll send a gofund on the 22nd
[824] 1:28:36	blessings well thank you very much very much appreciate it it was a lot of fun um engaging that video uh with the
[825] 1:28:43	valley of healing um we've already uh sentinel gave me
[826] 1:28:48	feedback that it's already helped and blessed a lot of people who were
[827] 1:28:53	having problems within that group and uh you know we do this as a ministry to
[828] 1:28:59	people uh we every every time we are able to help somebody you know um come to the
[829] 1:29:05	knowledge of the truth in jesus christ that's that's a winning that's a that's a tick in the win category for us
[830] 1:29:12	so um very very much uh appreciate the opportunity to to
[831] 1:29:19	minister to these people and um i i love um i love talking to them as well i've had a couple even out
[832] 1:29:25	uh reach me out to me already and you know sort of strike up conversations so um again this was this was a great
[833] 1:29:32	blessing to me i'm glad i could have helped so again thank you very much for the super chat and thank you for that
[834] 1:29:37	opportunity okay uh cnmk for 1.99
[835] 1:29:45	could farmer egyptians still afford to be married um
[836] 1:29:51	yes yes they did marry uh
[837] 1:29:57	they usually married among their class so um
[838] 1:30:02	a farmer would would essentially marry someone from the farming class
[839] 1:30:09	so that's how they kind of um sort of kept numbers going
[840] 1:30:14	the fact is that in the strata of ancient egypt farmers were at the very bottom
[841] 1:30:21	they were actually below slaves the farming class was below slaves
[842] 1:30:27	and the reason why farming farmers were below slaves in in social class
[843] 1:30:32	was because that slaves typically had a very very valuable skill
[844] 1:30:38	i think about slaves kind of like i.t workers they have very very valuable skills but
[845] 1:30:44	they're not respected in any way not that i know anything about that
[846] 1:30:53	so um
[847] 1:31:00	so for a farmer to marry a slave is almost sort of a step up to be honest
[848] 1:31:07	uh however most slaves did not have the right to marry on their own accord so that that
[849] 1:31:12	actually very seldom happened it didn't happen very often uh but uh farmers in egypt had were
[850] 1:31:19	usually given a plot of land they were given a license to a plot of land
[851] 1:31:25	that they then had to work and um farmers then would marry say um say the
[852] 1:31:34	neighbor's daughter um because she unless uh unless something
[853] 1:31:39	extraordinary happened to her um
[854] 1:31:47	they um that's typically what would happen is your your next door neighbor you know
[855] 1:31:53	might have a have a have a daughter she's of the farming class she's not eligible to sort of move up in the social strata so then she's she's
[856] 1:32:00	married off to the neighbor so yes uh farmers in egypt could afford to
[857] 1:32:07	get married because frankly uh the farmers or the the
[858] 1:32:12	woman he would marry would also contribute to the labor of the land as well you know um labor in ancient egypt was um
[859] 1:32:20	not so much divided according to sex so um women work the fields just like men
[860] 1:32:26	did so she would just be able to double the capacity of that farming plot just by
[861] 1:32:33	marriage and and while one former might have too many children to
[862] 1:32:39	to use in in a farm she he could marry them off to others who who were able to
[863] 1:32:45	so uh thank you very much for the super chat very much appreciated okay
[864] 1:32:51	now we're hit we've hit an hour and a half here so we are going to start
[865] 1:32:57	winding it down i will look for a couple more of non-super chats
[866] 1:33:03	uh let's see uh the here for the answer
[867] 1:33:09	yeah which b.o.b egyptian view of canon island okay
[868] 1:33:15	well i know almost never take non-stream uh non-super chats from the same person
[869] 1:33:21	in the night but my producer here has made a special request that i
[870] 1:33:29	bring back mr rich bob here for third non-super chat oh it's your lucky night
[871] 1:33:35	isn't it uh what was the egyptian view of handedness left or right
[872] 1:33:42	did did the egyptians or local people have a sign language for the death
[873] 1:33:49	um let me answer the quit ladder question first uh we don't think so
[874] 1:33:54	uh we don't think they had a sign language for the deaf uh we don't know exactly what
[875] 1:34:01	accommodations they made for the deaf and part of the problem with being deaf is you're also usually um oftentimes
[876] 1:34:07	can't speak right either so i don't think egyptians were very nice
[877] 1:34:13	to these people people with disabilities there were some disabilities that um
[878] 1:34:20	egyptians did seem to treat a lot better
[879] 1:34:25	dwarfism uh for some reason egyptians really
[880] 1:34:32	prize dwarfism they were seen as sort of manifestation
[881] 1:34:38	of the god best so often dwarfs in ancient egypt
[882] 1:34:44	were highly educated became scribes and important administrators
[883] 1:34:50	but other sort of disabilities like um losing a limb or being deaf or blind
[884] 1:34:58	were not treated so nice so um
[885] 1:35:03	i don't think the death would have been had much accommodation in ancient egypt
[886] 1:35:10	now um the egyptian view of handedness we do know that egyptians the egyptians
[887] 1:35:19	did acknowledge uh right and left-handedness um it like like every culture in the ancient
[888] 1:35:26	world and and and in every society that we know of right-handedness was
[889] 1:35:31	considered to be normal um but we do have some records that talk
[890] 1:35:36	about left-handedness also and um
[891] 1:35:42	they make note of it they view it as kind of strange
[892] 1:35:48	um but it really wasn't too um
[893] 1:35:54	too frowned upon either you do get the occasional you know talking about it being say you know
[894] 1:35:59	um unnatural a natural it may be the best way to to
[895] 1:36:05	describe the egyptian view of say left-handedness but that's pretty much the extent of it
[896] 1:36:12	because it didn't really play much it wasn't seen as being um it wasn't seen
[897] 1:36:18	as a sign of evil it wasn't seen as being sinister as sinister is actually
[898] 1:36:25	um uh uh comes from the latin meaning
[899] 1:36:30	left-handed so um so there there we we have it in our own
[900] 1:36:35	language uh uh where there's sort of this nascent view of left-handedness in say modern culture that sort of is a
[901] 1:36:44	which we had inherited from medieval culture but the egyptians don't quite seem to
[902] 1:36:50	have this view they see it as sort of unnatural but that's about the extent of it so anyway thank you for the question
[903] 1:36:57	and let's see what else can we do
[904] 1:37:14	okay i'm going to take louis sandoval's question you just got popped in here uh hi lewis
[905] 1:37:20	why do you think that abraham was an amorite also wouldn't have any theological problems since israel
[906] 1:37:27	thought amorites okay um well the biblical text tells us first of
[907] 1:37:34	all that uh that israel the sons of jacob were descending from amorites
[908] 1:37:39	they also come from the um the region of urkesh which is in
[909] 1:37:45	northern mesopotamia these are this is an area that was uh occupied by amorites
[910] 1:37:53	so uh we have sort of got two pieces of evidence here
[911] 1:37:59	that sort of points to abraham being an amorite
[912] 1:38:04	okay now this doesn't actually have theological problems
[913] 1:38:09	and the reason why it doesn't have theological problems is because
[914] 1:38:14	alliances in the ancient near east were very perfidious um they were fickle
[915] 1:38:21	very fickle you could be allied with somebody in one generation
[916] 1:38:27	and then go to war with them in the next like the gibeonites you know they signed
[917] 1:38:33	a peace treaty with gibeonites then by the time of david
[918] 1:38:39	and and and saul they're at war with them again uh we see this with the midianites
[919] 1:38:45	you know midianites become are very good relations with the people of israel
