[0] 0:00	e [Music]
[551] 1:06:27	literature but we got a lot of wisdom literature from that period so you know
[552] 1:06:34	I I think I think that there what we have in job is this intersection between say the wisdom
[553] 1:06:41	literature of Mesopotamia coming in and and basically
[554] 1:06:47	informing some writer in Aram or Syria you know hey you know this is uh
[555] 1:06:53	something that wisdom lure that we can used to apply to our understanding of
[556] 1:06:58	the Divine and suffering so I think there is a I think
[557] 1:07:04	you're you're half right here I think there was it is to give us wisdom it is to impart wisdom and I think it is falls
[558] 1:07:11	under the genre of wisdom literature but I also think too that it's not a novel per se but it does fall into that
[559] 1:07:17	tradition of wisdom
[560] 1:07:23	literature uh Gabe Reagan asks I thought Joe was supposed to be one of the older books in the Old Testament it's not it's
[561] 1:07:28	not um that's one of those things that sort of kind of uh
[562] 1:07:34	people this was this was a myth that sort of kind of circulated in the late 19th century early 20th
[563] 1:07:41	century that that job was really old but the more we've learned from say job and
[564] 1:07:49	the context of the ancient eies we really now are pretty sure it's our in ag and probably iron
[565] 1:07:56	H2 would be my guess oh yeah I've heard many people say
[566] 1:08:03	it absolutely I've heard a lot of people say it I mean people keep repeating it but people keep repeating the same myths
[567] 1:08:09	over and over and over again you know you know this channel wouldn't have wouldn't be in business if people didn't
[568] 1:08:15	keep repeating myths come on I think we spent half our time
[569] 1:08:22	debunking myths that keep going it through circulation so
[570] 1:08:34	mobus you can't really tell when job was okay we do know that it's it's after uh
[571] 1:08:42	when there are [Music] certain historical markers in the Book
[572] 1:08:48	of Job um he's plundered by the calans we do know know that there's no
[573] 1:08:56	calans prior to the S Century we do know that he's living in amongst the
[574] 1:09:03	arameans there's really no air means until after the fall of matani that's almost certainly going to be Iron
[575] 1:09:09	Age so the question then is only when at in the Iron Age are we talking about
[576] 1:09:15	here so it does seem to be before the state of Aram gels together and once the state
[577] 1:09:24	of Aram gels together it at that point it sort of resists incursions from
[578] 1:09:30	raiding calans okay so there's a there's a lot of there
[579] 1:09:37	there are historical markers in job there are historical markers in job they're just not precise enough to for
[580] 1:09:42	us to to narrow it down to an exact time frame and the iron H is a long span of
[581] 1:09:48	time so so we have to sort of be comfortable with what we got here
[582] 1:10:01	okay let's get back to the super
[583] 1:10:12	chats oh boy I'll take that
[584] 1:10:19	comment uh Rob led the reasons to believe folks have been propagating the
[585] 1:10:24	oldest book rumor lot and I'm not surprised at that those guys are really good on the
[586] 1:10:30	physical sciences not so good on not so good on some biblical exuses there's some issues I have some issues with some
[587] 1:10:36	of their views um you know I I don't have
[588] 1:10:43	any anything to say about sort of their main view which is I mean they're old Earth
[589] 1:10:51	creationists I have really no comment on their older creationism one way or the other it doesn't bother me but the
[590] 1:10:58	concordism I got issues with I got issues with the concordism and they are strong
[591] 1:11:03	Concords keeps learning concordism yep concordism yeah they're very strong
[592] 1:11:09	concordances uh concordist they very very much believe that the Book of
[593] 1:11:15	Genesis is a scientific book um and it's not it's not a scientific book it's a religious book
[594] 1:11:22	it's a temple book so so yeah I I do have some
[595] 1:11:28	problems with some of the stuff that reasons to believe puts out there um but
[596] 1:11:34	again it's not their old Earth creationism got to be very clear about that I don't care about their old Earth creationism one way or the other the
[597] 1:11:41	concordism yeah that's that's kind of cringy it's kind of bad all right um so anyway uh at
[598] 1:11:51	Ministries thank you very much for that Super Chat uh don't think could have written it's too late for Solomon but
[599] 1:11:58	it's probably sometime during the divided monarchy okay next 18 Ministries for 499
[600] 1:12:05	thank you for the super chat if theosis was the expectation hope
[601] 1:12:11	in Egypt after death if you made to the fields of Osiris what made Pharaoh so special as
[602] 1:12:17	to be potential Gods could be king essentially
[603] 1:12:26	H uh Pharaoh's had the power of life and death at least in theory
[604] 1:12:32	so they were seen as Godlike now the whole idea of God uh uh
[605] 1:12:39	sorry Pharaoh's becoming Gods is something that sort of changes over time in
[606] 1:12:46	Egypt uh most for the most of the period of Egypt pharaohs were seen as only gods
[607] 1:12:52	in potential that is that they are human beings while they were alive but when they died they were
[608] 1:12:59	transformed into gods and that there as the leader of the people they could then
[609] 1:13:06	be a liazon to Osiris to help the people APO oiz okay so uh basically Pharaohs
[610] 1:13:18	were kind of seen as Osiris's Little Helper okay Osiris's Mini Me
[611] 1:13:27	if you want to say it that way okay so they were they were seen as
[612] 1:13:32	sort of the helper that that assisted Osiris in getting the people APO
[613] 1:13:38	apotheosized okay so that put pharaohs in kind of a special place in the
[614] 1:13:45	ranking of society now as such because Pharaoh's kings were special they didn't have to
[615] 1:13:52	go to the fields of Osiris to work and in fact what they did was they went on the Ocean Cruise with uh Reay on his
[616] 1:13:59	solar boat so kings of Egypt didn't go to the fields of Osiris they went to the
[617] 1:14:06	boat of Ray to act as Ray scribes Ray servants um and basically lounge around
[618] 1:14:13	the ship okay Jack Ray Simpson sant's Little
[619] 1:14:18	Helper yeah kind of like that and almost as effective
[620] 1:14:25	[Laughter]
[621] 1:14:31	okay so Pharaoh's Egyptian loal Loopers
[622] 1:14:43	yep that's pretty bad but it's it's sort of dead [Laughter]
[623] 1:14:53	on yep so basically they were they were Osiris's Little Helpers as far as the
[624] 1:14:59	afterlife goes this is why a lot of lot of people in ancient Egypt were buried
[625] 1:15:05	around the tombs of the Kings like the pyramids pyramids were
[626] 1:15:10	National necropolises okay the best uh and the brightest of Egypt you know the
[627] 1:15:16	highest ranking people in Egyptian Society had themselves buried around the
[628] 1:15:22	pyramids and that's because they thought that the king inside of his pyramid his
[629] 1:15:29	resurrection machine would help them to Res to be to be Apo apotheosize in the
[630] 1:15:40	afterlife so essentially Pharaohs
[631] 1:15:45	were Osiris's Ooma lopas that's not a bad way to put it
[632] 1:15:55	okay that was fun um anyway at Ministries thank you very much for the Super Chat very much appreciated D
[633] 1:16:02	Resurrection machine yeah oh oh we've never talked about that have we oh
[634] 1:16:08	yeah yeah pyramids were considered to be kind of like Resurrection
[635] 1:16:14	machines uh they were it was believed that the pyramid helped the king in the
[636] 1:16:23	afterlife come back to this world and go out of
[637] 1:16:28	the pyramid to engage the world of the living so they were kind of seen as
[638] 1:16:36	Resurrection machines okay not bodily Resurrection
[639] 1:16:41	quite but a a a a a resurrection of spirit where they had a spiritual
[640] 1:16:48	presence in the world of the living okay so if you were say a viser or a high
[641] 1:16:56	scribe or a with the treasurer you could get your your
[642] 1:17:04	place buried around the pyramid and you could participate in the power of the
[643] 1:17:11	Resurrection Machine by being close enough okay how any of this works is
[644] 1:17:18	anyone's guess but that's basically what pyramids were
[645] 1:17:25	they were more or less Resurrection machines gaban so they weren't ancient
[646] 1:17:32	power plants nope and they were also weren't grain storage Styles
[647] 1:17:37	either sorry Ron [Laughter]
[648] 1:17:46	Wyatt man I still hear that that that that whole scen storage thing I mean
[649] 1:17:52	that's crazy stuff
[650] 1:18:03	okay okay so the next Super Chat here is going to be from at mistress for
[651] 1:18:10	199 thank you for the Super Chat is it safe to say that Eli was Mary's father
[652] 1:18:16	in Luke 3:23 yes uh basically from the lines of the genealogies here uh the
[653] 1:18:25	genealogy in Matthew is the legal line uh through Joseph Mary's uh Luke
[654] 1:18:34	chapter 3 is the genetic line through Mary okay and both lines do are davidic
[655] 1:18:41	lines so both Mary's line and Joseph's line are davidic lines they just intersect at a different
[656] 1:18:50	and diverge at a different place so
[657] 1:18:56	so yes Ali is probably Mary's father okay so I hope that helped thank you for
[658] 1:19:01	the Super Chat very much appreciated 18 Ministries for 19 199
[659] 1:19:09	thank you very much for the Super Chat does Fear always mean respect in some sense yes
[660] 1:19:17	okay now we have to understand we have more than one meaning for for respect we
[661] 1:19:26	have more meanings for respect than we do for fear
[662] 1:19:32	so um all fear is respect but not all respect is fear okay
[663] 1:19:40	so um you've got the this in two senses
[664] 1:19:46	like you have the fear as in I respect someone that can do me harm or a thing
[665] 1:19:53	that can do me harm there's also a respect as an honor
[666] 1:19:59	too and that's not a meaning that's often associated with fear okay so it's
[667] 1:20:05	one of those things that that if you were afraid of something it's usually for a reason and you respect it on that
[668] 1:20:12	basis you know you can fear fire because it's going to burn you and set your
[669] 1:20:18	house into ashes okay that's a good reason to respect fire even though you
[670] 1:20:24	don't honor fire okay
[671] 1:20:29	so fear is always a kind of respect but not every respect is is fear
[672] 1:20:39	okay like for example you can respect someone for their position without
[673] 1:20:44	necessarily being afraid of them and that's a different kind of respect that's not
[674] 1:20:50	fear so so all that's I said fear fear is respect but not all respect is
[675] 1:20:58	fear so I hope that sort of clarifies it let me give you an example counter
[676] 1:21:03	example that might help too um let's say you have a really bad
[677] 1:21:09	boss and you don't care if he fires you or not you can you can that guy might have power
[678] 1:21:16	but you're not afraid of him and you don't respect him okay but you know you can also say Hey
[679] 1:21:24	you know this is a guy who could do me some harm too in the future whatever bad
[680] 1:21:29	reviews inter sorry bad um performance reviews bad recommendations Etc so even
[681] 1:21:36	though you might not respect him in the sense of honoring him you might still
[682] 1:21:42	fear what he does okay
[683] 1:21:47	so so the two are not exactly equals
[684] 1:21:52	but to fear something thing is to respect it in a in in that sense of the
[685] 1:21:58	term of respect all right so I hope that helps this is why we also we see for
[686] 1:22:04	example in the Greek the um the terms fobos is both fear and defined as both
[687] 1:22:10	fear and respect it can be used both ways so I hope that helps thank you for
[688] 1:22:15	the Super Chat very much appreciated
[689] 1:22:29	okay let's take that follow up there from
[690] 1:22:38	Roa uh Roa 12345 so the correct calculation would be 128 minus 25 yes
[691] 1:22:45	that would be the or would the account be from the reign of romsey since he lived into his
[692] 1:22:52	his father's 40th year um no no no the correct calculation
[693] 1:23:00	would be 1288 minus 25
[694] 1:23:06	um um romsy is the second I don't know what you mean by he
[695] 1:23:11	lived in his father's 40th year cuz I don't know what you mean by that cuz uh
[696] 1:23:19	um romy's predecessor SE the first only reigned up to 15 years
[697] 1:23:25	and uh his grandfather only reigned one or two so I don't know what you mean by
[698] 1:23:31	the minus 40 thing uh that's doesn't seem to be the correct calculation so I
[699] 1:23:36	don't know what you're driving at there but the correct calculation for the death of almond here copf would have
[700] 1:23:42	been 1288 minus 25 roughly uh we don't know exactly the age of almond here copf
[701] 1:23:48	we just know he died in the 25th Regal year so around the 25th regular year plus or
[702] 1:23:56	minus say seven so we're dealing not here with
[703] 1:24:02	exact numbers anyway but he was around 25 but he could have been say two years
[704] 1:24:09	old at the time of ram II's session too which would make him 27 so that's
[705] 1:24:16	possible as well all right so I hope that helps thank you for that up uh for
[706] 1:24:21	that follow-up question um if you if there's something about that 40th year that I'm not getting and understanding
[707] 1:24:27	please do uh follow up all right next one
[708] 1:24:38	here is from 18 Ministries for1 199 thank you very much for the Super
[709] 1:24:43	Chat who are RF and aarte they are canite
[710] 1:24:50	deities um aarte is the canite version of Ishtar
[711] 1:24:56	okay who is one of the um one of the um gods of the of of I believe it's the um
[712] 1:25:05	of the star Venus I believe I'm not a big Authority on on I
[713] 1:25:11	don't know much about estarte actually RF is a war God okay now RF I
[714] 1:25:17	know RF is a vicious war God he's the Canaanite god of war okay
[715] 1:25:26	uh he's the essentially the Canaanite equivalent of Manu a vicious War deity
[716] 1:25:32	that's who RF is that one I know very very well so I'm not so I'm not so much
[717] 1:25:39	into say the um the mythology of a star and AAR but RF RF I'm familiar
[718] 1:25:46	with but that's who they are they're essentially Canaanite deities so hope that helps thank you for
[719] 1:25:53	the Super Chat very very much be appreciated 18 Ministries for
[720] 1:25:59	199 uh thank you again for the Super Chat is hot's two volume physical set
[721] 1:26:05	worth getting hollot is worth getting okay um as far as I'm concerned it
[722] 1:26:10	doesn't matter to me if you get the physical set or say um an electronic set
[723] 1:26:16	if you're going to do anything with the Hebrew Old Testament that's scholarly
[724] 1:26:22	and you need something more than um uh what's it called now
[725] 1:26:29	um holidays concise lexicon now you can use holidays I mean if you're just learning Hebrew I would recommend
[726] 1:26:36	holidays concise Hebrew and Aramaic lexicon instead because um holiday is a
[727] 1:26:45	condensed version of hot and it will meet 90% of your needs okay at least
[728] 1:26:52	when you're starting out it's a lot less expensive how is really
[729] 1:27:01	expensive but if you're going to be doing this a lot of work in Hebrew eventually you're going to need
[730] 1:27:07	hot it's just it's it's it's just such a
[731] 1:27:13	expensive book uh Jack Ray holiday is a lot yeah it's like 300 bucks that's crazy
[732] 1:27:22	expensive it's crazy crazy expensive but as I said if you're going
[733] 1:27:28	to be a he yeah it's worth every penny if you're going to be a Hebrew scholar if you're going to do substantial work
[734] 1:27:33	in Hebrew yeah you need hot um I mean some of these lexicons are
[735] 1:27:41	very very expensive but once you got them you got them they're they're they're a lifetime acquisition okay you
[736] 1:27:48	buy them once and you they serve you for the rest of your natural life so my my thought on this is that
[737] 1:27:56	you can bite the bullet now or you can get holiday and
[738] 1:28:06	that's Jack Ray that pun did not work as a tended yeah it's it's like this you know
[739] 1:28:14	I I'm reading these things I don't I'm not thinking about them as I'm reading them
[740] 1:28:22	[Laughter] yeah puns are going to be lost on me for
[741] 1:28:28	the most part unless my my producer says that's a funny
[742] 1:28:36	pun I mean I'm having to to pay attention to three monitors here you
[743] 1:28:41	think I'm GNA pick up on every pun come on [Laughter]
[744] 1:28:49	really Gabe Reagan Ishtar was also a really bad movie from the 80s oh boy oh
[745] 1:28:55	boy was it oo oo oh I feel sorry for
[746] 1:29:02	anyone who saw that film [Music]
[747] 1:29:08	whoa arble film like I think it was I think it was like nominated for worst
[748] 1:29:14	film of the decade or something like that and that's that's pretty bad when you you you're you're you're aiming for
[749] 1:29:21	the worst film of the decade
[750] 1:29:31	okay our little movie trivia aside
[751] 1:29:50	okay back super chats here which are way up now okay
[752] 1:29:57	so uh next one here we're going to take next one from H Ministries here for 499
[753] 1:30:03	thank you for the super chat if Miram is an Egyptian name why
[754] 1:30:09	did lat later Jews take up the name because it's not a theophoric name it's a nice name it's a name that means
[755] 1:30:17	beloved that's all it means there's no theophoric element to it it's uh there
[756] 1:30:23	were a lot of Egyptians who were named Mary um and the the first Hebrew version
[757] 1:30:29	of it was Miriam it's a definitely an Egyptian name so um yeah it just
[758] 1:30:36	became part of Israelite culture to call people by that Egyptian day uh there's
[759] 1:30:43	actually a few of these in egypti or sorry in Israelite
[760] 1:30:48	culture but that's probably the most popular one very very popular Egyptian
[761] 1:30:53	name um and most people don't know it's from from Egypt so yeah uh they they take it up and it's
[762] 1:31:01	it's again very it's an Egyptian name it's well-known Egyptian
[763] 1:31:08	name so yeah but people don't ex really examine the origins of names before they
[764] 1:31:15	name people normally it's it's
[765] 1:31:21	just oh yeah oh Yeah that poor guy uh I I knew a guy when I was working at
[766] 1:31:30	Oracle who named his named her
[767] 1:31:36	child he named her child the gave him gave him the same name as the National
[768] 1:31:43	Socialist leader with the weird mustache okay um
[769] 1:31:51	wow talk because it was a famous person
[770] 1:31:58	yeah yeah it was just oh terrible
[771] 1:32:04	terrible uh and that kid was bullied like all his entire life it was
[772] 1:32:10	just but you know his mother didn't think about it when she named him she
[773] 1:32:15	just knew it was a famous person cuz she heard the name all the time just no think about it
[774] 1:32:28	yeah so um Miriam's a nice name it's a it's a it's a good name it's a happy
[775] 1:32:34	name it means beloved you know it's a pretty
[776] 1:32:41	name keeps learning German or Russian
[777] 1:32:46	[Music] German all right so let's get on with the next Super Chat here also from 18
[778] 1:32:54	Ministries 199 thank you very much for the Super Chat what do you mean the
[779] 1:32:59	Eastern Orthodox don't understand schol soul scriptura I mean they don't understand Sol
[780] 1:33:06	scriptura uh they very very often confuse solar
[781] 1:33:15	scriptura with nuda scriptura okay you know you ask for
[782] 1:33:21	example you know what you ask an Eastern Orthodox person
[783] 1:33:28	okay what what what's the basis for for you know Doctrine and they'll go well
[784] 1:33:33	scripture and tradition okay well what if tradition doesn't doesn't decide it oh we go with scripture oh really that
[785] 1:33:41	sounds a lot like solar scriptura oh no it's nothing like solo scriptura why isn't it like solar
[786] 1:33:47	scriptura because uh you know because Sol scriptura only only uh only does
[787] 1:33:55	Scripture said that's not Sol scriptura that's new to scriptura now Sol scriptura you know
[788] 1:34:01	consults the councils church history debates in in in
[789] 1:34:07	amongst theologians it takes in a lot of it but Mak solar scripture the final
[790] 1:34:14	Authority so it's like okay it's you know you know you ask an Eastern
[791] 1:34:20	Orthodox too okay well you know what's your position on say Apocrypha it's like
[792] 1:34:27	well we we think it's good for wisdom but we don't do it use it for for for
[793] 1:34:33	Doctrine well that's a very soulless scripture
[794] 1:34:39	position that's a very solo scripture ofos hey I I would agree with that hey
[795] 1:34:46	you know it's like yeah I'd agree with that use use Apocrypha for wisdom but not not doctrine that sounds like Soul
[796] 1:34:54	scripture to me yeah soul scripture is about what's the final Authority not what is the only
[797] 1:35:01	Authority so when you talk about Soul scripture to Eastern Orthodox they just
[798] 1:35:07	they have been sort of indoctrinated with this idea that Soul scripture is about excluding
[799] 1:35:14	everything but scripture and it's not that so most of
[800] 1:35:20	the Eastern Orthodox don't understand what school scripture is is
[801] 1:35:27	okay now in the case of of Roman Catholicism a lot of them do understand
[802] 1:35:32	what so scripture is and disagree with it that's different
[803] 1:35:39	so most a lot of Roman Catholics will understand Soul scripture and basically
[804] 1:35:44	say oh yeah yeah okay yes scripture does you get can get Doctrine from from from
[805] 1:35:49	scripture but you can also get it from tradition from apocrypha and those other sources so you know
[806] 1:35:57	Roman Catholics understand so scriptura they just don't and and it's really
[807] 1:36:02	interesting because solar scriptura began as a Roman cath Catholic dogma is a Roman Catholic
[808] 1:36:10	dogma that was just adopted by protestantism but Eastern Orthodoxy never went down
[809] 1:36:18	those roads of debate so you know a lot most most of them
[810] 1:36:23	won't understand it even though in Practical terms they practice
[811] 1:36:30	it it's really weird it's really weird you know because I I I because I
[812] 1:36:37	know a lot of Eastern Orthodox people and it's just like okay you guys you
[813] 1:36:42	guys practice it you know it you know they live it they they literally live
[814] 1:36:48	Sol of scriptura okay
[815] 1:36:57	they live they they do it they do it
[816] 1:37:04	instinctually but it's like and frankly in a very healthy manner as my producer just
[817] 1:37:10	said and yet still it's just like they don't understand it it's
[818] 1:37:16	like it's it's it's a cognitive dissonance it's it's a cognitive dissonance and you just it's really hard
[819] 1:37:22	to sort of get around so anyway that's what I mean by
[820] 1:37:28	this I hope that helped thank you for the Super Chat 18 Ministries for $499 thank you
[821] 1:37:35	for the Super Chat how does divorce in the area of Abandonment work especially when you
[822] 1:37:41	can't get a certificate of divorce Ah that's
[823] 1:37:47	messy now fortunately these days that's not an issue you uh because of no fault
[824] 1:37:56	divorce okay but back in the Israelite times if
[825] 1:38:01	a husband abandoned a wife there was no way for her to get a
[826] 1:38:07	certificate of divorce it was just she was stuck in limbo so things got really really messy
[827] 1:38:14	at that point but at that point
[828] 1:38:20	too one could then go to to say you're Village leaders and say hey I've been abandoned
[829] 1:38:28	by my husband you know you know do something about this
[830] 1:38:33	flagrant sin in your community and then sometimes the
[831] 1:38:39	community leaders would would take action as it were
[832] 1:38:44	basically hog tie the guy and bring him back entally what they would do
[833] 1:38:55	yeah
[834] 1:39:01	yeah yeah yeah my producers said back then marriage was almost exclusively a kind
[835] 1:39:08	of contractual obligation okay and that contract included the
[836] 1:39:15	community community was involved so if a guy sort of you know
[837] 1:39:23	left a woman abandoned her and started Living an adulterous life in another
[838] 1:39:31	town vills would get upset with this this was something that that could
[839] 1:39:36	create Strife in a community so you know that could bring out the
[840] 1:39:43	stones in certain
[841] 1:39:49	cases yeah it did yeah it did it did it did create a burden on the community as
[842] 1:39:55	a whole so yeah it wasn't it wasn't it wasn't it it was a messy
[843] 1:40:02	situation yeah they had a dog in the fight so Jack Ray visit him with an Egyptian
[844] 1:40:10	beating and for and a forced returned home
[845] 1:40:17	yeah yeah sometimes it was done that way that's if that's if if they were
[846] 1:40:24	nice okay that's if they were being really
[847] 1:40:38	nice yeah let's not get too messy here okay so I will leave it at that but
[848] 1:40:45	that's that's often what happened to um husbands that abandon their
[849] 1:40:51	obligations and the New Testament is really um no less no less sympathetic
[850] 1:41:00	towards the abandoner okay you know it's there's a
[851] 1:41:06	there's a passage in the New Testament that says you know he that doesn't care for his family is worse than an
[852] 1:41:12	unbeliever those are harsh words very harsh
[853] 1:41:19	words okay let's get on the next one here uh at Ministries again for for 999 thank
[854] 1:41:26	you for the Super Chat what kind what different kinds of spirit creats are there interesting question how do these
[855] 1:41:34	fall into classes of Angels and Demons unclean spirits Divine council members are there more than these oh yeah yeah
[856] 1:41:42	there's more than those um just off the top of my head
[857] 1:41:47	there are principalities Powers um
[858] 1:41:53	the Watchers uh there are if you start
[859] 1:41:59	getting into um Associated literature you've got primordial
[860] 1:42:04	deities uh you've got Shades there there's a whole whole
[861] 1:42:12	plethora of these out there okay um so there's a demonology and and
[862] 1:42:22	I don't like getting into demonology to be honest cuz sometimes it starts parsing things in very arbitrary
[863] 1:42:32	ways it gets it's it's yeah it it gets into uh what my producer says tabloid
[864] 1:42:39	tabloid kind of scholarship and so I I think we need to be a little careful about this but at
[865] 1:42:47	the same time too I also think that there are there's a huge diversity of
[866] 1:42:53	spiritual fauna out there okay so I think it's more than just one kind of
[867] 1:43:02	Critter how many yeah Heaven's going to be a really weird place I mean Heaven is going to be
[868] 1:43:09	a very weird place uh it's going to be full of things
[869] 1:43:14	and creatures that you cannot even imagine so
[870] 1:43:23	[Laughter] my producer asks do we get to hide here on Earth away from the
[871] 1:43:31	weirdness Alex is [Laughter]
[872] 1:43:38	fun
[873] 1:43:47	yeah yeah how do you get all all hundreds of eyes on the head drawn yeah
[874] 1:43:55	yeah there's yeah there's weird I mean it's it's going to be weird it's going to be weird
[875] 1:44:00	stuff uh but again there's there's I think huge diversity in spiritual entities huge diversity in that we can't
[876] 1:44:09	A diversity we can't even imagine I mean we we see planet Earth and the diversity
[877] 1:44:14	of animals here I mean just insects alone having crazy
[878] 1:44:21	diversity I mean we got millions of insects thousands of different kinds of
[879] 1:44:26	animals and sea life you know I would expect that say the spiritual realm
[880] 1:44:33	would have similar kinds of diversity God seems to like
[881] 1:44:40	diversity he's very creative and I can imagine and and just
[882] 1:44:47	just from the evidence we have in scripture not just imagination but evidence we have in Scripture that there is huge diversity
[883] 1:44:55	amongst spiritual entities as well so that said uh I hope that helped
[884] 1:45:03	and there's probably a lot more than what's been mentioned I'll say that so anyway it's just the tip of the iceberg
[885] 1:45:09	of what we know thank you much for the Super Chat very much
[886] 1:45:17	appreciated 18 Ministries for $499 is Lawson I think you mean lawon youngers
[887] 1:45:24	uh ancient Conquest accounts study in ancient year Eastern and Biblical history writing where I can read about
[888] 1:45:31	what happened to Israel uh yes that's a good place to
[889] 1:45:36	start that's a very good place to start to uh for finding out what happened to
[890] 1:45:42	the 10 tribes the northern the northern 10 tribes of uh of Israel when they were
[891] 1:45:50	conquered by the Assyrians and and um exiled okay so it's those ancient
[892] 1:45:58	Conquest accounts where where LW and younger sort of goes into what became of the 10 tribes uh and he tracks them he
[893] 1:46:06	tracks them through the Assyrian documents you know some of them joined the military some of them took up trades
[894] 1:46:13	their names sort of uh continue on into the history of the Assyrian
[895] 1:46:21	Empire so yeah it's a very good book it's a very good book I would highly recommend that book and uh it's a good
[896] 1:46:28	source he also did another one too called the IM Aram man which is actually very good as
[897] 1:46:34	well so uh he's a good author he's a good he's a good
[898] 1:46:39	instructor uh not the best human being but hey we won't go
[899] 1:46:47	there okay so anyway thank you very much for the Super Chat very much
[900] 1:46:55	appreciated 18 mines for $499 is there any book on the gospel
[901] 1:47:00	coalition's list of commentaries you take issue with um as commentaries go I'm kind of
[902] 1:47:09	very very accepting of commentaries I I have a I use a wide breath of
[903] 1:47:14	commentaries I use a gospel coalitions list of commentaries because it's a good starting point for anyone who wants to
[904] 1:47:21	get into B Bible commentaries but I'll also use liberal commentary as well like for example I I really am a I
[905] 1:47:28	really like the Harmona series but I know their perspective too which is very theologically liberal and I'm okay with
[906] 1:47:35	that I'm okay with getting multiple perspectives because they give me
[907] 1:47:41	insights so even with a A Commentary that's highly liberal like for example I
[908] 1:47:47	I almost never agree with Von Rod but I'll also read his commentaries because sometimes there's insights in
[909] 1:47:55	there um sometimes there's also trash in
[910] 1:48:03	them so uh I tend to be very very open-minded as to what
[911] 1:48:09	commentaries I will use so I generally don't take I I find there's usually something good in every commentary but
[912] 1:48:16	I'll read a lot of commentaries and then I'll basically do the determination of
[913] 1:48:23	of um what I accept and what I won't accept
[914] 1:48:30	so I've always had that that that point of view perspective where you know you
[915] 1:48:36	read widely and then you make up your own mind
[916] 1:48:41	okay you know if you're only getting one or two perspectives from one or two
[917] 1:48:46	commentaries you're probably not reading widely enough like I usually won't even decide
[918] 1:48:53	if it's an important issue I won't even decide it unless I've read like five
[919] 1:48:59	commentaries so any I hope that helps um so I don't
[920] 1:49:06	have any problems with any of the commentaries that they have presented uh I
[921] 1:49:12	think if if if I have any issue with some of the commentaries is that the the dirty
[922] 1:49:21	secret of commentaries in general and there is a dirty secret about
[923] 1:49:27	commentaries the problem with commentaries in general is that almost every commentary is based upon all the
[924] 1:49:35	other commentaries that went before it you don't get a lot of groundbreaking scholarship in
[925] 1:49:41	commentaries uh it tends to they they tend to be very
[926] 1:49:47	prosaic um very sort of down the same lines so commentaries
[927] 1:49:56	tend to repeat each other frequently so like like for example I have yet to
[928] 1:50:03	find a really really groundbreaking solid commentary on
[929] 1:50:12	Exodus because I know too much about
[930] 1:50:18	Exodus so I think that's I think that's one of
[931] 1:50:24	those things where at sometimes we commentaries are a lost
[932] 1:50:30	opportunity and I think too you know there's an industry of
[933] 1:50:38	commentaries I mean I've noticed this recently that that a lot of
[934] 1:50:46	commentaries are written by the same guys the same people writing commentaries and why because they sell
[935] 1:50:53	you know I I I saw I was looking up a commentary you know that uh what's his
[936] 1:50:58	name um I can't remember the name I think it was greenbird you know I was
[937] 1:51:04	looking up for a commentary on Luke and I noticed that this guy was had
[938] 1:51:09	written commentaries on Mark Luke Chronicles uh judges it's like wait a
[939] 1:51:18	minute you can't be an expert in all that okay
[940] 1:51:23	you know you can't be an expert on all that stuff you know uh
[941] 1:51:35	you're yeah you know if if you're writing on
[942] 1:51:41	that many topics you're not doing you're not showing an expertise
[943] 1:51:47	there you're just doing then a cible commentary
[944] 1:51:54	which is why I think a lot of commentaries are a bit surface you know they don't get into the
[945] 1:52:02	meat as much as they should so that's sort of
[946] 1:52:07	my that's my issue with commentaries in
[947] 1:52:13	general um but this applies to all commentaries not just the ones on the
[948] 1:52:18	gospel coalitions list but liberal ones as well so anyway I hope that helped thank
[949] 1:52:23	you very much for the Super Chat very much appreciate it and rant [Laughter]
[950] 1:52:31	off okay 18 mysteries for $499 thank you very much for the Super Chat I know you're super busy but have you ever
[951] 1:52:37	considered a discipleship Ministry isn't that what we're doing
[952] 1:52:43	here I thought that was what we were [Laughter]
[953] 1:52:50	doing I could have sworn that that's what we're doing here is a discipleship
[954] 1:52:55	Ministry we're discipling young people here too at least statistically you're
[955] 1:53:01	most of you are young statistically most of you are under the age of
[956] 1:53:07	35 on N I believe 90 what's the let me just look up the statistics
[957] 1:53:13	here see what is our audience
[958] 1:53:18	again okay according to my statistics on
[959] 1:53:25	YouTube 63% of you are subscribed hey you 36%
[960] 1:53:32	subscribe 94% of you are male woohoo 6% are
[961] 1:53:40	female and over 50% of you are 34 and
[962] 1:53:51	younger I think that that is called A discipleship [Laughter]
[963] 1:54:04	Ministry Harry STK where are the females keep looking man keep
[964] 1:54:11	[Laughter]
[965] 1:54:17	looking um look we've we've we've considered doing all sorts of different Ministries
[966] 1:54:23	uh we are where God's called us to be
[967] 1:54:33	um so it's like um unless God calls us to do something
[968] 1:54:39	specific you know we're just we're just going to continue plotting on doing what we're doing um you know we've we have
[969] 1:54:47	considered pastoral Ministries we've considered say missionary uh foreign
[970] 1:54:53	missions we' considered all sorts of different Ministries we even considered Pulpit
[971] 1:54:58	Ministries at one point and it's just like nah that's not really us
[972] 1:55:07	so so um I don't think there's really a call
[973] 1:55:13	for us to do A discipleship ministry that's separate from what we're already doing but
[974] 1:55:20	anyway um have we have we considered it yeah sure we have uh because because one
