[0] 0:47	Heat. Heat. N.
[1083] 59:52	gonna qualify this.
[1084] 59:55	I don't think all our pets are going to
[1085] 59:57	heaven.
[1086] 1:00:01	I don't think all animals go to heaven.
[1087] 1:00:03	Now, I think some animals will have
[1088] 1:00:06	their own heaven. Okay. Um the question
[1089] 1:00:10	is not for me is not will they go to
[1090] 1:00:13	heaven. I think the spirit of animals do
[1091] 1:00:16	does go to heaven.
[1092] 1:00:18	The question is will they be with us?
[1093] 1:00:21	Will they want to be with us? That's
[1094] 1:00:24	another question.
[1095] 1:00:26	We are kind of hard to handle.
[1096] 1:00:30	Uh but here's the thing, too. Well, one
[1097] 1:00:32	of the things we have learned is that
[1098] 1:00:35	animals that are in relationship with
[1099] 1:00:37	humans
[1100] 1:00:39	grow and develop in ways where they
[1101] 1:00:42	start forming moral reasoning. Okay?
[1102] 1:00:46	Like for example, our squirrely girl
[1103] 1:00:49	bunny. Okay? She knows when she's being
[1104] 1:00:52	naughty.
[1105] 1:00:55	She knows that there's some forbidden
[1106] 1:00:57	fruit that she's not allowed. Okay?
[1107] 1:01:02	If if they
[1108] 1:01:05	have moral reasoning,
[1109] 1:01:07	then there's something there worth
[1110] 1:01:09	preserving.
[1111] 1:01:11	And if there's something worth there
[1112] 1:01:13	worth preserving
[1113] 1:01:16	that they then um
[1114] 1:01:21	have access
[1115] 1:01:23	to say a afterlife as such.
[1116] 1:01:28	So,
[1117] 1:01:31	um,
[1118] 1:01:33	so I I I think the ones the animals that
[1119] 1:01:37	are in a relationship with humans and
[1120] 1:01:39	develop that moral reasoning, I think
[1121] 1:01:42	there's no I have little doubt that they
[1122] 1:01:44	will be in heaven with us.
[1123] 1:01:46	The ones that are develop outside of
[1124] 1:01:50	human contact, they might have their own
[1125] 1:01:52	afterlife, but I don't think they'll be
[1126] 1:01:54	with us, per se. Okay.
[1127] 1:01:58	So
[1128] 1:01:59	that's my thought on this. I hope that
[1129] 1:02:01	helps. Thank you very much for the super
[1130] 1:02:03	chat or the question. Really appreciate
[1131] 1:02:05	it.
[1132] 1:02:20	100 g wings suits and jetpacks for the
[1133] 1:02:23	afterlife, huh?
[1134] 1:02:25	I think that's probably the only way
[1135] 1:02:26	we'll ever fly.
[1136] 1:02:29	Ryan Ryan combat. Wait, no. Harps and
[1137] 1:02:31	diapers. No. No.
[1138] 1:02:44	Andrew Meisner, will we ever get a Dr.
[1139] 1:02:46	Faulk recommended reading list? I did a
[1140] 1:02:49	long time uh post a reading list on the
[1141] 1:02:52	um spirit world a long time ago. It's
[1142] 1:02:55	it's on the community tab somewhere. Um
[1143] 1:02:58	but I I don't I don't coate a lot of
[1144] 1:03:00	reading lists. Um the problem is I have
[1145] 1:03:03	I read too much. I read too much do too
[1146] 1:03:06	much reading. I read too many books.
[1147] 1:03:07	It's hard for it would take me a long
[1148] 1:03:09	time to collate all that.
[1149] 1:03:12	So I generally don't keep reading lists.
[1150] 1:03:16	Um, so, so that's you're probably not
[1151] 1:03:20	going to get another one out of me
[1152] 1:03:22	anytime soon.
[1153] 1:03:35	Okay,
[1154] 1:03:44	that seems to be most of the questions.
[1155] 1:03:45	We now go to at ministries uh super
[1156] 1:03:48	chats here. We got a bunch of them here.
[1157] 1:03:51	So,
[1158] 1:03:53	let's pull that up.
[1159] 1:03:55	Okay. Um his first uh super chat here is
[1160] 1:04:00	from first kings
[1161] 1:04:04	uh chapter 3 16 to20. Is this passage
[1162] 1:04:07	original to kings? Let's look at this.
[1163] 1:04:12	First Kings
[1164] 1:04:14	chapter 3 16 to 28.
[1165] 1:04:20	Okay. And then it says two women who
[1166] 1:04:22	were harlots came to the king and stood
[1167] 1:04:24	before him. And one woman said, "Oh my
[1168] 1:04:27	lord, this woman I live with is in the
[1169] 1:04:29	same house, and I gave birth a child
[1170] 1:04:30	while she was asleep." Okay, so this is
[1171] 1:04:32	this is the two women. Uh the one wants
[1172] 1:04:39	the other child,
[1173] 1:04:41	and uh Solomon says, "Let's pull out a
[1174] 1:04:45	sword, divide the child, and give each a
[1175] 1:04:47	half." And the one who was worthy to
[1176] 1:04:51	have the S says, "No, no, let the other
[1177] 1:04:52	woman keep it." Okay? and then he makes
[1178] 1:04:55	his decision based upon that. Okay.
[1179] 1:04:58	Now
[1180] 1:05:00	many have um many have been skeptical
[1181] 1:05:04	about whether this is original to the
[1182] 1:05:05	text. One of the things we have to keep
[1183] 1:05:06	in mind is that uh the book of kings is
[1184] 1:05:09	a post exilic text. It's taken it's
[1185] 1:05:12	basically a compilation of a lot of
[1186] 1:05:14	different texts.
[1187] 1:05:16	So uh kings and chronicles were written
[1188] 1:05:19	in this way where where the chronicles
[1189] 1:05:22	of the kings um the deeds of the kings
[1190] 1:05:25	these sort of smaller works were sort of
[1191] 1:05:28	collated and uh rewritten as uh the
[1192] 1:05:33	books of kings and chronicles. Okay. So
[1193] 1:05:38	um
[1194] 1:05:41	so in this particular thing it could be
[1195] 1:05:43	original to the book of kings but it
[1196] 1:05:47	could also be an apocryphal story
[1197] 1:05:49	mentioning the kind of justice that
[1198] 1:05:52	Solomon would provide. So
[1199] 1:05:57	um it is original to kings.
[1200] 1:06:01	Is it original to
[1201] 1:06:03	Solomon? That's more the question.
[1202] 1:06:06	So,
[1203] 1:06:08	so that's that's more the question here.
[1204] 1:06:11	And I kind of lean towards the fact that
[1205] 1:06:14	uh Solomon, this would be original
[1206] 1:06:17	because Solomon was known for his wisdom
[1207] 1:06:20	uh and he was known for his ability to
[1208] 1:06:23	understand things including humans. So,
[1209] 1:06:26	yeah.
[1210] 1:06:30	Uh Dark Blade follows up on this. Uh
[1211] 1:06:32	would anyone actually react to Sure. go
[1212] 1:06:35	ahead, divide it like the second woman
[1213] 1:06:37	does here.
[1214] 1:06:39	Um,
[1215] 1:06:41	yeah, people would react to it in that
[1216] 1:06:44	way. Well, I mean, if if if the um
[1217] 1:06:48	second woman does, I mean, it's
[1218] 1:06:49	basically that's her you can kind of
[1219] 1:06:52	tell that she's not the actual mother.
[1220] 1:06:55	She's not the actual mother cuz she
[1221] 1:06:57	doesn't care if the kid dies. And kings
[1222] 1:07:00	would do this.
[1223] 1:07:02	They fully knew that a king could
[1224] 1:07:04	basically take out a sword and kill a
[1225] 1:07:05	child with complete immunity.
[1226] 1:07:08	That that was how kings were back then.
[1227] 1:07:12	So if a king did say, "Yeah, divide the
[1228] 1:07:14	child. Let's settle this. Just divide
[1229] 1:07:17	him." And and one one one potential
[1230] 1:07:21	mother goes, "Yeah, go ahead. Do it."
[1231] 1:07:24	So yeah.
[1232] 1:07:26	So um it sort of it sort of shows that
[1233] 1:07:30	who cares more
[1234] 1:07:33	who cares about the child
[1235] 1:07:36	and that sort of that sort of alludes to
[1236] 1:07:39	whose child it really is.
[1237] 1:07:45	So absolutely um people do react like
[1238] 1:07:48	this all the time. So this is definitely
[1239] 1:07:51	consistent with human nature.
[1240] 1:07:57	Mama says that one harlot, it was just
[1241] 1:07:59	being spiteful. Yeah. Oh, yeah.
[1242] 1:08:04	Um, but we see this in in family courts
[1243] 1:08:07	all the time
[1244] 1:08:09	where say uh a couple is breaking up
[1245] 1:08:13	and the woman takes the child not
[1246] 1:08:15	because she wants the child, but she
[1247] 1:08:17	wasn't wants to spite the husband.
[1248] 1:08:19	Husband wants the children cuz he wants
[1249] 1:08:20	to raise the children. Well, mother
[1250] 1:08:22	wants to take it cuz she just wants the
[1251] 1:08:24	child. children to to to wound the
[1252] 1:08:27	husband.
[1253] 1:08:29	So, you know, we could use a little more
[1254] 1:08:31	of Solomonic justice in our courts. Just
[1255] 1:08:33	saying.
[1256] 1:08:39	Okay, the next one from AT Ministries
[1257] 1:08:42	is from he says it's for $2. Thank you
[1258] 1:08:45	very much, AT. Thank you very much for
[1259] 1:08:47	your support of the channel.
[1260] 1:08:49	He goes, first Kings 4:31.
[1261] 1:08:52	Do we know anything of these people?
[1262] 1:08:54	Let's see who these people are.
[1263] 1:08:58	Four verse 31.
[1264] 1:09:05	Okay.
[1265] 1:09:08	Um Solomon's wisdom surpassed all the
[1266] 1:09:10	wisdom of all the sons of the east and
[1267] 1:09:13	all the wisdom of e of Egypt. For he was
[1268] 1:09:17	wiser than all the men than etham.
[1269] 1:09:21	um
[1270] 1:09:24	uh the Ezraite,
[1271] 1:09:27	Hmon,
[1272] 1:09:28	Kol Darda, the sons of Mahal, and his
[1273] 1:09:32	fame is known in all surrounding
[1274] 1:09:34	nations.
[1275] 1:09:36	Uh we don't know, I don't think we have
[1276] 1:09:39	anything
[1277] 1:09:40	uh recorded of these men. They seem to
[1278] 1:09:43	be men that were contemporary with
[1279] 1:09:45	Solomon at the time or at least uh known
[1280] 1:09:47	leading up to them. I don't think we
[1281] 1:09:49	know anything about them per se. Okay.
[1282] 1:09:53	So,
[1283] 1:09:54	um at least we don't have any records of
[1284] 1:09:57	them, but that doesn't mean that we
[1285] 1:10:00	won't find records at some point. But
[1286] 1:10:02	right now, uh wiser than He-Man, Masters
[1287] 1:10:07	of the Universe.
[1288] 1:10:12	Yeah, he was He-Man wasn't very wise.
[1289] 1:10:14	Just saying.
[1290] 1:10:16	Now, Skeletor, Skeletor had a lot of
[1291] 1:10:19	wisdom.
[1292] 1:10:26	Okay. So, um yeah, we don't know
[1293] 1:10:29	anything about these these people, but
[1294] 1:10:33	there are he is citing certain examples.
[1295] 1:10:36	At least I I'm not sure of any of these
[1296] 1:10:39	um per se. So,
[1297] 1:10:43	I hope that helps. Sorry, I can't be
[1298] 1:10:45	more help here.
[1299] 1:10:50	First Kings 6:18, next super chat for
[1300] 1:10:52	$5. Thank you for the super chat.
[1301] 1:10:55	Uh, first Kings 6:18. Was it important
[1302] 1:10:57	you couldn't see stone?
[1303] 1:11:02	Have a look at First Kings 6
[1304] 1:11:05	verse 18.
[1305] 1:11:12	Okay, it's talking about the building of
[1306] 1:11:13	the temple here.
[1307] 1:11:15	Uh,
[1308] 1:11:17	so Solomon built the house and it was
[1309] 1:11:19	finished. And he built the walls of the
[1310] 1:11:20	house and inside the boards of cedar
[1311] 1:11:22	from the floor to the house to the
[1312] 1:11:23	ceiling overlaid the walls inside with
[1313] 1:11:25	wood. He overlaid the floor of the house
[1314] 1:11:27	with boards of cyprress. He built uh 20
[1315] 1:11:31	cubits on the rear of the house with
[1316] 1:11:33	boards of cedar in front to the ceiling.
[1317] 1:11:36	He built them for the inside of the
[1318] 1:11:38	inner sanctuary even as the most holy
[1319] 1:11:41	place
[1320] 1:11:44	for and the house that is the nave in
[1321] 1:11:47	the front. The inner sanctuary was 40
[1322] 1:11:49	cubits long and there was cedar in the
[1323] 1:11:52	house within carved in the shape of
[1324] 1:11:54	gourds and open flowers all with cedar.
[1325] 1:11:57	There was no stone seen. Uh
[1326] 1:12:01	wasn't important you couldn't see the
[1327] 1:12:02	stone. Well, here's what was being
[1328] 1:12:04	here's what's being built here. Okay.
[1329] 1:12:07	So, what they're doing is they're taking
[1330] 1:12:10	stone buildings
[1331] 1:12:12	and paneling it with with cedar and then
[1332] 1:12:16	they're carving the cedar and then
[1333] 1:12:19	overlaying it with gold. Okay, that's
[1334] 1:12:21	what they're doing.
[1335] 1:12:24	It's it's kind of a way to um
[1336] 1:12:30	to get ornate carving here using hard
[1337] 1:12:33	stone. So So they're using they're using
[1338] 1:12:36	they're not using. So they're using
[1339] 1:12:38	stone here that's probably not exactly
[1340] 1:12:42	um fantastic to carve. Uh the local
[1341] 1:12:46	limestone in Jerusalem is doesn't hold
[1342] 1:12:48	shape as well as say fine limestone from
[1343] 1:12:51	say Egypt.
[1344] 1:12:53	So, so what they're doing is they're
[1345] 1:12:55	compensating for the fact they can't
[1346] 1:12:57	carve into the limestone um to great
[1347] 1:12:59	effect here by paneling it with cedar,
[1348] 1:13:04	carving the cedar and then overlaying
[1349] 1:13:07	that with gold.
[1350] 1:13:09	Getting the same effect as you would
[1351] 1:13:10	find in say an Egyptian temple with
[1352] 1:13:12	carved reliefs, but using wood instead.
[1353] 1:13:16	And it's just the fact that you couldn't
[1354] 1:13:17	see the stone underneath means that
[1355] 1:13:19	these panels are fitting very close
[1356] 1:13:20	together and very well crafted. So
[1357] 1:13:23	that's what it means here.
[1358] 1:13:27	>> Um, okay. Sure.
[1359] 1:13:31	Uh, Harry Stark asks, uh, follow up
[1360] 1:13:34	here. Uh, will a will the third temple
[1361] 1:13:38	be built? I think so.
[1362] 1:13:41	Um,
[1363] 1:13:43	and says, "Not until the Dome of the
[1364] 1:13:46	Rock Mosque falls down." Not
[1365] 1:13:48	necessarily.
[1366] 1:13:49	There is no requirement for the Dome of
[1367] 1:13:52	the Rock Mosque to be uh to be torn
[1368] 1:13:55	down.
[1369] 1:13:58	The the thing is
[1370] 1:14:01	uh the the Holy of Holies has to be over
[1371] 1:14:04	a rock. Okay? It's a rock and Butt.
[1372] 1:14:07	There's a rock, a piece of rock that
[1373] 1:14:09	rises from the uh bedrock that the Holy
[1374] 1:14:14	of Holies is supposed to sit over
[1375] 1:14:17	and it's three fingers high.
[1376] 1:14:21	Okay.
[1377] 1:14:23	Now, a
[1378] 1:14:25	what Islam did when they built tore down
[1379] 1:14:27	the um the temple of Jupiter. Okay.
[1380] 1:14:31	There was a temple of Jupiter there that
[1381] 1:14:32	was then converted into a Christian
[1382] 1:14:34	church. They tore that down and they
[1383] 1:14:35	built a the Dome of the Rock.
[1384] 1:14:38	The The problem was that when the temple
[1385] 1:14:40	of Jupiter
[1386] 1:14:42	there was an earthquake, the main
[1387] 1:14:44	portion of the temple of Jupiter
[1388] 1:14:45	collapsed and the church sort of moved
[1389] 1:14:48	into the um um into the foyer,
[1390] 1:14:53	a hexagonal foyer. Okay, this is on the
[1391] 1:14:57	out outside of the church. Okay, outside
[1392] 1:15:00	of the the temple of Jupiter. And it's
[1393] 1:15:02	that foyer where they built the Dome of
[1394] 1:15:04	the Rock.
[1395] 1:15:06	And that Dome of the Rock has a has a
[1396] 1:15:09	has a has a rise, a stone rise, but it's
[1397] 1:15:12	not three fingers. It's three feet tall.
[1398] 1:15:19	So it's too tall to be the stone and
[1399] 1:15:23	butment of the Holy of Holies.
[1400] 1:15:26	Okay.
[1401] 1:15:28	So
[1402] 1:15:30	uh so where is this
[1403] 1:15:33	rise? Where is this elevated area in the
[1404] 1:15:37	bedrock? Well, it's outside of the Dome
[1405] 1:15:41	of the Rock in a little place called the
[1406] 1:15:43	Dome of the Tablets.
[1407] 1:15:45	And the Dome of the Tablets, you can
[1408] 1:15:47	actually go there, go under the dome and
[1409] 1:15:51	actually stand on that piece of rock.
[1410] 1:15:56	And it's it's funny. You have no access
[1411] 1:15:59	to that that that that rock in the dome
[1412] 1:16:02	uh uh uh Dome of the Rock, but that Dome
[1413] 1:16:04	of the Tablets there, you can stand on
[1414] 1:16:08	that with shoes.
[1415] 1:16:12	No one will stop you. And it's only
[1416] 1:16:15	about an 8 foot tall dome. It's really
[1417] 1:16:17	tiny.
[1418] 1:16:23	So, uh,
[1419] 1:16:26	and the fact is it's so far away from
[1420] 1:16:28	the Dome of the Rock that if they just
[1421] 1:16:31	mowed that down.
[1422] 1:16:33	And I mean, it's not frankly it's not
[1423] 1:16:36	that sturdy anyway.
[1424] 1:16:39	So you could you could you could just
[1425] 1:16:41	knock that dome of the tablets down and
[1426] 1:16:42	have an east west facing temple
[1427] 1:16:46	that wouldn't interrupt the dome of the
[1428] 1:16:48	rock at all.
[1429] 1:16:50	You would still have a full temple
[1430] 1:16:52	there. And the funny thing is that that
[1431] 1:16:55	particular dome of the tablets is in
[1432] 1:16:57	alignment with the eastern gate. This is
[1433] 1:17:00	the gate that uh the Muslims bricked up.
[1434] 1:17:04	Okay? So it's even in proper alignment
[1435] 1:17:06	with that gate.
[1436] 1:17:09	So,
[1437] 1:17:11	uh, you could easily build a temple
[1438] 1:17:13	there. There's more enough space up
[1439] 1:17:15	there to do it.
[1440] 1:17:18	So,
[1441] 1:17:19	so there's no requirement to break to
[1442] 1:17:22	tear down the dome of the rock. Not at
[1443] 1:17:23	all. Tear down the dome of the tablets.
[1444] 1:17:26	You got all the space you need to build
[1445] 1:17:27	a temple. It's right there.
[1446] 1:17:30	So,
[1447] 1:17:34	um, so I hope that helps. Thank you for
[1448] 1:17:36	the, uh, follow-up question. really
[1449] 1:17:37	appreciate it.
[1450] 1:17:40	Next one here
[1451] 1:17:44	from AT Ministries.
[1452] 1:17:48	Uh first Kings 6:1. Is it okay he
[1453] 1:17:50	altered the altar? First Kings 6 verse
[1454] 1:17:54	20.
[1455] 1:17:57	And he says here uh the text says and
[1456] 1:18:00	the inner sanctuary is 20 cubits in
[1457] 1:18:02	length.
[1458] 1:18:04	Okay. Um, so about 30 ft long, 30 ft in
[1459] 1:18:09	li uh width and uh 30 ft high. It's 20
[1460] 1:18:14	cubits. And he overlaid it with pure
[1461] 1:18:16	gold. Again, that's totally okay. He
[1462] 1:18:20	overlaid the altar with cedar. Uh, is it
[1463] 1:18:23	okay he altered the altar? Sure.
[1464] 1:18:24	Absolutely. Um, cedar is richly pure.
[1465] 1:18:28	Gold is ritually pure.
[1466] 1:18:30	Uh I don't see any issue here with um
[1467] 1:18:35	with altering the altar in any way. Uh
[1468] 1:18:38	the fact is he he had to make a new
[1469] 1:18:39	altar for the um uh for the uh temple
[1470] 1:18:45	anyway because the the old one was too
[1471] 1:18:48	small. So absolutely this is fine. Um no
[1472] 1:18:52	issues here. So hope that helps. Thank
[1473] 1:18:54	the super chat.
[1474] 1:19:00	First Kings uh 88. Uh this was written
[1475] 1:19:04	before the exile. Uh verse uh $2. Thank
[1476] 1:19:08	you for the super chat. Okay, let's look
[1477] 1:19:09	at this. Uh it might not have been, but
[1478] 1:19:11	let's take a look.
[1479] 1:19:14	Eight. Verse eight.
[1480] 1:19:18	And it says,
[1481] 1:19:20	"But the poles were so long that the
[1482] 1:19:22	ends of the poles could be seen from the
[1483] 1:19:24	holy place before the inner sanctuary,
[1484] 1:19:27	but they could could not be seen
[1485] 1:19:29	outside. They are there to this day."
[1486] 1:19:33	Um yeah, that could have been that could
[1487] 1:19:35	have been written before the exile.
[1488] 1:19:38	Okay. Um,
[1489] 1:19:41	so, um, again, a lot of this is sort of
[1490] 1:19:44	copied from other books that were
[1491] 1:19:46	pre-exilic.
[1492] 1:19:48	So,
[1493] 1:19:50	so here here's here's how the book of
[1494] 1:19:52	the kings was compiled. They took
[1495] 1:19:54	pre-exilic books and then combined them
[1496] 1:19:57	during the exile
[1497] 1:19:59	to to coate the book of kings. So, so
[1498] 1:20:03	yeah, there's there's there are some
[1499] 1:20:05	things that are just
[1500] 1:20:08	um
[1501] 1:20:10	uh just sort of you're going to see
[1502] 1:20:12	those remnants of pre-exilic
[1503] 1:20:14	uh quotations
[1504] 1:20:16	inside the book of Kings even though the
[1505] 1:20:19	book of Kings itself was collated during
[1506] 1:20:21	the exile.
[1507] 1:20:23	So, I hope that helps. Thank you for the
[1508] 1:20:26	super chat. Very much appreciate it.
[1509] 1:20:35	All right. Uh,
[1510] 1:20:37	he doesn't give us a ch a verse here,
[1511] 1:20:39	but we we can sort of incur from this.
[1512] 1:20:41	Um, uh, thank you for the super chat at
[1513] 1:20:44	Ministries for $2.
[1514] 1:20:47	He asks, "Was the daughter of Pharaoh's
[1515] 1:20:49	Sol uh of of Pharaoh Solomon's great
[1516] 1:20:52	queen?" Not as far as we know. We don't
[1517] 1:20:56	know. We don't think Solomon had a great
[1518] 1:20:58	queen.
[1519] 1:21:00	uh Solomon's uh during the Israelite uh
[1520] 1:21:05	monarchy uh royal succession was really
[1521] 1:21:09	based upon
[1522] 1:21:11	age. Okay, not necessarily
[1523] 1:21:15	the status of a great queen. Um so so
[1524] 1:21:18	Israelite succession was different than
[1525] 1:21:21	say Egyptian succession. Egyptian
[1526] 1:21:24	succession was based upon whether or not
[1527] 1:21:27	somebody was the son of the great queen.
[1528] 1:21:28	They had first priority. Okay,
[1529] 1:21:33	Ryan Cohen kept all of you are great.
[1530] 1:21:41	Ah, fantastic.
[1531] 1:21:44	Mama says, "I remember he built her a
[1532] 1:21:46	separate house." Well, she came with her
[1533] 1:21:48	own servants. She came with her own
[1534] 1:21:51	servants and slaves.
[1535] 1:21:53	and um the rest of the wives of of
[1536] 1:21:58	Solomon didn't okay
[1537] 1:22:01	so she was already wealthy in her own
[1538] 1:22:04	right when she became Solomon's wife
[1539] 1:22:07	okay
[1540] 1:22:09	so
[1541] 1:22:11	the fact is in a herum too
[1542] 1:22:15	if a if if a wife comes with a lot of
[1543] 1:22:18	slaves
[1544] 1:22:20	that could create some tension
[1545] 1:22:24	this was done to keep the peace.
[1546] 1:22:28	So
[1547] 1:22:30	um
[1548] 1:22:32	well yeah uh to some extent to um with
[1549] 1:22:35	religious practices. She came with own
[1550] 1:22:37	religious practices too. But uh in in
[1551] 1:22:39	the herum a lot of those women had
[1552] 1:22:41	different religious practices. You know
[1553] 1:22:43	they they they had um the herum was not
[1554] 1:22:47	required to worship how Solomon
[1555] 1:22:50	worshiped. And frankly, Solomon ends up
[1556] 1:22:54	following the gods of his wives. So we
[1557] 1:22:58	know that they uh we know that his wives
[1558] 1:23:01	did not keep to yawistic worship. His
[1559] 1:23:04	wives were retained the worship of their
[1560] 1:23:07	various nations.
[1561] 1:23:10	But uh Pharaoh, the daughter of Pharaoh
[1562] 1:23:13	had to have a separate residence because
[1563] 1:23:14	she had slaves. And that's what created
[1564] 1:23:17	tension with others in the herum. And if
[1565] 1:23:22	you have tension in the herum, you have
[1566] 1:23:24	murder.
[1567] 1:23:25	Murder quickly follows tension in a
[1568] 1:23:27	herum.
[1569] 1:23:32	So
[1570] 1:23:36	>> yeah,
[1571] 1:23:48	uh Gandalf the base says first Kings
[1572] 1:23:50	21:19, First Kings 15:13, and Jeremiah
[1573] 1:23:53	13:18 all mention this idea of the
[1574] 1:23:56	mother of the king holding power. How
[1575] 1:23:58	common was this? And does this translate
[1576] 1:24:00	to Christ's kingdom with Mary? Okay. Uh
[1577] 1:24:05	it's let's just say it's still common.
[1578] 1:24:09	Uh the queen mother
[1579] 1:24:12	is recognized as a position who had some
[1580] 1:24:15	authority. Okay. So the mother of the
[1581] 1:24:18	king has certain authority in in all
[1582] 1:24:21	kingdoms and through all periods of
[1583] 1:24:23	time. Okay.
[1584] 1:24:26	So
[1585] 1:24:29	now the fact is
[1586] 1:24:32	that um does this translate to Christ's
[1587] 1:24:36	kingdom with Mary?
[1588] 1:24:39	This is going to be dicey.
[1589] 1:24:42	Uh because
[1590] 1:24:45	there are certain assumptions that this
[1591] 1:24:47	has of of influence. Now the question is
[1592] 1:24:52	does Mary have influence over Christ?
[1593] 1:24:55	Now, we know she was able to influence
[1594] 1:24:58	him, for example, at the wedding of Kaa,
[1595] 1:25:01	okay?
[1596] 1:25:03	But Christ also didn't let that go too
[1597] 1:25:05	far either.
[1598] 1:25:07	So,
[1599] 1:25:09	um
[1600] 1:25:11	the fact is that even in all kingdoms,
[1601] 1:25:15	the monarch still has ultimate
[1602] 1:25:17	sovereignty.
[1603] 1:25:19	Now, the idea of of of Mary having
[1604] 1:25:23	authority or control over Christ is a
[1605] 1:25:28	deeply troubling proposition. It's a
[1606] 1:25:31	deeply theologically it's a deeply
[1607] 1:25:34	troubling proposition
[1608] 1:25:37	because it would suggest that there's a
[1609] 1:25:39	human that has an authority
[1610] 1:25:43	equal or above Christ himself.
[1611] 1:25:47	So,
[1612] 1:25:49	so we got to be very very careful here
[1613] 1:25:52	theologically that we don't take human
[1614] 1:25:55	practice and superimpose it on the
[1615] 1:25:58	divine
[1616] 1:26:00	because that could lead you down a path
[1617] 1:26:02	that's very perilous.
[1618] 1:26:06	Now, is Mary someone who can be honored?
[1619] 1:26:10	Yes,
[1620] 1:26:11	definitely we can honor her just in the
[1621] 1:26:14	same way that we would honor any saint
[1622] 1:26:16	or any faithful servant of Christ. Okay.
[1623] 1:26:21	But there is a
[1624] 1:26:24	there is a line that we dare not cross
[1625] 1:26:27	and unfortunately I think in the annals
[1626] 1:26:30	of church history that line has been
[1627] 1:26:32	crossed too many times.
[1628] 1:26:35	Um, for example, hyperconservative
[1629] 1:26:37	Catholics will consider Mary the fourth
[1630] 1:26:40	person of the Trinity,
[1631] 1:26:42	and that's definitely heresy.
[1632] 1:26:45	So again,
[1633] 1:26:49	we we we can honor Mary,
[1634] 1:26:54	uh, but I don't think she has undue
[1635] 1:26:56	influence either over Christ.
[1636] 1:27:02	And I don't think first kings 21:19 or
[1637] 1:27:06	first kings 15:13
[1638] 1:27:08	or Jeremiah 13:18 give warrant to
[1639] 1:27:12	suggest that she has that kind of
[1640] 1:27:14	influence.
[1641] 1:27:25	Okay, let's take a look at this. Uh
[1642] 1:27:26	Daniel says, "Is Matthew 14 12:48-15
[1643] 1:27:30	relevant to this at all?
[1644] 1:27:34	If I know where you're going with this,
[1645] 1:27:35	probably
[1646] 1:27:37	let's go to Matthew here.
[1647] 1:27:41	Matthew.
[1648] 1:27:43	Well,
[1649] 1:27:45	48 to 50. I think this is the who's your
[1650] 1:27:49	mother passage.
[1651] 1:27:51	All right. Yep. This is absolutely
[1652] 1:27:56	all right. Um, Christ is speaking in his
[1653] 1:27:59	house. And what's going on here is the
[1654] 1:28:02	mother and Christ's brothers
[1655] 1:28:06	have come to collect Christ, claiming he
[1656] 1:28:08	was a man man. Want to get him some
[1657] 1:28:10	help.
[1658] 1:28:14	Oh yeah, family is always so much fun.
[1659] 1:28:19	Uh he and it says here, "And someone
[1660] 1:28:22	said to him, behold, your mother and
[1661] 1:28:24	your brothers," this is verse 47, "are
[1662] 1:28:27	standing outside seeking to speak to
[1663] 1:28:29	you." Cuz they want to take him away cuz
[1664] 1:28:31	they think he's nuts.
[1665] 1:28:33	And he answered them. He answered the
[1666] 1:28:35	one who is telling him and said, "Who is
[1667] 1:28:39	my mother and who are my brothers?" And
[1668] 1:28:42	stretching out his hand toward his
[1669] 1:28:44	disciples, he said, "Behold my mother
[1670] 1:28:47	and my brothers. For whoever does the
[1671] 1:28:49	will of my father who is in heaven, he
[1672] 1:28:52	is my brother and sister and mother. So
[1673] 1:28:55	yes, this definitely speaks to this that
[1674] 1:28:58	his biological mother is not doesn't
[1675] 1:29:02	have that influence.
[1676] 1:29:04	It's really who's doing the will of the
[1677] 1:29:06	father. So So I think that sort of
[1678] 1:29:10	settles the matter here.
[1679] 1:29:16	All right, next one here.
[1680] 1:29:20	is from
[1681] 1:29:23	A ministries for $5. Thank you for the
[1682] 1:29:25	super chat. He says, "I'm noticing in
[1683] 1:29:27	first Kings uh Egypt 99, Moses 88, i.e.
[1684] 1:29:32	the Exodus are brought up a lot." Yes,
[1685] 1:29:35	they are.
[1686] 1:29:37	Uh it had it had really been cemented in
[1687] 1:29:41	their history by then. Oh, yeah. Oh,
[1688] 1:29:44	yeah. You know, this whole idea of the
[1689] 1:29:46	documentary hypothesis that says
[1690] 1:29:48	prophets before penetuk is complete
[1691] 1:29:50	baloney. It's complete baloney.
[1692] 1:29:54	It's one of those things that
[1693] 1:29:56	already at the writing of the prophets
[1694] 1:29:59	um uh the writing of the histories, the
[1695] 1:30:02	Exodus is part of their national
[1696] 1:30:06	um identity story. It's their origin
[1697] 1:30:08	story.
[1698] 1:30:10	And so
[1699] 1:30:12	this idea that there's no Egypt or
[1700] 1:30:15	Moses, you know, at the time of the
[1701] 1:30:18	prophets, I think is garbage. You see it
[1702] 1:30:20	referenced everywhere. So
[1703] 1:30:23	yeah, absolutely. It's absolutely
[1704] 1:30:26	already cemented in Kings. It's cemented
[1705] 1:30:28	in the prophets. It's cemented in Isaiah
[1706] 1:30:31	and Ezekiel. It's everywhere.
[1707] 1:30:34	You know, Egypt is mentioned uh 550
[1708] 1:30:38	times in the Bible. Is that an accident?
[1709] 1:30:40	I don't think so.
