[0] 0:00	Heat. Heat.
[1208] 1:06:51	doing a lot of nursing home visits.
[1209] 1:06:53	Okay. But as I said, the particularly
[1210] 1:06:57	um particularly mainline Protestant
[1211] 1:07:00	denominations because they tend to have
[1212] 1:07:02	older populations
[1213] 1:07:04	will probably have more access to
[1214] 1:07:06	nursing homes.
[1215] 1:07:12	So, so keep that in mind as you're
[1216] 1:07:15	you're you're checking this out.
[1217] 1:07:18	Okay, let's move on to the next one
[1218] 1:07:20	here.
[1219] 1:07:22	Next super chat here is
[1220] 1:07:27	explain the Christian origin of tarot
[1221] 1:07:29	cards. Okay. Um, that's an interesting
[1222] 1:07:32	question.
[1223] 1:07:34	Tarot cards were invented by monks.
[1224] 1:07:36	Okay. at least the original sets.
[1225] 1:07:41	Um,
[1226] 1:07:44	tarot
[1227] 1:07:46	was
[1228] 1:07:49	basically a medieval form of PowerPoint.
[1229] 1:07:53	So, how do you communicate the gospel to
[1230] 1:07:58	to non-Christians, illiterate people?
[1231] 1:08:02	Okay.
[1232] 1:08:03	What they did was these monks would have
[1233] 1:08:05	these packets of cards
[1234] 1:08:09	and they were hand painted usually and
[1235] 1:08:12	they would go from place to place and
[1236] 1:08:15	they would present the cards in order.
[1237] 1:08:17	Okay? So it wasn't it wasn't divination
[1238] 1:08:19	where they shuffle the cards. They never
[1239] 1:08:21	shuffle the cards. The cards were in a
[1240] 1:08:24	specific order.
[1241] 1:08:26	So you had creation,
[1242] 1:08:29	Garden of Eden, and they would explain
[1243] 1:08:32	each concept as they flipped the card.
[1244] 1:08:35	So you could show this. There's there's
[1245] 1:08:37	a reason why there's a lot of strong
[1246] 1:08:40	Christian symbolism in tarot cards.
[1247] 1:08:43	Okay. So
[1248] 1:08:45	So they would they would start as I say
[1249] 1:08:46	with creation or God. I I don't forget
[1250] 1:08:50	remember which is the first card but God
[1251] 1:08:52	and then creation
[1252] 1:08:54	and then uh the garden of Eden and then
[1253] 1:08:57	the snake and then the fall and they
[1254] 1:09:00	would just go through card after card
[1255] 1:09:03	explaining the biblical story and they
[1256] 1:09:05	would go all the way through to like for
[1257] 1:09:08	example the hanging man. This is Christ
[1258] 1:09:10	on the cross. That's the hanging man.
[1259] 1:09:14	And
[1260] 1:09:17	they would even get to the consummation,
[1261] 1:09:20	you know, the the um the the decks often
[1262] 1:09:24	included a cards that included say
[1263] 1:09:27	Christ's second coming. So,
[1264] 1:09:31	so yeah, um there is a lot of of
[1265] 1:09:36	Christian symbolism in tarot then that's
[1266] 1:09:39	because
[1267] 1:09:40	of its use originally as an education
[1268] 1:09:44	tool by monks.
[1269] 1:09:47	So,
[1270] 1:09:49	um I I still there are still a few
[1271] 1:09:52	people who do that kind of tarot uh
[1272] 1:09:55	reading where they're basically just
[1273] 1:09:57	explain the gospel, you know, using
[1274] 1:09:59	tarot. It's not very common these days
[1275] 1:10:02	because what happened in um uh was that
[1276] 1:10:07	uh gypsies
[1277] 1:10:09	uh the Roma people they started to
[1278] 1:10:11	co-opt they saw these monks with these
[1279] 1:10:13	cards and they they use started using it
[1280] 1:10:16	as a divination tool.
[1281] 1:10:18	So, but yeah, you can you can get if if
[1282] 1:10:21	you get some of the old style tarot
[1283] 1:10:23	decks, not the new ones. The new ones
[1284] 1:10:25	tend to be very uh so uh stylized that
[1285] 1:10:28	the original Christian symbolism isn't
[1286] 1:10:30	there anymore, but um you can get some
[1287] 1:10:32	of the old decks. You can get your hands
[1288] 1:10:35	on some of the older um uh image decks.
[1289] 1:10:38	They could you can you could sort of
[1290] 1:10:41	take out the number cards. Take out the
[1291] 1:10:43	number cards. just leave the image of
[1292] 1:10:45	cards and you can arrange them in an
[1293] 1:10:47	order where you can just present the
[1294] 1:10:48	gospel by flipping it. It's really it's
[1295] 1:10:51	actually it's actually a really
[1296] 1:10:53	effective tool for people who never go
[1297] 1:10:56	to church.
[1298] 1:10:58	It can be very very effective.
[1299] 1:11:00	So
[1300] 1:11:02	um
[1301] 1:11:05	but uh what went wrong
[1302] 1:11:10	uh Francis? So what went wrong what what
[1303] 1:11:12	went wrong with the Toro is that it got
[1304] 1:11:15	co-opted.
[1305] 1:11:17	It got co-opted. Uh essentially
[1306] 1:11:21	as Christian as as Europe became
[1307] 1:11:23	Christianized,
[1308] 1:11:25	you did still have um there became less
[1309] 1:11:28	and less a need for wandering monks to
[1310] 1:11:32	present a visual gospel, but
[1311] 1:11:36	it got there it created a vacuum.
[1312] 1:11:40	So when the Roma people started
[1313] 1:11:42	wandering around Europe, they would do
[1314] 1:11:45	these fortune readings kind of aping
[1315] 1:11:49	what the
[1316] 1:11:51	uh what the monks were doing, but they
[1317] 1:11:54	didn't know the gospel, so they just
[1318] 1:11:55	used it as as a divining tool. So that's
[1319] 1:11:58	what went wrong.
[1320] 1:12:01	So it was one of those things that was
[1321] 1:12:02	originally Christian practice that
[1322] 1:12:05	became co-opted.
[1323] 1:12:08	Not that that's ever happened before.
[1324] 1:12:13	There's nothing so good that that that
[1325] 1:12:15	Satan can't pervert it. Lovely.
[1326] 1:12:18	Fantastic.
[1327] 1:12:23	So,
[1328] 1:12:26	isn't that fun?
[1329] 1:12:35	Oh, boy.
[1330] 1:12:43	All right, let's move on to the next one
[1331] 1:12:45	here. So that's what that's what h
[1332] 1:12:49	that's what those are the Christian or
[1333] 1:12:50	origins of tarot and that's what
[1334] 1:12:53	happened to them to become what they are
[1335] 1:12:55	today.
[1336] 1:13:00	Okay. Uh at ministries asks did you all
[1337] 1:13:03	right today? Progress is progress. Yes,
[1338] 1:13:05	I did write today. Um,
[1339] 1:13:09	I wrote about uh 500 words today. So,
[1340] 1:13:12	got a really good start. It's been a
[1341] 1:13:14	good week for writing. It's been a good
[1342] 1:13:15	week for writing. I've I've written this
[1343] 1:13:17	past week about 4,000 words. So, it's
[1344] 1:13:21	been a good week for that. So, yeah, did
[1345] 1:13:24	some good writing today. And, uh,
[1346] 1:13:27	absolutely progress is progress.
[1347] 1:13:30	Okay, next one here.
[1348] 1:13:38	is from
[1349] 1:13:40	uh Lewis Sanville for uh uh 250
[1350] 1:13:45	Dominican pesos. Thank you for for that
[1351] 1:13:47	super chat.
[1352] 1:13:49	Why? He asks, "Why does the Western
[1353] 1:13:51	world seem less recepted to the
[1354] 1:13:53	spiritual world? Has modern science,
[1355] 1:13:56	secularism, disbelief dulled our
[1356] 1:13:58	awareness of the divine?"
[1357] 1:14:01	um to some extent it was it was
[1358] 1:14:06	it was modernity.
[1359] 1:14:08	Okay. Basically
[1360] 1:14:11	um
[1361] 1:14:13	modernity was really where we started
[1362] 1:14:16	viewing the world through a naturalist
[1363] 1:14:19	lens. Okay.
[1364] 1:14:22	And this this idea that
[1365] 1:14:28	God, if God exists at all, he basically
[1366] 1:14:33	created the world like a clock.
[1367] 1:14:36	So this was this was sort of the view of
[1368] 1:14:38	of the world through the enlightenment
[1369] 1:14:42	that the world was like a clock. God
[1370] 1:14:45	just set the gears going and it just
[1371] 1:14:47	runs itself.
[1372] 1:14:49	Okay. So
[1373] 1:14:52	you got in say the um during say the
[1374] 1:14:56	enlightenment this this idea of
[1375] 1:15:00	that that provided the foundation for
[1376] 1:15:02	dism
[1377] 1:15:04	okay so people started viewing the world
[1378] 1:15:09	as as mechanical as mechanical as I said
[1379] 1:15:13	gears in a clock
[1380] 1:15:15	um
[1381] 1:15:19	Yeah, what they did with Gears
[1382] 1:15:21	>> was incredible.
[1383] 1:15:22	>> It was incredible. But you know, but
[1384] 1:15:24	they started viewing the whole world
[1385] 1:15:25	through this and and and these sort of
[1386] 1:15:28	analogies do sort of resonate with
[1387] 1:15:30	cultures. I mean, people today think of
[1388] 1:15:33	of the human brain like a computer.
[1389] 1:15:36	Doesn't operate anything like a
[1390] 1:15:38	computer. The human brain operates in no
[1391] 1:15:41	way like a computer, but we still use
[1392] 1:15:43	that analogy because it's the one
[1393] 1:15:45	computer.
[1394] 1:15:46	>> Yeah. Because we understand computers
[1395] 1:15:47	and we don't understand the brain.
[1396] 1:15:50	Well, back then, back in the um in the
[1397] 1:15:53	enlightenment, people were
[1398] 1:15:57	viewed the world as they were they were
[1399] 1:15:59	absolutely amazed with Newton. You know,
[1400] 1:16:02	the idea of Newton could calculate the
[1401] 1:16:05	orbits of the planets
[1402] 1:16:08	and he could do it with math.
[1403] 1:16:10	So this became
[1404] 1:16:14	sort of synonymous with a mechanical
[1405] 1:16:16	world view where physical laws just
[1406] 1:16:19	worked to bring precision to everything.
[1407] 1:16:25	Now in fact the world does not work like
[1408] 1:16:28	that.
[1409] 1:16:29	But you're not going to see that until
[1410] 1:16:31	quantum theory and Einstein.
[1411] 1:16:34	So this is more or less the predominant
[1412] 1:16:37	view in the west for 300 years.
[1413] 1:16:43	So the idea of naive scientific realism
[1414] 1:16:47	coupled with naturalism coupled with a
[1415] 1:16:50	mechanical world view you know basically
[1416] 1:16:53	we we started looking at everything
[1417] 1:16:55	through a naturalistic lens
[1418] 1:16:58	and you know with that God becomes
[1419] 1:17:01	nothing but a dism
[1420] 1:17:03	sitting outside of reality who just
[1421] 1:17:08	start the clock ticking and stepped
[1422] 1:17:10	back.
[1423] 1:17:12	So, so that's one of the reasons why we
[1424] 1:17:14	don't think much about the divine
[1425] 1:17:17	anymore, even though that's not really
[1426] 1:17:20	the way things worked. So,
[1427] 1:17:34	Graham Pong, same equations with govern
[1428] 1:17:37	the plants also worked in engineering.
[1429] 1:17:40	sort of still you start until you start
[1430] 1:17:43	talking about gravitation.
[1431] 1:17:45	Gravitation of large bodies doesn't work
[1432] 1:17:49	so well.
[1433] 1:17:52	Uh the there there's there's there's two
[1434] 1:17:55	things in physics that sort of throw a
[1435] 1:17:58	wrench into everything Newton did.
[1436] 1:18:01	the
[1437] 1:18:03	the quantum world
[1438] 1:18:05	throws a wrench into everything Newton
[1439] 1:18:07	did, but also
[1440] 1:18:10	the things on a galactic scale
[1441] 1:18:14	throw everything into a monkey wrench
[1442] 1:18:17	because things do not move as they
[1443] 1:18:20	should on on the scale of galaxies.
[1444] 1:18:25	Um
[1445] 1:18:28	like for example
[1446] 1:18:30	um one of the weirdest things like for
[1447] 1:18:32	example about galactic motion
[1448] 1:18:35	is the inside of spiral arms of a galaxy
[1449] 1:18:41	move faster than the outside.
[1450] 1:18:44	It's very strange. No one knows why.
[1451] 1:18:49	So,
[1452] 1:18:57	so, um, that's what I would say about
[1453] 1:18:59	that. So, anyway, um, but that that's
[1454] 1:19:03	really where it comes from. um our our
[1455] 1:19:04	modern views. Um
[1456] 1:19:09	I wouldn't agree here with with
[1457] 1:19:10	Patouille here that Epicurionism
[1458] 1:19:14	was um had that much of an impact upon
[1459] 1:19:18	modernity, but um
[1460] 1:19:21	but there was um there there's a lot of
[1461] 1:19:23	things that did go into it. So um
[1462] 1:19:28	this epicurionism was around for a long
[1463] 1:19:30	time.
[1464] 1:19:33	So anyway, hope that helps. Thank you
[1465] 1:19:35	very much for the super chat. Very much
[1466] 1:19:36	appreciate it.
[1467] 1:19:40	Next one here
[1468] 1:19:42	is from CJP for $5. Thank you very much
[1469] 1:19:46	for the super chat. Merry Christmas. Why
[1470] 1:19:50	did some of the bystanders at Jesus's
[1471] 1:19:52	crucifixion think Jesus was calling for
[1472] 1:19:55	Elijah? Matthew 27:46.
[1473] 1:19:58	Okay, let's pull that up.
[1474] 1:20:02	Matthew
[1475] 1:20:13	um
[1476] 1:20:16	Matthew
[1477] 1:20:19	27
[1478] 1:20:25	36.
[1479] 1:20:27	All right. Verse 45. Now the sixth hour
[1480] 1:20:31	of uh the sixth hour of darkness fell
[1481] 1:20:33	upon all the land until the 9th hour.
[1482] 1:20:37	About the 9inth hour Jesus cried out
[1483] 1:20:39	with a loud voice saying a lama sabakani
[1484] 1:20:44	that is my God my God why hast thou
[1485] 1:20:46	forsaken me? Some of those who were
[1486] 1:20:50	standing there when they heard it began
[1487] 1:20:52	saying this man is calling for Elijah.
[1488] 1:20:56	Okay.
[1489] 1:20:58	So,
[1490] 1:21:01	why did some bystanders think that Jesus
[1491] 1:21:03	was calling for Elijah?
[1492] 1:21:06	Well,
[1493] 1:21:08	uh because Elijah was supposed to come
[1494] 1:21:11	back, uh to make way the uh um the path
[1495] 1:21:16	of the Lord, at least in the minds of
[1496] 1:21:19	certain Israelites. Okay. So, so there
[1497] 1:21:23	there was this idea that Elijah would
[1498] 1:21:26	return to usher in the coming of
[1499] 1:21:29	Messiah.
[1500] 1:21:32	So, there was this idea here that when
[1501] 1:21:33	he's on the cross, some of his
[1502] 1:21:35	followers, some of the bystanders would
[1503] 1:21:37	would would think that, okay, you know,
[1504] 1:21:40	God, God, why my God, my God, why have
[1505] 1:21:43	you forsaken me? So, that he's basically
[1506] 1:21:46	calling for divine assistance at this
[1507] 1:21:48	point when that's not what he's doing on
[1508] 1:21:50	the cross.
[1509] 1:21:52	So,
[1510] 1:21:55	oh, and Grim, did they not know their
[1511] 1:21:57	own language? Oh, they did. They're just
[1512] 1:21:59	interpreting this in a different way.
[1513] 1:22:04	Yeah, they they they still can't. You
[1514] 1:22:06	have to understand that the followers of
[1515] 1:22:07	Christ and those standing around
[1516] 1:22:11	weren't cons could not conceive that
[1517] 1:22:14	Christ was paying for sin on the cross.
[1518] 1:22:18	They couldn't conceive that. They're
[1519] 1:22:21	still thinking here with the zealot
[1520] 1:22:22	mindset
[1521] 1:22:24	of of
[1522] 1:22:26	that
[1523] 1:22:29	Messiah was going to come back with an
[1524] 1:22:31	army.
[1525] 1:22:34	And who better to lead that army than
[1526] 1:22:36	Elijah? He went up in a fiery chariot
[1527] 1:22:39	going to come back down, you know, and
[1528] 1:22:41	and and you know, you know, lay the law
[1529] 1:22:44	down, you know, send some fire from
[1530] 1:22:47	heaven,
[1531] 1:22:49	bring a few uh covenant bears with them.
[1532] 1:22:54	That was Elisha. But, you know, Elijah
[1533] 1:22:56	would probably bring some covenant
[1534] 1:22:57	bears, too. Okay,
[1535] 1:23:00	>> they come together with
[1536] 1:23:01	>> they come together with prophets and
[1537] 1:23:02	bears go together.
[1538] 1:23:05	Okay. So, they're they're thinking that
[1539] 1:23:08	he's calling for divine aid to to
[1540] 1:23:13	basically
[1541] 1:23:16	raise the area and and make
[1542] 1:23:20	uh defeat the Romans. Defeat the Romans.
[1543] 1:23:25	So
[1544] 1:23:27	that's why that's why they would think
[1545] 1:23:29	that because you know that's how they
[1546] 1:23:31	would have some of them would have
[1547] 1:23:33	interpreted that my God my God why have
[1548] 1:23:35	you forsaken me because
[1549] 1:23:39	that would be that would be the response
[1550] 1:23:41	of a prophet is okay yeah call in call
[1551] 1:23:45	in the armies call in the the angelic
[1552] 1:23:47	host
[1553] 1:23:49	you know let's do a little bit of
[1554] 1:23:51	Passovering here.
[1555] 1:23:57	So, so it's it's it's quite
[1556] 1:23:59	understandable that some bystanders who
[1557] 1:24:02	would who didn't quite realize that
[1558] 1:24:05	Christ was there to pay for sins
[1559] 1:24:09	that they would be that Christ would be
[1560] 1:24:11	calling to make him king
[1561] 1:24:16	because there's there's two functions
[1562] 1:24:18	that Messiah must serve.
[1563] 1:24:21	One is to be the sacrificial lamb that
[1564] 1:24:24	takes away the sins of the world. The
[1565] 1:24:26	second one is to be the conquering king,
[1566] 1:24:29	the king that comes to claim his
[1567] 1:24:31	kingdom.
[1568] 1:24:33	A lot of early Israelites got the two
[1569] 1:24:35	backwards.
[1570] 1:24:38	They thought many thought that he must
[1571] 1:24:40	come as a conquering king first
[1572] 1:24:43	and then take care of that pesky little
[1573] 1:24:45	sin.
[1574] 1:24:47	So,
[1575] 1:24:50	so um that's why a lot of them would
[1576] 1:24:53	have interpreted it this way. It's it's
[1577] 1:24:56	not that that Jesus was saying anything
[1578] 1:24:58	that directly connected to Elijah, but
[1579] 1:25:00	they were just thinking, "Yeah, he's
[1580] 1:25:02	calling Elijah down to uh to take care
[1581] 1:25:05	of some do some some buttkicking."
[1582] 1:25:08	Okay,
[1583] 1:25:10	that's not what he was doing at all. But
[1584] 1:25:12	many would have misinterpreted that at
[1585] 1:25:14	the time. So anyway, I hope that helps.
[1586] 1:25:17	Thank you very much for the super chat.
[1587] 1:25:18	Very much appreciated.
[1588] 1:25:44	I'll take this non-s super chat for
[1589] 1:25:46	Danny Devent here. Uh, what are some
[1590] 1:25:48	good resources on the environmental
[1591] 1:25:49	state of the Sinai around the time of
[1592] 1:25:51	the Exodus? You'd have to go to academic
[1593] 1:25:53	papers. Um,
[1594] 1:25:56	I'm right now putting together some of
[1595] 1:25:58	this stuff into um the chapter I'm doing
[1596] 1:26:01	for my publisher. uh but it's you're
[1597] 1:26:05	you're going to find this in academic
[1598] 1:26:06	papers and in conference papers mostly
[1599] 1:26:08	at this point. There hasn't really been
[1600] 1:26:11	a good say a solid corpus of this work
[1601] 1:26:15	yet, but it's um it's forming. is
[1602] 1:26:19	forming especially
[1603] 1:26:22	especially given that the more we've I
[1604] 1:26:24	mean we have to understand that the
[1605] 1:26:26	whole idea that we would even look at or
[1606] 1:26:30	even consider the possibility of a
[1607] 1:26:33	change in environmental factors for the
[1608] 1:26:35	Sinai
[1609] 1:26:37	was something that nobody considered 10
[1610] 1:26:39	years ago. This is new stuff.
[1611] 1:26:43	You know, we have to we have to
[1612] 1:26:44	understand that, you know, the whole
[1613] 1:26:46	ecological movement in in say higher
[1614] 1:26:50	education
[1615] 1:26:52	has only been around for about 30 40
[1616] 1:26:55	years.
[1617] 1:26:57	30 years really. Okay. But
[1618] 1:27:01	um when applying that though those those
[1619] 1:27:04	that thinking to the ancient near east,
[1620] 1:27:07	nobody had considered it. you know,
[1621] 1:27:10	everyone had just assumed
[1622] 1:27:13	uh until just, as I say, a decade ago
[1623] 1:27:16	that
[1624] 1:27:18	that Sinai was always a desert.
[1625] 1:27:22	Uh many had a had some idea that the
[1626] 1:27:25	Sahara wasn't a desert, but no one had
[1627] 1:27:27	thought about the Sinai
[1628] 1:27:29	or, you know, even Jordan. We just a lot
[1629] 1:27:33	of us, you know, a lot of people just
[1630] 1:27:35	assumed that Jordan was always a desert.
[1631] 1:27:38	You know, nobody thought that, hey, it's
[1632] 1:27:40	full of, you know, during the Iron Age,
[1633] 1:27:42	it was full of lush grass and wheat
[1634] 1:27:44	fields. No one ever thought that was a
[1635] 1:27:47	serious serious thing. But now people
[1636] 1:27:50	are actually doing this work on say
[1637] 1:27:56	uh environmental change uh in the near
[1638] 1:27:58	east and they're coming up with some
[1639] 1:28:00	really interesting results.
[1640] 1:28:03	So
[1641] 1:28:05	um absolutely. I mean,
[1642] 1:28:09	yeah. Uh, Patoule says, "So, biblical
[1643] 1:28:12	scholars need to need to read more
[1644] 1:28:15	archobotonists."
[1645] 1:28:16	Oh, yeah, they do. Absolutely. Well, you
[1646] 1:28:19	know, but Bible scholars don't read that
[1647] 1:28:21	stuff. I mean, they really don't. I
[1648] 1:28:23	mean, let's be let's be real honest. A
[1649] 1:28:26	lot of Bible scholars only read Bible
[1650] 1:28:28	scholar material. That's all they read.
[1651] 1:28:30	They don't read archaeology. They don't
[1652] 1:28:32	read archobatony. They don't
[1653] 1:28:36	>> they don't seek out Egyptologists,
[1654] 1:28:41	you know, they don't they don't seek out
[1655] 1:28:42	subject matter experts in other fields.
[1656] 1:28:44	Uh they got a perfectly acceptable
[1657] 1:28:48	uh scholar tradition and they're going
[1658] 1:28:49	to hold to that because that's
[1659] 1:28:50	consensus.
[1660] 1:28:55	>> So anybody disagrees with them, it is
[1661] 1:28:58	obvious an atheist.
[1662] 1:29:02	No matter what you just
[1663] 1:29:07	know, it's kind it's kind of shabby how
[1664] 1:29:10	how ignorant some Bible scholars can be.
[1665] 1:29:12	Really, it is.
[1666] 1:29:28	Of course, this is why they hate me when
[1667] 1:29:30	I go to to ETSs.
[1668] 1:29:44	Okay.
[1669] 1:29:46	But yeah, they do need to read more
[1670] 1:29:47	archobotany.
[1671] 1:29:53	>> Well, it it's it's interesting stuff.
[1672] 1:29:55	Yeah. I mean, I I like reading
[1673] 1:29:56	archobatony, but hey, who am I?
[1674] 1:30:02	Yeah. Uh, Dark Blade says, "Sometimes
[1675] 1:30:05	the consensus is just plain idiotic."
[1676] 1:30:09	Cough, cough. Jericho not existing in
[1677] 1:30:11	the late Bronze Age. Cough. Cough. Yeah,
[1678] 1:30:14	but again, this is one of those things
[1679] 1:30:16	where if you didn't follow the
[1680] 1:30:18	consensus, you were ostracized.
[1681] 1:30:21	You know, the evidence is was
[1682] 1:30:22	completely, you know, I mean, supported
[1683] 1:30:26	the idea that there was some sort of
[1684] 1:30:29	late Bronze Age settlement of Jericho,
[1685] 1:30:31	but they were absolutely hellbent upon
[1686] 1:30:35	denying a late Bronze Age Jericho. So,
[1687] 1:30:40	you know, you don't need no you don't
[1688] 1:30:42	need no no evidence, you know, when
[1689] 1:30:44	you've got a good consensus going like
[1690] 1:30:47	Yeah.
[1691] 1:30:49	Awesome. Just awesome.
[1692] 1:30:58	So, yeah, you're gonna only find So,
[1693] 1:31:00	Danny, um, you're only going to find
[1694] 1:31:01	this stuff in peer-reviewed literature.
[1695] 1:31:03	That's the only place you're going to
[1696] 1:31:04	find this at the moment. I think I think
[1697] 1:31:06	in the next, say, 10, 15 years. Do you
[1698] 1:31:11	smell burning?
[1699] 1:31:16	>> There's something in
[1700] 1:31:17	>> I know what that is.
[1701] 1:31:20	No, no, it's not smoking. It's our It's
[1702] 1:31:22	our thermostat. It's our ear.
[1703] 1:31:25	Gotten so cold the heater's actually at
[1704] 1:31:27	working.
[1705] 1:31:31	Okay. Okay. Never mind.
[1706] 1:31:36	Yeah. So, um,
[1707] 1:31:39	so yeah, there's, um, there's just, you
[1708] 1:31:41	know, consensus is just one of those
[1709] 1:31:43	things that, you know, if you if you
[1710] 1:31:45	don't go along with the consensus, you
[1711] 1:31:48	know, you get you get ridiculed and
[1712] 1:31:50	ostracized,
[1713] 1:31:52	you know.
[1714] 1:31:54	Yeah. That's the first time for the
[1715] 1:31:56	heater in in in like
[1716] 1:31:58	uh
[1717] 1:32:00	we've used the heater in like a year. So
[1718] 1:32:12	the two plus one for demanding that
[1719] 1:32:15	Bible scholars read more classicists
[1720] 1:32:17	demand they learn Attic and Ionic before
[1721] 1:32:19	they learn Coyn. you know, that would
[1722] 1:32:24	uh that would be something I would
[1723] 1:32:26	actually prefer that they they learn
[1724] 1:32:28	more Semitics to be honest, you know,
[1725] 1:32:31	and and not just not just say the Hebrew
[1726] 1:32:34	Bible, you know, like like cognate
[1727] 1:32:38	languages.
[1728] 1:32:39	I mean, a lot of I mean, every every
[1729] 1:32:42	Bible scholar takes Hebrew at some point
[1730] 1:32:44	and almost all of them take uh take
[1731] 1:32:47	coin. In fact, more take co than than
[1732] 1:32:49	than take biblical Hebrew.
[1733] 1:32:53	But, you know, some good cognate
[1734] 1:32:55	languages wouldn't hurt.
[1735] 1:32:58	You know, put a little Acadian under
[1736] 1:33:01	their belt. Give them a little bit of
[1737] 1:33:02	Egyptian,
[1738] 1:33:07	you know, just something.
[1739] 1:33:12	Have them actually take an archaeology
[1740] 1:33:13	class. I mean, I I'm shocked how many
[1741] 1:33:16	biblical scholars have never taken an
[1742] 1:33:19	archaeology class.
[1743] 1:33:21	Shocking. Shocking.
[1744] 1:33:23	>> Yeah. If you don't know the methodology
[1745] 1:33:28	>> what you're teaching.
[1746] 1:33:30	>> Yeah.
[1747] 1:33:30	>> How can you
[1748] 1:33:34	secondary?
[1749] 1:33:35	>> Yeah.
[1750] 1:33:42	I mean, there's been
[1751] 1:33:45	I mean, I've seen I I've I've heard a
[1752] 1:33:46	biblical scholars say some idiotic
[1753] 1:33:48	things like there's casemate walls in
[1754] 1:33:51	the uh early Bronze Age. What? Huh?
[1755] 1:33:58	It's just terrifying how historically
[1756] 1:34:02	ignorant, you know, some biblical
[1757] 1:34:04	scholars are because they don't read
[1758] 1:34:06	anything outside of the secondary
[1759] 1:34:09	literature.
[1760] 1:34:10	So, it's it's just it's often really
[1761] 1:34:14	shameful.
[1762] 1:34:16	And then they try to to go back and try
[1763] 1:34:20	to pick up the context of the Bible and
[1764] 1:34:21	they don't have the tools to do it.
[1765] 1:34:24	So
[1766] 1:34:28	how many
[1767] 1:34:33	>> Oh, very few seminaries offer
[1768] 1:34:34	archaeology now. Yeah.
[1769] 1:34:37	>> Oh, yeah. I mean, uh, Ted's what what
[1770] 1:34:41	was left of Ted's dropped their whole
[1771] 1:34:43	archaeology program
[1772] 1:34:47	and most of their faculty and the
[1773] 1:34:50	students
[1774] 1:34:53	and their campus.
[1775] 1:34:56	Yeah. Cool.
[1776] 1:35:04	So, uh, yeah. Not not good. Not good at
[1777] 1:35:08	all.
[1778] 1:35:10	All right, so um hope that helped,
[1779] 1:35:12	Danny. Um really appreciate you giving
[1780] 1:35:15	us that uh that question.
[1781] 1:35:18	Next one here
[1782] 1:35:22	is from
[1783] 1:35:26	Yeah, you can turn the heater down if
[1784] 1:35:28	you want.
[1785] 1:35:30	You know how to do it.
[1786] 1:35:35	Pushing it to the bottom.
[1787] 1:35:40	Uh Ryan Comamp asks, "How far of a drive
[1788] 1:35:44	is it to from the US border?" Uh from
[1789] 1:35:47	where I live, it is about
[1790] 1:35:50	it's roughly an hour.
[1791] 1:35:53	Okay. But that only takes you to Blaine.
[1792] 1:35:57	So, um I don't go to the US very often
[1793] 1:36:01	by car. It's it's rather difficult to do
[1794] 1:36:04	that. and I don't own a vehicle myself.
[1795] 1:36:06	I would have to get like a proper rental
[1796] 1:36:08	car and
[1797] 1:36:10	that gets that gets kind of dicey. Like
[1798] 1:36:12	I can't take uh those car sharing cars
[1799] 1:36:15	outside of the country. So if I ever
[1800] 1:36:18	have to drive, I use a car share. Yeah,
[1801] 1:36:19	believe it or not, I don't own a
[1802] 1:36:21	vehicle. I don't own a car. Can't afford
[1803] 1:36:23	one.
[1804] 1:36:29	>> Yeah, owning a vehicle in British
[1805] 1:36:31	Columbia is exceptionally expensive.
[1806] 1:36:33	It's basically own a car or pay rent,
[1807] 1:36:36	not both. So,
[1808] 1:36:38	um the whole the whole driving thing is
[1809] 1:36:42	is just something that I only do when
[1810] 1:36:44	necessary.
[1811] 1:36:49	Okay.
[1812] 1:36:55	Don't take robo taxis.
[1813] 1:36:58	Well, you can't take a taxi to the US.
[1814] 1:37:01	Uh you would have the way the way uh
[1815] 1:37:06	the way uh taxis work is they'd have to
[1816] 1:37:09	drop you off by the border. You'd have
[1817] 1:37:11	to clear the border by by foot and then
[1818] 1:37:13	take a taxi on the other side.
[1819] 1:37:16	It's actually easier to take the train
[1820] 1:37:19	from Vancouver to the US than it is to
[1821] 1:37:22	take a taxi.
[1822] 1:37:26	Jack Ray BC broke citizens. Yeah.
[1823] 1:37:31	Yep.
[1824] 1:37:33	Yeah. Yeah. You if you live in
[1825] 1:37:34	Vancouver, it's it's uh you can have a
[1826] 1:37:39	car or rent, but not both. So,
[1827] 1:37:50	CPM versus DOSS. We need to get Dr.
[1828] 1:37:53	Falcon F-150 stat. Hey, I'd love that. I
[1829] 1:37:57	I I I'd love a truck like that, but no.
[1830] 1:38:01	Um I don't I don't I can't afford one.
[1831] 1:38:06	Comb Camp, do you get groceries
[1832] 1:38:08	delivered or is stuff within walking
[1833] 1:38:10	distance? Um the grocery store, the
[1834] 1:38:14	closest grocery store, the one I use
[1835] 1:38:15	mostly, is about four blocks away. So I
[1836] 1:38:20	walk it.
[1837] 1:38:25	So, so yeah, I I I walk to the store
[1838] 1:38:29	several times a week to do do groceries.
[1839] 1:38:31	Occasionally, I'll get groceries
[1840] 1:38:33	delivered. Depends if it's a if it's a
[1841] 1:38:36	lot of big or heavy stuff. Uh if it's
[1842] 1:38:38	big or heavy, I'll I'll have to get it
[1843] 1:38:40	delivered. Or if it's too bulky. Um but
[1844] 1:38:44	I do take um I I go to the store several
