[0] 0:00	[Music] n
[580] 1:10:50	groups hivites bites and hurrians and they're all different okay
[581] 1:10:59	oh and Hittites too yes we also the Hittites they're
[582] 1:11:05	anatolians they're from Asia Minor turkey so yeah all sorts of fun with
[583] 1:11:13	these these H names
[584] 1:11:27	Alexis that vid was an experience quote you call me Father do you really hate me
[585] 1:11:33	took me out all the fun of Google
[586] 1:11:39	[Laughter] Translate
[587] 1:11:45	Okay so uh back to the question here uh it's it is a geographic it's a
[588] 1:11:54	um it's a geographic identifier it's not an
[589] 1:11:59	acronym uh the reference in Genesis 14 is not an acronym it is a geographic
[590] 1:12:05	identifier okay it's not even an ethnonym it's a geographic identifier so I hope that
[591] 1:12:11	helps thank you very much for the Super Chat very much
[592] 1:12:20	appreciated uh I want to thank Jack Ray for 10 Egypt and the Bible memberships thank you so very much again this really
[593] 1:12:27	supports the channel and we're so grateful thank you so very much we really appreciate
[594] 1:12:44	it and he gave another 10 egyp the Bible memberships again thank you so very much
[595] 1:12:50	for this we so appreciate your support of the channel
[596] 1:12:55	and then another five well thank you so much and then another
[597] 1:13:02	10 oh Jack's on a roll
[598] 1:13:08	tonight okay
[599] 1:13:15	wow okay BC for $10 Australian thank you for the Super Chat could it be that the first century
[600] 1:13:23	judeans spoke Greek could evidence for this be that certain phrases such as uh Tia Kum and Eloy aloy
[601] 1:13:32	are recorded in languages other than Greek why is this done
[602] 1:13:37	um okay one of the things we kind of have to understand here is
[603] 1:13:44	that uh polyglotism in the ancient world was
[604] 1:13:49	fairly normal we don't in our modern day poly
[605] 1:13:55	glism is is sort of the exception but in say less developed
[606] 1:14:02	countries it was much more normal than it is today uh we still see this in certain
[607] 1:14:09	places in Europe like in uh Switzerland your your barid in Switzerland speaks
[608] 1:14:15	four languages you know you know she's going to speak uh German
[609] 1:14:21	French um um Eng Engish probably plout Deutch
[610] 1:14:27	as well you know she's going to speak four languages cuz you know it's a Crossroads so you know anytime you have
[611] 1:14:36	a place where there's a Crossroads uh Crossroads of trade Crossroads of for military you're going
[612] 1:14:43	to get a much more
[613] 1:14:52	polyglotism yeah Emily says my dad speaks four languages
[614] 1:14:58	born in Romania yeah oh yeah my my
[615] 1:15:03	grandfather um who was born in Ukraine he spoke um he spoke
[616] 1:15:11	Russian uh he spoke um hopo a high German and pl deut
[617] 1:15:19	low German closer to Dutch today and he spoke
[618] 1:15:25	um and he spoke um else do he speak oh he spoke English okay not very well but
[619] 1:15:32	he did speak English Okay so so yeah he he spoke four
[620] 1:15:39	languages and he had a I think his I think his his education was grade
[621] 1:15:46	two so ah hi Pat
[622] 1:16:03	yeah P says yeah uh P says the famous temple warning
[623] 1:16:11	incription was written only in Greek which assumes a regional level of bare basic Greek competency yeah and I'd say
[624] 1:16:18	so you know um Greek had been around in Judea for a long time by the first
[625] 1:16:24	century okay it had been there since Alexander the Great you know trucked on through so
[626] 1:16:32	it' been there for three centuries you know people were speaking Greek in Judea
[627] 1:16:38	for three centuries at that point so so you know there's there's it's a
[628] 1:16:45	mix of languages that whole area is a is a is a mix it's a mosaic of a half dozen
[629] 1:16:53	languages you know you you had of course the Greek
[630] 1:16:58	and Hebrew and Aramaic but you also had Latin coming in and
[631] 1:17:03	Edan and possibly even some other foreign dialects come in so it's a it's
[632] 1:17:10	an it's an entire melting plot like I think aloy aloy is is Aramaic but um you
[633] 1:17:17	know you do see the this sort of cross fertilization of language so
[634] 1:17:25	I hope that helps thank you very much for the Super Chat very much appreciate but this is this is very common very
[635] 1:17:30	very common in Crossroads communities especially in the ancient world and frankly still is today still common in
[636] 1:17:40	today okay next one here is from Andreas Forster for $27.99
[637] 1:17:47	Canadian thank you very much for that Super Chat non-s scholarly myths
[638] 1:17:53	oversimplifications or outright lies are rampant on YouTube and the internet in general tell me about it how can
[639] 1:18:00	Scholars F better fight back against misinformation do you ever feel overwhelmed by this problem all the time
[640] 1:18:09	okay uh we spend a lot of our Channel time uh
[641] 1:18:14	fighting these myths okay uh we I mean we have a lot of
[642] 1:18:22	problems say with the Ron Wyatt guys you know who basically are there's no
[643] 1:18:27	evidence for any of his discoveries and yet people are always saying oh yeah Ron
[644] 1:18:33	Wyatt he's he's the epitome of archaeology um I don't have to deal so
[645] 1:18:39	much with say the flat earthers I do have to deal with the Ancient Aliens guys okay and I do have to deal
[646] 1:18:48	sometimes with some um um like the conscious Community too
[647] 1:18:55	so you know there's various different myths that sort of enters into YouTube space and YouTube space is just a
[648] 1:19:02	gasoline to a match to gasoline when it comes to this stuff
[649] 1:19:08	so that's the one thing about uh YouTube is it's a great it's a great platform
[650] 1:19:13	for information but it's also a great platform for
[651] 1:19:18	misinformation and it is a problem it is a problem especially when you deal with
[652] 1:19:25	people who may not know the information who and and don't want to know the
[653] 1:19:30	information cuz one of the problems too with YouTube is it can act as a bubble chamber as an echo chamber it creates a
[654] 1:19:39	a what they call the Google bubble
[655] 1:19:44	okay it's very interesting when you sometimes do searches in in
[656] 1:19:50	Google you will sometimes get a different Google result on a search
[657] 1:19:55	in your regular browser versus a a private or a um uh what's called um what
[658] 1:20:04	those called um yeah private window browser okay
[659] 1:20:12	you'll get two different YouTube results and Google
[660] 1:20:17	results so the thing is if you are somebody who has say a predilection
[661] 1:20:25	towards say see these myths or over simplifications or out like R
[662] 1:20:32	lies YouTube is really happy to feed those lies back to you in an echo
[663] 1:20:38	chamber because for them it's about advertising dollars if they can feed you those lies they know how to redirect
[664] 1:20:45	those advertising dollars and for them that's what this is about it's about
[665] 1:20:51	money not about truth it's not about information it's about money Google is an advertising
[666] 1:20:59	company it's an advertising company it's an ad company that's what it is
[667] 1:21:05	okay and if you don't understand that about Google and YouTube You Know YouTube is not a a video company it's an
[668] 1:21:13	advertising company it's a it's a company that makes money off of ads which it adds to videos
[669] 1:21:21	that's what it is and yeah alphabet Corporation that's that's the that's the parent that's the shell
[670] 1:21:27	Corp yeah so it it's it's going
[671] 1:21:32	to it's going to do the algorithm is going to do whatever it takes to keep
[672] 1:21:38	you hooked who keep you watching it'll also want to slowly shift
[673] 1:21:45	your opinion too but that's that's kind of a secondary thing like it will it will really they really want you to
[674] 1:21:50	believe certain things but they're going to make that make that more rile cuz they don't want to lose your
[675] 1:21:57	watching time either so so yeah you'll find that your
[676] 1:22:05	Incognito windows are going to produce very different results on Google than say your regular browsers so that's
[677] 1:22:13	that's something to keep in mind if you are not if you're thinking that Google is hiding resolve from you
[678] 1:22:19	try an incognito window see if that works
[679] 1:22:28	okay so yes it it's a constant problem for our Channel all of this um you know
[680] 1:22:35	we do try to to get out better information but it is it is overwhelming
[681] 1:22:40	and there isn't enough of us put put simply there's not enough of us doing
[682] 1:22:46	it um so yeah it can be very frustrating sometimes so any I hope that helped
[683] 1:22:52	thank you very much for the Super Chat very much appreciated
[684] 1:23:01	uh Jack R for $5 thank you for the Super Chat count of Marcy is molok an ancient
[685] 1:23:08	demonic God or ritual fire sacrifice
[686] 1:23:14	uh it's probably the latter it's probably the latter uh
[687] 1:23:20	here's the thing it used to be thought that it was a deity okay because of the of the eological uh
[688] 1:23:28	link between molok and melik um melik being the um the Semitic
[689] 1:23:36	word for King okay but nowadays with um with all we know about
[690] 1:23:45	say archaeology of the ancient near East it's now seen as a ritual basically a um
[691] 1:23:51	child sacrifice it's a burnt child sacrifice uh one of the reasons why most
[692] 1:23:59	Scholars have come to that conclusion now is because we don't find it worshiped as a god
[693] 1:24:04	anywhere you don't find it in seals you don't find it in uh ritual texts you
[694] 1:24:10	don't find it anywhere so it looks like it's much more
[695] 1:24:17	likely to be a practice than a
[696] 1:24:22	deity so so yeah I mean we we do find uh for most
[697] 1:24:29	of the deities of the ancient e East some semblance of of their of their
[698] 1:24:35	names in Seal Impressions that sort of thing and there's a lot of seal Impressions that have been found now uh
[699] 1:24:41	from Levant
[700] 1:24:47	so so we don't just we just don't find Mok in that in that thing a
[701] 1:24:56	category so it just does seem to be a a ritual fire
[702] 1:25:03	practice Yeah birth infant sacrifices is what it
[703] 1:25:10	is so I hope that helps thank you very much for the Super Chat very much appreciated and thank you for your support of the channel we couldn't do
[704] 1:25:17	this without you so we really appreciate your support
[705] 1:25:26	all right jcm for $5 thank you for the Super Chat what do you think about the
[706] 1:25:32	tradition of Jon being plunged into boiling oil but miraculously escaped Sur
[707] 1:25:39	escaped unscathed uh well I think it makes sense of why
[708] 1:25:45	they exiled him instead of just killing him outright um because to boil a guy in oil and then
[709] 1:25:55	he comes out on scath with with scare with would be a scary
[710] 1:26:01	proposition so is it true is that story true hard to
[711] 1:26:07	say we're not sure it does show up in some of the works of the early
[712] 1:26:12	historians um how solid a trans uh how solid a tradition it is hard to say it's
[713] 1:26:19	hard to say we we can't be sure I mean he could have been just exiled because
[714] 1:26:25	the governor didn't like him uh but couldn't find grounds to execute
[715] 1:26:34	him so I I don't have any reason to to say well this couldn't have
[716] 1:26:41	happened I also don't have any reason to say that it did happen either the closest we're going to get is is the
[717] 1:26:49	historians that that repeat the repeat the tradition but but how how reliable
[718] 1:26:56	that tradition is I don't know so I hope that helps thank you for the Super Chat very much
[719] 1:27:10	appreciated jcm for $5 uh thank you for the Super Chat was Muhammad given a
[720] 1:27:17	false Revelation by a demon or was he just a liar oh I got to be careful with a
[721] 1:27:24	question like this okay I'm an egyptologist I still occasionally work
[722] 1:27:30	in Egypt they don't like people coming out Islam is one of those those topics I
[723] 1:27:36	kind of got to be very very cautious about um especially if I want to work in
[724] 1:27:45	Egypt if I ever want to dig that would sort of be a career limiting move so
[725] 1:27:55	um so it wouldn't it wouldn't be profitable for me to speculate
[726] 1:28:02	here I will say
[727] 1:28:08	this that it does contradict Muhammad does
[728] 1:28:13	contradict biblical Revelation it absolutely does and even they will say
[729] 1:28:19	that even they will say it it contradicts the Bible
[730] 1:28:24	so how do you have both the Quran and uh the Bible be
[731] 1:28:30	sacred scripture it's not really possible one's got to give way to the
[732] 1:28:37	other so keep keeps learning says ask David
[733] 1:28:44	wood not David folk yeah this is a question you better ask David wood uh he's an expert on this he he's an expert
[734] 1:28:52	on this uh David wood is an expert on Islam okay I'm
[735] 1:28:58	not and I've got as I say I got some skin unfortunately in that game where I
[736] 1:29:03	have to be careful what I say about Islam so uh that's probably the best I
[737] 1:29:09	can do for you um uh could be either could be something
[738] 1:29:15	else but whatever the case the Quran contradicts the Bible and we can leave it at that so thank you much for the
[739] 1:29:21	Super Chat very much appreciated
[740] 1:29:32	uh jcm for $5 thank you very much for the uh Super Chat what is the biblically
[741] 1:29:38	accurate process of getting married [Laughter]
[742] 1:29:45	um there isn't one okay but there is a process the Israelites used to do we're
[743] 1:29:52	going to talk about that uh this is one of those things that's more descriptive than
[744] 1:29:59	prescriptive so we're not always told the details of
[745] 1:30:04	marriage processes and like for example uh in ancient Egypt
[746] 1:30:10	we have almost no idea how weddings were done they were never recorded
[747] 1:30:17	we in we have a little better idea say in Israelites Society how marriage was
[748] 1:30:25	done which is basically contract
[749] 1:30:31	negotiation it's always contract negotiation yeah this is a legal thing
[750] 1:30:38	this is a legal thing now the way the way the legalities
[751] 1:30:44	worked was the two groups of parents two sets of parents came together and formed a
[752] 1:30:52	contract okay yeah the couple getting married had no
[753] 1:30:58	say in this okay so this is a contractual relationship between
[754] 1:31:05	parents okay yes for first marriages for first marriages and young
[755] 1:31:11	marriages these are all arranged these are all arranged marriages only when say they um children
[756] 1:31:19	hit their say either their 30s or widowed or or something along that line
[757] 1:31:24	does it become a Arrangement between individuals but most first marriages in
[758] 1:31:32	Israel were arranged and the parents would get
[759] 1:31:39	together they'd sign out a contract and then the groom would go
[760] 1:31:44	build a house that was his job for the next well
[761] 1:31:50	he built a house and once he finished the house then he came and collected his
[762] 1:31:58	bride now it's at that point when he comes to collect the bride that the wedding takes
[763] 1:32:05	place and Levites could perform weddings okay you didn't need a you didn't need a
[764] 1:32:11	full priest for this but a levite could perform officiate a
[765] 1:32:17	wedding and the wedding itself was put on by the um by the bride's family okay
[766] 1:32:27	the bride's family would put on the wedding and then they would spend the
[767] 1:32:34	first night in the bride's house or in the bride's parents house okay so there
[768] 1:32:40	would also be a a marriage Suite wedding a marriage Suite in the bride's
[769] 1:32:46	house um the bride's parents house okay so they would spend the first night
[770] 1:32:51	there after that the married couple will then move into the house that the um that the groom
[771] 1:33:01	made so so that was that was how it worked in
[772] 1:33:08	in ancient Israel so again contract house
[773] 1:33:15	wedding uh honeymoon at the bride's parents place and
[774] 1:33:21	then um and by the way the the bride's parents kept the
[775] 1:33:27	sheets this is also detail too um because some part of these
[776] 1:33:33	contracts were that she had this was her first time okay so the parents kept the
[777] 1:33:41	wedding sheets as proof of of her
[778] 1:33:48	Chastity okay
[779] 1:33:55	yeah yeah okay
[780] 1:34:01	so it does beat the English Customs doesn't it where everyone watched um so
[781] 1:34:07	this was this was proof that the parents this the parents had the the the bride's parents had proof that she was she was
[782] 1:34:15	chased before marriage and that the marriage was consummated
[783] 1:34:27	Alexis watched oh yeah a lot of cultures in Europe did that yeah that that
[784] 1:34:33	happened freak yeah it was proof yeah they on the first wedding
[785] 1:34:38	night there were like um this happened in a lot of royal families too like
[786] 1:34:46	um uh like the Emperor of Russia you know when he took a bride they watched
[787] 1:34:53	to see that the marriage was
[788] 1:35:02	consummated yeah Alexis says thank God I'm living in this Century yeah
[789] 1:35:12	absolutely so um but that's sort of that's sort of
[790] 1:35:17	the um that's sort of how ancient Israelites did their weddings so hope
[791] 1:35:23	that helps I hope you found that interesting thank you very much for the Super Chat very much
[792] 1:35:36	appreciated okay next one
[793] 1:35:49	here okay uh Emily asks does this have a throwback to fertility Pagan rights not
[794] 1:35:56	really it's yeah it's it's it's a pragmatic
[795] 1:36:02	thing it's a pragmatic thing as much as a contractual thing so um it's it's not a throwback to
[796] 1:36:09	Pagan fertility rights it's just um is the groom getting what he's paying
[797] 1:36:16	for is he is is he getting what's what's what's been contracted is there assurance there's
[798] 1:36:23	going to be children okay so you know I mean there's there could
[799] 1:36:29	become a point where say you know the the groom said well you know the
[800] 1:36:35	marriage was never consummated so out you go it was guarantee for the bride it was
[801] 1:36:42	a guarantee for the bride too it's a guarantee for the bride too you know and that way you know in the case of that
[802] 1:36:49	it's like okay parents have the proof that the marriage was once the uh marriage was
[803] 1:36:57	consummated you're married you're that's that's that's the final piece of the
[804] 1:37:03	marriage no consummation no marriage so that was essential part of
[805] 1:37:10	it
[806] 1:37:25	guarant yeah for both Sid yeah Emily says oh so it's to have witness guarantors yeah exactly for both sides
[807] 1:37:32	this was a guarantee for both sides because here's the thing if the
[808] 1:37:38	bride's parents say she was a virgin and the marriage was
[809] 1:37:44	consummated and the group says wait she wasn't a virgin the parents have to Pro prove
[810] 1:37:51	provide proof she was a virgin if they don't have the bed
[811] 1:37:57	sheets no proof no
[812] 1:38:06	proof so these were as much contractual things as anything
[813] 1:38:20	else Alexis asked the question uh what if she broke her be uh before
[814] 1:38:28	from like playing sport or something wasn't as big of a problem in the ancient
[815] 1:38:33	world um in the ancient world women were not big sports
[816] 1:38:40	players okay so
[817] 1:38:47	um so it just it just wasn't it wasn't as big an issue
[818] 1:38:54	so it didn't happen as often
[819] 1:39:05	okay next Super Chat here is from jcm for $5 thank you uh for the Super Chat
[820] 1:39:12	can a person with NPD narcissistic personality disorder be a Christian
[821] 1:39:17	sure oh absolutely no if you know your
[822] 1:39:22	narcissist yeah lot of yeah look narcissistic personality
[823] 1:39:29	disorder can be modeled shaped um and the axe can be
[824] 1:39:35	forgiven you know a psychopath can become a Christian you know for them like uh like
[825] 1:39:43	David wood would talk about this you know he's he's a clinically a psychopath you know he doesn't have a
[826] 1:39:49	conscience and he knows this and this is not this is not secret so
[827] 1:39:55	um you know he he talks about this on his channel a lot okay it's a guy who just doesn't
[828] 1:40:02	care okay but for him what he says is that that repentance for him is an
[829] 1:40:09	intellectual thing he he doesn't feel remorse but he
[830] 1:40:16	knows he should feel remorse and for him he will repent of
[831] 1:40:22	the activity on an intellectual level so it's absolutely possible for
[832] 1:40:31	somebody who's a psychopath or somebody with narcissistic personality disorder to become a Christian absolutely
[833] 1:40:38	possible and it's even possible for them to repent
[834] 1:40:43	okay H i' have no idea if he repented or not
[835] 1:40:51	I knew he was I think he was killed in prison don't think got much of a chance to
[836] 1:40:58	repent I mean they they got rid of him fast
[837] 1:41:05	think people labels who don't well but it does help us
[838] 1:41:13	understand yeah let's let's not go into the label question because I don't think that really applies here
[839] 1:41:27	it can help yeah um being diagnosed with this though can help you manage it it
[840] 1:41:34	can bring it to your attention uh but again it's one of those
[841] 1:41:41	things where yes you can be aware that on an intellectual a completely different level an emotional level you
[842] 1:41:48	might not feel guilt you might not feel that you've done wrong you might not
[843] 1:41:55	care but you on on a different level might know you've done
[844] 1:42:01	wrong there's still the intellectual knowledge of knowing if you've done right or wrong so somebody
[845] 1:42:11	with um um psych
[846] 1:42:16	psychopathological you know um inclinations or narcissistic inclinations can know they've done
[847] 1:42:24	wrong and even if they don't don't feel that
[848] 1:42:30	they've done wrong they can understand that they can um understand they did wrong and they can repent from it and if
[849] 1:42:38	they can repent they can become a Christian so it's completely possible
[850] 1:42:44	completely possible doesn't happen often but it is
[851] 1:42:49	possible okay so I hope you it helps thank you very much for the Super Chat very much
[852] 1:43:05	appreciate
[853] 1:43:10	yeah okay and Jonathan Walker for $10 thank you for the Super Chat in your video uh Kai video you
[854] 1:43:18	compare the amalekites Genesis 14:7 to the Luca the Luca can you explain this who are the
[855] 1:43:24	parasites uh could you do a video over all the groups in the Old Testament well
[856] 1:43:29	that's a pretty tall order but this was just meant to be a primer to give you sort of an idea of that okay now um the
[857] 1:43:39	parasites are just a hybridized Amorite group of of
[858] 1:43:45	um uh of amorites and Canaanites that have uh that lived in the judian Foothills and in Ephraim okay so that
[859] 1:43:53	what that that's what's meant there now um in the case of the amalekites let's
[860] 1:43:59	you have to sort of explain two things here who are the Luca and who are the amalekites okay now in the case of the
[861] 1:44:07	Luca the Luca gets their start in Lea and that's a province
[862] 1:44:14	in in um in Anatolia now they start moving down in
[863] 1:44:21	the down the coastal plane in the mid uh mid 14th century okay uh their first
[864] 1:44:29	attempts uh to invade are in um are in alishia which is which is
[865] 1:44:37	modern Cyprus okay so they they attempt to to to invade Cyprus but they don't
[866] 1:44:44	succeed but we do get reports of that uh from Elara
[867] 1:44:50	38 but we though afterwards we start seeing them start traveling down the
[868] 1:44:56	coastal plain and we get reports of that in the uh letters of or in the documents
[869] 1:45:03	of MPA um Romy II and they spread out down the coastal
[870] 1:45:11	PL and into the ngev which is the desert uh they also by the time manetta
[871] 1:45:18	travel over to Libya so they get around
[872] 1:45:24	and they persist even until the time of the Anam Masa of
[873] 1:45:30	amam so that's you're well into the Iron Age at that point so they travel further faster and
[874] 1:45:38	further than other C people groups so we know the Luca are a c people group that
[875] 1:45:43	much we're sure of we're absolutely sure of of the identification of the lopa as
[876] 1:45:49	a c people group it's identified even in say the rec of Ramsey
[877] 1:45:55	III and we know they their their territorial range okay so again down
[878] 1:46:02	that Coastal plane into the neev probably East into rod and West to Libya
[879] 1:46:10	okay so that's the Luca now the Amala uh the word am malachite comes
[880] 1:46:19	from It's a combination of words Amma Leica okay or the luki okay people of
[881] 1:46:26	the luki so luki is just another eological name for the Luca and when we see it in
[882] 1:46:35	the um in the maral letters it's spelled very similar it's the same uh atmology
[883] 1:46:41	of Luca so uh in um in Hebrew it's
[884] 1:46:48	lamed um um kof in the Amaral letters
[885] 1:46:54	it's also Lama cough so basically a double cough but same
[886] 1:47:03	thing okay so we do find that that that emology in both the Amar letters and in
[887] 1:47:10	say the Israelite things now then the question is are those Amala the same as
[888] 1:47:19	the Luca well the question the sort of the push back to this is that um is the
[889] 1:47:27	judge's text where it talks about Ephraim having a kinship relations with
[890] 1:47:33	the amalekites and the peoples of the East okay now here's the thing by the
[891] 1:47:38	time that's written the Luca have already well spread in
[892] 1:47:45	Inland so they're moving back up the judian Foothills through the plain of
[893] 1:47:52	Iraq so it would be very very strange if you
[894] 1:47:59	had both a Luca and an Amala in the same
[895] 1:48:05	place really strange okay
[896] 1:48:10	so these people got around I mean there's there's no question that the Luca got around they're they're
[897] 1:48:17	traveling in places that you know you wouldn't expect to see people to be you
[898] 1:48:23	would not expect them to be both in Libya and in the sin in in on the
[899] 1:48:28	coastal plane you just wouldn't expect that so they're starting off earlier
[900] 1:48:37	than the other sea peoples okay much earlier than say the Sheridan or the
[901] 1:48:43	pelet they're also going farther as well
[902] 1:48:49	so um the whole and even as I say even the Y ology of Amala is is the word for people okay
[903] 1:48:58	it's the word for people so people of the luki so I hope that helps thank you very
[904] 1:49:06	much for the Super Chat it's this is one of those things I really need to write a peer-reviewed paper on in my copious
[905] 1:49:11	free time uh but uh but I haven't just haven't gotten to it yet
[906] 1:49:18	so uh Jonathan Walker so two terms of the same
[907] 1:49:26	people occurring in the same places yeah yeah pretty much it so as I said it it's
[908] 1:49:32	it's one of those things that um Emily tusu laa in Hebrew means
[909] 1:49:40	to receive lashes to be exlipse or be defective interesting well in the case of this though one of the things we have
[910] 1:49:45	to keep in mind though is that laa has a terminal hay okay or hate I think it's
[911] 1:49:51	hay but in the case of say um um a Malaki it doesn't there's no terminal
[912] 1:49:58	hay okay so it's not the same atmology so we got to be a little
[913] 1:50:03	careful about that uh in fact it's a lot of Scholars
[914] 1:50:09	have said there's no known emology for
[915] 1:50:14	Amala because they never found one
[916] 1:50:20	so um but there is an an aadan you know luki is an
[917] 1:50:27	aadan you know so Amal luki is in the Hebrew luki is in the Acadian it's in
[918] 1:50:34	theal letters so we have a one to one eological relationship there then you
[919] 1:50:42	also then have the geographic relationship
[920] 1:50:51	too okay so Jonathan I hope that helps thank you for the question great
[921] 1:51:00	question uh jcm for $2 thank you for the Super Chat is an upside down cross evil
[922] 1:51:06	no it's not it's the cross of St
[923] 1:51:12	Peter um nobody ever thought the upside down cross was evil until the Church of
[924] 1:51:19	Satan started using it in the 19th century or is it the early 20th century even get
[925] 1:51:26	when did the Church of Satan start um but yeah it's it's the cross of Peter
[926] 1:51:32	the upside down cross and it's kind it's really ironic that the Church of Satan would
[927] 1:51:38	use an upside down cross because the upside down cross was
[928] 1:51:43	always symbolized the humility of the Saints it never represented anything
[929] 1:51:50	evil
[930] 1:51:59	yeah yeah die the same way yeah the um
[931] 1:52:05	the reason why the upside down cross was a adopted as my producer just said is
[932] 1:52:12	because Peter did not want to be crucified like his Lord
[933] 1:52:20	so there's I mean this is just again an appropriated symbol it's an appropriated
[934] 1:52:27	symbol used to try to change what the original symbol meant
[935] 1:52:35	so so it's a
[936] 1:52:42	said oh yeah did she say that I see it okay uh
[937] 1:52:49	Alexis adds where would the Church of Satan be without Christianity LMO yeah
[938] 1:52:54	yeah pretty much yeah Church of Satan would be nowhere I
[939] 1:53:00	mean it's an inversion it's an inversion but it's not even a true
[940] 1:53:06	inversion it's uh I mean the Church of Satan is essentially an elitist religion it's an elitist religion and it
[941] 1:53:14	doesn't even believe in Satan this is one of the things people get get wrong about the Church of Satan Satanism has
[942] 1:53:21	nothing to do is Satan except as a figure head it's a figure head of putting
[943] 1:53:29	oneself first Pride that's what the Church of Satan is
[944] 1:53:34	it's a it's an elitist religion where you put yourself first it doesn't actually believe in
[945] 1:53:42	Satan and all all the ceremonies within the Church of Satan are just that
[946] 1:53:49	they're basically trappings of of self-deification
[947] 1:53:55	yeah it's ultimate narcissism you
[948] 1:54:03	get yeah well that's that's the problem with the Church of Satan too is because it is full of
[949] 1:54:08	narcissists who just they just there's no cohesion there's no common
[950] 1:54:15	interest it's who can use whom first
[951] 1:54:32	uh Jay says here please have your Publishers reprint more of your books only two are available on Amazon at the
[952] 1:54:38	moment you're the best um we don't control that uh we have there there there was a
[953] 1:54:45	time when it ran out they uh I remember this when it's
[954] 1:54:51	like the first year year that uh that my book went to print couldn't get it For
[955] 1:54:57	Love or Money all the Publishers had stopped you know had sold
[956] 1:55:02	out um and we can't tell them that that
[957] 1:55:08	basically they print when they get orders
[958] 1:55:13	so until Amazon puts in some more orders they're probably not going to print
[959] 1:55:19	more but um uh so I hope that helps uh unfortunately
[960] 1:55:28	again we don't have any control over the book Deacon says I didn't know you had a
[961] 1:55:35	book you didn't guess we don't pitch it very often do we we're not we're not really
[962] 1:55:41	good at marketing we're terrible at marketing our own
[963] 1:55:48	stuff no no no no I'm not say that just grab
[964] 1:55:58	it yes this is the book this is the book we uh we wrote I
[965] 1:56:04	wrote um the Ark of the Covenant in its Egyptian context and Illustrated
[966] 1:56:10	Journey it's full of cool beautiful
[967] 1:56:17	pictures um original pictures buy rabbit
[968] 1:56:24	um so absolutely this is this is our book and uh it's about the context of
[969] 1:56:33	the of the Arc of the Covenant and sort of where the whole idea of an arc originates from and how it relates to
[970] 1:56:41	say Egyptian ritual processional Furniture so uh fantastic book I hope uh
[971] 1:56:47	we've gotten great reviews on it uh but it does sell out from time to time and again we don't have control over
[972] 1:56:55	that that's uh that's one of those things where uh buny Raptor for the win
[973] 1:57:06	yeah so um when it does run out at the Publishers they have to put in more
[974] 1:57:13	orders and then the publisher will either ship them out or print
[975] 1:57:19	more I I have no idea how many have have been even printed to be
[976] 1:57:24	honest um I I have no clue they haven't told me
[977] 1:57:30	so uh from what I tell they now do Justin Time printing anyway
[978] 1:57:40	so yeah so U and and nothing I can do can
[979] 1:57:45	push the process either so that's the other thing too
[980] 1:57:55	cool jackary says I bought one for bought it for myself then bought it as a gift for my sister-in-law who loves most
[981] 1:58:01	things ancient Egypt awesome thank you EXC yeah they do make excellent uh gifts
[982] 1:58:07	they're good coffee table books because the pictures are just really came out
[983] 1:58:12	stunning so and the publisher did a really good job of printing
[984] 1:58:18	it uh this is one of the reasons why I kind of tell people people um if you're
[985] 1:58:23	going to get the book get the hard print this is one of those books that's much better hard print than
[986] 1:58:30	electronic and um and and I and I say that despite my best interests okay I
[987] 1:58:37	actually get more money out of the electronic books than I do out of the hard
[988] 1:58:42	print a lot more money so I get um so it's it's not in my
[989] 1:58:50	vested interest to promote the hard print over the the the electronic
[990] 1:58:57	but the hard print cover the hard cover copy just looks so much better so much
[991] 1:59:05	better the pictures are fabulous and it really is a kind of picture book as well as having lots of
[992] 1:59:12	good information and my design yeah yeah we designed it
[993] 1:59:18	that way we wanted to make a book that Not only was something
[994] 1:59:25	that um was had good information but something people
[995] 1:59:30	enjoyed that looked good on your coffee table that you priz for years to
[996] 1:59:39	come um dark blade why is that middleman taking cups or something yeah it's like
[997] 1:59:46	that oh yeah um yeah the seller gets most of the
[998] 1:59:53	money so um most of the money actually is I mean YouTube gets most of the money
[999] 2:00:00	or not YouTube um Amazon Amazon gets the most of the money the publisher gets the
[1000] 2:00:05	next biggest share then finally the author uh and it's not very
[1001] 2:00:15	much I think I get something like a120 off of every book I think that's what I
[1002] 2:00:20	get um I get a lot more on the electronic ones because there's no printing charges okay so because there's
[1003] 2:00:27	no printing charges the publisher more generous with
[1004] 2:00:33	me
[1005] 2:00:38	so so yeah that's that's the reason
[1006] 2:00:49	okay um J asked would you be opening to commissioning an official Dr Fulk
[1007] 2:00:55	infographic poster with your key data points of an accurate chronology of The
[1008] 2:01:03	Exodus um I don't know people don't buy a posters very much
[1009] 2:01:10	um we our our merch store does not get a lot of traffic so we kind of are going
[1010] 2:01:16	well okay yeah we got a merch store we don't really pitch it people don't
[1011] 2:01:22	don't buy I mean I don't think I don't think anyone bought the the the last
[1012] 2:01:28	one I can just check here but have my
[1013] 2:01:38	doubts yeah no one bought the last one so it's like okay um yeah so our our our our merch store
[1014] 2:01:46	doesn't really do very well it's just not something that uh people do are
[1015] 2:01:52	really into for in our community uh we do the merch store for
[1016] 2:01:59	um uh for the convenience of the community but the community itself um just doesn't it doesn't
[1017] 2:02:08	resonate with them which is kind of too bad because some cool stuff on
[1018] 2:02:13	there do we do it because it's fun uh like I still got the picture of the mug
